,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_low_CO2_fd1_scaled
44,44,0.916331456154465,0.915690995797647,0.8970995906907315,0.9625194732882758,0.7517053237400529,0.8914061461234163,-0.9598492534715953,3.529088833658285,1.898658612894662,0.14915526950925181,0.12687047465808526,0.12936444086886562,0.07980691874497184,0.0660498793242156,0.04183427192276745,0.04818986323411099,0.025905068382944464
45,45,0.914722445695897,0.914927437430532,0.9061344867115853,0.9610208450308815,0.227449472469649,-0.11118996418094511,-0.4460499898628264,3.920965327713959,2.756844805178865,0.1413515687851971,0.11697506033789215,0.10418342719227672,0.0749798873692679,0.06379726468222043,0.03065164923571998,0.05494770716009652,0.025824617860016018
46,46,0.913113435237329,0.9130051791819558,0.9006234793187349,0.9610062230956391,1.1452447353420048,0.021535816709051976,-0.9630395430242139,3.0622393798523366,3.0944229548470608,0.1505229283990346,0.12831858407079644,0.10804505229283985,0.08656476267095738,0.07715205148833468,0.03966210780370068,0.0650844730490748,0.033547868061142336
47,47,0.909895414320193,0.9093068555701672,0.8957505643340857,0.9658831828442438,0.5944592214915675,0.22247819154162501,-0.6903687866062881,3.508318792454553,2.7630743151059556,0.12606596942880127,0.11721641190667735,0.09702333065164917,0.0758648431214803,0.06106194690265485,0.036685438455349904,0.054786806114239715,0.018342719227674942
48,48,0.9235720032180209,0.9232351095594082,0.9083215358278887,0.965593735376523,0.942131504151291,0.3884048187286645,-0.8575810072447783,3.518170058462406,2.22610155877665,0.1598551890587289,0.1332260659694288,0.13837489943684633,0.08028962188254225,0.07329042638777153,0.0381335478680611,0.050844730490748155,0.030812550281576846
49,49,0.918744971842317,0.9185725113108163,0.9068014353650251,0.9648910411622277,0.8060512210850453,0.2601375037323163,-1.0968296878468702,3.290981379717816,3.1333481278433064,0.1779565567176186,0.12284794851166529,0.13821399839098952,0.09388576025744168,0.07851971037811747,0.06452131938857601,0.0666130329847144,0.02880128720836681
50,50,0.9203539823008849,0.9201692643961484,0.9067312072219166,0.9642897285273988,0.948558392904704,-0.20453514518483956,-0.7812402409005643,3.217763769449882,3.175490451966996,0.14183427192276749,0.12566371681415928,0.10241351568785192,0.08857602574416737,0.08584070796460179,0.05181013676588895,0.06170555108608204,0.022445695897023353
51,51,0.913917940466613,0.9141542644831526,0.9052204414700011,0.9672361160032875,0.799396603870856,0.35998193782582183,-0.8777709987842766,3.8002931479267934,2.178433762418695,0.1323411102172164,0.12992759452936442,0.09983909895414315,0.09243765084473046,0.06806114239742558,0.03958165728077227,0.06082059533386965,0.026387771520514823
52,52,0.913917940466613,0.9137130567627334,0.9035803237858032,0.9626882146496094,1.2391857562564421,0.4283425616556741,-0.9786287787131466,3.2422539546828038,2.3731313991692917,0.13346741753821398,0.12984714400643602,0.09050683829444887,0.10185036202735313,0.07361222847948512,0.045695897023330614,0.05929203539823007,0.02493966210780365
53,53,0.9235720032180209,0.9230767779348032,0.9066613494032849,0.9651778329197684,0.8483000955593921,0.03653906778330557,-0.6970221519827006,3.1174143073811016,2.959702826861871,0.14698310539018505,0.12703137570394205,0.1224456958970233,0.0847948511665326,0.07312952534191472,0.036926790024135125,0.05776347546259049,0.028559935639581646
