,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.left_CO2_vd_fd1_scaled
13,13,0.96,0.9598582308390118,0.9331322272498743,0.9808111278699514,2.740222210989628,1.6545060668678033,0.014975707689173525,-0.23405958458698273,1.8521984855831475,0.12145454545454544,0.1065454545454545,0.07963636363636359,0.0367272727272727
14,14,0.9418181818181818,0.9407430234548877,0.8995532333787672,0.9743298500681508,3.4112132987152917,1.479698812003133,0.08443012953460158,-0.7938398868799887,2.0313619531144766,0.14981818181818177,0.07999999999999996,0.07527272727272724,0.04109090909090905
15,15,0.9163636363636364,0.9152394295939565,0.8738877726750861,0.9615384615384616,2.373433717916887,1.4565377194662386,0.10067500710784022,0.32705387339219205,2.12833890751777,0.11600000000000002,0.09854545454545455,0.08290909090909093,0.04327272727272728
16,16,0.9454545454545454,0.9448432326128293,0.901580826109128,0.9690634030256672,1.4599580646810544,1.6590979001502244,0.4181571412879243,0.7956023845380423,1.5776948140395413,0.11163636363636362,0.08654545454545454,0.042181818181818174,0.05127272727272726
17,17,0.9163636363636364,0.914233571671774,0.8478065883887802,0.96175799086758,3.082232037758819,1.14355775238281,-0.02627246921146626,-0.0008263524766324984,2.0716387035008244,0.09490909090909092,0.0792727272727273,0.06763636363636366,0.02981818181818182
18,18,0.9018181818181819,0.8987687700534761,0.8409704461494742,0.9684569479965899,2.8702552817426197,1.4811816612866384,-0.3526805364211387,0.2730316937128556,1.6592461229310118,0.1083636363636364,0.08400000000000003,0.06254545454545457,0.0243636363636364
19,19,0.9309090909090909,0.9297005395318648,0.8937448218724109,0.9689312344656171,2.6325635887745076,1.2631237967258064,0.4566512144245672,0.4181491430888628,1.3497730124457987,0.14727272727272728,0.11127272727272727,0.09781818181818182,0.06290909090909089
20,20,0.9309090909090909,0.9306132262128591,0.8738801791713326,0.9755505785740948,3.2797690708130043,1.240374557741303,0.0833193439916347,0.2031546675980498,1.4686721079648617,0.11781818181818178,0.05854545454545453,0.05490909090909089,0.01709090909090909
21,21,0.9090909090909091,0.9050400226750334,0.8174962292609351,0.9587732528909,3.1916834352548844,1.7732487623708866,0.478982197627825,-0.046725526164774975,0.8150484965183464,0.06763636363636359,0.07527272727272724,0.036727272727272706,0.013090909090909052
22,22,0.9418181818181818,0.9418181818181818,0.9090909090909091,0.9740495867768595,2.170014092230079,1.8298135209546333,0.18202775948543537,0.14666786469353524,1.7834899727811755,0.12436363636363632,0.08909090909090904,0.07599999999999996,0.056727272727272696
23,23,0.9090909090909091,0.9093744336238563,0.8665978070872398,0.9513745431431749,2.4722896608091767,1.3114305831044293,0.28558397268647273,-0.09772179526407632,2.3054358304224882,0.09709090909090907,0.08763636363636361,0.06181818181818179,0.033454545454545424
24,24,0.9345454545454546,0.932713560948855,0.8764102971555696,0.965358334657556,2.1861231786767106,0.8293337978144626,0.5067940235934227,0.3749605931584542,2.3547528531447948,0.11127272727272727,0.0883636363636364,0.08763636363636366,0.038181818181818206
25,25,0.9381818181818182,0.9376581818181818,0.9052873222748815,0.9651954976303317,3.0102155221279028,1.6271940851650855,0.202691045562074,-0.7278514687725584,2.21375981369568,0.14109090909090916,0.12400000000000007,0.09600000000000007,0.0643636363636364
26,26,0.9163636363636364,0.91608925773807,0.869507484307098,0.9552551102526959,2.382360904938208,1.7020122618313689,0.3757401003695428,0.2991247749488538,1.36532051595351,0.10472727272727274,0.08763636363636365,0.055272727272727286,0.032363636363636386
27,27,0.9454545454545454,0.9441012943723855,0.894334460003219,0.9721551585385482,2.920750318630222,1.6350679322752515,0.3298048248260528,-0.2567953921296192,1.5055421567281184,0.13381818181818178,0.11018181818181816,0.07890909090909089,0.044
28,28,0.9236363636363636,0.9239070138527956,0.8808856025837157,0.9575046744858065,3.4760897079801114,0.7785037912234704,-0.04464780118680968,-0.1222688821825851,2.30491887917476,0.1054545454545454,0.08909090909090904,0.06945454545454541,0.029090909090909035
