,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_humidity_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.front_CO2_vd_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.fronttop_humidity_fd3_scaled
127,127,0.9300411522633745,0.9304485336852389,0.9302608311229001,0.9846006483937518,2.381314616473606,1.7122366221584573,1.3843715722367091,1.7516238570594747,0.7011063112268342,0.02304526748971193,0.013991769547325084,0.016049382716049377,0.0012345679012345512,0.004115226337448552,0.01728395061728394,-0.0004115226337448541,0.012345679012345645,0.020164609053497963,-0.003292181069958833,0.0012345679012345622,0.0012345679012345622,0.0024691358024691245,0.0,0.0004115226337448541,0.0012345679012345622,-0.0032921810699588438,-0.0012345679012345733,0.0012345679012345622,-0.0004115226337448541,0.0004115226337448541,-0.0008230452674897082,0.0004115226337448541,0.0004115226337448541,-0.0004115226337448541,0.0032921810699588438,0.0004115226337448541,-0.0057613168724279795
128,128,0.9300411522633745,0.9304368234728874,0.9331436699857752,0.9797297297297298,1.6148842183200924,2.030509757222336,1.8105444952282488,2.266448821048378,0.17383874741005764,0.04279835390946503,-0.0008230452674897082,0.010288065843621375,-0.009465020576131699,0.0,0.004938271604938249,-0.0004115226337448541,0.021399176954732514,0.01728395061728396,0.003703703703703687,-0.005349794238683103,-0.0012345679012345622,-0.0028806584362139785,0.0024691358024691245,-0.003292181069958833,-0.0016460905349794165,0.0020576131687242705,0.0004115226337448541,-0.0020576131687242705,-0.0008230452674897082,-0.0024691358024691245,-0.00864197530864197,0.0020576131687242705,-0.00781893004115225,0.0028806584362139785,-0.0008230452674897082,-0.0012345679012345622,0.0020576131687242705
129,129,0.934156378600823,0.9349199266200604,0.938098178450139,0.9860296387774006,2.1097527492404913,1.2829855082598611,1.6319409556877675,2.2148825441213162,1.0315044118894123,0.02427983539094647,0.008230452674897092,0.02057613168724277,-0.005761316872428035,0.009465020576131643,-0.003703703703703731,0.0016460905349794165,0.007818930041152217,0.0004115226337448319,0.003703703703703687,-0.002880658436214001,0.0024691358024691245,0.004115226337448541,0.003703703703703687,0.0012345679012345622,-0.006995884773662586,-0.005761316872428002,-0.0008230452674897303,-0.003292181069958833,0.005349794238683103,0.0012345679012345622,-0.00823045267489716,-0.0004115226337448541,0.0024691358024691245,0.0004115226337448541,0.0008230452674896971,-0.002880658436214001,0.0016460905349794165
130,130,0.9382716049382716,0.9390063475078534,0.9469708191379055,0.9903717967708487,2.3877149661303707,1.4076130454489673,1.4555696162469156,1.8761951001078696,0.5940199296887255,0.016460905349794174,0.0057613168724279466,0.01193415637860078,-0.0032921810699589106,0.009465020576131643,0.008230452674897082,0.004526748971193395,0.008230452674897082,0.004938271604938249,-0.0004115226337448874,0.0028806584362139785,-0.0028806584362140565,0.004526748971193395,0.004115226337448541,-0.0004115226337448652,0.004938271604938249,0.005761316872427957,0.006995884773662519,0.004115226337448541,0.007407407407407374,0.003703703703703687,-0.007407407407407485,0.0037037037037036757,-0.0016460905349794607,0.003703703703703687,0.0037037037037036757,0.0,0.007407407407407374
131,131,0.9423868312757202,0.9425383101299426,0.9393894266567386,0.9746835443037976,1.8961516319791616,1.2259673693242117,2.121434766076361,2.838785608473916,0.3523924930654466,0.018106995884773713,0.03251028806584368,0.008641975308642025,0.004115226337448608,0.006584362139917743,0.013580246913580295,0.0004115226337448763,0.009053497942386902,0.015637860082304566,2.2204460492503132e-17,4.4408920985006264e-17,0.00246913580246918,0.004115226337448619,0.004526748971193484,0.007818930041152338,0.005349794238683192,0.010288065843621453,0.0008230452674897303,0.00534979423868317,0.0008230452674897415,0.005349794238683203,0.003703703703703776,0.004938271604938327,0.0016460905349794607,0.0004115226337448874,0.007407407407407485,0.004115226337448619,0.004938271604938338
132,132,0.9711934156378601,0.9713923672779399,0.9752688986517195,0.9912891986062718,2.4278199561860943,0.5149545242660475,2.2947590972649055,1.5843433648308793,0.8109461889374779,0.037448559670781936,0.026748971193415672,0.014403292181070004,-0.0004115226337448541,0.005349794238683148,0.022222222222222233,0.0037037037037036978,0.017283950617283984,0.023868312757201658,0.0,0.0032921810699588438,0.0004115226337448541,0.004526748971193428,0.005761316872428002,0.005761316872428002,0.003292181069958855,0.006584362139917732,-0.0008230452674897082,0.0057613168724280125,0.005349794238683136,0.005349794238683148,0.0012345679012345733,0.005349794238683148,0.0004115226337448541,-0.0024691358024691245,0.00823045267489716,0.004938271604938283,0.0024691358024691358
133,133,0.9753086419753086,0.9753086419753086,0.9735294117647059,0.996151053013798,1.7567371196329988,1.7042788497574728,1.3827559043540536,2.174634523354022,0.6551768127898763,0.04444444444444447,0.03209876543209879,0.017695473251028826,0.00864197530864197,0.010288065843621408,0.013991769547325106,0.007407407407407374,0.03497942386831278,0.026337448559670795,0.0012345679012345622,0.0065843621399176875,0.006995884773662531,0.0057613168724279795,0.011111111111111127,0.004938271604938249,0.005761316872427968,0.009053497942386846,0.004526748971193417,0.004115226337448541,0.0024691358024691358,0.003292181069958833,0.003292181069958855,0.006584362139917666,0.008230452674897115,0.0028806584362139785,0.00781893004115225,0.0028806584362139785,0.009876543209876543
134,134,0.9423868312757202,0.9426600587649278,0.9424182139699381,0.9879162982611258,2.634291949438305,1.812491725086,1.6087131443001104,1.9866266447245053,-0.02052306008472512,0.0341563786008231,0.021810699588477422,0.020576131687242826,0.006584362139917766,0.011111111111111172,0.009465020576131734,0.006995884773662609,0.022222222222222244,0.018930041152263433,0.0037037037037037533,0.0028806584362140453,0.0004115226337448763,0.004938271604938338,0.006584362139917743,0.00246913580246918,0.008230452674897193,0.002469135802469169,-0.0020576131687242484,0.0016460905349794607,0.0049382716049383045,0.005349794238683203,0.00534979423868317,0.0028806584362140453,0.0061728395061729,-0.0037037037037036757,0.009876543209876609,0.0032921810699589106,0.0028806584362140453
135,135,0.934156378600823,0.9352656040287067,0.9447552447552447,0.9833721833721834,1.7090231608603697,1.8758768411418156,1.6648904193660643,1.5688664150589413,1.0214040258878847,0.031687242798353873,0.014814814814814803,0.016049382716049353,0.005349794238683103,0.005761316872427957,0.00905349794238679,0.008641975308641936,0.0185185185185185,0.020987654320987627,0.007407407407407374,0.0028806584362139785,0.009876543209876498,0.0028806584362139785,0.007407407407407374,0.0028806584362139785,0.003703703703703687,0.010288065843621363,0.0008230452674897082,0.0012345679012345512,0.0020576131687242705,-0.0016460905349794275,0.0004115226337448541,0.0024691358024691245,0.003292181069958833,0.002057613168724259,0.007407407407407374,0.002057613168724259,0.00987654320987651
136,136,0.9300411522633745,0.9310026445574855,0.9382290562036055,0.9832601121042266,2.549075635954907,1.2554419583352163,0.6230721721810434,2.551753853723229,0.8172887130625689,0.014403292181069949,0.008230452674897092,0.011522633744855959,-0.003292181069958833,0.0,0.00987654320987653,0.0028806584362139785,0.01069958847736624,0.011111111111111082,0.0,0.0,0.0,0.0,0.0004115226337448541,0.0012345679012345622,0.0,-0.0012345679012345622,0.0004115226337448541,0.0,0.0,0.0,0.0,-0.0024691358024691245,-0.0008230452674897082,-0.0008230452674897082,0.0016460905349794165,0.0008230452674897082,0.0028806584362139785
137,137,0.9753086419753086,0.9754175324350763,0.9781482562381438,0.995622355172917,2.8093196549968855,1.8455719132260129,1.4697331171900834,1.340508617586611,0.17764168341912132,0.03580246913580247,0.01358024691358024,0.016872427983539117,0.005349794238683103,0.0037037037037036978,0.0004115226337448541,0.0,0.02304526748971194,0.009465020576131689,0.0,0.0074074074074073955,0.0004115226337448541,0.0024691358024691245,0.004115226337448541,0.0028806584362139785,0.0012345679012345622,0.005761316872427968,0.003292181069958833,0.0012345679012345622,0.0008230452674897082,0.0020576131687242705,0.006172839506172811,0.0004115226337448541,0.003292181069958833,0.0016460905349794165,0.0028806584362139785,0.0012345679012345622,0.004526748971193406
138,138,0.9423868312757202,0.9429726415677884,0.9475527108433734,0.983960843373494,2.241093616313918,0.9415112025465074,1.5220704971532355,2.8981096774851136,-0.1661514404986581,0.038271604938271656,0.029629629629629693,0.008641975308642035,0.0069958847736626304,-0.0004115226337448319,0.00823045267489716,0.004938271604938349,2.2204460492503132e-17,0.008230452674897182,-0.0004115226337448541,0.0028806584362140565,0.004526748971193484,0.0032921810699589214,0.008641975308642047,0.0008230452674897303,0.0012345679012345956,0.0008230452674897303,0.0037037037037037867,-0.000411522633744843,0.002057613168724326,0.0,2.2204460492503132e-17,0.0069958847736626304,0.011522633744856025,0.0012345679012345956,0.001646090534979472,0.003703703703703776,-0.002057613168724259
139,139,0.9629629629629629,0.9634209372771464,0.9696212731668009,0.9886381950040289,2.183303560374687,1.5870706108164399,1.0082183009429107,2.4197312626785883,0.7841970071871133,0.02633744855967073,0.02427983539094645,0.008230452674897082,0.0016460905349794052,0.0024691358024691136,0.0016460905349794165,0.004115226337448541,0.007818930041152227,0.02181069958847731,-1.1102230246251566e-17,0.0,0.0024691358024691245,0.0020576131687242705,0.006584362139917666,0.0,0.0012345679012345512,0.0024691358024691245,-1.1102230246251566e-17,0.0,-0.0012345679012345956,-0.0012345679012345956,0.003292181069958833,0.0,-0.0008230452674897303,0.0,-0.0004115226337448763,0.0008230452674897082,0.0012345679012345622
140,140,0.9588477366255144,0.9588477366255144,0.9560801041064199,0.9886495083863505,2.191606691199099,1.399859346497296,1.775353330812876,1.8091569748621041,0.6558400865114239,0.03786008230452671,0.023045267489711918,0.01646090534979422,0.004115226337448541,0.006995884773662519,0.010288065843621363,0.0,0.023045267489711918,0.0127572016460905,0.0008230452674897082,0.0008230452674897082,0.0012345679012345622,-0.0004115226337448541,0.0024691358024691245,0.0008230452674897082,0.0016460905349794165,0.0012345679012345622,0.003292181069958833,-0.0016460905349794165,0.0024691358024691245,0.0012345679012345622,0.003292181069958833,0.0028806584362139785,0.0,0.004115226337448541,0.0012345679012345622,0.0004115226337448541,-0.0024691358024691245
