,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.front_CO2_vd_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd1_scaled
24,24,0.8888888888888888,0.8890325254801054,0.8798326173900163,0.9549696341282773,2.5818836027213954,0.9882073122034319,0.8251193408572177,1.5045583024871574,0.6753353152851614,0.13497942386831271,0.032921810699588425,0.010699588477366207,0.023045267489711883,0.004526748971193395,0.004526748971193395,0.007818930041152227,0.01851851851851847,0.007818930041152227,0.002057613168724237,0.0028806584362139564,-0.005349794238683203
25,25,0.9465020576131687,0.9467165857029405,0.9450808625336927,0.9826295297993412,3.5597745656078996,0.5154735109195479,0.8383023173350744,1.0790358340965343,0.29734409147729685,0.08847736625514407,0.040329218106995926,0.042386831275720196,0.021399176954732535,-0.003292181069958833,0.006584362139917721,0.0020576131687242817,0.012345679012345711,0.0012345679012345956,0.0049382716049383045,0.003292181069958866,-0.0020576131687242705
26,26,0.9053497942386831,0.9062877778734904,0.8952518579686211,0.9487200660611065,3.7661121725556015,1.0822896714158299,0.9609331018298132,1.3212144048555243,-0.6191261979852803,0.08806584362139916,0.03909465020576132,0.036213991769547316,0.005349794238683103,0.0012345679012345622,0.006172839506172823,-0.0004115226337448541,0.008641975308641947,-1.1102230246251566e-17,0.0004115226337448541,-0.0008230452674897082,0.0008230452674897082
27,27,0.8930041152263375,0.8941548352288277,0.8844480257856567,0.9547945205479452,2.3642217317361913,1.190485464825252,1.385863424720456,1.6250327293152433,-0.34639230891832246,0.06543209876543214,0.04403292181069962,0.030041152263374525,-0.00041152263374480966,-0.004938271604938249,-0.006584362139917655,-0.004526748971193395,-0.0004115226337447986,-0.0012345679012345401,-0.0057613168724279466,0.0012345679012346177,-0.009876543209876498
28,28,0.934156378600823,0.9343412495054704,0.9297063253012048,0.975,3.25007381976869,0.7673137204887021,0.8665813384474531,1.0926180680122137,0.49339225442067025,0.14074074074074072,0.01646090534979421,0.04074074074074073,0.013991769547325051,0.006584362139917666,0.004938271604938249,0.004115226337448541,0.01769547325102877,0.007818930041152227,-0.003292181069958877,0.0008230452674897082,-0.0004115226337448652
29,29,0.9135802469135802,0.9136600024759283,0.9102062588904694,0.9487197724039829,3.317115738421698,0.7389625320248421,0.8616905734358421,1.1590530944887758,0.33713047848054556,0.09711934156378596,0.04773662551440326,0.035390946502057555,0.008230452674897082,0.005349794238683103,0.00905349794238679,-0.001646090534979494,0.010288065843621363,0.006995884773662519,0.0008230452674896748,0.008641975308641936,0.000823045267489686
30,30,0.8930041152263375,0.8939948178631307,0.8874125874125874,0.954079254079254,3.1699137082265465,0.7086405936402436,1.1262655310680152,1.8636161508881943,-0.2724278640643892,0.09259259259259263,0.039506172839506214,0.018518518518518556,0.009465020576131744,-0.0004115226337448319,-0.00041152263374480966,0.005349794238683192,0.011934156378600869,-0.004115226337448518,-0.002057613168724259,0.00534979423868317,-0.0004115226337448208
31,31,0.9259259259259259,0.9269881290051477,0.927266081871345,0.9689733593242366,2.6489591102854995,1.221401821778845,0.670403344735198,1.3627882407715062,0.3870096772009885,0.10864197530864199,0.04444444444444447,0.03744855967078191,0.021399176954732514,0.0004115226337448541,0.00658436213991771,0.0032921810699588438,0.013168724279835398,0.005761316872427991,-0.0004115226337448541,0.0016460905349794165,0.0008230452674897082
32,32,0.9135802469135802,0.914415843801915,0.9135802469135802,0.9572473708276179,3.4772902768224663,0.8979880914968547,0.8547582775524377,1.0377409051734319,0.24706248299467282,0.14156378600823039,0.05514403292181065,0.02139917695473246,0.007407407407407374,0.000823045267489686,0.00905349794238679,-0.0020576131687243373,0.0057613168724279466,-0.0037037037037037424,-0.0032921810699588993,0.0024691358024691136,-0.00246913580246918
33,33,0.9176954732510288,0.9179191601628931,0.9118373764600181,0.9757412398921833,2.3483740909355575,1.2221639131056476,1.2091143718750703,1.4938118786710068,0.11102899148149117,0.10823045267489717,0.03909465020576136,0.017695473251028836,0.012757201646090588,-0.0004115226337448208,0.00823045267489717,0.009465020576131754,0.014403292181069994,-0.004526748971193384,-0.0037037037037036757,0.0008230452674897637,0.0024691358024691913
34,34,0.8888888888888888,0.8884579791152396,0.8760630498533725,0.9505865102639297,2.902114248003654,1.4905598397703563,0.7482603702705322,1.2935223180093787,-0.19448645299592004,0.09835390946502051,0.02757201646090531,0.02633744855967074,0.00905349794238679,-0.008641975308642025,-5.551115123125783e-17,-0.001646090534979472,0.0032921810699587995,-0.007407407407407451,-0.012345679012345734,-0.007407407407407474,-0.012345679012345734
35,35,0.897119341563786,0.8975049668154349,0.8914605243667605,0.9590431047252259,3.2346907132829226,1.2200510939089748,1.0165071861247306,0.8844471289808407,0.20618785911273918,0.10164609053497944,0.025514403292181086,0.03209876543209879,0.007407407407407429,-0.0008230452674896971,0.007407407407407441,-0.004526748971193373,0.0020576131687242817,-0.008641975308641936,-0.006995884773662519,-0.003292181069958833,-0.00905349794238679
36,36,0.934156378600823,0.934457623927486,0.9336510263929618,0.9671554252199414,2.8235973583176746,0.7509563096249761,1.1704197279940982,1.3846649397069775,0.21049959266076346,0.07983539094650202,0.04032921810699586,0.04691358024691354,0.007818930041152227,0.0024691358024691245,0.006172839506172811,0.0028806584362139785,0.014814814814814758,0.0020576131687242705,0.0012345679012345622,0.003703703703703687,0.0016460905349794165
37,37,0.9259259259259259,0.9259259259259259,0.9194297082228117,0.9606542882404951,2.836169442706836,1.1175914856822646,1.0306460663676298,1.1501317991622386,0.2750695484925868,0.14897119341563786,0.05308641975308642,0.03950617283950619,0.010288065843621408,0.0008230452674897082,0.009876543209876543,0.0016460905349794275,0.007818930041152273,0.004115226337448552,0.0,-0.003292181069958833,0.0016460905349794165
38,38,0.9176954732510288,0.9180997550173178,0.915271811583469,0.9677825507332247,3.1857168955602715,1.1211619894664258,0.8864149589622562,1.8037279442190206,-0.5459579308691487,0.046913580246913625,0.03950617283950621,0.016460905349794296,0.009876543209876599,0.00246913580246918,0.0069958847736625975,0.0069958847736626304,0.008230452674897182,0.0012345679012346177,-0.0008230452674896971,0.0028806584362140565,-0.007818930041152217
