,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.right_CO2_vd_scaled
10,10,0.9672727272727273,0.9669955080213904,0.9460159952606635,0.9954828199052133,3.031538098693437,1.2847548075366348,1.7243059369029192,1.3425797387992064,0.34789866793609914,0.064,0.030545454545454563,-0.0029090909090909167,-0.0036363636363636598,-0.0021818181818181958,-0.0018181818181818299,0.0,0.0,0.000727272727272732,-0.000363636363636366,0.0010909090909090979,-0.000727272727272732
11,11,0.9563636363636364,0.9569586776859504,0.9442461329253782,0.9933707292197858,3.286737105573095,1.2438014676227693,1.312042767023547,1.8968679971797735,0.17350104292560603,0.0574545454545455,0.017090909090909136,-0.010909090909090868,-0.003999999999999937,0.0010909090909091313,-0.013818181818181785,0.003272727272727294,0.0018181818181818299,-0.006545454545454477,-0.00727272727272722,-0.002909090909090861,0.0003636363636363993
12,12,0.9636363636363636,0.9636363636363636,0.9407123145912384,0.9940496723007933,3.5292974130806045,1.064675527032497,1.9627797105683202,0.8565708937981342,0.24731575911449552,0.05490909090909091,0.030545454545454508,-0.00545454545454549,0.0032727272727272826,0.0010909090909090979,0.0,0.0018181818181818299,0.002181818181818185,-0.00545454545454549,0.004000000000000015,-0.006545454545454554,0.0021818181818181737
13,13,0.9781818181818182,0.9780251263270131,0.958438076085135,0.9984079101726161,3.2533735723951565,1.2111928820284465,1.68212101898378,0.9274793093700054,0.5542831442332957,0.10145454545454542,0.030545454545454508,-0.0010909090909090979,-0.003272727272727294,-0.004000000000000026,-0.0021818181818181958,0.0040000000000000036,0.0065454545454544984,0.0010909090909090979,-0.001454545454545464,-0.0061818181818182215,-0.0010909090909090979
14,14,0.9709090909090909,0.9707386102483392,0.952635165833712,0.996971073754354,2.436401563689663,1.6935265541045104,0.8779178796173114,2.391068459700418,0.323827558386736,0.15563636363636366,0.026545454545454594,-0.002909090909090839,-0.0007272727272726986,-0.0003636363636363549,-0.003272727272727205,-0.0007272727272727098,-0.0010909090909090647,-0.002909090909090839,0.000727272727272732,-0.0010909090909090534,-0.0014545454545454195
15,15,0.9309090909090909,0.9295766849259898,0.8885619977037887,0.9844288174512055,2.7073444406563762,0.5350775161477715,2.2405720438923087,1.106228534246512,1.7688051000692186,0.15345454545454545,0.0290909090909091,0.0021818181818181958,-0.000363636363636366,-0.000727272727272732,-0.007272727272727287,-0.0010909090909090979,-0.000727272727272732,-0.0025454545454545617,0.003272727272727294,0.0021818181818181958,-0.0025454545454545617
16,16,0.9563636363636364,0.9560418953244065,0.9227010028896822,0.9907360190379058,2.317414177481855,1.279259497787093,1.8802588909022353,1.853171303263912,0.6437790404214384,0.09418181818181823,0.0032727272727273047,-0.0036363636363635488,0.0,-0.0018181818181817744,-0.0032727272727271937,-0.0014545454545454195,-0.0003636363636363549,-0.0036363636363635488,-0.003272727272727205,-0.0018181818181817744,-0.0032727272727271937
17,17,0.96,0.9595855957061723,0.9283675799086758,0.9894814090019569,3.1367013412748754,1.751845852723966,1.403479701917765,0.8948695218973459,0.5485651604387703,0.08109090909090906,0.018909090909090865,0.0003636363636363549,-0.002909090909090928,-0.0025454545454545617,0.0007272727272727098,0.0,-0.003272727272727294,0.0,-0.002909090909090928,0.0007272727272727098,-0.0036363636363636598
18,18,0.9490909090909091,0.9479825506247308,0.9118712702472294,0.9914748508098892,3.5555423331272973,0.3094189298158511,2.469976847462241,0.7980810336412733,0.5309170734663814,0.05672727272727272,0.03600000000000001,0.000363636363636366,0.0010909090909090979,0.0043636363636363916,-0.000363636363636366,0.0025454545454545617,0.0036363636363636598,-0.000363636363636366,0.00545454545454549,0.007272727272727297,0.004000000000000026
19,19,0.9563636363636364,0.9559430523043863,0.9338580502623585,0.993993371996686,3.235144683993603,2.033735594401542,1.48831964957586,1.1557275984897628,-0.2012173518671514,0.1363636363636364,0.035272727272727324,-0.0032727272727271937,0.0007272727272727541,0.003272727272727294,-0.0069090909090908535,-0.0007272727272727098,-0.002909090909090839,-0.005818181818181789,0.001090909090909109,-0.0010909090909090534,0.001454545454545475
