,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.backlow_temperature_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.backlow_humidity_fd2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
138,138,0.934156378600823,0.9346757346724429,0.9355045180722892,0.9823042168674698,2.2589641922687402,0.8829443914657232,1.3178089427655706,1.9011843024469615,1.2031556825173226,0.014814814814814758,0.02633744855967075,0.034979423868312744,0.011522633744855936,0.011111111111111072,-0.0020576131687242817,0.0008230452674897082,0.0004115226337448541,0.0008230452674897082,0.0024691358024691245,0.0016460905349794165,-0.005349794238683159,-0.003703703703703687,0.0004115226337448541,0.0020576131687242705,0.0028806584362139785,0.0008230452674897082,-0.0004115226337448541,0.0,-0.0016460905349794165,0.0016460905349794165,-0.0016460905349794165,-0.0004115226337448541,-0.003703703703703687,-0.0012345679012345622,0.0008230452674897082,0.003703703703703687,0.0004115226337448541
139,139,0.9506172839506173,0.9513049794174292,0.9568896051571314,0.9914585012087026,2.4329449483441907,1.9981820053114125,0.8258064588538715,1.8955652239142042,0.4492936496245352,0.029629629629629638,0.021810699588477367,0.01522633744855969,0.013991769547325106,0.020987654320987648,-0.0008230452674897082,0.0020576131687242705,0.0,-0.003292181069958833,-0.0004115226337448541,-0.0028806584362139785,0.0,0.0,-0.0020576131687242705,0.0,-0.003703703703703687,0.0,-0.0008230452674897082,-0.0008230452674897082,0.0,-0.0004115226337448541,0.0,0.0,0.0,-0.0024691358024691245,-0.0016460905349794165,-0.0004115226337448541,-0.007407407407407374
140,140,0.9382716049382716,0.938055932420814,0.9308126084441875,0.9804800462695199,2.2548788408694214,1.6500254531880818,1.07342033076858,2.0418370842280003,0.7034508484249854,0.05020576131687239,0.023868312757201603,0.03209876543209873,0.015226337448559623,0.012757201646090488,-0.002057613168724326,0.008641975308641936,-0.002057613168724326,0.0024691358024691136,-1.1102230246251566e-17,-0.0004115226337448985,0.0020576131687242484,-0.004115226337448641,0.0008230452674896971,0.0024691358024691136,0.013991769547325061,0.0016460905349794052,0.004115226337448541,-0.0016460905349794607,-0.0024691358024691913,0.003292181069958833,-0.0004115226337448652,0.004115226337448541,-0.0012345679012345956,0.0,0.003703703703703687,0.004115226337448541,-0.0004115226337448652
141,141,0.9382716049382716,0.9391199804918992,0.947432207241327,0.9856839872746553,1.553791111907972,1.967714707280103,1.7901890858535168,0.8695562371549248,1.588030687733065,0.023868312757201603,0.0563786008230452,0.03045267489711929,0.025925925925925887,0.019341563786008188,0.0012345679012345512,0.00905349794238679,-0.0020576131687243373,0.0028806584362139785,0.0004115226337448319,-0.0028806584362140565,0.003292181069958833,0.006172839506172811,0.004526748971193384,0.006995884773662508,0.011111111111111061,0.0024691358024691136,0.0004115226337448541,0.0,0.007818930041152227,0.004526748971193384,-3.3306690738754695e-17,-1.1102230246251566e-17,0.005761316872427957,-0.0004115226337448874,0.004526748971193395,-1.1102230246251566e-17,-0.001646090534979472
142,142,0.9547325102880658,0.9553137233408874,0.9631830811979005,0.9800864464340846,2.1753601064973185,1.4423448425780738,0.846470605672407,1.1638814707146283,2.027825926203123,0.026748971193415627,0.058847736625514416,0.0567901234567901,0.041152263374485576,0.030452674897119315,0.005349794238683103,0.014814814814814814,0.00781893004115224,0.006995884773662519,0.0028806584362139785,0.0016460905349794165,0.005761316872427957,0.014403292181069949,0.007818930041152227,0.01934156378600823,0.022633744855967076,-0.0004115226337448541,0.0008230452674897082,0.0008230452674897082,0.0016460905349794165,0.0012345679012345622,0.003703703703703687,0.003703703703703687,0.0020576131687242705,0.0012345679012345622,0.006584362139917666,0.0012345679012345622,-0.004115226337448541
143,143,0.934156378600823,0.9342553742553742,0.9333964646464646,0.9864618406285073,1.365823516180594,1.7091925883623722,1.3195328212720252,2.298348745262052,0.7275542673181367,0.04362139917695471,0.01275720164609051,0.025514403292181055,0.05596707818930038,0.01069958847736623,0.0016460905349794165,-0.00452674897119344,0.004115226337448541,0.003703703703703687,0.0004115226337448541,0.0016460905349794165,0.004526748971193395,0.0012345679012345622,0.006995884773662519,0.005349794238683103,0.004938271604938249,0.0012345679012345622,0.0008230452674897082,0.0020576131687242705,0.003292181069958833,0.0024691358024691245,0.0012345679012345622,0.0012345679012345622,0.003292181069958833,0.0012345679012345622,-1.1102230246251566e-17,0.0012345679012345622,0.0024691358024691245
144,144,0.9588477366255144,0.9589708630005555,0.9567901234567902,0.992912665752172,2.518274636941123,1.4335439218372703,0.8495198207494379,1.6379470312721682,0.8872161872526317,0.02921810699588474,0.05308641975308639,0.03004115226337447,0.013580246913580207,0.020987654320987637,-0.0004115226337448541,0.0024691358024691136,0.0012345679012345622,0.003292181069958833,-0.0008230452674897082,-0.0012345679012345622,0.0020576131687242705,-0.0004115226337448541,0.0024691358024691245,0.003703703703703687,0.008641975308641947,0.0020576131687242705,-0.0008230452674897082,-0.0008230452674897082,-0.0004115226337448541,-0.0008230452674897082,0.0012345679012345622,-0.002880658436214012,0.0024691358024691245,-0.0008230452674897082,-0.0012345679012345733,-0.0008230452674897082,0.0024691358024691245
145,145,0.9629629629629629,0.9631338677394229,0.9659139784946237,0.9825089605734767,2.3341782659487653,1.7456240103623184,1.4328990719852668,1.3720685205661236,1.0889866953206764,0.02551440329218102,0.04567901234567898,0.02921810699588473,0.03168724279835387,0.009876543209876498,0.0008230452674896971,-0.0016460905349794607,-0.0012345679012345956,0.0024691358024691136,0.0016460905349794052,-0.0016460905349794607,-2.2204460492503132e-17,-0.0028806584362140565,0.000823045267489686,0.0008230452674896971,0.001234567901234529,-0.0032921810699588993,-0.0012345679012345956,-0.0004115226337448652,-1.1102230246251566e-17,-0.0008230452674897303,-0.002057613168724326,-0.0004115226337448763,0.0028806584362139785,-0.0004115226337448652,0.0028806584362139785,-0.001646090534979472,0.0004115226337448319
146,146,0.9588477366255144,0.9593356428562422,0.9685534591194969,0.9929619646600779,2.921806502472997,1.2844444715289953,0.5201491439996149,1.7548241754911365,1.23618740479745,0.034156378600823004,0.06625514403292178,0.0251028806584362,0.008641975308641947,0.015226337448559646,0.0012345679012345622,0.003292181069958833,0.0012345679012345622,0.0,0.0,0.0016460905349794165,0.004115226337448541,-0.0012345679012345622,0.0004115226337448541,0.0008230452674897082,0.006584362139917666,-0.0012345679012345622,0.0,0.0,0.0,0.0024691358024691245,-0.0028806584362139785,0.0,0.0004115226337448541,0.004115226337448541,0.006172839506172811,0.0004115226337448541,0.0024691358024691245
147,147,0.9547325102880658,0.9550883854902211,0.9596595932802829,0.9883583849101091,2.555604886230011,1.520615794195458,1.4027826633271,1.447374013244619,0.6867375529456496,0.031275720164609035,0.05720164609053498,0.034979423868312744,0.02427983539094649,0.025514403292181055,0.0024691358024691245,0.008230452674897104,0.0004115226337448541,-0.0012345679012345622,0.0,0.0012345679012345622,0.0004115226337448541,0.0012345679012345622,0.004526748971193395,0.0016460905349794165,0.003703703703703687,-0.0008230452674897082,0.0028806584362139785,0.0028806584362139785,-0.0016460905349794165,0.0016460905349794165,-0.0004115226337448541,0.0008230452674897082,-0.0012345679012345622,0.0,-0.0012345679012345622,0.0020576131687242705,0.003703703703703687
