,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.right_CO2_vd_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.righttop_humidity_fd3_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.righttop_temperature_fd1_scaled
137,137,0.9854545454545455,0.9853713876612559,0.9738319856244384,0.9988020365378856,2.346446593711696,1.6774538067049818,0.8500694718299009,1.8053754585904496,2.5531601310736147,0.055636363636363664,0.006909090909090953,0.000727272727272732,0.006909090909090943,0.0010909090909090979,0.00618181818181821,-0.000363636363636366,0.006909090909090953,0.0,0.0,-0.0036363636363636485,0.016000000000000025,0.002909090909090928,0.001818181818181841,0.0010909090909090979,0.0018181818181818299,-0.0036363636363636598,0.000363636363636366,0.005090909090909123,0.000363636363636366,0.0,0.0021818181818181958,-0.003272727272727294,0.0010909090909090979,0.0036363636363636598,-0.0018181818181818299,0.003272727272727294,0.0010909090909090979
138,138,0.9709090909090909,0.9709090909090909,0.9545454545454546,0.9960330578512397,3.246618290788947,1.319260497751198,1.4976487584977578,1.5353122847527292,1.8940292422685563,0.05163636363636368,0.004000000000000026,-0.0014545454545454306,0.008727272727272773,0.0010909090909090979,0.009454545454545483,0.002181818181818207,0.0061818181818182215,0.003636363636363671,0.003636363636363671,0.006909090909090953,0.022909090909090945,0.009818181818181882,-0.0003636363636363549,0.00545454545454549,0.008363636363636417,1.1102230246251566e-17,0.004000000000000026,0.00545454545454549,0.005818181818181856,0.00545454545454549,0.003272727272727294,-0.0007272727272727098,0.002909090909090928,0.00545454545454549,0.0043636363636363916,-0.0003636363636363549,0.005090909090909123
139,139,0.9745454545454545,0.9743189042362596,0.9549825836740875,0.9985612600333181,2.7849509361811284,1.847345617155406,1.3144899899379066,1.5051053134731962,1.6638006404133026,0.020363636363636296,0.0003636363636363438,0.014545454545454495,0.02072727272727265,0.010181818181818125,0.017818181818181754,0.0,-0.0010909090909090979,-0.00036363636363637706,-0.004000000000000026,-0.0018181818181818299,-0.0043636363636363916,-0.000727272727272732,0.0007272727272727098,0.005454545454545379,-0.0021818181818181958,-0.000727272727272732,-1.1102230246251566e-17,-3.3306690738754695e-17,-0.001454545454545475,-0.000363636363636366,-0.0018181818181818299,-0.0043636363636363916,-0.000727272727272732,-0.001090909090909109,-0.0007272727272727431,-0.003272727272727294,0.0
140,140,0.9818181818181818,0.9817520307407946,0.9671936087030426,0.998470168281489,3.0881059685181778,1.747742399397392,1.6658698067107962,2.409295198149701,0.3257431279124448,0.07236363636363637,0.003272727272727294,0.00872727272727274,0.009090909090909084,0.009090909090909104,0.012727272727272731,0.0,0.000727272727272732,0.003272727272727294,0.008000000000000007,-0.000363636363636366,0.007636363636363652,0.0,-0.000363636363636366,0.0021818181818181958,-0.0043636363636363916,-0.0010909090909090979,0.0,-0.002181818181818185,0.001454545454545464,0.003272727272727294,-0.000363636363636366,0.011272727272727268,0.0025454545454545617,0.0021818181818181958,0.004000000000000015,0.005818181818181856,-0.001454545454545464
141,141,0.9854545454545455,0.9856580891875009,0.9910313901345291,0.9974129010003449,2.3678540702218447,2.0662294526447265,1.9779039332943649,1.4663771433168657,1.7581300742971813,0.06145454545454547,0.0,0.015272727272727282,0.01636363636363637,0.0123636363636364,0.015272727272727282,0.002909090909090928,0.004727272727272758,0.0036363636363636598,0.0036363636363636598,0.0018181818181818299,0.013818181818181851,0.006545454545454588,0.004727272727272758,0.006909090909090953,0.011636363636363656,0.0018181818181818299,0.001454545454545464,0.012363636363636387,0.010909090909090934,0.005818181818181856,0.0018181818181818299,0.010181818181818226,0.005818181818181845,0.009818181818181882,0.012363636363636387,0.0036363636363636598,0.0025454545454545617
142,142,0.9709090909090909,0.9711963626030121,0.970494417862839,0.9973901696389734,2.3915926387026096,1.6817110444864916,1.2940537473134073,2.2364900731093043,1.6648914809377275,0.021818181818181827,0.009454545454545516,0.0072727272727273196,0.003272727272727294,0.0036363636363636598,0.002181818181818218,0.007636363636363686,0.011272727272727334,0.01054545454545459,-0.0003636363636363438,0.004000000000000026,0.0036363636363636598,-0.0010909090909090758,-0.00036363636363633266,0.00800000000000004,0.002909090909090928,0.0025454545454545617,0.0025454545454545617,0.003636363636363671,0.009818181818181882,0.001090909090909109,0.006545454545454588,0.00981818181818187,0.004000000000000026,0.00545454545454549,0.006545454545454588,0.003272727272727294,0.006545454545454588
143,143,0.9890909090909091,0.9890585447610242,0.9812701087789184,0.9987743220468822,2.992800231902534,2.0682359369315955,0.9564438724237571,1.33799586855822,1.7049596247947396,0.03709090909090913,0.006545454545454588,0.010545454545454613,0.010181818181818236,0.008363636363636417,0.01418181818181824,0.0,0.000363636363636366,0.000363636363636366,0.003272727272727294,0.0043636363636363916,0.008000000000000052,0.0,0.0018181818181818299,0.004000000000000026,0.008363636363636417,0.0,0.000727272727272732,0.004000000000000026,0.000727272727272732,0.000727272727272732,0.002909090909090928,0.000727272727272732,0.002909090909090928,0.0010909090909090979,0.005090909090909123,0.0010909090909090979,0.0
144,144,0.9818181818181818,0.982039139259048,0.9805897723030981,0.9986002239641658,2.9197334513204583,1.7246244955936367,1.9555656973076216,1.2180894932792177,1.574306669087898,0.02472727272727271,0.0025454545454545617,0.0,0.004727272727272747,-0.001454545454545464,0.011999999999999988,-0.000363636363636366,0.000363636363636366,0.0043636363636363916,0.000727272727272732,-0.0021818181818181958,0.009454545454545448,-0.0010909090909090979,-0.000363636363636366,-0.0025454545454545617,0.005818181818181845,0.0,0.000727272727272732,0.005818181818181845,-0.0021818181818181958,0.0,0.001454545454545464,0.006909090909090943,-0.003272727272727294,0.000727272727272732,0.000363636363636366,0.000363636363636366,0.000363636363636366
145,145,0.9854545454545455,0.985215592043786,0.96,0.9984000000000001,2.7372709657950582,1.8246684271633313,1.1488839209237534,1.4642229260302382,1.7376622236455368,0.03272727272727274,0.0,0.00800000000000004,0.008727272727272783,0.004727272727272758,0.01745454545454548,0.0072727272727273196,0.000363636363636366,0.0010909090909090979,0.0036363636363636598,0.005818181818181856,0.014909090909090927,-0.000727272727272732,0.005090909090909123,0.0036363636363636598,0.006545454545454588,-0.002909090909090928,0.0018181818181818299,0.001454545454545464,-0.000727272727272732,0.0036363636363636598,0.000363636363636366,0.003272727272727294,0.00545454545454549,0.0,0.0018181818181818299,0.0021818181818181958,0.0
146,146,0.9672727272727273,0.9673774022079868,0.9534443907934975,0.9964590375020119,2.665886857960261,2.3608038649430885,1.8547867456625888,0.9009263204365897,1.925226967639549,0.01963636363636364,-0.005818181818181778,0.002909090909090928,-0.0032727272727272492,0.001454545454545464,-0.0018181818181817854,-0.0065454545454544984,-0.005818181818181778,-0.006181818181818144,-0.0010909090909090979,-0.006181818181818155,0.008000000000000018,0.0,0.0,0.0043636363636363916,0.003272727272727294,-0.002909090909090928,0.0,0.003272727272727294,-0.002909090909090928,0.0,0.000363636363636366,0.005818181818181856,0.0,0.0,0.004000000000000026,-0.000727272727272732,-0.002909090909090928
