,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled
76,76,0.8909090909090909,0.8901841309375556,0.8275390310638984,0.923869306293256,1.9849973766967524,0.5239484785054253,0.04887816929889693,2.0448702236171608,1.5757203029512534,0.09236363636363633,0.025818181818181775,0.027272727272727247,0.01599999999999997
77,77,0.9090909090909091,0.9102266154897733,0.849867097019176,0.9254794000379722,1.2801511654965645,0.9752306595782801,0.41267681752489793,2.439966244718157,1.1659167210217396,0.09927272727272725,0.0436363636363636,0.03127272727272723,0.034545454545454504
78,78,0.9090909090909091,0.9086539014432753,0.8229751403368084,0.929430633520449,1.3939794807611026,0.5919819475891571,-0.050889409054183474,2.636704871154334,1.3519897577413806,0.06690909090909089,0.049818181818181796,0.03709090909090905,0.022181818181818136
79,79,0.8690909090909091,0.8682640162951619,0.7996311989956058,0.9101537978656623,1.2608372711326425,1.1046937667564771,0.2013765894285329,2.955882728630882,0.5431522124113876,0.10363636363636371,0.018909090909090966,0.017818181818181855,0.011272727272727346
80,80,0.9018181818181819,0.8953760787050433,0.810833827014218,0.9561611374407584,1.2241245707807658,0.18857883728868619,0.3711383831011096,2.5787035481810525,1.6620768166033149,0.07963636363636366,0.04181818181818185,0.03563636363636369,0.013454545454545486
81,81,0.8909090909090909,0.8901458019105079,0.8227272727272728,0.9204132231404959,1.3852670382839953,1.2773170795515527,0.10351373974986638,1.8145161290786862,1.4867251973419349,0.08545454545454542,0.02799999999999997,0.03781818181818179,0.013090909090909052
82,82,0.8872727272727273,0.8868160818949377,0.8035488531695865,0.9174643308650894,1.5007975547055086,0.6520331635916906,0.25644778232340804,1.9615853961791037,1.7940168623449548,0.06727272727272732,0.035272727272727344,0.01927272727272732,0.02181818181818187
83,83,0.8872727272727273,0.8868625905929277,0.8152728199898012,0.9191738908720041,1.0432024476286368,0.9688321259458615,-0.07843056246834665,2.4005275889096613,1.8282405315469348,0.0945454545454546,0.03927272727272733,0.03818181818181824,0.04690909090909097
84,84,0.92,0.9195193798449612,0.8782748582809867,0.9599356519074613,1.943481266994563,0.9088226587062685,0.4173552044279761,2.3201269039839074,0.3217768162550099,0.10145454545454549,0.0512727272727273,0.06036363636363641,0.012727272727272799
85,85,0.88,0.8787567871185171,0.8050391389432485,0.9196020874103066,1.3635922962436888,0.5400125997797057,-0.08669150960161355,2.2031880313502588,2.039565315039166,0.07454545454545454,0.009818181818181814,0.033090909090909115,0.015272727272727271
86,86,0.88,0.8751347190146266,0.7992673992673993,0.9264468864468864,0.9841219803810849,0.5722738711094975,-0.13176168397329946,2.386477994384434,2.0553666271056903,0.10290909090909092,0.03272727272727276,0.022545454545454546,0.052000000000000005
87,87,0.8836363636363637,0.8814313161810381,0.8138884633062663,0.9212501915121801,0.9724354085121243,0.9971490976568133,0.20301398860092407,2.384772727744876,1.3290888859913574,0.08072727272727276,0.06145454545454547,0.03709090909090913,0.034181818181818216
88,88,0.88,0.8770991699432067,0.7976322898458605,0.9330208167805498,1.7434827863190268,0.7745696243955068,-0.3468090434592808,1.74091437042701,2.0347363438978214,0.09454545454545456,0.038909090909090914,0.03236363636363637,0.020727272727272726
89,89,0.8945454545454545,0.8983222745125912,0.8816594237888299,0.9298245614035088,1.17233294059247,1.188823066433366,0.15166757692944288,2.1520910337249597,1.3728844244137115,0.11236363636363636,0.05090909090909089,0.02472727272727271,0.03418181818181816
90,90,0.92,0.9175770308123248,0.8477272727272727,0.9220661157024793,2.146599445023054,0.7567364457936309,0.09776878343253818,1.9632202657885038,0.9657673451298694,0.09454545454545459,0.04436363636363642,0.04654545454545458,0.01345454545454552
91,91,0.88,0.8750410454012397,0.8089270919635461,0.910038663352665,1.6548083829655205,1.0496803186080226,0.17175621217852832,2.4396006620228357,0.6494980532075398,0.07563636363636364,0.057454545454545466,0.05672727272727272,0.018545454545454566
92,92,0.9090909090909091,0.9058102950895726,0.8384067847947902,0.933969407844919,1.7044275398203086,0.8583539638437538,-0.15932125027747054,1.9905965624295925,1.4091419018962672,0.08363636363636359,0.04254545454545451,0.06436363636363635,0.018909090909090875
