,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd3_scaled
10,10,0.9709090909090909,0.9705764597359325,0.9483856635071091,0.996815758293839,2.53325848026028,1.4608357264566967,1.6381035369723127,0.8841306925397054,1.5743457149079723,0.25054545454545457,0.000363636363636366,0.000727272727272732,0.0036363636363636598,0.0,0.0,0.00036363636363637706,0.0
11,11,0.96,0.9601417691609883,0.9393166751657318,0.9963454020057794,2.6973919418693946,1.330258557272935,1.6868894521767115,1.0842748528655966,1.3901314291468687,0.21236363636363637,0.0007272727272726986,-0.0061818181818182215,-0.00909090909090915,-0.006545454545454588,-0.0061818181818182215,-0.0036363636363636598,-0.006909090909090953
12,12,0.9636363636363636,0.9636363636363636,0.9407123145912384,0.9947395653673681,2.4998460094819963,1.2589303243926138,1.0524621361359199,1.878125150113203,1.0674185481753604,0.24327272727272725,0.0018181818181818188,-0.0025454545454545617,0.000363636363636366,-0.0065454545454545765,0.0032727272727272826,-0.0036363636363636598,-0.000363636363636366
13,13,0.9854545454545455,0.9854545454545455,0.9769565946036534,0.9988268811798224,2.7985460229071317,1.3174985194866229,1.9967572569012675,0.7327601247823295,1.2060393864393728,0.20763636363636367,0.001454545454545464,0.0010909090909090979,0.003272727272727294,-0.0025454545454545617,0.003272727272727294,0.0043636363636363916,0.002909090909090928
14,14,0.9709090909090909,0.9707386102483392,0.952635165833712,0.9963652885052249,2.6354408807696017,0.9397161403384338,2.116609907859259,0.7234935256026156,1.9031185384821006,0.26763636363636367,-0.0014545454545454085,-0.002545454545454484,-0.0021818181818181294,0.002909090909090928,0.0,0.0010909090909090979,-0.00618181818181811
15,15,0.9345454545454546,0.9330850281793679,0.8909658438576349,0.9862944890929966,2.283978262930407,1.4566897338259068,2.93620444060823,0.4057683034242196,1.2510373022552397,0.20763636363636362,-0.0021818181818181737,-0.009818181818181781,-0.0036363636363636377,-0.0032727272727272605,-0.0007272727272727208,-0.0029090909090909054,-0.011999999999999978
16,16,0.96,0.9595517039160747,0.9249532551419344,0.9934557198708143,2.7304100336675208,1.182252191358462,1.943334943799583,0.504096086033079,1.8319341922507004,0.19818181818181815,0.0007272727272727098,0.003999999999999915,-0.001454545454545464,0.0,0.0003636363636363549,-0.0036363636363636598,-0.000363636363636366
17,17,0.96,0.9595855957061723,0.9283675799086758,0.9897260273972602,1.862767877863952,1.819571064873553,1.641092382829698,1.605468802461526,1.5152281647691659,0.2290909090909091,0.0010909090909090424,0.004727272727272647,0.0010909090909090647,-0.0018181818181818299,0.002909090909090839,-0.000727272727272732,0.005090909090909012
18,18,0.9418181818181818,0.9408911088911089,0.9070403523728332,0.9912617220801363,2.221989708817028,0.7917830375895538,2.124044070355081,0.17478866481178348,2.61678772079517,0.2632727272727272,0.0029090909090908833,-0.004000000000000026,0.0007272727272727098,0.00363636363636356,0.005818181818181755,0.006545454545454477,0.007636363636363575
19,19,0.9672727272727273,0.9668736212445231,0.945802264567799,0.9956503728251864,2.2966841910261397,2.1054615799165886,1.4398988095275334,1.4284118016522622,0.8769889839423999,0.2574545454545455,0.0021818181818181958,-0.0029090909090908946,-0.0069090909090908535,-0.009454545454545415,-0.0036363636363636264,-0.011636363636363601,-0.004363636363636347
20,20,0.9709090909090909,0.9711480443198505,0.957120194102277,0.9928144830160508,2.8528361151839,1.3994905060693803,1.7910264889877245,1.6896612629290892,0.6504655174476309,0.20218181818181824,0.006909090909090953,0.0043636363636363916,-0.005818181818181745,-0.0021818181818181294,0.0018181818181818299,0.0010909090909090979,0.008000000000000052
21,21,0.9636363636363636,0.963375210545022,0.9353946706887883,0.9932964638846992,2.9406574633449547,1.2318629812213737,1.9247852105137617,0.2596435699702692,1.9245608375600416,0.196,0.0010909090909090868,-0.005090909090909123,0.0018181818181818299,0.0,0.002909090909090928,0.0021818181818181958,-0.0036363636363636598
22,22,0.9709090909090909,0.970491245962944,0.9409090909090909,0.9960330578512396,2.5202081840915214,1.316922973873044,1.3052359396246935,0.648532629443917,2.2371157083820776,0.2498181818181818,4.4408920985006264e-17,0.0036363636363636598,0.001454545454545464,-0.0014545454545454085,0.0,1.1102230246251566e-17,0.0010909090909090979
23,23,0.9527272727272728,0.9522620220143558,0.9195137454314317,0.9931670109645638,1.8166494168826444,1.1507595660425913,2.1484413043615485,1.2469698124318536,1.761743704213408,0.24763636363636365,0.000363636363636366,0.0021818181818181958,-0.000363636363636366,0.0,0.000363636363636366,-0.0036363636363636485,0.0
24,24,0.9454545454545454,0.9445366675435013,0.902272366121087,0.9891943429207055,1.6517645068323976,1.1016691662127105,2.217654427553757,1.6879221919601852,1.4072286133670437,0.21999999999999997,0.0021818181818181624,-0.000727272727272732,0.007636363636363585,0.0032727272727272718,0.010181818181818136,0.000727272727272732,-0.0025454545454545617
25,25,0.9636363636363636,0.963220574669916,0.9382034952606635,0.9942979857819905,2.6477784060476273,1.0409335150270587,1.9511046509901433,1.4008329381285491,1.2081587200291004,0.23890909090909088,0.000363636363636366,0.001454545454545464,-0.003272727272727294,-0.0036363636363636485,0.0,-0.0010909090909090979,-0.000363636363636366
26,26,0.9527272727272728,0.9528784698559812,0.9313133751810719,0.9927571221632061,2.3010768748596533,1.685141925966715,1.4220932709242693,1.1630408242648962,1.7113716668986134,0.2432727272727273,-0.001454545454545464,0.006909090909090953,0.0025454545454545617,-0.0036363636363636485,-0.000363636363636366,-0.000727272727272732,0.0036363636363636598
27,27,0.96,0.9593093261769541,0.9229438274585546,0.9946080798326091,1.810214298783299,1.3363768447612538,2.138508110443789,1.685863812278974,1.5111502587183554,0.24181818181818177,0.0007272727272727098,0.007636363636363575,0.010545454545454502,0.010909090909090868,0.006909090909090842,0.0036363636363635488,0.0014545454545454195
28,28,0.9563636363636364,0.9566689519630696,0.9370644229134795,0.9949855515893251,2.62812558481269,1.7543977339943062,1.2863328738954773,0.6627308658145576,1.7231507313167553,0.18400000000000002,-0.005090909090909024,-0.002545454545454484,0.0,-0.006181818181818122,-0.0036363636363635488,-0.004363636363636292,-0.0007272727272727098
29,29,0.9672727272727273,0.9671364425048635,0.939106093979442,0.9935756240822321,2.2205322629071786,1.7133419970918766,2.0938852268020076,1.2115078170248754,0.8630212846403682,0.1850909090909091,-0.0032727272727272605,0.004727272727272758,-0.006545454545454521,0.0025454545454545617,0.0010909090909090979,-0.0036363636363636485,-0.0029090909090908946
30,30,0.96,0.9598752492055033,0.9375784682988073,0.9890144381669805,2.0373663864666547,1.5071203506278295,1.7057564082987977,0.8025706386858154,2.48709265760593,0.2727272727272727,0.002909090909090839,0.005454545454545379,0.005090909090909012,0.002909090909090839,0.005090909090909012,0.002545454545454484,0.0021818181818181515
31,31,0.96,0.9596161919040479,0.9314187068424357,0.9952919020715632,2.2789337067052227,0.861044205944844,1.6490710329809009,1.7566364004606794,1.4043343224569313,0.27309090909090894,-1.1102230246251566e-17,0.002909090909090839,-0.0021818181818181958,-0.005090909090909123,-0.002909090909090928,0.002545454545454473,-0.003272727272727294
32,32,0.9636363636363636,0.9638780169602087,0.95,0.9970247933884298,2.7932051331292223,0.6627230040446295,1.9701872344528832,1.3826005686878184,1.3795175290023245,0.19672727272727272,-0.0010909090909090979,-0.0029090909090909167,-0.004727272727272758,-0.011272727272727268,-0.007636363636363652,0.0,-0.0010909090909090979
33,33,0.9636363636363636,0.9640957485228897,0.9572325505544683,0.9959230267449446,1.9832258022326903,1.18144886934204,1.8700471556927474,1.6328282252459823,1.4943551249898261,0.27927272727272723,0.000727272727272732,0.0036363636363636485,0.0,-0.000363636363636366,-0.003272727272727294,0.0,0.000727272727272732
34,34,0.9745454545454545,0.974267620020429,0.9491788168258757,0.9947209653092006,2.282903534854337,0.8038869274760045,1.8974573651729407,2.0091833487040254,1.3652113452263157,0.24763636363636357,-0.00290909090909095,-0.00036363636363638817,0.00363636363636356,0.0043636363636362805,0.0047272727272726685,0.0003636363636363438,0.0010909090909090647
35,35,0.96,0.9588962798718896,0.910589835118137,0.9937956824749278,3.099939981559569,1.031018128435349,2.1963232219655273,1.283568694770882,0.830485826241628,0.21090909090909088,0.0025454545454544953,0.0,-0.00981818181818187,0.0,-0.000727272727272732,-0.003272727272727294,-0.0036363636363636598
36,36,0.9636363636363636,0.9628529043623383,0.9240052185257664,0.9960045662100457,2.3087469361442863,1.9848582707897917,1.41214148795209,0.40240748373590446,1.9027327331162482,0.20290909090909087,-0.0036363636363636598,-0.003272727272727294,-0.0036363636363636598,-0.0018181818181818299,-0.0043636363636363916,-0.0036363636363636598,0.0
37,37,0.9709090909090909,0.9709090909090909,0.9563006515175592,0.9976958525345623,2.3772970273086313,0.9095372617841913,1.9189663376968666,1.13355993193424,1.7930407375330677,0.2734545454545455,0.0007272727272727653,1.1102230246251566e-17,0.0021818181818181958,1.1102230246251566e-17,0.0025454545454545617,0.0,0.000363636363636366
38,38,0.9454545454545454,0.9452886406619175,0.9170542635658915,0.9909302325581395,2.6941874724896597,1.6484530345451653,1.0252129601600104,1.5958107665059489,1.2239565859718085,0.23054545454545453,0.0010909090909090979,0.0021818181818181958,0.000363636363636366,0.0025454545454545617,0.001454545454545464,0.0032727272727272718,0.006181818181818144
39,39,0.9636363636363636,0.9638494644623035,0.9527131782945737,0.9954263565891474,2.4576076799623423,0.7128669007989341,1.7871958722166563,1.4307275711965695,1.8038835101097013,0.30327272727272725,-0.0032727272727272826,0.000727272727272732,0.0036363636363636598,-0.0010909090909090979,-0.0010909090909090979,-0.003272727272727294,0.0036363636363636598
40,40,0.9636363636363636,0.9633682461036721,0.9343872174060853,0.9954105048444671,2.6569541809670816,1.7562791881124449,0.9329433291550457,0.9934608636152391,1.4490287771942791,0.2189090909090909,0.0036363636363636598,0.0025454545454545617,0.000727272727272732,0.003272727272727294,0.000363636363636366,0.0,-0.000363636363636366
41,41,0.9418181818181818,0.9408202882987071,0.9034798534798535,0.9942124542124543,2.521958635666259,1.3029207421021327,1.6132053189111881,0.9554033098069719,1.7150543093238468,0.22763636363636358,-0.004000000000000026,-0.007636363636363686,0.0,-0.008000000000000052,-0.001454545454545464,-0.000363636363636366,-0.0018181818181818299
42,42,0.96,0.9601922833649588,0.9276006539955037,0.9900878806458205,2.514191673328707,1.462978228599007,1.384756035275381,2.1512136608258565,1.0128779279448679,0.18436363636363634,0.0010909090909090647,0.0025454545454544953,-0.000363636363636366,-0.000727272727272732,-0.000363636363636366,-0.000363636363636366,-1.1102230246251566e-17
43,43,0.9490909090909091,0.9487155445451411,0.911014788373279,0.9926058133605303,1.8486769916751005,1.4913766560304687,1.3799700796078886,1.629442140572721,1.8096671151775943,0.19527272727272726,-0.0032727272727272826,-0.007636363636363652,-0.012363636363636344,-0.009818181818181827,-0.005454545454545467,-0.015272727272727271,-0.01090909090909089
44,44,0.9672727272727273,0.9671536553334305,0.9438211796702363,0.9939656637769845,2.185625780301455,1.5581000111239118,1.5601465800959338,1.0154210580670866,1.7371786598858046,0.20218181818181818,0.00436363636363638,0.01090909090909089,-0.002545454545454551,0.000363636363636366,-0.000727272727272732,0.001454545454545464,0.0043636363636363916
45,45,0.9345454545454546,0.933739085772984,0.8934809253868546,0.989888156886778,2.4036249608626084,1.9750080413097373,1.7345032727484841,0.5710031369096694,1.6905730030414576,0.21527272727272734,-0.007272727272727231,-0.000727272727272732,-0.005818181818181789,-0.0029090909090909167,-0.0036363636363636598,-0.00727272727272722,-0.008363636363636318
46,46,0.9709090909090909,0.9702116341307238,0.93045015522594,0.9966367713004484,2.9009871107996252,1.1072933350041085,1.7953313811804679,1.4849431214677118,1.1165158775586503,0.21890909090909094,-0.00545454545454539,-0.003999999999999915,-0.003999999999999915,-0.0043636363636362805,0.003272727272727294,-0.0010909090909090534,-0.003999999999999915
47,47,0.9563636363636364,0.955557267591166,0.920377101317583,0.9945479327578374,2.172318869489406,1.4373031431400989,1.8577027582017505,0.4767792830370222,2.10141634294733,0.26363636363636367,-0.008727272727272684,-0.00618181818181811,-0.0043636363636362805,-0.006545454545454477,-0.00618181818181811,-0.003636363636363571,-0.004727272727272647
48,48,0.9672727272727273,0.9669059395676975,0.9366394696583376,0.9944756076831548,2.217358049678965,1.703126357013982,1.514649034076642,2.0086488386907857,0.8354094173264145,0.21454545454545454,-0.002181818181818185,-0.0007272727272727208,-0.001454545454545464,-0.005454545454545423,-0.0029090909090909054,-0.0032727272727272605,-0.0014545454545454417
