,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled
34,34,0.9709090909090909,0.9704801028567844,0.9399195575666164,0.9952237305178482,2.7815328307498,0.7081249192791261,1.8432011739389773,1.4045623476322866,0.9510023977771009,0.13890909090909093,0.018545454545454566,-0.0032727272727271937,0.001454545454545464,-0.0036363636363635488,0.000727272727272732,-0.002909090909090839,0.000727272727272732
35,35,0.9527272727272728,0.9514228762122333,0.8989036206017338,0.9922658507564167,3.2884468425880016,1.1116227952015336,2.4927220359939946,0.9864356775666014,0.39366602163456493,0.04727272727272731,0.022181818181818212,0.000363636363636366,-0.0040000000000000036,-0.0032727272727272718,0.0,-0.002545454545454551,-0.000363636363636366
36,36,0.96,0.9589812734082398,0.915076647097195,0.9953522504892368,2.7844040069853127,1.7686226749005134,1.9045020392105538,0.6197955329872842,0.6238204464207937,0.07672727272727271,0.036363636363636334,0.0,-0.000363636363636366,0.00036363636363633266,-0.0007272727272727431,-0.0010909090909090979,-0.0018181818181818299
37,37,0.9709090909090909,0.9707206297645697,0.9499841093278245,0.9970602256475448,3.0434808730096896,1.2750627002498909,2.1953463241250506,0.13352827911728044,0.9967329174568738,0.05527272727272729,0.021454545454545493,-0.00618181818181811,-0.006909090909090842,-0.005818181818181745,-0.00363636363636356,-0.005818181818181745,-0.006545454545454477
38,38,0.9454545454545454,0.9449442012952407,0.911046511627907,0.9901550387596899,2.4757988390064654,2.024292359109469,1.4852443918570317,1.0465299342015806,0.8111626653106686,0.0709090909090909,0.013818181818181785,0.002181818181818185,-0.0043636363636363916,-0.000727272727272732,-0.000363636363636366,-0.002909090909090928,-0.0010909090909090979
39,39,0.9563636363636364,0.9560948467728128,0.9300387596899224,0.9943410852713178,2.509050467314554,1.076259505171045,1.4615043638202034,2.5118438095165407,-0.032489189752788084,0.07745454545454553,0.02945454545454552,0.003272727272727294,0.002909090909090928,-0.004363636363636303,-0.0007272727272726875,0.0010909090909090979,-0.0003636363636363438
40,40,0.96,0.9601417691609883,0.9393166751657318,0.9914159442461329,2.648151741874336,1.6363058267788362,1.1933217786203094,1.594471416833243,0.7319253486155415,0.047999999999999966,0.012727272727272698,0.003999999999999915,0.0003636363636363549,0.006909090909090842,-0.000363636363636366,-0.0025454545454545842,0.0036363636363635488
41,41,0.9490909090909091,0.9482177522613688,0.9135531135531135,0.9933333333333333,2.732359009686758,1.5007133724715718,2.245711543867897,1.0272284434129113,-0.02041092924174242,0.058545454545454546,0.023636363636363657,-0.000363636363636366,-0.00436363636363638,0.0021818181818181958,-0.003272727272727294,-0.000727272727272732,-0.000727272727272732
42,42,0.96,0.9601922833649588,0.9276006539955037,0.9921316165951358,2.30670675207333,1.5812956762160237,1.1709434158813348,2.145834868203698,0.7282382098300556,0.034909090909090876,0.01599999999999997,-0.00036363636363637706,0.0072727272727272085,-0.002909090909090928,0.003636363636363571,-0.0036363636363636598,0.0007272727272727098
43,43,0.9490909090909091,0.9490909090909091,0.9181964983851776,0.9903960564337922,2.608391547562059,1.5337225849859126,2.0438516920590533,0.9757669913923285,0.6023630626852505,0.029454545454545476,0.01563636363636365,-0.006545454545454588,0.001454545454545464,-0.01018181818181818,-0.006909090909090953,-0.016363636363636358,-0.006909090909090953
