,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_scaled
70,70,0.8189300411522634,0.8177060251134326,0.7886503067484663,0.8491564417177915,1.0608318511313781,1.464898713287292,0.2124488902459156,1.2399213997961565,0.49703500151672225,0.07530864197530869,0.11399176954732515,0.07695473251028812,0.05102880658436217
71,71,0.8106995884773662,0.8079051538310799,0.7711870947823403,0.864618709478234,1.3586651724055796,1.6886163179114462,-0.01731606612159648,1.114567510411158,0.032866808092185985,0.09958847736625512,0.10164609053497942,0.1119341563786008,0.05144032921810696
72,72,0.8106995884773662,0.8106995884773662,0.7907681940700808,0.8535489667565139,1.0720977750191325,1.5315726784574486,0.7109814736581406,0.7137363557261376,0.4890781518058384,0.08683127572016457,0.13374485596707814,0.08518518518518514,0.03497942386831273
73,73,0.831275720164609,0.8279002339296893,0.7932098765432098,0.845755220240817,1.2999677787315174,0.881016808335331,0.2549661765212904,1.2429481520996364,1.0752889954922236,0.09176954732510287,0.1193415637860082,0.09670781893004114,0.03950617283950616
74,74,0.8436213991769548,0.8416306899946981,0.8159254267744833,0.8701707097933513,1.164148025758706,1.8964450194259026,0.4373893359951954,0.5794948098321794,0.13742279027198856,0.0975308641975309,0.11028806584362146,0.08230452674897124,0.053909465020576176
75,75,0.8395061728395061,0.8376356661128762,0.8100666565671868,0.866914103923648,1.0963893545309662,0.8208719220792886,-0.28912994987744156,1.48551782145687,1.4592702996421794,0.07654320987654316,0.11028806584362134,0.09958847736625509,0.03168724279835387
76,76,0.8106995884773662,0.8079850694971331,0.7729677914110429,0.8552914110429448,1.1292481572903956,1.2926707436435025,-0.4908455471584339,1.4907802203195695,1.0040295966458357,0.08395061728395059,0.09300411522633742,0.06090534979423865,0.03004115226337446
77,77,0.8189300411522634,0.815257993035771,0.7830188679245282,0.8712189278227014,0.6744864558175339,1.8327676853523132,-0.061782473983250555,1.0109232535530273,0.702637439099588,0.08765432098765435,0.11028806584362146,0.08641975308641978,0.03168724279835396
78,78,0.8395061728395061,0.8357115574933769,0.801090743826693,0.8806241478563854,0.8846275536167886,1.8351174387782594,-0.1449956771557105,0.9203978353184766,0.6178676705697369,0.10781893004115221,0.11152263374485591,0.08806584362139912,0.051028806584362096
79,79,0.8436213991769548,0.8406516312499218,0.8054183389935166,0.8670886075949368,1.6702347333318577,1.4501881529743856,-0.2700064062853653,1.2417318662585872,0.22161853705228637,0.08189300411522638,0.10658436213991776,0.07572016460905355,0.031687242798353964
80,80,0.8189300411522634,0.8167064914376743,0.7981720430107527,0.8524014336917562,0.7057509468232365,1.1860256849317434,0.2870664516820249,0.9205092124178418,1.392675993747183,0.11975308641975313,0.11604938271604943,0.10164609053497946,0.043621399176954775
81,81,0.8353909465020576,0.8372665894033414,0.813421225024566,0.8683262364886997,1.3350652824407125,1.0980692984963563,0.03713613104046594,0.7315659621486901,1.262447735539869,0.10823045267489709,0.11234567901234564,0.09341563786008227,0.0436213991769547
82,82,0.8148148148148148,0.8120919582907886,0.7902327935222673,0.8723973395026027,0.9400559242604839,1.8049362290972613,-0.004335824836861837,0.9207221589248025,0.5473111818586345,0.10205761316872422,0.10123456790123453,0.08847736625514398,0.04320987654320981
83,83,0.8271604938271605,0.824574839951298,0.7992926613616269,0.8787945770704392,1.3175645845147446,1.552603283353276,0.046215172521370175,0.7678800618035189,0.70646877721376,0.08683127572016461,0.09506172839506172,0.10452674897119343,0.04732510288065843
84,84,0.8436213991769548,0.8392307151915818,0.8155433385691846,0.8848350706839926,1.8716074745524003,1.297175192783013,0.2198047331894667,0.4725602768942885,0.5249593437363199,0.08600823045267493,0.10576131687242803,0.09711934156378607,0.035390946502057666
85,85,0.8106995884773662,0.8076552836136981,0.7654821935077214,0.8617239205798929,0.7966202376322965,2.0739579089466003,0.6583190155834849,0.1329374306105469,0.6025801124595785,0.0987654320987654,0.09465020576131686,0.0773662551440329,0.01646090534979421
86,86,0.8477366255144033,0.8468312673973284,0.8145690068766992,0.8812569966416121,1.6584697380652185,1.1562235711719189,0.13745563438518987,0.8750757912036397,0.6948187531888673,0.09794238683127574,0.10164609053497946,0.105761316872428,0.045679012345679025
87,87,0.8518518518518519,0.8501637732406965,0.8184556407447974,0.8749804412455015,1.7527730637334484,0.970117083346177,0.5226619709386957,0.7158085590160274,0.73228500474714,0.12098765432098765,0.10781893004115224,0.10246913580246915,0.04444444444444445
