,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd2_scaled
28,28,0.9053497942386831,0.906206293912233,0.9049322289156627,0.9672439759036144,4.009443831421143,0.9613186707674861,0.29536538377172805,0.6958761585696611,-0.29871017550667756,0.15020576131687244,0.07901234567901234,-0.0028806584362139898,0.0024691358024691136,0.006172839506172834,-0.009876543209876553,-0.0049382716049382715,-0.016049382716049398
29,29,0.8641975308641975,0.863168891266783,0.8508179231863442,0.9392603129445235,3.0012443157093074,0.6383498443622075,0.4047352513939693,1.094935770131901,0.594599602673873,0.10740740740740735,0.15679012345679005,0.004938271604938238,0.0032921810699588104,0.027983539094650157,-0.004938271604938338,-0.006995884773662619,-0.017283950617284004
30,30,0.8436213991769548,0.844616753768083,0.8273892773892774,0.9424242424242424,3.059347583505295,0.6980577311267059,1.0316648432727402,1.3238990112161935,-0.5244015422977908,0.08888888888888893,0.09053497942386834,-0.021810699588477322,-0.010699588477366195,-0.0037037037037036314,-0.005761316872427935,-0.02181069958847731,-0.030864197530864158
31,31,0.897119341563786,0.8977139200485176,0.8826754385964912,0.9519980506822612,2.7414583052178574,0.736619463325436,0.9467319797447081,1.4789929641580732,-0.21871521122797616,0.11440329218107,0.11563786008230452,0.006172839506172856,0.01399176954732514,0.011111111111111138,0.012345679012345723,-0.006995884773662519,0.004938271604938283
32,32,0.9094650205761317,0.909735898601222,0.9012345679012346,0.959304983996342,3.1197711730728983,0.3694638081607717,0.9633095113108047,0.9811414487160721,0.47289113774574115,0.11646090534979421,0.12098765432098761,0.01481481481481477,0.01193415637860078,0.024691358024691336,0.0127572016460905,0.010288065843621352,0.014403292181069916
33,33,0.8806584362139918,0.8814298179075614,0.8751123090745732,0.9465408805031447,3.716794679787619,0.9512182495881744,0.5717836076202643,0.8026576616778779,-0.22332425713542545,0.10082304526748971,0.09176954732510287,0.003703703703703687,0.014814814814814814,0.016049382716049367,0.01069958847736623,-0.0057613168724279795,-0.005349794238683115
34,34,0.8559670781893004,0.8536338345961052,0.8306085043988269,0.9370967741935484,3.2856611330059096,0.7880466242843196,0.7468819223872607,0.8524855265361853,0.0653008432560555,0.06008230452674894,0.07613168724279833,0.00493827160493826,-0.004526748971193428,0.0020576131687242817,0.008230452674897104,-0.00658436213991771,-0.004115226337448541
35,35,0.8395061728395061,0.8392916447497345,0.8232113760924308,0.9357872907717375,2.9386807488078177,0.5954069485693495,0.6069311226881042,1.4915908355094178,0.43866415576768486,0.0814814814814814,0.07407407407407401,-0.018518518518518556,-0.0016460905349794607,-0.007407407407407462,-0.018930041152263422,-0.015637860082304566,-0.026337448559670816
36,36,0.9053497942386831,0.904982722950019,0.8938782991202345,0.9629765395894427,3.3782132650664267,0.7452886683500605,0.5821736108916432,0.9369905950013421,0.11333087516366913,0.12551440329218105,0.09218106995884773,0.010288065843621385,0.015637860082304535,0.02016460905349793,-0.0012345679012345733,-1.1102230246251566e-17,0.005349794238683092
37,37,0.8806584362139918,0.8798342079908043,0.8638373121131742,0.9420129678750369,3.019008049827597,0.9154211267291237,1.0162027292798483,0.9455770482041235,-0.01963083602366116,0.09629629629629627,0.06378600823045266,0.0004115226337448541,0.0,0.016049382716049377,0.005349794238683115,-0.009053497942386824,-0.009876543209876566
