,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backlow_CO2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.back_CO2_vd_fd2_scaled
18,18,0.9094650205761317,0.9096721267382125,0.9048591857580621,0.9489274770173646,3.6236454806164367,0.8526668991966038,0.7520208500386493,1.5620133120464628,-0.5551320137609222,0.06337448559670777,0.08436213991769545,0.05473251028806582,0.007407407407407374,0.007407407407407385,0.004938271604938249,0.000411522633744843,-0.0012345679012345733,0.005761316872427968,-0.0016460905349794275,0.01646090534979421,-0.0008230452674897082
19,19,0.9094650205761317,0.9107773687341961,0.9130536130536131,0.9679098679098679,3.084600521685743,0.687032749620073,0.5001741198996961,1.6789969109810814,-0.02906769309785958,0.0921810699588477,0.039094650205761285,0.06378600823045263,0.005349794238683103,-0.006584362139917732,-0.0024691358024691466,-0.006584362139917721,-0.0032921810699588438,0.008230452674897082,0.0012345679012345512,-0.004938271604938293,-0.0020576131687242817
20,20,0.8888888888888888,0.8901454683002199,0.8833123227229751,0.949416955562559,2.4031858165060145,0.24035341706527918,0.38566903915818274,1.9438637946120256,1.0769820134376735,0.046090534979423815,0.053497942386831254,0.049794238683127524,0.01193415637860078,-0.0004115226337448874,-4.4408920985006264e-17,0.0004115226337448208,-0.002469135802469202,0.01893004115226332,-0.002880658436214034,0.005761316872427957,0.001234567901234529
21,21,0.9053497942386831,0.9058662211792806,0.893970893970894,0.9494642571565649,3.6268257330492912,0.5164220291812798,0.4828374646826732,1.8156122834095643,-0.3078785262005461,0.09218106995884773,0.1045267489711934,0.046502057613168724,0.01069958847736625,-0.0016460905349794275,-0.003292181069958855,0.0004115226337448541,0.006995884773662519,0.011522633744855959,0.0016460905349794165,0.0020576131687242705,0.005761316872427957
22,22,0.8600823045267489,0.8607695835294401,0.8522811435342912,0.9303066212412976,2.999395478379658,0.901395929259153,0.10007338347758507,1.9606241192031981,0.2836525530765859,0.07942386831275716,0.03292181069958846,0.036213991769547295,-0.006172839506172878,0.0012345679012345622,0.005761316872427957,-1.1102230246251566e-17,-0.0020576131687242926,-0.009053497942386846,-0.005761316872428035,-0.012345679012345723,0.003703703703703687
23,23,0.9259259259259259,0.9256525573192239,0.9102584305074062,0.9670658682634731,2.887186215286089,0.4842826886853024,0.18465755111217416,2.2575490629649275,-0.07162137973997221,0.12469135802469138,0.07201646090534979,0.05679012345679012,0.02592592592592593,0.007407407407407407,0.012757201646090555,0.005349794238683115,-0.0004115226337448541,0.024691358024691377,0.012345679012345689,0.0016460905349794165,0.0032921810699588438
24,24,0.9012345679012346,0.9019371528734825,0.8999037179677085,0.9417123389127537,3.220973103659963,0.5685109645476558,0.6027993237819442,1.8458272855185327,-0.1585751197968808,0.1353909465020576,0.058847736625514416,0.06255144032921811,0.01316872427983542,0.0008230452674897303,0.003292181069958855,0.006172839506172867,0.0032921810699588438,0.008230452674897127,0.004938271604938249,0.006172839506172834,-0.0004115226337448541
25,25,0.9176954732510288,0.9183231271353878,0.9174528301886793,0.9717729859239294,3.4947597654639724,0.1357970490951185,0.12105863766198498,1.8031562453086847,0.3866243090196417,0.12222222222222227,0.05349794238683133,0.046502057613168765,0.004115226337448619,0.0032921810699588993,0.001646090534979472,-0.00411522633744853,-0.0016460905349794052,0.01028806584362144,-0.007407407407407363,0.004115226337448619,-0.006584362139917666
26,26,0.8683127572016461,0.8698567131909419,0.8522295623451692,0.929810074318745,3.8716824090239608,0.17991351825806634,0.49515560223201627,2.1830925649840855,-0.4734958186509026,0.06748971193415643,0.030864197530864224,0.029218106995884806,-0.00905349794238679,-0.0037037037037036757,-0.0012345679012345401,-0.004526748971193395,0.0004115226337448763,-0.008230452674897082,-0.011111111111111061,-0.000823045267489686,-0.005761316872427957
27,27,0.8724279835390947,0.8735880730433354,0.8580177276390009,0.9377921031426268,3.726508881888134,0.40111669071022504,0.6207649159903302,1.2748511010433763,0.08536262352486276,0.0748971193415638,0.020987654320987693,0.04855967078189303,-0.008641975308641924,0.005349794238683148,-0.005761316872427957,-0.003703703703703687,-0.012345679012345633,-0.011934156378600791,-0.0012345679012345401,-0.012345679012345645,0.0020576131687242926
28,28,0.9465020576131687,0.9471036330057409,0.9535768072289157,0.9756777108433735,3.5436670270873676,0.6111392978274027,0.3868325167675516,1.508726144066995,-0.17011734705043552,0.07901234567901237,0.11111111111111116,0.06831275720164612,0.02098765432098767,0.01111111111111115,0.002880658436214012,0.01399176954732515,0.005349794238683159,0.018518518518518545,0.01193415637860088,0.01028806584362143,0.006584362139917732
29,29,0.8806584362139918,0.8797544802041426,0.8681009957325747,0.9469416785206259,3.3873800735775754,0.3047540768699412,0.5799048225940193,1.4976032311048795,0.2928317182013135,0.04444444444444445,0.03333333333333331,0.0251028806584362,-0.005761316872427968,-0.003703703703703709,-0.002880658436214001,-0.011111111111111127,-0.0016460905349794165,0.013991769547325106,-0.011522633744855992,-0.014814814814814826,-0.011522633744855982
30,30,0.897119341563786,0.897290633388569,0.8836829836829837,0.9552447552447552,3.592290668593997,-0.012017493517293417,0.6507761073929197,1.5859121927738298,0.06880046682669243,0.10288065843621401,0.04567901234567902,0.06337448559670786,0.006995884773662564,0.00864197530864198,0.009876543209876586,0.01399176954732514,0.009876543209876586,0.015226337448559701,0.005349794238683136,0.0004115226337448652,0.0057613168724280125
31,31,0.9053497942386831,0.9058968064446362,0.8925438596491229,0.9581708901884339,2.936041102130897,0.6255067946462461,-0.318033305753667,1.910382203020755,0.7012667574683227,0.09382716049382714,0.0633744855967078,0.026748971193415638,0.00864197530864197,0.0024691358024691245,0.003292181069958833,0.0008230452674897082,-0.0008230452674897082,0.009053497942386812,0.009465020576131666,-0.006995884773662553,0.0008230452674897082
32,32,0.9094650205761317,0.9099899598393575,0.904320987654321,0.9592287761012042,3.6037584190426166,-0.02210482135767082,0.5997906196822116,1.515303260893469,0.3700362864105922,0.09506172839506169,0.06584362139917692,0.04897119341563781,0.010699588477366207,0.002057613168724259,0.000411522633744843,0.0024691358024691024,0.0024691358024691245,0.0032921810699587995,0.0057613168724279466,0.0012345679012345622,-0.003703703703703709
33,33,0.9053497942386831,0.9059615797197901,0.902403414195867,0.9569481880802636,3.616973812878681,0.3874883052547991,0.4486085636020457,1.461695899161471,0.24953937192781672,0.07860082304526747,0.05390946502057611,0.02427983539094649,0.0213991769547325,0.009876543209876498,0.0049382716049382715,0.007818930041152227,0.004115226337448541,0.016049382716049377,0.003703703703703687,0.005349794238683115,0.00781893004115225
34,34,0.8930041152263375,0.8921317362700668,0.8768328445747801,0.9478739002932551,3.2235131552441523,1.0389547112883393,0.6621919358543146,1.8046917958039788,-0.8219672227416313,0.06913580246913587,0.03950617283950623,0.046502057613168765,0.01111111111111116,0.0024691358024691913,0.002880658436214034,0.009465020576131754,0.0004115226337448985,0.008230452674897148,0.002469135802469158,0.0012345679012346067,-0.0016460905349793941
35,35,0.8806584362139918,0.8808127125527058,0.870833950525848,0.950822100429566,3.5164147211008085,0.7797966051804337,0.19231397605455017,1.9887114335149985,-0.40890378282975126,0.08518518518518516,0.05432098765432096,0.030452674897119315,0.006172839506172844,-0.012345679012345678,-0.0024691358024691245,0.0,-0.00781893004115226,0.002057613168724259,-0.008230452674897137,-0.006172839506172834,-0.006995884773662553
36,36,0.9176954732510288,0.9176954732510288,0.9109237536656891,0.9645894428152493,3.3075040571280945,0.7203070151678888,0.5789723767176759,1.7233040052797965,-0.3035417464354841,0.09629629629629635,0.08600823045267493,0.034979423868312806,-0.00041152263374480966,0.008230452674897182,-0.0004115226337448208,-0.0024691358024691024,-0.0037037037037036757,0.013580246913580285,-0.009876543209876498,0.003703703703703776,-0.00905349794238679
37,37,0.9053497942386831,0.9052274371424618,0.8957780725022104,0.9503389330975539,2.408601007288289,0.45536692041020993,0.5800677291117,2.166590947697003,0.41882968406525417,0.0831275720164609,0.0831275720164609,0.050617283950617264,0.01934156378600822,0.016049382716049377,0.00781893004115225,0.012345679012345678,0.0008230452674897082,0.018930041152263367,0.0016460905349794165,-0.004115226337448574,0.0
38,38,0.9176954732510288,0.9174717863391645,0.9073840912457414,0.9675603614279366,4.1091783360600145,0.11786346350662068,0.4792974282609039,1.4883989579809616,0.01564533672681115,0.09958847736625517,0.10164609053497946,0.042798353909465056,0.012345679012345734,0.007818930041152305,0.0069958847736625975,0.0012345679012346067,-0.003292181069958833,0.017283950617283994,0.004526748971193484,-0.0004115226337448319,0.0004115226337448985
39,39,0.8930041152263375,0.8932854330984649,0.8851079672375279,0.9536857781087119,2.5130657825526965,0.7064605919439856,0.2936827815608453,1.9465586401641148,0.42389770537915705,0.10617283950617287,0.055144032921810734,0.032510288065843676,0.020164609053497994,0.010699588477366306,0.005349794238683181,0.007818930041152328,0.001646090534979472,0.0032921810699588993,0.006995884773662619,-0.0004115226337448208,0.0008230452674897303
