,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
24,24,0.8888888888888888,0.8890325254801054,0.8798326173900163,0.9509702266330914,2.220878877114332,0.5174750078799718,1.7283728842025712,1.288181586548918,0.8631880028405713,0.20576131687242794,0.028806584362139877,0.01851851851851847,0.000823045267489686,0.004526748971193373,0.017283950617283893,0.004938271604938238,-0.002880658436214034
25,25,0.9465020576131687,0.946575953936627,0.9422731356693621,0.9827044025157233,2.420441896598151,-0.39555623661585737,1.2979193147764803,2.012686570077457,0.9846835375468528,0.23045267489711935,0.06625514403292185,0.0283950617283951,0.0016460905349794496,0.016460905349794275,0.02263374485596712,0.025102880658436244,0.018930041152263422
26,26,0.8930041152263375,0.8938644622530263,0.8780759702725021,0.9459950454170107,3.2177586821777555,0.12124715306794158,1.2187587940848967,1.4303233820250203,0.65842647365937,0.17777777777777778,0.05390946502057618,0.020164609053497973,0.007407407407407474,0.010699588477366318,0.007818930041152305,0.0032921810699588993,-0.010288065843621352
27,27,0.897119341563786,0.898391492436518,0.8912973408541498,0.9543110394842869,2.317770285699881,-0.044325593772036424,1.6834222919330404,1.2052639830887142,1.1842661201139557,0.15967078189300413,0.05843621399176957,0.01111111111111116,-0.0016460905349794052,0.0024691358024691466,0.004526748971193428,0.010288065843621453,-0.003703703703703687
28,28,0.9218106995884774,0.9223332680122803,0.9203313253012049,0.9743222891566266,2.5248343232136317,0.2658218084277409,1.5115710359239463,1.336288800848035,0.8064379466967603,0.2584362139917696,0.03909465020576135,0.012757201646090566,0.007818930041152295,0.00823045267489716,0.010288065843621418,0.008641975308642002,0.0020576131687242926
29,29,0.8847736625514403,0.8843028452586397,0.87524893314367,0.9499288762446657,3.495589937228279,-0.40597086581783687,1.748452328564224,0.7848256615741729,0.9933580425507206,0.17448559670781894,0.042798353909464994,-0.0020576131687243147,-0.009465020576131734,-0.008230452674897148,0.013168724279835365,0.011111111111111082,-3.3306690738754695e-17
30,30,0.8888888888888888,0.8900707199250383,0.8843822843822844,0.9498057498057497,2.9270645428924076,-0.2147283320548823,1.5373205517246666,1.918154667032803,0.4755119757363201,0.18271604938271602,0.0444444444444444,0.017283950617283904,0.005349794238683103,0.006995884773662508,0.02263374485596702,0.01893004115226332,0.02139917695473247
31,31,0.9300411522633745,0.9311533755978201,0.9342105263157894,0.9653183885640026,2.256005895536695,0.17524654171085768,1.0563839097268544,1.8049769996454295,1.0986380897983246,0.194238683127572,0.07448559670781892,0.033333333333333305,0.0,0.003292181069958833,0.02510288065843621,-0.0004115226337448541,0.0
32,32,0.897119341563786,0.8978531964284597,0.8919753086419753,0.9563328760859624,2.47688850670834,0.39372662827605015,1.722394741486648,1.290921924098234,0.7502489758279559,0.19753086419753085,0.048148148148148176,0.019753086419753117,0.0004115226337448652,-0.012345679012345633,0.017283950617283973,-0.004938271604938249,0.00905349794238688
33,33,0.9259259259259259,0.9261272441466039,0.9209344115004492,0.9759658580413297,2.8053417448625244,0.10381711598147965,1.7463450828660565,1.2857651365580236,0.6655552429311057,0.18477366255144032,0.03950617283950619,0.03209876543209874,0.009876543209876553,0.02098765432098767,0.0374485596707819,0.013168724279835398,0.013991769547325117
34,34,0.8518518518518519,0.8491923221509649,0.8249266862170088,0.9442815249266863,2.734958233093599,0.5112543355869064,1.8417870594214105,0.9923200177492479,0.3758745042658452,0.10123456790123457,0.026748971193415638,-0.005349794238683115,-0.024691358024691346,-0.01934156378600822,-0.005349794238683115,-0.01646090534979424,-0.025925925925925908
35,35,0.9053497942386831,0.9049575752910973,0.892571470893201,0.9560065175529552,2.158338937974037,0.5735115399023969,1.847519073264492,1.6004615961935318,0.29235988027814735,0.2148148148148148,0.05679012345679012,0.024279835390946504,0.0074074074074073955,0.011522633744855949,0.014403292181069949,0.004526748971193406,0.011111111111111082
36,36,0.9259259259259259,0.9261015721689879,0.9222873900293255,0.9607038123167155,3.1942338187737738,-0.25087406044100163,1.4461512604643714,1.23463235719547,0.8915782913155782,0.1897119341563786,0.07366255144032922,0.019341563786008265,0.0057613168724279795,0.004526748971193395,0.029629629629629638,0.016049382716049398,0.007407407407407385
37,37,0.9135802469135802,0.913233701537795,0.9021883289124668,0.9607279693486589,2.5518820508504896,-0.28759268470424687,1.5790044440965858,1.794117242194126,0.9365431715242566,0.22798353909465013,0.06131687242798348,0.020164609053497873,0.008641975308641924,0.022222222222222164,0.013168724279835342,-0.0004115226337449096,-0.0032921810699588993
38,38,0.9259259259259259,0.9262897795155859,0.9242704784476374,0.9659309731891571,3.3843103991375925,-0.061669356833830756,1.2022671465200838,1.6790808857328954,0.4110413132456306,0.20823045267489712,0.04362139917695472,0.016049382716049398,0.011934156378600846,0.015226337448559678,0.024691358024691357,0.01646090534979424,0.006172839506172844
39,39,0.9094650205761317,0.9092108230822417,0.8977661950856292,0.956813104988831,3.0163634583403174,0.3741006881921427,1.0995091216686212,1.3504019575828108,0.5850604034976858,0.19341563786008226,0.039094650205761285,0.0304526748971193,-0.0008230452674897193,-0.006172839506172867,0.01769547325102877,0.0028806584362139564,0.004938271604938249
