,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled
18,18,0.8024691358024691,0.7959894648172924,0.7635342185903984,0.8305851451918868,1.7822033710426795,0.5741315717506918,0.339725884247808,0.8069362639918891,1.4169881850075472,0.11810699588477366,0.08847736625514402,0.08765432098765433,0.06954732510288067
19,19,0.7818930041152263,0.7822561427837663,0.7515151515151515,0.8514374514374513,1.4372231262553312,0.43034909086555734,-0.0535374106411392,1.2580813505075148,1.8648834654750306,0.06213991769547324,0.08106995884773661,0.04444444444444443,0.05308641975308642
20,20,0.7736625514403292,0.7661358004895443,0.7098566025843052,0.8532934131736527,0.8316365705191487,0.3988219144345037,0.6520098396288919,1.6540464866475535,1.5246882016965169,0.05432098765432103,0.052263374485596724,0.06213991769547328,0.051028806584362166
21,21,0.8024691358024691,0.8024691358024691,0.7668319206780745,0.8575083959699344,1.4283024034232328,0.4963419301348228,0.4984585196185349,1.9470452498757058,0.8090831741153958,0.0683127572016461,0.07818930041152264,0.057201646090534984,0.05884773662551442
22,22,0.7777777777777778,0.7717689717689717,0.7360020737668493,0.8339505258480225,1.7615974921261628,-0.00048002248085368595,0.45859532842825335,1.4280374029360383,1.7729661988026888,0.08477366255144034,0.07818930041152262,0.058436213991769535,0.04773662551440329
23,23,0.831275720164609,0.8247382551909301,0.7732823826032147,0.881578947368421,1.7521460778905564,0.39150540048451493,-0.17819323618684518,1.6369906918712367,1.2131808011551783,0.09465020576131687,0.08518518518518517,0.06502057613168723,0.05596707818930041
24,24,0.7736625514403292,0.7680099212224913,0.7328173603910533,0.82017478892016,2.417470882626042,0.6264629889726565,0.10047661961288612,0.8665823107523514,1.109229156887353,0.08847736625514407,0.07160493827160498,0.09629629629629632,0.055555555555555594
25,25,0.8106995884773662,0.8068606290828513,0.7739218328840971,0.8653039832285117,2.5382829721180533,0.7306086489421735,-0.044856703604810415,1.1963119842055738,0.43836968542324095,0.09547325102880655,0.07283950617283945,0.07325102880658432,0.04567901234567899
26,26,0.8065843621399177,0.8085011113066977,0.7748554913294797,0.8658959537572254,1.7053727444336562,0.7767575563528715,0.07168557243659056,0.8664775195595139,1.3601500843108043,0.088477366255144,0.09012345679012343,0.08477366255144034,0.06707818930041151
27,27,0.757201646090535,0.7535369932253578,0.6975020145044319,0.8153908138597905,1.5719383436845022,0.5368614254189569,0.34313144336105916,1.261660213351063,1.3294247802740773,0.06008230452674897,0.04238683127572016,0.04732510288065842,0.03786008230452673
