,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_CO2_vd_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd1_scaled
101,101,0.912308930008045,0.9120489625504362,0.897182820189051,0.9692850989508963,1.8500224635992817,0.28924992547950906,-0.6663237240908997,3.120848658730041,1.940960174137544,0.08624296057924374,0.0658085277554304,0.054223652453740924,0.035237329042638724,0.032662912308929946,0.04843121480289618,0.014078841512469853,0.015285599356395818,0.015446500402252627,0.0028157683024939706,-0.001045856798069189,0.0007240547063555924
102,102,0.9259855189058729,0.9259399568144966,0.9158853527741755,0.9710986879768205,1.989247178601121,0.326050750420843,-0.6409381302726483,2.4976599757425135,2.2820581244979654,0.10329847144006435,0.07763475462590508,0.07312952534191472,0.040788415124698274,0.016814159292035426,0.0839903459372486,0.020434432823813388,0.017618664521319417,0.039501206757843896,0.008286403861625113,0.003459372485921164,0.0037007240547063613
103,103,0.918744971842317,0.9187751432547556,0.9043826650763067,0.9652078172309385,3.3530016895118746,-0.17373128174355396,-0.8668811640179017,2.9489706511523774,1.3142239173778056,0.0981496379726468,0.0654867256637168,0.04794851166532579,0.0309734513274336,0.014722445695897046,0.04875301689460978,0.013596138374899458,0.009412711182622702,0.015607401448109437,0.005148833467417546,0.0022526146419951766,0.0012067578439259874
104,104,0.916331456154465,0.9159097601594149,0.8981439789632938,0.9671271447954566,1.9498893166402431,-0.014668533924642497,-0.43799222590563996,3.0921706742442385,1.943425308221253,0.08913917940466613,0.06009654062751406,0.04794851166532579,0.03483507642799673,0.01745776347546262,0.04585679806918741,0.009814963797264698,0.012952534191472265,0.025020112630732082,-0.0002413515687851975,0.0008849557522123908,0.0002413515687851975
105,105,0.914722445695897,0.914828697009504,0.9044517005043321,0.9653168827809976,1.7022124956303988,-0.23797293092670663,-0.5821536885355629,3.1630919586427653,2.525124865534635,0.09275945293644405,0.07361222847948512,0.05245374094931614,0.0374094931617055,0.020514883346741765,0.045374094931617016,0.012228479485116673,0.014481094127111849,0.017699115044247794,-0.00096540627514079,0.0004022526146419958,-0.0002413515687851975
106,106,0.918744971842317,0.9184590475363578,0.904696512751442,0.9666354346616696,2.9006758585334964,-0.10339688061416658,-1.1290579375092507,2.400634236007802,2.555482887390095,0.09662107803700724,0.051327433628318556,0.0560740144810941,0.03628318584070792,0.01745776347546262,0.07023330651649236,0.017618664521319417,0.00667739340305713,0.02107803700724057,-0.0016894609814963823,-0.0016090104585679832,-0.0012067578439259874
107,107,0.9203539823008849,0.9198840189173095,0.9053224274161782,0.9675168570567926,2.586796354776614,-0.2758380318816629,-0.7423806269828742,3.074495001747728,1.9959685516384968,0.1051488334674175,0.07192276749798873,0.06484312148028962,0.03298471440064356,0.023974255832662918,0.05551086082059531,0.012228479485116673,0.01641190667739343,0.027916331456154443,0.0018503620273531806,0.0031375703942075673,0.0012872083668543865
108,108,0.915526950925181,0.914547386278851,0.8947045623662915,0.9750604594921404,3.0558155345744304,-0.4808934505305545,-1.0312099029066635,2.5420766656351037,2.467844914832369,0.08608205953338698,0.05559131134352371,0.04818986323411099,0.030329847144006373,0.006275140788415135,0.04505229283990342,0.005148833467417546,0.01528559935639584,0.015526950925181037,-0.0012872083668543865,-0.004022526146419958,-0.002413515687851975
109,109,0.9292035398230089,0.9288929688774455,0.9162112216983878,0.968584482858972,2.5777443548576904,-0.12710529023739178,-0.6487478180539287,3.3648034015357338,1.417761905750467,0.0951729686242961,0.06910699919549476,0.043684633950120635,0.038133547868061134,0.023652453740949354,0.03588093322606597,0.013274336283185861,0.024537409493161744,0.011182622687047483,0.0030571198712791682,0.0011263073209975883,0.0006436041834271932
110,110,0.9010458567980691,0.9004655410905775,0.881064650059312,0.9621441281138791,2.6355268069468867,-0.1524467689313861,-0.8357673362961657,2.466041227733028,2.5037459199170486,0.09404666130329839,0.057683024939662084,0.06709573612228478,0.024376508447304834,0.0007240547063555924,0.0650844730490748,0.010458567980691802,0.0074014481094126896,0.017699115044247704,-0.002493966210780374,-0.0032180209171359664,-0.0007240547063555924
