,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_top_CO2_fd1_scaled
12,12,0.915526950925181,0.9152978198557967,0.902854693329008,0.9709317144379822,2.4001271092798784,-0.1294815610899822,-1.1538316320146993,3.493643257462108,1.9114794572099785,0.15237329042638778,0.09670152855993562,0.08624296057924377,0.09999999999999995,0.07377312952534192,0.04127111826226866,0.030329847144006373,0.045374094931617016
13,13,0.9372485921158488,0.9374694223420554,0.9329399924151813,0.9759386213133405,1.9503294434328842,0.026801155434309866,-0.5273815715301928,3.5739588737282837,1.434715380805677,0.15349959774738536,0.09074818986323414,0.10490748189863237,0.1032984714400644,0.07055510860820595,0.06395816572807722,0.04609814963797265,0.06025744167337086
14,14,0.9308125502815768,0.9308992681430004,0.9226256687324541,0.9727327836337848,1.835772087272064,-0.16790584099371128,-0.6209453548865148,3.6575266265393704,1.8491318860306531,0.14859211584875304,0.0949316170555109,0.08624296057924379,0.0944489139179405,0.06781979082864038,0.04883346741753819,0.046178600160901015,0.05486725663716811
15,15,0.9364440868865648,0.936040645278193,0.9197374864722705,0.9755321914619622,2.173142234884261,-0.5554028940231557,-0.39322342739988503,3.3296578974501743,2.0547979113229986,0.15575221238938056,0.0842316975060338,0.0765084473049075,0.11013676588897829,0.07031375703942075,0.061544650040225246,0.036524537409493206,0.053016894609814944
16,16,0.9211584875301689,0.9210197608496031,0.910374009270858,0.9638834850575244,2.455560143795999,0.0911900343667083,-0.6806951128018065,2.923884673495485,1.7867367568213903,0.1494770716009654,0.10981496379726463,0.1003218020917136,0.09959774738535798,0.09251810136765891,0.06114239742558325,0.04617860016090101,0.07666934835076429
17,17,0.9332260659694288,0.9330449433145822,0.9226559422573395,0.9716847788307806,1.9956248507360583,-0.36600532356181803,-0.8032891505176809,3.4084653956233923,2.300453447872834,0.16556717618664524,0.09967819790828644,0.10024135156878525,0.10876910699919551,0.07763475462590508,0.06838294448913917,0.041110217216411914,0.05808527755430408
18,18,0.9348350764279968,0.9348532075858959,0.9280390434862469,0.9739633558341368,2.854355636811871,-0.7744226565299989,-0.5625448204536274,3.2392874468865993,1.9524315892649604,0.16460176991150446,0.10603378921962996,0.08777152051488338,0.10748189863234114,0.07095736122284795,0.06991150442477875,0.05301689460981494,0.07288817377312953
19,19,0.9316170555108608,0.9310539251872944,0.9152018856682205,0.9763999392473683,3.0824281504451605,0.07724003911250887,-0.6834021439072632,2.8694310877098,1.193641015852855,0.14802896218825423,0.1069991954947707,0.09219629927594533,0.09951729686242963,0.06524537409493161,0.060981496379726455,0.04810941271118259,0.05470635559131132
20,20,0.9300080450522928,0.9298717256058672,0.9208450961791228,0.9734321602871087,3.2534522766867275,-0.6345438668420269,-0.9873574393926347,3.21525945694595,1.9231870250730794,0.16379726468222044,0.09074818986323414,0.1024939662107804,0.10724054706355593,0.07449718423169752,0.07457763475462591,0.03877715205148833,0.06403861625100563
21,21,0.9340305711987128,0.9338382891888843,0.9238774629656263,0.9738213720696102,2.5428680503827295,-0.4274298566875877,-0.6853836130130047,2.9716241880683327,2.181929534855725,0.16540627514078843,0.11263073209975864,0.11230893000804505,0.11013676588897829,0.07787610619469028,0.07079646017699115,0.0565567176186645,0.0760257441673371
22,22,0.9203539823008849,0.9205832879323967,0.9117215302491103,0.9687930011862396,3.0114136068544246,-0.6218618557828557,-0.6528344415882306,3.310352433991083,1.5912252799241762,0.16983105390185035,0.07707160096540629,0.09171359613837492,0.11552695092518098,0.03982300884955747,0.08342719227674981,0.04384553499597743,0.04360418342719223
