,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled
33,33,0.8584070796460177,0.8569308271901755,0.8264196983141082,0.8927642149691839,1.1211565193727628,-0.17003901512938308,1.1872619204155486,1.6231959634489974,2.2797054537434214,0.1220434432823813,0.0855189058728882,0.06846339501206758,0.08028962188254225
34,34,0.8551890587288817,0.8517343784308775,0.8113294160852002,0.8901434651993041,1.0190875345358832,-0.2775010747347942,1.3093063349454725,1.723301610470156,2.244679183280277,0.10925181013676588,0.07996781979082865,0.055671761866452105,0.06950925181013676
35,35,0.8640386162510056,0.8618718580887704,0.8338437001594896,0.8939712918660287,1.3300821522293755,0.07132498491108208,1.1507865619450803,1.308261076495218,2.0744475803831603,0.13716814159292035,0.09396621078037011,0.08270313757039423,0.07860016090104587
36,36,0.8390989541432019,0.8349044662076832,0.8028020303991451,0.8860145743096529,0.5145699489403145,0.07414433171138049,1.8363742695284317,1.5432725416495046,2.146605787831217,0.10780370072405465,0.08004827031375703,0.05824617860016088,0.07176186645213194
37,37,0.8495575221238938,0.8458520541432174,0.8117745761731181,0.8832465428455709,1.0168332325641438,-0.2189976330089066,1.6361605144615148,1.1211708220245873,2.5983937105973314,0.11633145615446497,0.07763475462590508,0.05720032180209169,0.07176186645213194
38,38,0.8592115848753017,0.8543562605745004,0.8126565308347329,0.8918913344529892,0.5702103067787636,-0.03432874467909933,1.4777449812827181,1.6912224680375916,2.3974450738658506,0.12703137570394205,0.08648431214802899,0.06999195494770716,0.07763475462590508
39,39,0.8527755430410298,0.8494576844118198,0.822275527525772,0.897097343540971,0.4093845945496025,-0.10987888212787215,1.424134181694918,2.100486591758792,2.235496609504568,0.1221238938053097,0.09557522123893807,0.07819790828640387,0.06701528559935639
40,40,0.8696701528559936,0.8667112896418123,0.8365424996404429,0.9013346756795627,1.0607988278380684,-0.30043803363313926,1.197747449207261,1.4122100556043067,2.755121507076443,0.12341110217216411,0.09211584875301693,0.06516492357200321,0.07747385358004828
41,41,0.8527755430410298,0.8506840521182584,0.816494662776317,0.8917276034724974,0.3722871419009679,-0.20045750653825448,1.3480249181973758,2.241975943901459,2.3347711754617357,0.112711182622687,0.0928399034593725,0.05888978278358807,0.07095736122284795
42,42,0.8527755430410298,0.8478951975462262,0.8136658130383678,0.891270278403961,1.2387155059312456,-0.021718631711262287,1.8039199954724827,1.069578625796639,2.0290005216555853,0.11914722445695894,0.07618664521319389,0.061786001609010446,0.06122284794851165
43,43,0.8793242156074015,0.8760911612040604,0.8435803969218307,0.9175953248857258,0.8301511928182557,-0.012786701902802879,1.5400708034755886,1.3357839286868327,2.262066195407863,0.13105390185036206,0.09235720032180213,0.07642799678197909,0.07835880933226066
44,44,0.8543845534995977,0.851067570380224,0.8141507869281666,0.899657033188999,1.0529718573834497,0.02248436516372312,1.3590274911906608,1.393073171070133,2.177095808181601,0.11206757843925982,0.08986323411102175,0.05969428801287206,0.05969428801287206
45,45,0.8624296057924377,0.8592294083087946,0.8252123104997193,0.9039777512633352,0.743669396582644,-0.013185340334272431,1.2935308037968969,1.8558687509623906,2.085764192440193,0.14014481094127113,0.0943684633950121,0.07232502011263073,0.08101367658889784
46,46,0.8527755430410298,0.8485595225097009,0.8106137703537339,0.8858787198203257,-0.04501870147698288,-0.21781070249931964,2.155007996396421,2.090238301502054,2.3200717774591384,0.11158487530168944,0.08350764279967822,0.059855189058728865,0.06275140788415123
47,47,0.8495575221238938,0.8446094135622945,0.8116041196388262,0.8997262979683972,0.4960214814331345,-0.18710238495567533,1.1959156161256583,2.2556694911379647,2.262582621001877,0.10796460176991148,0.06991150442477875,0.0660498793242156,0.0566371681415929
48,48,0.8487530168946098,0.844539303519966,0.8041164902470664,0.8964109915235665,0.5304810364988881,-0.04599364155451051,1.7517659879873413,1.7916886790154567,2.046781846821815,0.10498793242156071,0.07280772325020113,0.05325824617860013,0.05929203539823007
49,49,0.8672566371681416,0.8641591616753456,0.8318439679249336,0.8987696041713845,0.9373841241244232,-0.06962444562423258,1.2133040284151038,1.294632279910965,2.5963790322885827,0.13539823008849555,0.1041029766693484,0.06741753821399839,0.08109412711182624
50,50,0.8744971842316975,0.8706590156951086,0.8319401801929709,0.9126720736389397,0.8102358001246178,-0.19735108763723688,1.5640614330010962,1.2304281184349832,2.6248157073442258,0.11890587288817382,0.08125502815768304,0.05969428801287211,0.06122284794851166
51,51,0.8584070796460177,0.855843937416342,0.8237950569449337,0.9060437947634143,0.8965165138917005,-0.23403966355187147,1.1994518362701454,1.7889413113217574,2.4788474806254883,0.12485921158487527,0.09026548672566374,0.06057924376508446,0.08045052292839905
52,52,0.8390989541432019,0.8369017828656358,0.8122820672478206,0.8905977584059777,0.6915427114655923,-0.061750755682193986,1.3096028788899456,1.8775501490468727,2.261558750641114,0.12413515687851968,0.08535800482703136,0.06878519710378117,0.06926790024135157
53,53,0.8543845534995977,0.8508426901687411,0.8135161881129623,0.9008684863523572,1.0486479096009111,0.035409652953801114,1.1035996410043913,1.543068553299579,2.2135936343424594,0.11359613837489939,0.0847144006436042,0.060498793242156054,0.061303298471440046
54,54,0.8519710378117458,0.8492165397433741,0.8199872429189581,0.8876227581728642,0.8620259957966213,-0.025726002991264343,1.6179060693142464,1.756389905730443,1.82588392077907,0.13419147224456957,0.09018503620273534,0.06838294448913917,0.07988736926790026
55,55,0.8680611423974256,0.865507088465157,0.8312508198871835,0.9010530332844382,1.0251132195660009,-0.12409825997625898,1.135900723233062,1.8321903534337312,2.1283999805705833,0.12751407884151247,0.08801287208366856,0.07417538213998391,0.07739340305711988
56,56,0.8696701528559936,0.8673232489618371,0.833269382958824,0.8971198350080336,0.7738942427893585,-0.22850304579994718,1.4303651377511637,1.438154842360115,2.614032909293536,0.1323411102172164,0.09243765084473052,0.06757843925985518,0.07956556717618665
57,57,0.8616251005631537,0.8583584488215577,0.8227393264386105,0.8929933115295088,0.3678644774800367,0.0743626533488628,1.8164617022245613,1.9971429901245608,1.8934468063056216,0.12622687047465805,0.09324215607401451,0.07353177795655672,0.07409493161705552
58,58,0.8576025744167337,0.8548697493726203,0.8239863315159011,0.9079757985379251,0.9864418876185375,-0.26096587108747493,1.2478623817541041,1.5909746685299737,2.5587567999018583,0.12196299275945291,0.08905872888173776,0.06798069187449718,0.07699115044247788
59,59,0.831858407079646,0.8284565895543251,0.7938653163378151,0.8748472149467436,0.07310724455678423,0.051626385186954525,1.4255136707005926,1.6761602417889965,2.833696145115819,0.11609010458567977,0.07819790828640383,0.046500402252614606,0.06999195494770716
60,60,0.8455349959774738,0.8419003167046757,0.8104662658726984,0.8944458413815963,0.576819793722737,-0.2389848546155019,1.3277889383550745,2.0996770919606194,2.2910440152156832,0.11520514883346737,0.08238133547868062,0.057924376508447284,0.0654867256637168
61,61,0.8632341110217217,0.8590912180406899,0.8222236773179675,0.8986584017228335,0.6144549902489816,-0.027175948657521265,1.2140761967585187,1.274986375113733,2.8007537097426427,0.12445695897023328,0.08962188254223655,0.065728077232502,0.06251005631536603
62,62,0.8688656476267096,0.8647558517245958,0.8283049105509781,0.904956422271384,0.9013739860019823,-0.01463836742894701,1.439242510500216,1.2857201255322248,2.3852048680892413,0.1313757039420756,0.08849557522123896,0.06291230893000803,0.07763475462590508
63,63,0.8415124698310539,0.8382720050859029,0.807279469164715,0.8868157918905267,1.0913534085134218,-0.34232484216602427,1.573669826985831,1.3327643005352896,2.574739215052705,0.10716009654062746,0.08374899436846338,0.0663716814159292,0.06806114239742558
64,64,0.8527755430410298,0.8480824787503466,0.806516601677892,0.8958643507030604,0.8113670926674471,-0.2879579083719841,1.5360215794967595,1.020963303394774,3.0841995706517507,0.12534191472244566,0.08728881737731296,0.05977473853580047,0.06830249396621077
65,65,0.8455349959774738,0.8420161288898694,0.8081020733652312,0.8983703059301146,0.09562967930009687,0.018163211982812177,1.4404916900497156,2.0135957091294876,2.4575942741168517,0.11946902654867253,0.07377312952534192,0.05687851971037809,0.06894609814963797
66,66,0.8543845534995977,0.8488616573030828,0.8031830751390087,0.8789063661502781,0.9382229437985775,-0.002286241869022796,1.3499154609570256,1.2063926751111957,2.5328564474024633,0.12003218020917132,0.07940466613032986,0.06331456154465002,0.060981496379726455
67,67,0.8374899436846339,0.8343774175948099,0.8023894562246072,0.8837202582196253,0.429409578133574,-0.1855253190038845,1.5472465393907955,1.8154056490713586,2.4665621838980374,0.11206757843925981,0.08439259855189056,0.07353177795655672,0.06436041834271922
68,68,0.8543845534995977,0.8502837283647535,0.8134444036526167,0.8828924902245299,0.3826278620924656,-0.38450665882825186,1.2780712298843686,2.0261552951494104,2.8390603440272013,0.11552695092518099,0.08390989541432022,0.06991150442477875,0.0765084473049075
69,69,0.8543845534995977,0.8501369322410243,0.8139221331417846,0.8854560094538544,0.4687803340617671,-0.13792712154444567,1.4895486255188428,2.0015573227347776,2.25046094457192,0.11810136765888975,0.08278358809332262,0.05808527755430408,0.0743362831858407
70,70,0.8374899436846339,0.8307633714525275,0.7872886762360447,0.8702450340727852,0.7059392713569115,-0.023320915688317023,1.5149854570811216,1.71815484118642,2.133086274019951,0.10176991150442471,0.0743362831858407,0.06146419951729685,0.060981496379726455
71,71,0.8423169750603379,0.838522576743284,0.8069939839762781,0.883679753656659,0.5534054007711493,-0.15526941324678165,1.4924849753465947,2.0432649906105893,2.263704846121965,0.10530973451327427,0.07208366854384554,0.06492357200321801,0.06540627514078841
72,72,0.8567980691874497,0.8540869112807452,0.8195403321470938,0.8882502965599051,0.6538451529692617,-0.09778211293103427,1.8424998041987979,1.5193396855500667,2.2208971799215993,0.13475462590506837,0.09549477071600969,0.06806114239742558,0.07240547063555913
73,73,0.8624296057924377,0.8607058162789034,0.8290722596448254,0.8924150186712775,1.6757909609919572,-0.1707931010074122,1.3869522546991766,1.1273751931356308,2.109429520346391,0.1331456154465004,0.09259855189058733,0.06299275945293643,0.07787610619469028
74,74,0.8447304907481898,0.8413866435405144,0.8109391608471535,0.8891825631764826,0.5636180757847503,-0.15277014502752623,1.245130841674943,1.680250230962036,2.7395115453632357,0.10820595333869668,0.08624296057924377,0.06492357200321801,0.07409493161705552
75,75,0.8592115848753017,0.8540070980063216,0.8162941406070625,0.9049168847867015,0.03798063796835963,-0.1979190423931122,1.3236447854329818,2.3834532329946456,2.4749614341510116,0.10764279967819794,0.07707160096540629,0.05687851971037809,0.05880933226065967
76,76,0.8366854384553499,0.8307561708620964,0.7888626639382383,0.9001575434843271,1.06538828004857,-0.024326103404677373,1.2291735040469687,1.085074337423524,2.65620095878,0.095575221238938,0.0658889782783588,0.04505229283990342,0.048028962188254185
77,77,0.8608205953338697,0.8573570765800718,0.8178628384373726,0.895899781769347,0.4955599612973745,-0.3058740667415392,1.3245381696635246,1.735716018375821,2.8571614144781363,0.12115848753016892,0.0850362027353178,0.06814159292035397,0.07119871279163315
78,78,0.8503620273531778,0.8469860808410155,0.819060142746,0.8839004837127491,0.7795653692025408,-0.11834735098897961,0.9539863182975739,1.7375195578896134,2.711998413439062,0.12325020112630729,0.09267900241351572,0.06387771520514882,0.0752212389380531
79,79,0.8616251005631537,0.8585680591945497,0.8249231399877024,0.8928117588498815,1.1730670257128037,-0.16700592200503356,1.4308237959077261,1.5234356288820465,2.2180894595912233,0.12888173773129524,0.08857602574416737,0.06291230893000803,0.06484312148028962
