,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_CO2_vd_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd3_scaled
55,55,0.9380530973451328,0.9381150283503198,0.9296700773973501,0.9773323554315291,1.8195116273120415,-0.4893510041193551,-0.5624257851178582,4.388682387204132,1.4751169082327338,0.056798069187449694,0.05720032180209169,0.04875301689460978,0.03901850362027359,0.029364440868865693,0.03354786806114245,0.01053901850362029,0.014561544650040248,0.018342719227675008,0.0007240547063555924,0.002011263073209979,0.0012067578439259874
56,56,0.9356395816572808,0.9358126616226522,0.9282296937576441,0.9740491378690137,1.66769632747863,-0.15007265795405128,-0.10869208679680983,3.886190090240519,1.3777318142025292,0.07329042638777153,0.06323411102172163,0.04432823813354787,0.049557522123893784,0.04432823813354787,0.036524537409493206,0.029203539823008894,0.008205953338696715,0.007079646017699126,-0.0003218020917135966,0.0033789219629927645,0.0007240547063555924
57,57,0.9211584875301689,0.9211584875301689,0.9102698959898641,0.9675329267214708,1.434003963188997,-0.3218069443039999,-0.3036747424716458,4.012968103131746,1.8429013549375837,0.06427996781979081,0.04022526146419948,0.0565567176186645,0.0317779565567176,0.0367658889782783,0.03435237329042634,0.01641190667739343,0.008045052292839916,0.01625100563153663,0.0003218020917135966,-0.000482703137570395,0.0015285599356395841
58,58,0.9332260659694288,0.9329150056756748,0.9206658885966288,0.9749072412771962,1.6824720603035477,-0.10564590842658544,-0.2659389076339026,3.79459954683795,1.483111303332537,0.0650844730490748,0.047144006436041816,0.045856798069187424,0.05269509251810134,0.03716814159292038,0.032984714400643655,0.00764279967819792,0.007481898632341122,0.016492357200321828,0.0003218020917135966,-0.00096540627514079,0.002493966210780374
59,59,0.916331456154465,0.9164795775000288,0.9077512950352133,0.9681217624119668,1.2719222105590888,-0.3349767989372806,-0.26799011811240886,3.938396923352933,2.0818831505191113,0.04891391794046658,0.04304102976669344,0.0470635559131134,0.05776347546259049,0.06436041834271922,0.03596138374899431,0.029766693483507578,0.009251810136765903,0.011423974255832681,0.003539823008849563,0.0005631536604987942,0.0017699115044247816
60,60,0.9267900241351569,0.9268098862068312,0.9194707005131839,0.9727663927399905,1.4650537532912082,-0.3622964033101872,-0.6145655560617133,4.260271231542962,2.007064339413491,0.0660498793242156,0.05510860820595331,0.049396621078036974,0.044006436041834227,0.05711987127916329,0.028077232502011308,0.018825422365245405,0.01246983105390187,0.015848753016894635,0.0004022526146419958,0.0006436041834271932,0.0014481094127111848
61,61,0.9364440868865648,0.9362269693000008,0.9252517315639369,0.971299691519702,2.0144984222586237,-0.3019299837969504,-0.7152795786765588,3.9270730579032915,1.6890381829673844,0.06540627514078841,0.04440868865647628,0.03781174577634759,0.04159292035398232,0.03515687851971042,0.02510056315366054,0.02687047465808532,0.009814963797264698,0.007964601769911516,-0.0004022526146419958,0.0008045052292839916,0.0003218020917135966
62,62,0.910699919549477,0.9109320270703098,0.9025293082725103,0.962484249888225,1.7544751223233948,-0.5054588087607933,-0.3739103013186268,4.320194013416371,1.5692244135603717,0.08125502815768301,0.05752212389380529,0.0376508447304907,0.026226870474658014,0.03877715205148828,0.038616251005631486,0.02236524537409488,0.007160096540627525,0.010699919549477088,-0.0029766693483507687,-0.0005631536604987942,-0.0028157683024939706
63,63,0.9259855189058729,0.9257282256440983,0.9146002663360426,0.9703615052578407,1.5339080849122615,-0.7131506200815042,-0.7016615159353303,4.378990954458344,2.1291040835227513,0.07087691069991955,0.06773934030571198,0.024456958970233346,0.037168141592920326,0.032984714400643635,0.03016894609814965,0.013596138374899458,0.013274336283185861,0.008045052292839916,-0.0001609010458567983,-0.0012872083668543865,-0.0006436041834271932
64,64,0.9308125502815768,0.9309008209015953,0.9223457993619284,0.976450431289141,1.3400832072471955,-0.32786290141619984,-0.1904928687873328,3.7703659784367227,2.0217507749645636,0.06934835076427996,0.04545454545454543,0.06387771520514882,0.040788415124698316,0.04497184231697504,0.05261464199517294,0.022606596942880162,0.00772325020112632,0.013998390989541453,-0.0002413515687851975,0.0003218020917135966,0.0005631536604987942
65,65,0.917940466613033,0.9176391895416971,0.9045454545454545,0.9703668261562999,1.702019004697504,-0.08933419145881993,-0.13927405461938414,4.158872907860946,1.090030110255586,0.06251005631536603,0.05044247787610616,0.04505229283990342,0.03314561544650034,0.027514078841512433,0.024698310539018498,0.01625100563153663,0.0028157683024939706,0.009975864843121495,-0.0001609010458567983,0.00096540627514079,-0.000482703137570395
66,66,0.914722445695897,0.9141852992193694,0.8960750498052392,0.9658559067526986,1.4680137580424601,-0.21678992684966247,-0.44695797672249804,4.001168404715049,1.8367008605355237,0.053982300884955724,0.053338696701528535,0.03411102172164114,0.03483507642799673,0.04465004022526142,0.03234111021721635,0.016251005631536607,0.01230893000804507,0.01150442477876108,-0.0023330651649235757,0.0012067578439259874,8.045052292839915e-05
67,67,0.9243765084473049,0.9244630636169596,0.9167504666793811,0.9689650987395322,1.7346703051349792,-0.3457089940926229,-0.31954264267635135,3.7080818136524827,1.915571722066938,0.07683024939662109,0.06138374899436845,0.04778761061946899,0.03740949316170551,0.05720032180209169,0.03966210780370068,0.025261464199517324,0.010136765888978294,0.011826226870474677,0.002493966210780374,0.0033789219629927645,0.0008045052292839916
68,68,0.9316170555108608,0.9313376719426383,0.919108348921639,0.9730686526459327,1.2849828144066344,-0.3413234925259686,-0.6362763119085777,4.536643579861392,1.7000393638664475,0.061544650040225246,0.06347546259050682,0.03515687851971039,0.04175382139983909,0.04038616251005631,0.051086082059533355,0.014883346741753845,0.01255028157683027,0.019790828640386192,0.0033789219629927645,0.002493966210780374,0.0039420756234915585
