,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled
84,84,0.6644790812141099,0.7192862045298559,0.6823712484100566,0.716708614110579,0.03822805578342903,0.011648892534864674,0.03412633305988522,0.022805578342904087
85,85,0.6685808039376538,0.7229080932784636,0.6865551676544613,0.7137438770263322,0.036013125512715405,0.012879409351927884,0.03461853978671037,0.022477440525020542
86,86,0.6628383921246924,0.7186858316221766,0.6809626261806175,0.7236705366566534,0.13420836751435605,0.00410172272354381,0.02378999179655461,0.01952420016406886
87,87,0.6611977030352748,0.715368711233632,0.6787109956428784,0.606064788503694,0.16726825266611972,0.0061525840853157154,0.013371616078753035,0.033634126333059844
88,88,0.6628383921246924,0.7175257731958763,0.6806013369056318,0.7844550891721469,0.10787530762920439,0.007054963084495491,0.01730926989335524,0.02272354388843323
89,89,0.6620180475799836,0.7158620689655173,0.6794755216367623,0.822781521474385,0.041263330598851566,0.006808859721082916,0.026579163248564353,0.01665299425758815
90,90,0.6620180475799836,0.7162534435261708,0.6795959513950908,0.7086235825823388,0.09343724364232975,0.010418375717801465,0.013371616078753146,0.039048400328137944
91,91,0.6694011484823625,0.7237834132967786,0.6874401234066737,0.6897404671050851,0.13289581624282198,0.01542247744052494,0.01730926989335524,0.030598851517637304
92,92,0.6587366694011485,0.712707182320442,0.6760561283862413,0.7235717571919569,0.12370795734208362,0.02313371616078752,0.016488925348646433,0.012305168170631653
93,93,0.6595570139458573,0.7139903514817367,0.6770615138967822,0.783253497875565,0.10992616899097629,0.011074651353568554,0.016899097621000836,0.015750615258408596
94,94,0.660377358490566,0.7136929460580913,0.6775851803740088,0.8237666098346459,0.05988515176374076,0.004593929450369183,0.018129614438063824,0.028876127973748944
95,95,0.6644790812141099,0.7189003436426117,0.682250818651728,0.718352683283267,0.052173913043478404,0.010090237899918031,0.02616899097621006,0.02625102543068092
96,96,0.6644790812141099,0.7189003436426117,0.682250818651728,0.7586411734459149,0.12575881870385563,0.00418375717801478,0.017063166529942553,0.03740771123872033
97,97,0.6505332239540607,0.7062068965517241,0.6679291494140889,0.7377784092446753,0.12485643970467597,0.02264150943396226,0.0364232977850697,0.0027071369975389947
98,98,0.6652994257588187,0.720164609053498,0.683256204162269,0.6510568049579173,0.15635767022149305,0.012305168170631653,0.02321575061525849,0.013453650533224004
99,99,0.6694011484823625,0.7245386192754614,0.6876809829233309,0.7274918134827204,0.09031993437243635,0.01952420016406886,0.024118129614438155,0.02313371616078741
100,100,0.6570959803117309,0.7117241379310345,0.6745270763984736,0.7500947200346405,0.08908941755537336,0.006808859721082805,0.017637407711238673,0.018867924528301883
101,101,0.667760459392945,0.7224126113776559,0.6857906416605776,0.788695840437336,0.08105004101722724,0.014766201804757961,0.022887612797374834,0.02846595570139454
102,102,0.6702214930270713,0.7242798353909465,0.6882046494005575,0.7016603068929123,0.10131255127153405,0.013371616078753146,0.028137817883510996,0.027645611156685734
103,103,0.6636587366694011,0.7168508287292817,0.6810045736245298,0.6971394549538579,0.12247744052502052,0.010418375717801576,0.025676784249384688,0.01837571780147651
104,104,0.6620180475799836,0.7162534435261708,0.6795959513950908,0.7669075261833239,0.10311730926989338,0.01197703035274822,0.014191960623461952,0.014438063986874416
105,105,0.6710418375717802,0.7259056732740943,0.689330464669427,0.7161971259235204,0.1289581624282199,0.011812961443806391,0.026333059885151777,0.03609515996718626
106,106,0.6620180475799836,0.7178082191780822,0.6800776704284052,0.5892844577954589,0.15242001640689085,0.01730926989335535,0.009187858900738366,0.015340442986054192
107,107,0.660377358490566,0.7148760330578512,0.6779464696489946,0.6783916538118049,0.14634946677604588,0.010418375717801465,0.006808859721082805,0.024446267432321478
108,108,0.667760459392945,0.7220315717227179,0.6856702119022489,0.705832047847149,0.13322395406070553,0.01074651353568501,0.035438884331419174,0.022805578342904087
