,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_mid_temperature_scaled,feature_importance.C_mid_temperature_fd1_scaled,feature_importance.C_mid_temperature_fd2_scaled,feature_importance.C_mid_temperature_fd3_scaled,feature_importance.C_mid_humidity_scaled,feature_importance.C_mid_humidity_fd1_scaled,feature_importance.C_mid_humidity_fd2_scaled,feature_importance.C_mid_humidity_fd3_scaled,feature_importance.C_top_temperature_scaled,feature_importance.C_top_temperature_fd1_scaled,feature_importance.C_top_temperature_fd2_scaled,feature_importance.C_top_temperature_fd3_scaled,feature_importance.C_top_humidity_scaled,feature_importance.C_top_humidity_fd1_scaled,feature_importance.C_top_humidity_fd2_scaled,feature_importance.C_top_humidity_fd3_scaled
44,44,0.9530090684253916,0.9508196721311475,0.9544316071233476,0.9797689282202556,-0.0002473206924979987,0.0004946413849959974,-0.00024732069249777666,-8.244023083259222e-05,0.00041220115416329417,-0.0014839241549876592,-0.0017312448474855469,-0.0012366034624896605,-0.0018961253091509533,-0.0004946413849958864,-0.0012366034624896605,-0.00016488046166529546,-0.0006595218466611819,0.001813685078318139,0.0017312448474856579,0.0,-0.00032976092333070195,-0.001071723000824476,-0.0011541632316571793,-0.0009068425391590695,-0.0007419620774938851,0.002473206924979432,0.002802967848309912,0.002555647155811913,-0.0007419620774938851,-0.0014839241549876592,-0.0012366034624896605,-8.244023083259222e-05
45,45,0.9398186314921682,0.9366869037294016,0.9408390691576533,0.9778761061946903,0.001071723000824365,-0.001401483924154956,-0.0003297609233305909,-0.001401483924154956,-0.0008244023083265883,-0.009892827699917728,-0.005193734542456641,8.244023083259222e-05,-0.0037922506183016846,-0.011788953009068459,-0.006677658697444411,0.0015663643858203624,-0.00024732069249777666,-0.0003297609233305909,0.0002473206924979987,-0.00016488046166529546,0.00041220115416329417,0.00041220115416318315,-0.0023907666941467287,-0.0012366034624895494,-0.0023907666941467287,0.0037098103874689814,0.00024732069249777666,0.0004946413849957754,-0.0005770816158284786,-0.0011541632316570682,-0.0004946413849957754,0.0005770816158284786
46,46,0.8227535037098104,0.8367501898253606,0.832518026876434,0.9727985359991259,-0.017394888705688394,-0.014014839241549892,-0.007831821929101368,-0.03157460840890347,-0.08516075845012361,-0.003544929925803908,-0.01244847485572953,-0.006842539159109706,-0.0889530090684254,-0.010387469084913392,-0.0030502885408079106,-0.025061830173124355,-0.002555647155812024,-0.0018961253091509533,0.008738664468260438,0.00939818631492173,-0.022341302555647147,-0.02333058532563892,-0.0276174773289366,-0.020445177246496193,-0.00181368507831825,0.0023083264633141365,0.0076669414674361835,0.004286892003297682,-0.01607584501236603,-0.01426215993404778,-0.02126957955482278,-0.02431986809563058
47,47,0.9159109645507008,0.9147157190635451,0.9192559816453622,0.977525128373211,-0.004699093157460754,-0.0027205276174773196,-0.0018961253091507313,0.0004122011541630721,-0.014509480626545779,0.022506183017312442,0.015086562242374257,0.01450948062654589,-0.022506183017312442,0.011871393239901162,0.010964550700741982,0.008903544929925844,-0.00791426215993396,0.009233305853256435,0.01121187139323987,0.009975267930750209,-0.006512778235779115,0.0041220115416321645,0.0007419620774938851,-0.0009068425391590695,-0.01178895300906857,0.014509480626545668,0.015004122011541776,0.015993404781533438,-0.003215169002473095,-0.0004946413849958864,-1.1102230246251565e-16,-0.0019785655399834345
48,48,0.9249793899422918,0.9238493723849373,0.9283103900360538,0.9489948650715613,-1.1102230246251565e-16,0.001813685078318139,0.0020610057708160268,0.0033800494641383905,-0.002802967848310023,-0.0009892827699917728,-0.0009892827699917728,-0.0009892827699918838,-0.002473206924979432,8.244023083259222e-05,-0.0016488046166529546,-0.00041220115416329417,-0.001813685078318139,-0.0006595218466614039,-0.0011541632316570682,-0.001401483924154956,-0.0020610057708160268,-0.00453421269579557,-0.0023907666941467287,-0.0033800494641386125,-0.001813685078318139,0.0003297609233304799,0.0003297609233304799,0.0005770816158284786,-0.0015663643858201404,-0.0019785655399835456,-0.001401483924154956,0.0003297609233304799
49,49,0.9431162407254741,0.9405684754521964,0.9446055937943844,0.980039331366765,0.0022258862324815443,8.244023083270324e-05,0.00016488046166518444,0.0012366034624896605,0.0013190436933223637,0.0004946413849958864,0.001401483924155067,0.0027205276174774307,0.0013190436933223637,0.0015663643858202514,0.0007419620774937741,0.0017312448474855469,-0.0008244023083262553,8.244023083270324e-05,0.0009068425391591806,8.244023083270324e-05,0.0002473206924979987,-0.001401483924154845,-0.0014839241549875481,-0.0012366034624896605,-0.0009892827699916618,0.0019785655399834345,0.0016488046166529546,0.0013190436933223637,0.00032976092333070195,-0.0013190436933223637,-0.00041220115416318315,-0.0012366034624895494
50,50,0.8211046990931574,0.7778915046059366,0.8115918278160166,0.9033595542445101,-0.0018961253091509533,-0.00016488046166518444,0.001071723000824254,0.002555647155812024,0.0008244023083263663,0.020527617477328786,0.03091508656224229,0.029596042868920036,-0.0013190436933223637,0.02671063478977731,0.026793075020610124,0.026628194558944718,-0.005853256389117711,0.0004946413849958864,0.0006595218466610708,-0.0008244023083264773,0.00849134377576255,0.022506183017312442,0.02209398186314926,0.018878812860675942,-0.0058532563891179334,0.003874690849134388,0.001071723000824254,0.0006595218466611819,0.006347897774113709,0.021104699093157375,0.014262159934047891,0.01665292662819462
51,51,0.9167353668590272,0.916597853014038,0.9209343930951601,0.9720801922866821,-0.002885408079142504,0.006677658697444411,0.001401483924155178,0.0055234954657872315,0.0044517724649628665,0.02934872217642215,0.024402308326463396,0.016735366859027212,0.001813685078318139,0.021104699093157375,0.01821929101401476,0.012366034624897049,-0.002473206924979432,0.0017312448474855469,0.004286892003297682,0.005276174773289344,0.001813685078318139,0.006183017312448524,0.006347897774113709,0.0027205276174773196,-0.002885408079142726,0.0103050288540808,0.01096455070074187,0.008326463314097365,0.0009892827699918838,0.0026380873866446164,0.003132728771640503,0.0012366034624895494
52,52,0.9422918384171476,0.9396551724137931,0.9437206380421719,0.9798344804981972,8.244023083270324e-05,0.0009068425391590695,0.0003297609233304799,0.0005770816158285896,0.00016488046166518444,-0.0011541632316570682,-0.0002473206924978877,0.0,8.244023083270324e-05,0.0003297609233304799,-0.0008244023083262553,-8.244023083270324e-05,0.0005770816158285896,0.0002473206924978877,0.0003297609233304799,0.0004946413849958864,8.24402308324812e-05,0.0023907666941466177,0.003957131079967091,0.00758450123660348,0.002061005770816249,0.0013190436933223637,0.0002473206924978877,0.0009068425391590695,0.0003297609233304799,0.0030502885408079106,0.004534212695795459,0.0030502885408077995
53,53,0.93239901071723,0.9307432432432432,0.9351414836665575,0.9772588222440731,0.003132728771640503,0.0012366034624896605,0.0005770816158285896,0.0018961253091507313,0.0023907666941467287,0.005193734542456641,0.006018136850783229,0.0013190436933221417,-0.0015663643858202514,0.007007419620774891,0.006265457543281117,0.00181368507831825,0.002885408079142615,0.0012366034624895494,0.0023083264633140255,0.0022258862324813222,0.003215169002473095,0.003627370156636389,0.002802967848309912,0.002885408079142615,0.0016488046166530657,0.003215169002473317,0.002061005770816138,0.001401483924154845,0.003874690849134388,0.003215169002473095,0.004616652926628162,0.004534212695795459
54,54,0.9439406430338005,0.9411764705882353,0.9451504971047744,0.9727439091008412,0.0006595218466612929,-0.0003297609233303689,0.00041220115416329417,0.00016488046166518444,8.244023083270324e-05,0.005358615004122158,0.007419620774938296,0.004286892003297682,0.0009068425391591806,0.0009892827699918838,0.0032976092333060203,0.0008244023083264773,-0.0008244023083264773,0.00181368507831825,0.0018961253091508423,0.001401483924154845,0.001071723000824476,0.0030502885408080216,0.0044517724649629775,0.0022258862324815443,-0.0017312448474855469,0.001401483924155067,0.0018961253091509533,0.0015663643858202514,0.0007419620774937741,0.002555647155812024,0.0027205276174774307,0.0005770816158285896
55,55,0.8920032976092334,0.893061224489796,0.8968794384354857,0.9780509122692013,-0.024319868095630692,0.0018961253091509533,0.004616652926628273,0.0058532563891179334,-0.029018961253091446,0.026545754328112348,0.019785655399835123,0.021764220939818557,-0.03272877164056065,0.016900247320692507,0.01574608408903555,0.008573784006595364,0.0008244023083264773,0.01912613355317405,0.017147568013190617,0.022588623248145256,0.0008244023083264773,0.006842539159109595,0.0033800494641385015,0.002061005770816138,0.005770816158285452,0.013107996702390823,0.020692497938994303,0.01970321516900242,-0.0012366034624897715,0.003874690849134499,0.004534212695795681,0.0023907666941467287
56,56,0.9299258037922506,0.9280270956816258,0.9324866164099203,0.9728422375177537,0.001401483924155067,0.0011541632316570682,-0.00024732069249777666,0.0005770816158284786,-0.001813685078318028,8.244023083270324e-05,0.0011541632316570682,-0.0009068425391590695,-0.003132728771640614,0.0002473206924978877,0.0007419620774937741,0.0019785655399835456,-0.0005770816158285896,0.0012366034624897715,0.0017312448474856579,0.001071723000824365,-0.0018961253091509533,-0.0016488046166528436,-0.0006595218466611819,-0.00214344600164873,0.0006595218466611819,0.0032976092333060203,0.002885408079142615,0.0037922506183019067,-0.0019785655399834345,-0.00041220115416318315,-0.0026380873866447274,-0.002061005770816138
