,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
30,30,0.9260763606823721,0.9226847918436704,0.9287291716495256,0.9494060432113528,0.008448415922014618,0.10251827782290823,0.13119415109666943,0.0817221770917953,0.00901705930138097,0.06214459788789617,0.07294882209585707,0.025182778229082325
31,31,0.9244516653127539,0.9197584124245038,0.9258856201334078,0.9611948231417258,0.0034118602761982197,0.08164094232331431,0.06896831844029261,0.006986190089358413,0.003168155970755593,0.03330625507717311,0.02006498781478483,0.0010560519902518273
32,32,0.9195775792038993,0.9151670951156813,0.9215153206303648,0.9536208775146828,-0.00048740861088558685,0.08919577579203897,0.050203086921202345,0.013891145410235506,0.004955320877335412,0.05385865150284319,0.05069049553208782,0.008854589764419218
33,33,0.925264012997563,0.9209621993127147,0.9270389858885434,0.958593106380717,0.0019496344435419033,0.031762794476035916,0.10373679935012192,0.03168155970755482,0.005767668562144723,0.05255889520714874,0.033956133225020446,0.007392363931762902
34,34,0.9155158407798538,0.9098786828422877,0.9165537218634563,0.9499933561880463,0.0005686433793664625,0.03785540211210403,0.10942323314378566,0.040779853777416775,0.002030869212022779,0.03322502030869212,0.010154346060113673,0.021039805036555892
35,35,0.9212022745735174,0.9164513350559862,0.9227484121289431,0.956573387546839,-0.0019496344435419033,0.04849715678310318,0.017952883834280953,0.012672623883021927,-0.000893582453289965,0.025751421608448455,0.025995125913891082,0.0016246953696182898
36,36,0.9155158407798538,0.9094076655052264,0.9161511068590715,0.9476122139838953,-0.004467912266449936,0.06051990251827788,0.058813972380178825,0.027701056051990358,-0.005767668562144501,0.017952883834280953,0.039561332250203085,0.00463038180341202
37,37,0.9244516653127539,0.9200343938091143,0.926154030136331,0.9537218634563768,-0.0009748172217708406,0.0627944760357434,0.013322502030869487,0.006336311941510964,-0.0014622258326562054,0.0019496344435419033,0.033549959382615846,0.021121039805036768
38,38,0.9268887083671812,0.9226804123711341,0.9286746923915066,0.9523625395306811,0.0023558082859463925,0.01624695369618201,0.04630381803411865,0.023151909017059435,0.0032493907392362464,0.019171405361494753,0.024532900081234765,0.03866774979691312
39,39,0.9220146222583265,0.9166666666666666,0.9229623428738474,0.9534335220175927,-0.002437043054427379,0.03858651502843213,0.024126726238830054,0.020064987814784607,0.0034930950446790954,0.017140536149472085,0.046141348497156676,0.0032493907392362464
40,40,0.9220146222583265,0.916955017301038,0.9232307528767706,0.9461585479284594,0.009341998375304805,0.11324126726238826,0.09398862713241274,0.009341998375304583,0.00560519902518275,0.024207961007311263,0.06263200649878153,0.014865962632006458
41,41,0.9228269699431356,0.9180327868852459,0.9242499136304446,0.9444896223657285,0.004549147034930812,0.05085296506904957,0.08497156783103177,0.0056864337936636256,-0.0023558082859462814,0.030950446791226716,0.02201462225832651,0.021527213647441035
42,42,0.9082047116165719,0.9007901668129938,0.90818650508916,0.950342820696803,-0.004955320877335634,0.05304630381803421,0.05499593826157578,0.027538586515028496,-0.0016246953696181787,0.023395613322502062,0.01405361494719759,0.013484971567830906
