,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_low_temperature_scaled,feature_importance.B_low_temperature_fd1_scaled,feature_importance.B_low_temperature_fd2_scaled,feature_importance.B_low_temperature_fd3_scaled,feature_importance.B_low_humidity_scaled,feature_importance.B_low_humidity_fd1_scaled,feature_importance.B_low_humidity_fd2_scaled,feature_importance.B_low_humidity_fd3_scaled,feature_importance.B_top_temperature_scaled,feature_importance.B_top_temperature_fd1_scaled,feature_importance.B_top_temperature_fd2_scaled,feature_importance.B_top_temperature_fd3_scaled,feature_importance.B_top_humidity_scaled,feature_importance.B_top_humidity_fd1_scaled,feature_importance.B_top_humidity_fd2_scaled,feature_importance.B_top_humidity_fd3_scaled
84,84,0.9552609776304888,0.953125,0.9565107068389176,0.9819677195150205,0.006793703396851591,0.004722452361226148,-0.0005799502899751507,0.008119304059651888,0.0035625517812758467,0.0007456503728251462,-0.0010770505385252482,0.0014913007456502925,0.006296603148301494,0.001325600662800186,0.0018227009113505055,-0.005716652858326454,-0.004722452361226259,-0.0012427506213752437,0.004308202154100993,-0.002319801159900603,-0.0007456503728252573,8.285004142516428e-05,-0.0018227009113505055,-0.0008285004142501995,0.004391052195526046,0.010853355426677647,0.0024855012427504874,0.021458160729080356,0.0030654515327257492,0.0011599005799504125,0.0051367025683513035,0.002982601491300585
85,85,0.9453189726594863,0.9403254972875226,0.9439545800558233,0.9822628333131074,0.004391052195526046,0.0028169014084505895,0.005550952775476348,-0.00787075393537695,-0.015244407622203915,0.011433305716652797,0.003728251864125731,0.013090306545153196,-0.010273405136702385,0.0034797017398506824,0.008036454018227057,0.011019055509527642,0.0015741507870753457,0.001657000828500288,0.002071251035625443,0.0004971002485500975,0.003314001657000909,-0.000662800331400426,0.008036454018226835,0.000994200497100084,0.004639602319801095,0.015907207953603897,0.005965202982601392,0.010687655343827429,0.004888152444076144,0.0017398508699253412,0.003065451532725638,0.007787903893951786
86,86,0.9461474730737366,0.9439171699741156,0.9477469302648853,0.9877100272497602,-0.008533554266777155,-0.0038111019055508955,-0.000662800331400093,-0.0038111019055508955,-0.0025683512841756517,-0.005302402651201299,-0.00845070422535188,-0.014167357083678334,-0.001988400994200501,-0.007622203811101902,-0.003314001657000798,-0.0038111019055508955,0.0019055509527754477,-0.010190555095277443,0.005550952775476459,-0.0057995028997513964,0.0004971002485502085,-0.0028169014084507005,-0.002734051367025647,-0.0018227009113505055,0.0030654515327257492,0.001988400994200723,0.0004971002485502085,0.0002485501242749377,-0.0001657000828499955,0.003314001657000798,-0.0048053024026512015,-0.0032311516155757447
87,87,0.9386909693454847,0.9370748299319728,0.9412061604315832,0.9584634224374745,-0.001657000828500399,-0.0011599005799503015,0.0008285004142501995,-0.0033968516984259622,-0.0021541010770504965,0.0028997514498757537,-0.0021541010770504965,0.0009113504556751417,0.002071251035625443,-0.001988400994200501,-0.0230323115161557,-0.007539353769676849,-0.0030654515327258602,-0.0018227009113503945,0.0036454018227009,-0.002982601491300696,0.0018227009113503945,-0.0017398508699254522,-0.0019055509527754477,-0.006296603148301605,-0.005219552609776135,-0.000331400165700102,0.0024855012427507095,0.0024855012427507095,0.0030654515327258602,-0.000994200497100306,-0.002982601491300696,-0.0024855012427505985
88,88,0.9693454846727423,0.9672276350752879,0.9693743587480557,0.9908873272067341,0.0018227009113503945,0.0022369511184754387,0.004142502071250886,0.0067937033968517024,-0.000331400165700213,0.0014084507042253502,0.002734051367025647,0.0012427506213753547,0.018061309030654504,0.002319801159900492,0.0024855012427504874,-0.001988400994200612,0.005799502899751285,-0.0017398508699253412,0.012593206296603099,0.0173985086992543,0.0032311516155757447,0.0033968516984259622,0.004971002485501086,-0.0015741507870754567,0.0030654515327257492,0.0051367025683514145,0.01151615575807785,0.004308202154100993,0.00024855012427515977,0.007456503728251795,-0.00041425020712504423,0.002651201325600594
89,89,0.9005799502899752,0.8952879581151832,0.9012472005560275,0.9605402513156007,-0.013587406793703294,-0.008450704225352212,-0.0064623032311516004,-0.019221209610604695,-0.0351284175642087,-0.017895608947804398,-0.01516155758077864,-0.010521955260977434,-0.022203811101905502,-0.014167357083678445,-0.014167357083678445,-0.016155758077879057,-0.004473902236950877,-0.0034797017398509045,0.006710853355426649,0.006296603148301827,-0.004225352112676051,0.000662800331400204,-0.010853355426677758,-0.0028997514498756427,-0.006876553438276645,0.0024855012427504874,-0.01234465617232805,-0.005302402651201299,-0.0005799502899751507,-0.0028169014084505895,-0.0037282518641259532,-0.0011599005799503015
90,90,0.9386909693454847,0.9327272727272727,0.9369614862703133,0.9884574650000552,0.011599005799502904,-0.002402651201325545,0.012841756420878148,0.0117647058823529,-0.02775476387738196,0.013338856669428467,0.0012427506213754658,0.013835956917978343,-0.01681855840927915,0.0044739022369510995,0.005385252692626352,0.011267605633802802,-0.002319801159900714,0.0005799502899751507,0.004391052195526157,0.014995857497928533,-0.002734051367025536,0.016072908036454003,0.0001657000828499955,0.010273405136702607,0.0018227009113503945,0.01681855840927937,0.010439105219552824,0.003314001657000909,0.0005799502899750397,0.011930405965202895,0.0031483015741509135,0.020381110190555107
91,91,0.9585749792874897,0.9565217391304348,0.9597279988526417,0.9856635371733062,0.000331400165700213,0.002982601491300807,-0.0017398508699254522,0.0014913007456504035,-0.001988400994200501,0.008533554266777155,0.002651201325600705,0.001325600662800408,0.001657000828500288,0.008119304059652,0.0028169014084507005,0.007622203811102013,0.000331400165700213,0.0009113504556751417,0.0028169014084507005,-8.285004142483121e-05,0.002319801159900714,-0.0009113504556750307,0.0038111019055510065,-0.0004971002485499865,0.0020712510356255542,0.010273405136702718,0.004639602319801317,0.007373653686826964,0.0015741507870754567,-0.0014913007456504035,0.0007456503728252573,0.0041425020712512195
92,92,0.9494614747307374,0.9474590869939707,0.9511876261818342,0.9740934214445682,-0.0021541010770504965,0.0057995028997513964,0.003314001657000909,0.011847555923777953,-0.003314001657000687,-0.0031483015741509135,0.0020712510356256653,-0.00339685169842574,0.00198840099420039,-0.0038111019055510065,0.014995857497928755,-0.004722452361226037,0.003976801988401002,0.0031483015741508025,0.010521955260977545,0.002982601491300807,0.0051367025683513035,0.008782104391052203,0.007125103562551693,-0.004722452361226037,-0.002319801159900714,0.010687655343827651,0.02435791217895622,0.0008285004142501995,0.0034797017398510155,0.004556752278375931,-0.0017398508699254522,0.006710853355426649
93,93,0.9527754763877382,0.9505637467476149,0.9540698123407213,0.9791379367408405,-0.0037282518641259532,0.00041425020712515526,0.002402651201325545,0.010687655343827762,-0.0012427506213754658,-0.0038111019055508955,-0.0024855012427505985,-0.0028169014084507005,-0.002319801159900603,-0.004225352112676051,0.000662800331400204,0.006959403479701698,0.0064623032311516004,-0.0007456503728252573,-0.0035625517812758467,0.0010770505385252482,-0.000662800331400093,-0.0024855012427505985,-0.001988400994200501,-0.00165700082850051,-0.006545153272576765,-0.002734051367025647,0.023032311516155812,0.013256006628003303,-0.0020712510356255542,-0.0012427506213753547,-0.0030654515327257492,0.0018227009113503945
94,94,0.956089478044739,0.9531388152077808,0.9561700848383218,0.986962589499465,-0.007207953603976747,-0.006959403479701698,-0.006296603148301605,0.004639602319801095,-0.005716652858326454,-0.0034797017398507935,0.000662800331400093,-0.004391052195526157,-0.0007456503728251462,-0.0014913007456504035,0.00041425020712504423,-0.004308202154101104,0.00588235294117645,-0.0025683512841757627,0.004308202154100882,0.0010770505385252482,0.0037282518641259532,-0.0037282518641260642,-0.0015741507870753457,0.00198840099420039,-0.001325600662800297,-0.005302402651201632,0.009196354598177359,0.007207953603976747,0.0061309030654514984,0.004308202154101104,-0.0021541010770504965,-0.004556752278376264
