,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled
55,55,0.8384171475680132,0.8168224299065421,0.834256527914345,0.873656178302196,-0.003544929925803797,0.037757625721351995,0.06768342951360273,0.05474031327287732
56,56,0.8252267106347898,0.8044280442804428,0.8217974980880586,0.866265158964274,-0.003874690849134388,0.04888705688375927,0.04072547403132731,0.053503709810387434
57,57,0.8252267106347898,0.8037037037037037,0.821570796460177,0.8516743144324266,-0.0055234954657872315,0.022093981863149148,0.07650453421269587,0.0344600164880462
58,58,0.8359439406430338,0.8102955195424214,0.8305815033322408,0.8799874358133944,-0.0012366034624897715,0.05152514427040389,0.06990931574608406,0.06281945589447657
59,59,0.8375927452596867,0.8125594671741199,0.8323514148366655,0.865478531628974,0.0017312448474854358,0.033470733718054424,0.045919208573784065,0.147568013190437
60,60,0.8441879637262985,0.8222013170272813,0.8396577624822463,0.8696383699333552,0.004369332234130163,0.021352019785655263,0.11558120362737023,0.10140148392415493
61,61,0.8244023083264633,0.791380999020568,0.8173986671036819,0.8695919370698132,-0.00882110469909314,0.0620774938169828,0.09975267930750209,0.0548227535037098
62,62,0.8441879637262985,0.82186616399623,0.8395444116683055,0.8768108816781384,-0.001401483924154956,0.05366859027205284,0.0379225061830174,0.07370156636438574
63,63,0.8293487221764221,0.8049010367577757,0.8246353654539496,0.856997705670272,-0.009810387469084914,0.05028854080791423,0.04295136026380875,0.07419620774938185
64,64,0.8375927452596867,0.8118433619866284,0.832124713208784,0.8683764885829782,-0.0022258862324815443,0.06793075020610062,0.08755152514427045,0.06314921681780705
65,65,0.8359439406430338,0.8172635445362718,0.8328485196110564,0.8577242434174588,0.0034624896949710937,0.048639736191261385,0.04756801319043691,0.05968672712283596
66,66,0.8458367683429514,0.8270120259019427,0.8423344804981974,0.8629001420299355,0.006347897774113709,0.042209398186315084,0.05490519373454239,0.059521846661170774
67,67,0.8392415498763397,0.8151658767772512,0.8342346771550311,0.8627280673003387,-0.003215169002473095,0.017147568013190617,0.07840065952184672,0.07460840890354503
68,68,0.8260511129431163,0.8062442607897153,0.8229091554681525,0.8610947230416256,0.003874690849134499,0.059274525968672775,0.0173124484748558,0.07139323990107171
69,69,0.8342951360263808,0.8109125117591721,0.8297183983393424,0.8695045340325576,0.0005770816158283676,0.052596867271228254,0.06776586974443533,0.05622423742786464
70,70,0.8227535037098104,0.7914645974781765,0.8163088604829019,0.8548590626024254,-0.0044517724649629775,0.04154987633965379,0.053833470733718025,0.0925803792250619
71,71,0.8408903544929925,0.82277318640955,0.8378182016825084,0.8620943952802359,0.0011541632316569572,0.022671063478977627,0.1921681780708986,0.04699093157460843
72,72,0.8450123660346249,0.8249534450651769,0.8411094723041626,0.8741450890418443,0.0027205276174773196,0.04913437757625716,0.05820280296784841,0.11574608408903542
73,73,0.8507831821929102,0.8303655107778819,0.8465107068720639,0.8644215011471649,0.0030502885408079106,0.05243198680956307,0.0816982687551524,0.07320692497938996
74,74,0.8285243198680956,0.8063314711359404,0.8245438653993227,0.8605129465748934,0.0023907666941467287,0.03462489694971138,0.025721352019785648,0.1467436108821104
75,75,0.8408903544929925,0.8174077578051088,0.8360045886594559,0.8649978149240685,-0.0002473206924978877,0.05770816158285241,0.037757625721352106,0.10082440230832634
76,76,0.8244023083264633,0.7984862819299905,0.8194389817546159,0.8582732437452201,-0.0014839241549875481,0.013520197856554006,0.10049464138499586,0.08178070898598522
77,77,0.8441879637262985,0.82483781278962,0.8405645689937725,0.8703102807822571,-8.244023083259222e-05,0.07460840890354492,0.06009892827699914,0.034377576257213494
78,78,0.8375927452596867,0.8187672493100276,0.8343917294875998,0.8720829236315961,-0.0026380873866445054,0.03470733718054397,0.06619950535861496,0.07106347897774123
79,79,0.8351195383347073,0.8171846435100548,0.8323036163006665,0.864596307221676,0.0013190436933222527,0.022341302555647036,0.05696619950535842,0.07971970321516897
80,80,0.830997526793075,0.8089468779123952,0.8269720310280783,0.8628455151316509,-0.005276174773289344,0.05820280296784819,0.03272877164056065,0.08070898598516074
81,81,0.8384171475680132,0.8157894736842105,0.8339164754725227,0.8620397683819513,0.0009068425391591806,0.058037922506183004,0.07485572959604292,0.04583676834295136
82,82,0.8474855729596042,0.8285449490268767,0.8438776903747405,0.8600021850759314,-0.0004946413849959974,0.059274525968672664,0.06174773289365221,0.08054410552349545
83,83,0.8334707337180544,0.8119180633147114,0.8295135474707747,0.8711925051895553,-0.002885408079142726,0.035366859027205266,0.037180544105523405,0.1263808738664468
84,84,0.807914262159934,0.7735665694849369,0.8012864634546051,0.8440128919479952,-0.004946413849958753,0.06463314097279471,0.07930750206100579,0.05976916735366855
85,85,0.8276999175597691,0.8063021316033364,0.8239989620889325,0.8559652572926908,-0.007007419620774891,0.029513602638087333,0.05358615004122014,0.05375103050288543
86,86,0.8227535037098104,0.7965941343424787,0.817782421064132,0.8688790560471975,-0.006842539159109706,0.01302555647155812,0.06463314097279471,0.095795548227535
87,87,0.8334707337180544,0.8083491461100569,0.8283800393313667,0.8685758767617173,-0.007584501236603591,0.022258862324814555,0.08722176422093975,0.05671887881286064
88,88,0.8375927452596867,0.8139754485363551,0.8328048180924288,0.8704222659237408,0.0030502885408079106,0.04427040395713111,0.10148392415498775,0.04031327287716413
89,89,0.841714756801319,0.8228782287822878,0.8383631049928986,0.8712143559488692,0.0018961253091507313,0.0647155812036273,0.12811211871393235,0.03124484748557299
90,90,0.8384171475680132,0.815442561205273,0.8338031246585819,0.8702119523653448,0.00206100577081636,0.03058532563891192,0.03841714756801318,0.08342951360263806
91,91,0.8408903544929925,0.8167141500474834,0.8357778870315744,0.8660794275101059,-0.0037922506183017957,0.04657873042044525,0.05737840065952171,0.10717230008244016
