,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled
55,55,0.8703855619360131,0.8626086956521739,0.8708952396416876,0.9324186084273768,-0.0013125512715339571,0.01123872026251016,0.05635767022149307,0.041345365053322314
56,56,0.8687448728465955,0.8620689655172413,0.8698479066872344,0.9240047630645991,0.0009023789991796649,0.017473338802296956,0.04036095159967179,0.05939294503691561
57,57,0.8630024610336341,0.8566523605150215,0.8643757949717192,0.9134827203593949,0.002050861361772016,0.004019688269072952,0.05045118949958971,0.05406070549630848
58,58,0.8564397046759639,0.8487467588591184,0.8572961489540202,0.9129495818787041,0.0022969647251845915,0.04339622641509433,0.08638228055783426,0.021493027071369908
59,59,0.8498769483182936,0.8418323249783924,0.8506982219696355,0.923382317122676,-0.0018047579983593298,0.015832649712879343,0.10262510254306811,0.05332239540607053
60,60,0.8703855619360131,0.8576576576576577,0.8684866444751157,0.9301236773023734,-0.002543068088597278,0.024282198523379872,0.0546349466776046,0.10467596390484002
61,61,0.8474159146841673,0.8429054054054054,0.8498498010879272,0.9186923222646208,-0.0004922067268251507,0.022149302707136997,0.09376538146021329,0.048482362592288775
62,62,0.8712059064807219,0.8599464763603925,0.8699737490189711,0.9315038835214202,0.00041017227235440323,0.04339622641509444,0.09606234618539788,0.022477440525020542
63,63,0.8769483182936834,0.8672566371681416,0.8762888690427864,0.9398906660171578,-0.008203445447087843,0.023461853978671177,0.07186218211648887,0.06628383921246928
64,64,0.8638228055783429,0.8573883161512027,0.865140320965603,0.9279748856593868,-0.003937653814602093,0.02551271534044297,0.055619360131255235,0.051435602953240456
65,65,0.8638228055783429,0.8578767123287672,0.8653811804822603,0.9234499742902762,-0.0004922067268252617,0.006070549630845079,0.044790812141099146,0.08416735028712052
66,66,0.8769483182936834,0.8688811188811189,0.8771318773510866,0.9343454845606344,0.008777686628383963,0.028219852337981965,0.044298605414273995,0.05209187858900732
67,67,0.8556193601312552,0.8490566037735849,0.8570133419934508,0.9180022191550972,0.0011484823625923513,0.016406890894175574,0.04864643150123049,0.05750615258408531
68,68,0.8695652173913043,0.8581623550401427,0.8683242672728748,0.9378068252550675,-0.007219031993437319,0.018129614438064046,0.10828547990155857,0.047169811320754707
69,69,0.8654634946677605,0.8581314878892734,0.8663080836783849,0.9310194582014019,0.0008203445447089175,0.012223133716160794,0.05750615258408531,0.04954881050041027
70,70,0.8630024610336341,0.852603706972639,0.8624489188384618,0.9281264377148114,-0.006070549630844968,0.01771944216570953,0.04643150123051687,0.06406890894175554
71,71,0.8695652173913043,0.8618592528236316,0.8701307136478038,0.9301128521555575,0.006644790812140977,0.020262510254306698,0.07834290401968824,0.06193601312551267
72,72,0.8630024610336341,0.8554112554112554,0.8637736461800762,0.9249438445508915,0.001476620180475674,0.03388022969647253,0.015340442986054081,0.02969647251845775
73,73,0.8539786710418376,0.8470790378006873,0.855243430489026,0.928846309978079,-0.00016406890894171688,-0.005578342904019706,0.07424118129614443,0.059721082854798935
74,74,0.8794093519278097,0.8691006233303651,0.8783415875077806,0.9286162756082379,0.008531583264971276,0.026415094339622636,0.04175553732567683,0.07940935192780962
75,75,0.85233798195242,0.845360824742268,0.8535939487429298,0.9251901166409568,-0.006480721903199371,0.0225594749794914,0.10516817063166528,0.03675143560295335
76,76,0.8646431501230517,0.8551360842844601,0.8644596898595438,0.9293307352980974,0.0022969647251845915,0.0011484823625923513,0.11181296144380637,0.08269073010664485
77,77,0.8687448728465955,0.8601398601398601,0.8688844686206056,0.9257449054152798,-0.0028712059064807116,0.020426579163248637,0.08260869565217388,0.0447087776866284
78,78,0.8794093519278097,0.8679245283018868,0.8777394387161376,0.926984384725718,-0.00533223954060702,0.022313371616078825,0.02789171452009842,0.09212469237079568
79,79,0.8638228055783429,0.8523131672597865,0.8627317257990312,0.9312170171307947,-0.007711238720262581,0.003117309269893398,0.05406070549630859,0.11698113207547167
80,80,0.8630024610336341,0.8559102674719585,0.8640145056967334,0.9273578522908716,-0.0045118949958982135,0.024692370795734053,0.041919606234618545,0.05471698113207557
81,81,0.8728465955701394,0.8617305976806423,0.8716232307650673,0.9278016833103299,0.0009023789991796649,0.010664479081213929,0.09835931091058248,0.10344544708777681
82,82,0.8605414273995078,0.853195164075993,0.8614800681984249,0.9205271846499418,1.1102230246251565e-16,0.01132075471698113,0.036505332239540556,0.038966365873666975
83,83,0.867104183757178,0.8610634648370498,0.8685597142161241,0.9253957944304619,0.0037735849056604875,0.012387202625102511,0.03281378178835126,0.04651353568498784
84,84,0.8613617719442166,0.8551842330762639,0.8628467429839517,0.9217341885199318,0.002050861361772016,0.012141099261689936,0.016899097621000836,0.08482362592288761
85,85,0.8572600492206727,0.8512820512820513,0.8589036832562041,0.9378041189683635,-0.003281378178835004,0.005168170631665192,0.040114848236259215,0.07596390484003279
86,86,0.8695652173913043,0.8594164456233422,0.8689264160645178,0.9180184568753214,0.0002461033634125753,0.017965545529122218,0.04930270713699747,0.06652994257588196
