,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
40,40,0.9363265306122449,0.9327586206896552,0.9378519710378117,0.9646875838026281,0.029224489795918296,0.010040816326530533,0.03673469387755113,0.02114285714285724,0.07240816326530608,0.010775510204081518,0.05877551020408167,0.018938775510204175
41,41,0.9126530612244897,0.9104602510460251,0.9162644140520246,0.9594073478144275,0.06375510204081625,0.017306122448979444,0.041224489795918196,0.004081632653061162,0.0046530612244897185,0.04089795918367334,0.0544489795918367,0.039755102040816226
42,42,0.9151020408163265,0.9086115992970123,0.915097881469563,0.9634003754357736,-0.004734693877551099,0.010285714285714231,0.00016326530612242873,-0.0004081632653060163,-0.012653061224489837,0.0046530612244898295,0.008897959183673532,0.041551020408163164
43,43,0.9371428571428572,0.9326334208223972,0.9375905068382944,0.9686162510056315,0.004734693877550988,0.029551020408163153,0.024408163265306038,0.006857142857142895,0.003918367346938845,0.03779591836734697,0.04497959183673461,0.0119999999999999
44,44,0.9346938775510204,0.9319727891156463,0.9372284794851167,0.9664950388844195,0.014122448979591917,0.011673469387755042,0.024653061224489736,0.004163265306122543,-0.0007346938775509848,0.00922448979591839,0.025469387755102102,0.008489795918367182
45,45,0.8693877551020408,0.8707592891760905,0.8754759989273264,0.9508152319656743,0.09110204081632656,0.010122448979591914,0.05248979591836733,0.03755102040816327,-0.020816326530612272,0.041306122448979576,0.07518367346938781,0.08171428571428585
46,46,0.9371428571428572,0.9333333333333333,0.9383547868061142,0.9652587825154197,0.09967346938775512,0.03755102040816338,0.029387755102040836,0.009795918367347056,0.05771428571428583,0.07828571428571429,0.01812244897959192,0.017551020408163254
47,47,0.9281632653061225,0.9242685025817556,0.9297666934835076,0.957358541163851,0.016081632653061284,0.004979591836734798,0.010122448979591914,0.015183673469387649,0.013714285714285679,0.019020408163265445,0.00628571428571445,0.026367346938775627
48,48,0.9053061224489796,0.9023569023569024,0.9084271922767497,0.9606972378653794,0.052244897959183634,0.005061224489795957,-0.005061224489796068,-0.0058775510204082115,0.022040816326530654,0.01387755102040833,0.028326530612244882,0.0008163265306122547
49,49,0.9216326530612244,0.9173838209982789,0.9231965674443551,0.9534486457495306,0.01820408163265308,0.0021224489795917956,-0.0034285714285715585,0.0009795918367345724,0.05812244897959162,0.01632653061224476,0.016081632653061284,0.00604081632653064
50,50,0.9248979591836735,0.9201388888888888,0.9258447304907482,0.9611423974255832,0.021959183673469385,0.004571428571428671,0.012244897959183598,-0.005795918367346942,0.04955102040816328,0.015591836734693887,0.026775510204081754,0.017632653061224524
51,51,0.9387755102040817,0.934612031386225,0.9394877983373559,0.9641646554035935,0.010612244897959422,0.013795918367346949,0.008571428571428674,0.006938775510204165,-0.0052244897959182746,0.010448979591836882,0.004979591836734798,0.027591836734693898
52,52,0.9102040816326531,0.9024822695035462,0.9095333869670152,0.9539688924644677,-0.012979591836734583,0.005795918367347053,-0.002530612244897923,0.006857142857143006,0.025142857142857133,0.008816326530612262,0.03967346938775518,0.01232653061224509
53,53,0.9224489795918367,0.919831223628692,0.9254827031375703,0.961635827299544,0.004897959183673417,0.016081632653061173,0.020571428571428574,0.008489795918367404,-0.016000000000000125,0.040163265306122464,0.04089795918367334,0.0212244897959184
54,54,0.9281632653061225,0.9245283018867925,0.9300214534727809,0.9515473317243229,0.029224489795918407,0.012408163265306138,0.0320816326530613,0.011755102040816423,-0.002612244897959193,0.02432653061224488,0.06628571428571439,0.03673469387755102
55,55,0.8955102040816326,0.8935108153078203,0.8994636631804773,0.9673451327433629,0.1362448979591836,0.023102040816326386,0.02424489795918361,0.008734693877551103,0.10628571428571432,0.015510204081632506,-0.0028571428571428914,0.08065306122448967
56,56,0.7706122448979592,0.792619926199262,0.7835545722713864,0.9210351300616788,0.05926530612244907,0.02424489795918372,0.03518367346938778,0.07551020408163278,0.04946938775510201,0.015591836734693887,0.033877551020408236,0.029224489795918296
57,57,0.923265306122449,0.9193825042881647,0.9250938589434164,0.9556074014481094,0.026857142857142913,0.0008163265306121437,0.029387755102040836,0.009469387755101977,0.013632653061224409,0.0021224489795917956,0.0164897959183673,0.011102040816326486
58,58,0.929795918367347,0.92573402417962,0.9311544650040225,0.9537811745776347,0.005551020408163354,0.00906122448979585,0.012571428571428456,0.0077551020408165305,0.003265306122449241,0.005142857142857338,0.011510204081632613,0.011265306122449026
59,59,0.9257142857142857,0.9218884120171674,0.9274939662107804,0.9582032716545991,0.08473469387755095,0.027755102040816215,0.011510204081632724,0.0022857142857144463,0.11844897959183665,0.014612244897959203,0.030775510204081757,0.01208163265306128
60,60,0.9485714285714286,0.9449781659388646,0.9492156074014482,0.9703030303030302,0.016571428571428792,0.019346938775510192,0.010040816326530755,0.014367346938775505,0.04269387755102039,0.04497959183673472,0.015755102040816205,0.04555102040816328
61,61,0.9379591836734694,0.9341421143847487,0.9391123625636899,0.95597747385358,0.01657142857142846,0.020000000000000018,0.010122448979591803,0.01085714285714312,0.03518367346938789,0.010285714285714342,0.031020408163265234,0.03175510204081644
62,62,0.9216326530612244,0.9166666666666666,0.9225596674711719,0.9601823545186378,0.0064489795918365456,0.012000000000000122,0.005061224489795846,-0.0058775510204082115,-0.0017142857142860013,0.004897959183673528,0.010938775510203946,0.009959183673469263
63,63,0.916734693877551,0.9135593220338983,0.9194153928667204,0.9582086350227942,0.10620408163265305,0.015755102040816538,0.003591836734693876,0.02457142857142869,0.12914285714285723,0.014040816326530758,0.023102040816326497,0.007918367346938848
