,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
67,67,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9188634029441971,-0.0036529680365297024,-0.005479452054794609,-0.005022831050228271,-0.0031963470319634757,0.19726027397260282,-0.00045662100456611565,0.0018264840182649067,-0.004566210045662156
68,68,0.863013698630137,0.8275862068965517,0.8519342690859295,0.9162102019856215,0.05251141552511418,-0.0031963470319634757,-0.0004566210045663377,-0.0004566210045663377,-0.0018264840182649067,-0.0022831050228310223,0.005022831050228382,0.004566210045662156
69,69,0.9041095890410958,0.8877005347593583,0.9038428620335501,0.9140705237932215,0.31643835616438365,0.033333333333333326,0.04748858447488591,0.02100456621004565,0.28356164383561633,0.041095890410958846,0.0365296803652968,0.017808219178082285
70,70,0.8904109589041096,0.8666666666666667,0.8845429647381033,0.9182642930503252,0.06803652968036533,0.002739726027397249,0.008675799086757974,0.010045662100456765,0.1735159817351598,0.022831050228310557,0.03789954337899559,0.010045662100456765
71,71,0.8812785388127854,0.8539325842696629,0.8736733995207121,0.9130434782608696,0.13607305936073066,0.0036529680365297024,-0.0022831050228311334,0.0182648401826484,0.06347031963470318,-0.0009132420091323423,0.013698630136986356,-0.008675799086757974
72,72,0.8493150684931506,0.8374384236453202,0.859594317014721,0.9139849366655255,0.3050228310502282,0.05479452054794509,0.059817351598173474,0.029680365296803513,0.36666666666666664,0.026940639269406486,0.004566210045662156,0.057077625570776336
73,73,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9237418692228688,0.004109589041095929,-0.0009132420091324533,0.0036529680365295913,0.005479452054794498,0.27260273972602744,-0.0018264840182649067,0.008219178082191636,0.0018264840182646847
74,74,0.863013698630137,0.8275862068965517,0.8519342690859295,0.905939746662102,0.001369863013698569,-0.00045662100456611565,0.002739726027397249,-0.00045662100456611565,0.02648401826484026,0.007305936073059516,0.001369863013698569,0.004109589041095929
75,75,0.7899543378995434,0.7676767676767676,0.7949332420403972,0.8781239301609037,0.3538812785388128,0.1164383561643837,0.1547945205479453,0.17397260273972603,0.35296803652968045,0.14474885844748864,0.13424657534246587,0.011415525114155223
76,76,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9129578911331735,0.14337899543378996,0.0022831050228310223,0.0036529680365295913,0.006392694063926951,0.031050228310502304,0.004566210045662045,0.004566210045662045,0.012785388127854014
77,77,0.867579908675799,0.8284023668639053,0.8528757274905854,0.9251968503937007,0.07579908675799096,0.06347031963470307,0.025570776255707806,0.10319634703196345,0.1826484018264839,0.04292237442922364,0.031050228310502304,0.11004566210045663
78,78,0.8812785388127854,0.8539325842696629,0.8736733995207121,0.906282095172886,0.23972602739726034,0.03150684931506853,0.031963470319634646,0.04429223744292232,0.22191780821917806,0.04063926940639273,0.01187214611872156,0.01461187214611881
79,79,0.8904109589041096,0.8666666666666667,0.8845429647381033,0.9296473810338924,0.2388127853881279,0.04703196347031979,0.032420091324200984,0.0365296803652968,0.27990867579908685,0.01735159817351617,0.04748858447488591,0.03287671232876721
80,80,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9101335159192058,0.06894977168949767,0.009589041095890427,-0.0009132420091324533,0.010045662100456654,-0.004109589041095929,0.009589041095890427,0.01324200913242013,0.0022831050228310223
81,81,0.863013698630137,0.8314606741573034,0.8549298185552893,0.9080794248545018,0.32968036529680367,0.15022831050228314,0.14200913242009128,0.16301369863013704,0.3853881278538814,0.01872146118721474,0.06666666666666665,0.1328767123287672
82,82,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9273365285861007,0.028310502283105166,-0.011415525114155223,-0.005479452054794387,-0.02237442922374433,0.10456621004566202,-0.005022831050228271,-0.005022831050228493,-0.01187214611872145
83,83,0.8995433789954338,0.8854166666666666,0.9029014036288943,0.9133002396439576,0.2662100456621004,0.042465753424657526,0.02237442922374444,0.0273972602739726,0.36621004566210047,0.04931506849315059,0.025570776255707695,0.03242009132420087
84,84,0.8904109589041096,0.8666666666666667,0.8845429647381033,0.9196336870934612,0.19406392694063923,0.0018264840182650177,0.001369863013698902,0.008219178082191858,0.0931506849315068,0.006849315068493178,0.015981735159817267,0.03196347031963476
85,85,0.8904109589041096,0.8695652173913043,0.8875385142074632,0.9144128723040055,0.2534246575342467,0.008675799086757974,0.03972602739726028,0.00136986301369868,0.08721461187214608,-0.0031963470319635867,0.008675799086757974,0.06940639269406401
86,86,0.8995433789954338,0.8791208791208791,0.8954125299554947,0.9197192742211571,0.21598173515981733,0.03150684931506864,0.005479452054794498,0.006392694063927062,0.09086757990867578,0.008675799086758196,0.012328767123287565,0.005022831050228382
87,87,0.8584474885844748,0.845771144278607,0.8674683327627525,0.9192057514549812,0.30410958904109586,-0.00136986301369868,0.03789954337899548,0.03242009132420087,0.239269406392694,0.022831050228310446,0.005479452054794498,-0.005479452054794609
88,88,0.8949771689497716,0.8743169398907104,0.891475522081479,0.9126155426223896,0.21095890410958895,0.008219178082191747,-0.0036529680365298134,0.030593607305936077,0.31141552511415527,0.0730593607305936,0.02237442922374433,0.043835616438356206
89,89,0.8356164383561644,0.8252427184466019,0.8477832933926737,0.922286888052037,0.3579908675799088,0.02876712328767128,0.01598173515981749,0.00136986301369868,0.30410958904109586,0.05936073059360736,0.05890410958904113,0.091324200913242
90,90,0.8767123287671232,0.847457627118644,0.8682386169120164,0.9125299554946935,0.002739726027397138,-0.006849315068493178,-0.012328767123287676,-0.0018264840182649067,0.17990867579908676,-0.0031963470319634757,0.021917808219177992,0.0237442922374429
91,91,0.9041095890410958,0.8877005347593583,0.9038428620335501,0.921516603902773,0.31461187214611863,0.05388127853881264,0.005936073059360614,0.028310502283104833,0.0748858447488584,0.02100456621004565,0.013698630136986134,0.022831050228310334
92,92,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9071379664498459,-0.005936073059360725,0.007305936073059405,0.005479452054794498,0.008675799086758085,0.0036529680365295913,0.005479452054794498,0.006849315068493178,0.0031963470319634757
93,93,0.8904109589041096,0.8695652173913043,0.8875385142074632,0.919120164327285,0.17579908675799094,0.03789954337899537,0.0182648401826484,0.004566210045662156,0.09223744292237446,0.020547945205479534,0.026484018264840148,0.038812785388127824
94,94,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.9209174940089011,0.0022831050228311334,-0.004566210045662156,-0.0031963470319635867,0.00502283105022816,-0.005022831050228271,0.001369863013698569,0.0,-0.007762557077625631
95,95,0.91324200913242,0.8972972972972973,0.9117168777815816,0.9204039712427251,0.2844748858447488,0.0602739726027397,0.033333333333333326,0.016894977168949832,0.21187214611872152,0.011415525114155334,0.030593607305936077,0.020091324200913196
96,96,0.8949771689497716,0.8729281767955801,0.8899777473467991,0.9202327969873332,0.26940639269406397,0.021917808219177992,0.013242009132420018,0.006849315068493178,0.007762557077625409,0.023287671232876783,0.015068493150684925,0.02511415525114169
97,97,0.8127853881278538,0.7960199004975125,0.8206093803491954,0.9031153714481341,0.35799086757990867,0.09954337899543375,0.05616438356164377,0.06621004566210054,0.2210045662100456,0.06301369863013695,0.06894977168949767,-0.010958904109589107
98,98,0.8858447488584474,0.8603351955307262,0.8791081821294078,0.9212598425196851,0.20593607305936068,0.03424657534246589,0.005022831050228382,0.041095890410958846,0.0031963470319634757,0.030593607305936077,0.016438356164383494,0.020547945205479423
99,99,0.6940639269406392,0.7172995780590717,0.7257360492981855,0.8779527559055117,0.26712328767123295,0.06164383561643816,0.0694063926940639,0.0730593607305936,0.2589041095890411,0.027853881278538717,0.025114155251141468,0.015981735159817267
100,100,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9171516603902773,0.0748858447488584,0.001369863013698569,-0.005022831050228382,-0.010045662100456654,0.12009132420091317,-0.004566210045662156,0.0031963470319634757,-0.0031963470319634757
101,101,0.8721461187214612,0.8409090909090909,0.8628038343033209,0.9091920575145498,0.2095890410958905,-0.002739726027397138,-0.0004566210045662267,0.008219178082191747,0.10502283105022836,0.01598173515981738,-0.0004566210045662267,0.02237442922374433
102,102,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9133858267716535,-0.006849315068493178,0.0004566210045663377,-0.001369863013698569,0.0009132420091324533,-0.009589041095890316,0.0022831050228312444,-0.00045662100456611565,0.00273972602739736
103,103,0.9041095890410958,0.8900523560209425,0.90683841150291,0.9185210544334133,0.3082191780821917,0.026940639269406264,0.04474885844748855,0.03013698630136996,0.20867579908675793,0.02602739726027381,0.08630136986301362,0.00639269406392684
104,104,0.863013698630137,0.8333333333333334,0.8564275932899692,0.9162102019856213,0.2954337899543379,0.1442922374429223,0.14748858447488578,0.09041095890410955,0.34748858447488584,0.18538812785388126,0.13242009132420096,0.091324200913242
105,105,0.867579908675799,0.8342857142857143,0.8573690516946251,0.9171516603902773,0.018721461187214516,-0.01187214611872156,-0.005022831050228382,-0.01187214611872156,0.12328767123287665,-0.0004566210045663377,-0.0091324200913242,-0.00045662100456611565
106,106,0.8493150684931506,0.8070175438596491,0.8356299212598426,0.9112461485792538,0.009589041095890205,0.01826484018264829,-0.0009132420091323423,-0.00136986301369868,0.010045662100456543,0.006392694063926951,0.001369863013698569,0.004566210045662045
107,107,0.9041095890410958,0.8877005347593583,0.9038428620335501,0.9085929476206779,0.3009132420091324,0.0328767123287671,0.07397260273972595,0.0694063926940639,0.29269406392694053,0.03013698630136974,0.0036529680365297024,0.04931506849315059
108,108,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9163813762410133,0.04748858447488602,-0.002739726027397138,-0.0036529680365298134,-0.008675799086757863,-0.005479452054794498,-0.005936073059360725,0.001369863013698569,-0.001369863013698569
109,109,0.8584474885844748,0.8208092485549133,0.8464994864772338,0.922800410818213,-0.01552511415525104,-0.010958904109589107,0.005479452054794498,-0.005479452054794609,0.17945205479452053,0.0031963470319634757,0.001369863013698569,-0.020547945205479423
110,110,0.867579908675799,0.8342857142857143,0.8573690516946251,0.923570694967477,0.057077625570776114,-0.004566210045662156,-0.0009132420091324533,-0.005479452054794609,0.03652968036529669,0.00273972602739736,0.004109589041095929,-0.0091324200913242
111,111,0.771689497716895,0.7706422018348624,0.7911674084217734,0.9093632317699417,0.3223744292237444,-0.015068493150684925,-0.0022831050228310223,0.01050228310502288,0.3036529680365297,0.019178082191780854,-0.0031963470319634757,-0.005479452054794609
112,112,0.863013698630137,0.8295454545454546,0.8534320438206093,0.919976035604245,0.10136986301369866,-0.001369863013698569,-0.0036529680365295913,-0.004566210045662045,0.004566210045662156,-0.005936073059360614,-0.014155251141552583,0.014155251141552472
113,113,0.8538812785388128,0.813953488372093,0.8410647038685382,0.9182642930503252,-0.0018264840182649067,0.0,0.0004566210045663377,-0.0022831050228310223,-0.010958904109588885,-0.006849315068493178,-0.008219178082191747,-0.001369863013698569
