,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled
96,96,0.8167330677290837,0.7745098039215687,0.8255742411812962,0.899712879409352,-0.002788844621513964,0.14302788844621506,0.1478087649402391,0.1541832669322708
97,97,0.8605577689243028,0.8341232227488151,0.8807765928356577,0.9122231337161608,0.3760956175298806,0.3250996015936255,0.3127490039840638,0.3310756972111554
98,98,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9269893355209188,0.07171314741035861,0.3159362549800797,0.3561752988047808,0.35856573705179295
99,99,0.852589641434263,0.8262910798122066,0.874487284659557,0.9197429587093247,0.1410358565737051,0.27928286852589645,0.3019920318725099,0.3406374501992032
100,100,0.8645418326693227,0.8425925925925926,0.890791632485644,0.896636587366694,0.16135458167330674,0.3235059760956175,0.3350597609561753,0.3557768924302789
101,101,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9279464041564124,0.2103585657370518,0.2772908366533865,0.3079681274900399,0.31474103585657376
102,102,0.8406374501992032,0.7802197802197802,0.8261211375444353,0.9109926168990975,0.015936254980079778,0.1318725099601593,0.10159362549800799,0.09203187250996014
103,103,0.8565737051792829,0.8021978021978022,0.8432800109379273,0.922203992343451,0.00039840637450194727,0.12031872509960151,0.12509960159362543,0.13227091633466126
104,104,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9330051955154499,0.20836653386454174,0.3808764940239043,0.40278884462151393,0.3796812749003984
105,105,0.8685258964143426,0.8465116279069768,0.8939362865736943,0.917760459392945,0.2505976095617529,0.28685258964143434,0.30478087649402386,0.3075697211155378
106,106,0.8326693227091634,0.7980769230769231,0.8473133716160788,0.9131802023516544,0.01912350597609569,0.27091633466135456,0.2764940239043825,0.26374501992031874
107,107,0.852589641434263,0.7955801104972375,0.8378452283292317,0.9302707136997539,0.00039840637450194727,0.16135458167330674,0.16972111553784852,0.13346613545816732
108,108,0.8565737051792829,0.8348623853211009,0.8845023243095433,0.9148208914410719,0.24980079681274892,0.2948207171314743,0.3099601593625497,0.3019920318725101
109,109,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9296554552912223,0.22828685258964143,0.3211155378486057,0.3780876494023904,0.3737051792828686
110,110,0.8406374501992032,0.801980198019802,0.8490224227508887,0.9138638228055783,0.29003984063745036,0.19601593625497993,0.18167330677290838,0.17211155378486054
111,111,0.8446215139442231,0.7868852459016393,0.8315559201531311,0.9060705496308449,0.05896414342629486,0.18525896414342624,0.1772908366533864,0.17370517928286844
112,112,0.8725099601593626,0.8504672897196262,0.8970809406617446,0.9066858080393767,0.34860557768924305,0.32231075697211164,0.3322709163346613,0.3390438247011952
113,113,0.8685258964143426,0.8465116279069768,0.8939362865736943,0.9223407164342358,0.03585657370517936,0.26533864541832664,0.24820717131474102,0.24302788844621503
114,114,0.8645418326693227,0.8425925925925926,0.890791632485644,0.929928903472792,0.13147410358565736,0.28326693227091637,0.3151394422310757,0.28764940239043824
115,115,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9282882143833743,0.19322709163346607,0.30478087649402397,0.3358565737051793,0.3705179282868525
116,116,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9261006289308176,0.25856573705179275,0.2673306772908366,0.2948207171314742,0.28007968127490035
117,117,0.8366533864541833,0.783068783068783,0.829846869018321,0.8806398687448729,-0.026294820717131406,0.12310756972111547,0.0677290836653387,0.050996015936255024
118,118,0.8605577689243028,0.8148148148148148,0.8555851791085589,0.9221356302980586,0.1071713147410358,0.18366533864541834,0.19482071713147397,0.13346613545816732
119,119,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9228192507519825,0.11434262948207163,0.2804780876494024,0.31394422310756964,0.31992031872509963
120,120,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9235712332512989,0.07888446215139444,0.38247011952191223,0.36852589641434264,0.36852589641434264
121,121,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9125649439431228,0.15298804780876485,0.24621513944223106,0.27689243027888444,0.2860557768924302
122,122,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9226825266611978,0.021115537848605537,0.3521912350597609,0.3482071713147411,0.35936254980079674
123,123,0.8406374501992032,0.8,0.8467322942302433,0.9154361498496035,0.20358565737051793,0.13585657370517923,0.12151394422310757,0.1394422310756972
124,124,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9183073557560841,0.3051792828685259,0.3103585657370518,0.27689243027888444,0.2972111553784862
125,125,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9199480448455019,0.15737051792828682,0.31394422310756964,0.3191235059760956,0.3326693227091634
126,126,0.8685258964143426,0.8405797101449275,0.8847757724911129,0.9361498496035002,0.023505976095617442,0.34183266932270906,0.3350597609561753,0.3505976095617531
127,127,0.8725099601593626,0.8476190476190476,0.8925006836204539,0.9152310637134263,0.2665338645418326,0.3243027888446215,0.32629482071713156,0.34262948207171307
128,128,0.8605577689243028,0.8372093023255814,0.8853568498769484,0.9312277823352474,0.08286852589641436,0.3103585657370519,0.3434262948207173,0.3418326693227093
129,129,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9245283018867925,0.11912350597609556,0.2358565737051792,0.2737051792828684,0.27450199203187253
130,130,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9130434782608695,0.2820717131474103,0.34780876494023905,0.35258964143426297,0.3545816733067728
131,131,0.8446215139442231,0.7821229050279329,0.8269756631118403,0.8885015039649986,0.03665338645418326,0.08047808764940234,0.04342629482071725,0.026294820717131517
132,132,0.8685258964143426,0.8436018957345972,0.8893560295324037,0.9266475252939568,0.15776892430278877,0.21593625498007962,0.21314741035856566,0.20318725099601587
133,133,0.8645418326693227,0.8425925925925926,0.890791632485644,0.9229559748427674,0.11633466135458159,0.3888446215139443,0.36733067729083674,0.3768924302788845
