,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.leftlow_temperature_scaled,feature_importance.leftlow_temperature_fd1_scaled,feature_importance.leftlow_temperature_fd2_scaled,feature_importance.leftlow_temperature_fd3_scaled,feature_importance.leftlow_humidity_scaled,feature_importance.leftlow_humidity_fd1_scaled,feature_importance.leftlow_humidity_fd2_scaled,feature_importance.leftlow_humidity_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_humidity_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_humidity_fd3_scaled
10,10,0.895910780669145,0.8526315789473684,0.8921947924342913,0.9732252517808893,-0.005947955390334547,0.0014869888475836923,-0.0014869888475836923,0.014126394052044633,0.004832713754647,0.010037174721189701,0.018215613382899565,-0.013011152416356975,0.005576208178438735,0.004460966542751077,0.014498141263940556,0.009665427509293667,-0.005947955390334547,-0.006319702602230581,0.010780669144981325,-0.006319702602230581,-0.0014869888475835813,0.01115241635687747,0.003717472118959231,-0.01635687732342006,0.006691449814126504,0.014869888475836257,-0.0022304832713753164,-0.0011152416356877692,-0.0070631970260224275,0.008178438661710086,-0.007806691449814385,-0.0011152416356876582
11,11,0.8587360594795539,0.7978723404255319,0.8482866617538688,0.9578113485630066,-0.0007434944237918462,-0.0026022304832713505,-0.005576208178438735,-0.0033457249070631967,-0.0003717472118959231,0.0022304832713753164,-0.005576208178438735,-0.0007434944237918462,0.0026022304832712395,-0.005947955390334658,-0.004832713754646889,0.0074349442379181285,-0.004089219330854932,0.0018587360594795044,-0.0070631970260223165,-0.006319702602230581,-0.008550185873605898,-0.0026022304832713505,-0.007806691449814163,-0.008178438661710086,-0.0018587360594795044,-0.01003717472118959,-0.013382899628252787,-0.0037174721189590088,-0.0022304832713754275,-0.0011152416356877692,0.0018587360594795044,0.010037174721189479
12,12,0.8847583643122676,0.8324324324324325,0.8732805207565708,0.9709530827806436,-0.010780669144981436,-0.006691449814126282,-0.008178438661709864,-0.00892193308550171,0.011895910780669094,-0.0026022304832713505,0.008550185873606009,-0.017843866171003864,-0.0014869888475836923,0.009293680297397744,-0.015613382899628436,-0.019702602230483368,-0.010780669144981214,-0.0070631970260222054,-0.014126394052044855,-0.0007434944237917351,-0.020446096654275214,-0.0070631970260222054,-0.010037174721189368,0.0237918215613383,0.0011152416356877692,-0.010408921933085513,-0.00892193308550171,-0.004089219330855043,0.008178438661710086,0.0011152416356877692,-0.020446096654275325,-0.005204460966542701
13,13,0.8661710037174721,0.8105263157894737,0.8591562269712602,0.9594080078604765,0.0022304832713754275,-0.005576208178438735,-0.005204460966542812,0.0011152416356876582,0.003717472118959231,-0.01375464684014871,-0.010780669144981325,-0.0018587360594795044,0.009665427509293556,-0.010408921933085402,0.010037174721189701,-0.0026022304832713505,0.008550185873605898,-0.009293680297397744,-0.012267657992564907,-0.008550185873605898,-0.007806691449814052,-0.005947955390334547,-0.015241635687732291,-0.040520446096654394,0.00631970260223047,-0.024163568773234112,-0.010780669144981325,-0.0029739776951671626,-0.010037174721189479,-0.0022304832713754275,-0.0018587360594795044,0.00631970260223047
14,14,0.9144981412639405,0.8756756756756757,0.906319086219602,0.9724883321051339,0.0037174721189590088,0.004460966542750744,0.0037174721189590088,0.013011152416356864,-0.0033457249070633077,0.011152416356877137,0.005576208178438513,-0.0026022304832714616,-0.005576208178438735,0.0011152416356876582,0.008550185873605676,0.009293680297397522,0.0029739776951671626,-0.0011152416356878803,0.009665427509293556,-0.0014869888475838033,-0.0014869888475838033,0.01263940520446083,0.00037174721189570104,0.0026022304832712395,0.004460966542750744,0.0029739776951671626,0.0026022304832712395,0.005947955390334547,0.0,0.010037174721189257,-0.004089219330855154,0.013382899628252787
15,15,0.895910780669145,0.8426966292134831,0.8765352493244902,0.9671456644559078,0.0033457249070633077,-0.005947955390334658,-0.011895910780669317,-0.009293680297397855,0.005947955390334658,0.009665427509293667,0.006691449814126504,0.011895910780669094,-0.0007434944237919572,-0.006319702602230581,0.004832713754647,0.005576208178438735,-0.008178438661710308,-0.008550185873606009,-0.0029739776951671626,-0.008178438661710086,1.1102230246251565e-16,0.0011152416356879913,-0.010408921933085735,0.015613382899628436,-0.01003717472118959,-0.010780669144981547,0.009293680297397966,-0.00037174721189581206,-0.0014869888475836923,-0.0070631970260224275,-0.010780669144981547,-0.0026022304832712395
16,16,0.9070631970260223,0.8603351955307262,0.8902296732989438,0.9704618029968067,0.00892193308550171,0.004460966542750855,0.0014869888475836923,0.0007434944237918462,0.015613382899628214,0.004460966542750855,0.0037174721189590088,-0.0029739776951673846,0.01003717472118959,0.022304832713754608,0.005204460966542812,0.014869888475836479,-0.013382899628252898,0.004460966542750855,0.005204460966542701,-0.0018587360594796154,-0.004832713754646889,0.006691449814126282,0.028996282527881223,0.004832713754646778,0.005576208178438513,0.011895910780669205,0.008550185873605898,0.004832713754646889,-1.1102230246251565e-16,0.009665427509293778,0.0029739776951672736,-0.0007434944237919572
17,17,0.862453531598513,0.8042328042328042,0.8537214443625645,0.9573200687791696,0.0007434944237918462,0.0014869888475836923,0.0007434944237918462,0.005204460966542701,0.02527881040892188,0.0007434944237918462,0.0070631970260223165,-0.0014869888475836923,0.004089219330854932,-0.0022304832713755385,-0.0018587360594796154,-0.0011152416356877692,0.004460966542750855,0.008921933085502043,0.0003717472118959231,0.004832713754646778,1.1102230246251565e-16,-0.008178438661710086,-0.0018587360594796154,0.0037174721189591198,0.0007434944237918462,0.0011152416356877692,-0.005576208178438624,-0.0018587360594793934,-0.0007434944237919572,0.0026022304832713505,0.009665427509293667,-0.0011152416356877692
18,18,0.8921933085501859,0.8465608465608465,0.8867600098255957,0.9719356423483173,0.0011152416356878803,-0.0007434944237916241,-0.005204460966543034,-0.0037174721189590088,0.005576208178438846,-0.0018587360594793934,0.004089219330855043,-0.004832713754646778,-0.0007434944237916241,0.0007434944237919572,-0.008921933085502043,0.0007434944237919572,-0.0070631970260223165,-0.0037174721189590088,-0.00037174721189581206,-0.0007434944237916241,-0.007806691449814163,0.0014869888475836923,0.0074349442379181285,-0.0029739776951672736,0.008550185873605898,-0.005947955390334436,-0.010408921933085624,-0.0022304832713753164,1.1102230246251565e-16,-0.0011152416356875472,-0.005204460966543034,0.006691449814126393
19,19,0.8847583643122676,0.841025641025641,0.8863301400147383,0.9572586588061901,0.0033457249070631967,0.0014869888475836923,-0.006319702602230359,-0.0037174721189591198,-0.0029739776951672736,0.0018587360594796154,0.0007434944237918462,0.004460966542750855,-0.0033457249070631967,0.006319702602230359,-0.00037174721189581206,0.008550185873606009,-0.006319702602230803,-0.0018587360594796154,0.005576208178438624,0.0007434944237918462,0.0029739776951672736,-0.0014869888475834703,0.006691449814126504,0.009665427509293667,0.0014869888475836923,0.0007434944237917351,-0.0018587360594793934,1.1102230246251565e-16,-0.004832713754646778,0.005947955390334547,-0.0018587360594796154,0.0033457249070631967
