,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled
118,118,0.8,0.7351351351351352,0.7878658709860755,0.8043478260869567,0.015510204081632839,0.07224489795918376,0.0987755102040817,0.1004081632653061
119,119,0.7959183673469388,0.7448979591836735,0.795431940892299,0.8343279340721795,0.007346938775510292,0.0008163265306122547,0.07959183673469383,0.0020408163265307477
120,120,0.8244897959183674,0.7772020725388601,0.822641375390736,0.862176754759875,0.0028571428571428914,0.09428571428571442,0.20408163265306123,0.2081632653061224
121,121,0.6244897959183674,0.0,0.5,0.7591645353793692,0.0,0.0,0.0,0.0
122,122,0.6285714285714286,0.021505376344086023,0.5054347826086957,0.7728047740835464,0.004081632653061162,-0.00040816326530612734,0.003673469387755146,0.004081632653061162
123,123,0.6244897959183674,0.0,0.5,0.8383063370275646,0.0,0.0,0.0,0.0
124,124,0.8040816326530612,0.7446808510638298,0.7954674623472577,0.8671497584541062,0.002448979591836653,0.06367346938775509,0.08326530612244898,0.11469387755102045
125,125,0.6244897959183674,0.0,0.5,0.8680733162830351,0.0,0.0,0.0,0.0
126,126,0.7959183673469388,0.7252747252747253,0.7802642796248934,0.8608269394714407,-0.003673469387755035,0.083673469387755,0.05877551020408156,0.11795918367346936
127,127,0.7755102040816326,0.6961325966850829,0.7574239840863882,0.84256891162262,0.01959183673469389,0.07836734693877545,0.07061224489795914,0.0636734693877552
128,128,0.6244897959183674,0.0,0.5,0.8592639954532537,0.0,0.0,0.0,0.0
129,129,0.7877551020408163,0.723404255319149,0.7780619494174481,0.8561736288718387,0.00897959183673469,0.08612244897959187,0.1383673469387755,0.11673469387755109
130,130,0.7142857142857143,0.527027027027027,0.6564009661835748,0.8464762716680877,-0.005714285714285672,0.016734693877551,0.018775510204081636,0.0910204081632654
131,131,0.8,0.72,0.7770318272236432,0.8520886615515771,-0.0028571428571427804,0.043265306122449054,0.07020408163265313,0.07183673469387752
132,132,0.7346938775510204,0.5962732919254659,0.6922421142369992,0.8341148053424269,0.004897959183673528,0.0440816326530612,0.029795918367346963,0.0318367346938776
133,133,0.6244897959183674,0.0,0.5,0.44096334185848257,0.0,0.0,0.0,0.0
134,134,0.7836734693877551,0.7253886010362695,0.779127593066212,0.7321327081557262,0.023265306122448814,0.03183673469387749,0.16693877551020397,0.21020408163265303
135,135,0.7836734693877551,0.7039106145251397,0.7639599317988065,0.8749644785450412,-0.006938775510204054,0.03591836734693887,0.053469387755101905,0.1065306122448979
136,136,0.7510204081632653,0.6473988439306358,0.7226484796817279,0.8614663256606991,-0.036734693877550906,0.021632653061224416,0.12408163265306127,0.13183673469387758
137,137,0.6244897959183674,0.0,0.5,0.8553566354077863,0.0,0.0,0.0,0.0
138,138,0.6244897959183674,0.0,0.5,0.8493179880647911,0.0,0.0,0.0,0.0
139,139,0.746938775510204,0.6666666666666666,0.7323813583404376,0.7485791418016483,-0.014693877551020473,0.09224489795918367,0.17224489795918363,0.1612244897959184
140,140,0.6244897959183674,0.0,0.5,0.8715544188689968,0.0,0.0,0.0,0.0
141,141,0.7591836734693878,0.6810810810810811,0.7443520886615516,0.8381642512077294,-0.02285714285714291,0.06653061224489798,0.13714285714285712,0.14
142,142,0.7755102040816326,0.6745562130177515,0.7444231315714691,0.7877948280761581,0.014693877551020473,0.02244897959183667,0.03591836734693887,0.08653061224489789
143,143,0.6244897959183674,0.0,0.5,0.8498863313441318,0.0,0.0,0.0,0.0
144,144,0.6244897959183674,0.0,0.5,0.8701335606706451,0.0,0.0,0.0,0.0
145,145,0.6979591836734694,0.45588235294117646,0.6259946007388463,0.7915601023017903,-0.0032653061224489077,0.02408163265306118,0.017142857142857237,0.047755102040816455
146,146,0.6244897959183674,0.0,0.5,0.871554418868997,0.0,0.0,0.0,0.0
147,147,0.6244897959183674,0.0,0.5,0.865089514066496,0.0,0.0,0.0,0.0
148,148,0.7510204081632653,0.6257668711656442,0.7118144359192953,0.8720517192384201,0.004081632653061162,0.05551020408163254,0.10122448979591836,0.05306122448979589
149,149,0.8326530612244898,0.7897435897435897,0.8335109406081274,0.8555697641375392,0.0077551020408163085,0.03183673469387749,0.153469387755102,0.20571428571428574
150,150,0.7020408163265306,0.48226950354609927,0.6357630008525149,0.8613242398408639,-0.022040816326530654,0.011020408163265216,0.026530612244898055,0.04122448979591831
151,151,0.8204081632653061,0.7731958762886598,0.8193734015345269,0.8014350667803352,0.003673469387755146,0.12857142857142856,0.1567346938775509,0.16081632653061206
152,152,0.7836734693877551,0.7071823204419889,0.766126740551293,0.7656294401818698,-0.0032653061224489077,0.0714285714285714,0.06448979591836734,0.03510204081632651
153,153,0.8040816326530612,0.7419354838709677,0.7933006535947713,0.8684995737425406,0.0,0.03673469387755102,0.050612244897959124,0.02857142857142847
154,154,0.746938775510204,0.5921052631578947,0.6955456095481671,0.8805058255186131,0.013877551020408108,0.019183673469387652,0.04081632653061218,0.0395918367346938
155,155,0.8122448979591836,0.7526881720430108,0.802003410059676,0.8820687695368002,-0.0016326530612243983,0.05591836734693878,0.07510204081632654,0.08612244897959187
156,156,0.6408163265306123,0.3125,0.5564080704745666,0.7977408354646207,-0.032653061224489854,-0.04040816326530616,-0.026122448979591817,0.017959183673469603
157,157,0.8122448979591836,0.7628865979381443,0.810670645069622,0.8554987212276215,-0.0020408163265307477,0.10163265306122449,0.1779591836734694,0.24448979591836728
