,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
45,45,0.8166666666666667,0.7755102040816326,0.818448883666275,0.8929200940070505,0.09125000000000005,0.05208333333333326,0.019583333333333286,0.023749999999999938,0.21583333333333332,0.04541666666666666,0.05499999999999994,0.014583333333333282
46,46,0.7875,0.751219512195122,0.7968566392479437,0.8869712103407756,0.08583333333333343,0.04749999999999999,0.011666666666666603,0.009166666666666656,0.20666666666666667,0.02041666666666664,0.025000000000000022,-0.0033333333333332993
47,47,0.8583333333333333,0.8,0.8357814336075206,0.9015129259694478,-0.0016666666666667052,0.0012499999999999734,-0.0004166666666667318,1.1102230246251565e-16,0.09375000000000011,-0.0012500000000000844,1.1102230246251565e-16,0.0016666666666665941
48,48,0.7666666666666667,0.75,0.7943595769682725,0.8803613396004701,0.13416666666666666,0.01375000000000004,0.036250000000000004,0.009166666666666656,0.2254166666666667,0.04250000000000009,0.04500000000000015,0.035833333333333384
49,49,0.8125,0.7715736040609137,0.8150705052878966,0.8907168037602821,0.12958333333333338,0.03916666666666657,0.05125000000000002,0.05500000000000005,0.19666666666666666,0.029583333333333406,0.04208333333333336,0.04083333333333328
50,50,0.8125,0.7738693467336684,0.8171269095182139,0.8965922444183314,0.12750000000000006,0.0558333333333334,0.03083333333333338,0.018333333333333313,0.22124999999999995,0.06666666666666665,0.07625000000000004,0.0345833333333333
51,51,0.7916666666666666,0.75,0.7961222091656874,0.8863102232667451,0.10458333333333325,0.05249999999999988,0.019999999999999907,0.00708333333333333,0.18833333333333335,0.025833333333333375,0.022499999999999853,0.022499999999999853
52,52,0.8541666666666666,0.8108108108108109,0.8467978848413631,0.9044506462984725,0.0691666666666666,0.0183333333333332,0.025416666666666643,0.03749999999999987,0.26250000000000007,0.029999999999999916,0.044166666666666465,0.0345833333333333
53,53,0.775,0.73,0.7784958871915393,0.8818301997649824,0.10833333333333339,0.015833333333333366,0.014583333333333282,-0.005833333333333357,0.17500000000000004,0.011666666666666714,0.040000000000000036,0.004583333333333384
54,54,0.7708333333333334,0.7488584474885844,0.7936251468860165,0.887852526439483,0.11499999999999999,0.019583333333333397,0.01708333333333345,0.019583333333333397,0.2220833333333333,0.05958333333333343,0.03249999999999997,0.03125000000000011
55,55,0.8,0.7818181818181819,0.8254994124559343,0.9056257344300822,0.08916666666666662,0.03208333333333335,0.025416666666666643,0.015416666666666856,0.2516666666666666,0.06458333333333344,0.03166666666666662,0.008750000000000036
56,56,0.7833333333333333,0.7570093457943925,0.8017038777908343,0.8968125734430082,0.10875000000000001,0.05333333333333323,0.023333333333333317,0.01375000000000004,0.21458333333333335,0.04083333333333328,0.05249999999999999,0.03166666666666662
57,57,0.8458333333333333,0.7932960893854749,0.8318155111633372,0.9013660399529965,0.09583333333333333,0.02375000000000005,0.030833333333333268,0.02375000000000005,0.21458333333333335,0.015416666666666634,0.033333333333333326,0.011666666666666603
58,58,0.7791666666666667,0.7389162561576355,0.7859870740305523,0.888440070505288,0.10083333333333333,0.01041666666666663,0.008333333333333304,0.005416666666666625,0.19291666666666663,0.03541666666666665,0.05291666666666672,0.025833333333333486
59,59,0.7833333333333333,0.7636363636363637,0.8078730904817861,0.8911574618096356,0.12208333333333321,0.027083333333333348,0.05541666666666667,0.01749999999999996,0.23458333333333337,0.01749999999999996,0.0674999999999999,0.02458333333333329
60,60,0.8291666666666667,0.7875647668393783,0.8285840188014101,0.8983548766157461,0.10499999999999998,0.032916666666666705,0.04083333333333339,0.015000000000000013,0.2220833333333333,0.04416666666666669,0.054166666666666585,0.008749999999999925
61,61,0.7791666666666667,0.7439613526570048,0.7900998824911869,0.8905699177438309,0.11249999999999993,0.036250000000000004,0.018333333333333313,0.014583333333333282,0.19416666666666682,0.0379166666666666,0.033333333333333326,0.004583333333333273
62,62,0.8166666666666667,0.7659574468085106,0.8102232667450059,0.8989791421856639,0.09291666666666665,0.040416666666666656,0.014583333333333282,0.008333333333333304,0.21416666666666673,0.025416666666666643,0.007499999999999951,0.032500000000000084
63,63,0.8041666666666667,0.7638190954773869,0.8083137485311398,0.8966656874265571,0.09958333333333347,0.02416666666666667,0.039166666666666794,0.019583333333333397,0.20833333333333337,0.04083333333333328,0.028750000000000053,0.028333333333333433
64,64,0.7958333333333333,0.7586206896551724,0.8036133960047004,0.9032755581668626,0.09499999999999997,0.03208333333333324,0.002083333333333326,-0.007500000000000062,0.22833333333333328,0.044166666666666576,0.06666666666666654,0.03583333333333327
65,65,0.7791666666666667,0.7414634146341463,0.7880434782608696,0.8915981198589894,0.08791666666666675,0.015416666666666634,0.019166666666666665,0.01041666666666663,0.18333333333333335,0.03916666666666668,0.04875000000000007,0.015000000000000013
66,66,0.7833333333333333,0.7614678899082569,0.8058166862514688,0.8913777908343126,0.12374999999999992,0.06208333333333338,0.014583333333333282,0.039583333333333304,0.21666666666666667,0.04249999999999998,0.05208333333333337,0.04166666666666663
67,67,0.8708333333333333,0.8287292817679558,0.8603113983548766,0.9159077555816686,0.028749999999999942,0.03916666666666668,0.04458333333333342,0.025416666666666643,0.24875000000000003,0.054583333333333206,0.0379166666666666,0.06874999999999998
68,68,0.7833333333333333,0.7592592592592593,0.8037602820211516,0.8976938895417157,0.12250000000000005,0.02041666666666664,0.017083333333333228,0.016666666666666607,0.2204166666666667,0.04166666666666674,0.07208333333333339,0.029583333333333295
69,69,0.8208333333333333,0.7860696517412935,0.8279964747356052,0.9039365452408932,0.09124999999999994,0.02416666666666667,0.039583333333333304,0.023749999999999938,0.24541666666666662,0.04499999999999993,0.02416666666666667,0.032916666666666594
70,70,0.7916666666666666,0.7706422018348624,0.8146298472385429,0.8975470035252644,0.12208333333333321,0.03541666666666665,0.0345833333333333,0.019999999999999907,0.2366666666666667,0.06666666666666665,0.09333333333333316,0.043749999999999956
