,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.left_CO2_vd_scaled,feature_importance.left_CO2_vd_fd1_scaled,feature_importance.left_CO2_vd_fd2_scaled,feature_importance.left_CO2_vd_fd3_scaled,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
14,14,0.8619246861924686,0.7975460122699386,0.8328527062999113,0.9633244602188702,-0.0020920502092048876,0.006694560669456173,-0.0071129707112970175,-0.015481171548117012,0.008368200836820106,-0.0016736401673640433,0.013389121338912124,0.012133891213389147,0.00502092050209213,0.011297071129707126,0.0004184100418409553,0.0016736401673641543
15,15,0.8619246861924686,0.8436018957345972,0.8816548358473824,0.9567435669920142,0.03682008368200829,-0.0058577405857740406,-0.009623430962342971,0.004602510460251175,0.012133891213389147,0.006276150627615107,0.017991631799163188,0.05690376569037647,0.004184100418410108,0.024267782426778295,0.013389121338912124,-0.00041841004184106634
16,16,0.8661087866108786,0.8160919540229885,0.8484545992309968,0.9503845016267376,-0.004184100418409997,-0.004184100418409997,-0.011297071129707237,-0.004184100418409997,0.005857740585774152,0.009205020920502127,0.01087866108786617,0.009623430962343194,-0.005439330543932974,0.012133891213389147,-0.004602510460251064,0.0071129707112971285
17,17,0.8786610878661087,0.8527918781725888,0.8850931677018633,0.9576308784383318,0.05397489539748945,-0.004602510460251064,-0.0008368200836821327,0.002510460251046065,0.04811715481171541,0.005439330543933085,-0.007949790794979261,-0.01087866108786606,-0.015062761506276057,0.011715481171548081,-0.025104602510460206,0.010460251046025104
18,18,0.9037656903765691,0.8743169398907104,0.8973676427092576,0.9569653948535936,0.03556485355648542,0.027196652719665426,0.027196652719665204,0.007949790794979261,0.0033472803347281976,0.01004184100418426,0.04769874476987457,0.0167364016736401,0.038075313807531375,0.020502092050209253,0.005439330543933196,0.014225941422594257
19,19,0.8619246861924686,0.8436018957345972,0.8816548358473824,0.9602188701567583,0.09916317991631807,-0.0071129707112970175,-0.003765690376569042,-0.0058577405857740406,0.3673640167364016,0.0033472803347281976,0.008786610878661172,-0.012970711297071058,0.00041841004184117736,-0.013389121338912013,-0.005020920502092019,0.01882845188284532
20,20,0.9246861924686193,0.9,0.916407867494824,0.9732327713694173,0.009205020920501905,0.005439330543932974,0.010460251046024882,0.0179916317991633,0.028033472803347448,0.010460251046025104,0.016317991631799145,0.025523012552301494,0.020502092050209475,0.014225941422594146,0.017154811715481277,0.015481171548117234
21,21,0.9037656903765691,0.8756756756756757,0.8994010647737356,0.9570393374741201,-0.001255230125522977,0.006276150627615218,0.0167364016736401,0.01297071129707128,0.014644351464435212,-0.0016736401673637102,0.01297071129707128,0.011715481171548192,0.02092050209205021,0.010878661087866281,0.017573221757322233,0.002510460251046287
22,22,0.8619246861924686,0.7924528301886793,0.8287858621709554,0.957187222715173,-0.003765690376569042,0.005857740585774152,0.007531380753138195,0.012552301255230103,0.048953974895397434,0.019246861924686276,0.026359832635983294,0.046025104602510525,0.03974895397489531,0.038075313807531264,0.021338912133891275,0.021338912133891164
23,23,0.899581589958159,0.8651685393258427,0.8878660159716061,0.9648772552499261,0.004602510460251175,0.012133891213389147,-0.0058577405857738185,-0.0020920502092048876,0.0033472803347280866,-0.0008368200836819106,0.011297071129706904,0.005857740585774152,0.008786610878661172,-0.008786610878661172,0.001255230125523088,-0.0058577405857740406
24,24,0.895397489539749,0.8571428571428571,0.8803978112984324,0.9653209109730848,0.010460251046025104,-0.0004184100418408443,0.004602510460251175,0.01380753138075308,0.06527196652719658,0.002510460251046176,0.010041841004184149,0.010460251046025104,0.0033472803347280866,0.017154811715481277,0.010460251046025104,0.012552301255230325
25,25,0.8661087866108786,0.8383838383838383,0.8728556640047324,0.9557083703046436,0.04267782426778244,-0.005439330543933196,0.008786610878661172,0.008786610878661172,0.025104602510460317,-0.025941422594142227,0.005020920502092019,0.01589958158995819,0.01757322175732212,0.026359832635983294,-0.012970711297071169,0.012133891213389147
26,26,0.8535564853556485,0.8258706467661692,0.8626515823720793,0.9517154687962142,0.006694560669456062,-0.0004184100418409553,0.005439330543933085,-0.0016736401673639323,0.007531380753138084,-0.007531380753138084,0.0071129707112970175,0.023012552301255207,-0.0029288702928869093,-0.046861924686192435,-0.04267782426778233,-0.0008368200836819106
27,27,0.8661087866108786,0.8446601941747572,0.8809893522626442,0.9601449275362319,-0.00878661087866106,0.013389121338912124,-0.028870292887029136,0.005439330543933196,0.006694560669456173,0.01087866108786617,0.0029288702928871313,0.01087866108786617,0.013389121338912124,-0.025941422594142227,-0.04058577405857733,-0.03933054393305413
28,28,0.8451882845188284,0.8229665071770335,0.8619491274770779,0.9615498373262348,0.00794979079497915,-0.005439330543933085,-0.00794979079497904,-0.009623430962343082,0.04267782426778244,-0.00041841004184106634,-0.005020920502092019,0.004184100418409886,-0.005439330543933085,-0.005020920502092019,0.004184100418410108,0.0020920502092048876
29,29,0.8451882845188284,0.8246445497630331,0.8639825495415557,0.9518633540372671,0.17071129707112964,-0.014225941422594035,-0.01380753138075308,-0.0071129707112970175,0.015481171548117123,0.0008368200836821327,0.0020920502092048876,-0.001255230125523088,-0.002510460251046065,-0.014225941422594035,-0.007531380753138084,0.00878661087866106
30,30,0.8577405857740585,0.8333333333333334,0.8701197870452528,0.9357438627624963,0.003765690376569042,-0.001255230125522977,-0.004602510460251175,0.022175732217573185,0.005439330543933085,-0.001255230125522977,0.004184100418409997,-0.0046025104602509526,-0.005857740585774152,0.00878661087866106,-0.005439330543933085,-0.005439330543932974
31,31,0.8619246861924686,0.8450704225352113,0.8836882579118603,0.95326826382727,0.009623430962343194,0.0020920502092051096,0.004602510460251175,-0.0016736401673638213,-0.0033472803347279756,0.005439330543933196,0.0029288702928871313,0.0033472803347281976,0.0,0.011715481171548192,0.0071129707112971285,-0.001255230125522866
32,32,0.8786610878661087,0.8542713567839196,0.8871265897663413,0.9486098787341023,0.015062761506276279,0.012970711297071058,0.002510460251046065,-0.012133891213389036,0.01087866108786606,-0.009205020920502127,0.0020920502092051096,0.014225941422594035,-0.004184100418409886,-0.002510460251045954,-0.0167364016736401,0.02468619246861925
33,33,0.891213389121339,0.8433734939759037,0.8668293404318249,0.9768559597752144,1.1102230246251565e-16,-0.0004184100418408443,0.008368200836820106,0.0033472803347279756,0.017573221757322344,0.014644351464435323,0.0033472803347280866,0.008368200836820328,0.0016736401673641543,0.001255230125523088,-0.0029288702928869093,0.00920502092050235
34,34,0.8577405857740585,0.839622641509434,0.8782534753031648,0.9545252883762201,0.25271966527196654,0.023430962343096162,0.0334728033472802,0.07615062761506275,0.315062761506276,0.09623430962343082,0.1510460251046024,0.03472803347280318,0.08786610878661072,0.08410041841004168,0.007531380753138084,0.011297071129707015
35,35,0.9037656903765691,0.8743169398907104,0.8973676427092576,0.9518633540372671,0.004602510460251286,0.01004184100418426,0.009205020920502238,0.005857740585774263,0.05062761506276159,0.013389121338912235,0.011297071129707237,0.012133891213389258,0.004602510460251286,0.008368200836820217,0.012133891213389258,0.020083682008368187
36,36,0.8535564853556485,0.8309178743961353,0.8687518485655132,0.963620230700976,0.0008368200836820217,-0.0033472803347279756,-0.0033472803347279756,-0.0029288702928869093,0.01589958158995819,-0.0058577405857739295,-0.006276150627614996,-0.0058577405857739295,0.0,-0.015481171548117123,0.0008368200836820217,-0.007531380753137973
37,37,0.895397489539749,0.8571428571428571,0.8803978112984324,0.9704229517894114,0.017154811715481166,0.003765690376569153,0.013807531380753302,-0.004184100418409886,0.06234309623430967,0.004602510460251175,0.012970711297071169,0.0029288702928871313,0.009623430962343082,0.004602510460251175,0.0033472803347280866,0.009205020920501905
38,38,0.8619246861924686,0.8450704225352113,0.8836882579118603,0.9622892635314995,0.004184100418410108,1.1102230246251565e-16,-0.0033472803347279756,-0.0008368200836817996,0.24225941422594144,0.0020920502092051096,0.009623430962343194,-0.017154811715481055,0.0008368200836821327,0.018410041841004365,0.004184100418410108,0.004184100418410108
39,39,0.8702928870292888,0.8516746411483254,0.8884575569358177,0.9392191659272404,0.008368200836820217,0.001255230125522866,-0.00502092050209213,0.005857740585774263,-0.00041841004184106634,0.0033472803347280866,0.00502092050209213,0.028451882845188292,0.015481171548117234,-0.0058577405857739295,0.01297071129707128,-0.002510460251045954
40,40,0.8284518828451883,0.8019323671497585,0.8422434191067731,0.9519372966577935,0.04644351464435159,-0.003765690376569042,-0.020083682008368187,-0.026359832635983182,-0.0008368200836820217,-0.04351464435146435,-0.02259414225941414,-0.03849372384937233,-0.010878661087865948,-0.04016736401673637,-0.03389121338912138,-0.04811715481171552
41,41,0.895397489539749,0.8603351955307262,0.8844646554273884,0.9635462880804495,0.004184100418410108,0.012133891213389147,-0.008368200836819883,-0.005439330543932863,-0.0016736401673640433,1.1102230246251565e-16,0.01589958158995808,0.00041841004184117736,0.004184100418410108,0.0016736401673641543,1.1102230246251565e-16,-0.0016736401673638213
42,42,0.8535564853556485,0.8341232227488151,0.8728186926944691,0.9588139603667554,0.002510460251046065,-0.005439330543932974,-0.01087866108786617,-0.007949790794978928,0.028033472803347226,-0.005020920502091908,0.00878661087866106,-0.0029288702928869093,-0.005439330543932974,0.0020920502092049986,0.03179916317991616,-0.010041841004184149
43,43,0.8535564853556485,0.8341232227488151,0.8728186926944691,0.9364093463472345,0.017154811715481166,0.004184100418409997,-0.0058577405857739295,-0.00878661087866095,0.044769874476987326,0.01380753138075319,-0.006694560669455951,0.01380753138075319,0.005439330543933085,0.0326359832635984,0.01882845188284521,-0.0029288702928869093
44,44,0.8493723849372385,0.8285714285714286,0.8673839100857734,0.9554125998225377,0.020502092050209253,-0.006276150627614996,-0.002510460251045954,-0.017154811715481166,0.00041841004184106634,0.00041841004184106634,-0.0004184100418409553,0.006276150627614996,-0.006694560669455951,0.0016736401673640433,0.0033472803347280866,-0.03054393305439307
