,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd1_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd1_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd3_scaled
82,82,0.8638132295719845,0.8223350253807107,0.8674901185770751,0.9612648221343874,0.029182879377432025,-0.006614785992217986,-0.021789883268482524,0.010894941634241317,-0.018287937743190708,-0.019844357976653737,0.01750972762645897,-0.03268482490272373
83,83,0.8210116731517509,0.6714285714285714,0.7524044795783926,0.9685770750988142,0.04124513618677039,0.015175097276264538,0.030739299610894832,0.010894941634241206,0.05914396887159534,0.0007782101167315147,-0.0007782101167315147,0.008560311284046662
84,84,0.8832684824902723,0.8584905660377359,0.9066864295125164,0.9783926218708827,0.44396887159533077,0.1591439688715952,0.10428015564202331,0.11517509727626463,-0.02373540856031131,0.13151750972762644,0.0035019455252917053,0.23385214007782096
85,85,0.8910505836575876,0.8313253012048193,0.8598484848484849,0.964163372859025,0.10739299610894948,0.0046692607003890885,0.0237354085603112,0.021789883268482413,0.00739299610894939,0.008171206225680905,0.01945525291828787,-0.0007782101167315147
86,86,0.8949416342412452,0.8708133971291866,0.9157773386034256,0.9762845849802372,0.08443579766536968,0.02957198443579756,0.031128404669260812,0.0011673151750972721,-0.0007782101167315147,0.012062256809338479,0.0019455252918287869,0.028793774319066046
87,87,0.8287937743190662,0.6944444444444444,0.7656785243741766,0.9699604743083005,0.02957198443579767,0.010116731517509803,0.028015564202334642,0.02373540856031131,0.01206225680933859,0.008171206225681016,0.0027237354085604126,0.013229571984435862
88,88,0.8443579766536965,0.7368421052631579,0.7922266139657443,0.9633069828722002,0.023346303501945553,0.021789883268482524,0.013229571984435862,0.021400778210116767,0.02217898832684828,0.01945525291828798,0.006614785992217875,0.020233463035019494
89,89,0.8171206225680934,0.6802721088435374,0.7565876152832675,0.9623188405797101,0.03307392996108938,-0.008171206225680905,0.003112840466926059,-0.0015564202334630295,0.0077821011673151474,0.009338521400778177,0.017120622568093324,0.0007782101167315147
90,90,0.8832684824902723,0.845360824742268,0.8850461133069829,0.9115283267457182,0.11867704280155644,0.014007782101167154,0.014785992217898669,0.02334630350194533,0.006614785992217764,0.033463035019455245,0.02373540856031131,0.026848249027237148
91,91,0.8054474708171206,0.6323529411764706,0.73066534914361,0.9640316205533597,0.048249027237354136,0.0330739299610896,0.010894941634241206,-0.004280155642023331,0.02373540856031131,-0.004280155642023331,0.014396887159533023,0.010116731517509692
92,92,0.8871595330739299,0.861244019138756,0.9073122529644269,0.9747694334650856,0.21712062256809328,0.009727626459143823,-0.005447470817120714,0.0007782101167314037,-0.019844357976653737,0.019455252918287758,-0.027626459143968995,-0.006614785992217986
