,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.front_CO2_vd_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.frontlow_temperature_scaled,feature_importance.frontlow_temperature_fd1_scaled,feature_importance.frontlow_temperature_fd2_scaled,feature_importance.frontlow_temperature_fd3_scaled,feature_importance.frontlow_humidity_scaled,feature_importance.frontlow_humidity_fd1_scaled,feature_importance.frontlow_humidity_fd2_scaled,feature_importance.frontlow_humidity_fd3_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd3_scaled
134,134,0.7536231884057971,0.6832298136645962,0.7380434782608696,0.8615311909262761,-0.0444444444444444,-0.00048309178743954906,-0.0024154589371980784,-0.009178743961352653,0.07681159420289863,0.0033816425120773985,0.011594202898550843,-0.02898550724637672,0.07874396135265693,0.009178743961352764,-0.02463768115942022,-0.0028985507246376274,0.030917874396135248,-0.011111111111111072,-0.02753623188405785,-0.07681159420289863,-0.0400966183574879,0.008695652173913104,-0.008212560386473444,-0.01594202898550723,0.0028985507246377384,-0.006280193236714915,-0.06714975845410631,-0.0314009661835748,-0.03864734299516903,-0.009178743961352653,0.009661835748792313,-0.008212560386473444
135,135,0.8454106280193237,0.8202247191011236,0.8402173913043478,0.9042533081285444,-0.0400966183574879,0.011111111111111183,0.009661835748792313,0.0019323671497584183,0.047342995169082136,-0.009661835748792313,0.019323671497584627,0.005797101449275366,0.062318840579710155,-0.0028985507246377384,0.020289855072463836,-0.013526570048309261,0.0758454106280193,-0.021739130434782705,-0.023671497584541124,-0.021739130434782705,-0.004347826086956497,-0.009661835748792313,0.012077294685990392,-0.013526570048309261,0.07439613526570055,-0.006280193236714915,-0.0033816425120772875,-0.005797101449275477,-0.03719806763285016,0.009178743961352764,0.011594202898550732,0.01449275362318847
136,136,0.748792270531401,0.675,0.732608695652174,0.867296786389414,-0.046859903381642476,-0.0024154589371980784,0.0024154589371980784,-0.005797101449275366,0.006763285024154686,-0.012077294685990392,-0.010144927536231862,-0.008695652173912993,0.10821256038647331,-0.005314009661835706,-0.011594202898550732,-0.022222222222222143,0.019806763285024176,-0.019323671497584627,-0.035265700483091744,-0.021739130434782594,-0.048792270531401005,-0.0019323671497584183,-0.005797101449275366,-0.017391304347826098,0.07874396135265693,-0.021256038647342934,-0.017391304347826098,-0.018840579710144967,-0.04637681159420293,-0.0009661835748792091,0.0004830917874396601,-0.008212560386473444
137,137,0.7777777777777778,0.7088607594936709,0.7608695652173914,0.8816635160680528,-0.02512077294685988,0.005314009661835817,0.0009661835748792091,0.005314009661835817,0.020772946859903385,-0.004347826086956497,-0.021256038647342934,0.006280193236715026,0.09275362318840574,-0.02753623188405785,0.0038647342995169476,-0.017874396135265647,0.019323671497584516,-0.024637681159420333,-0.006763285024154464,-0.004830917874396046,-0.007729468599033784,-0.00048309178743954906,-0.019806763285024176,0.005314009661835817,0.0468599033816427,0.005797101449275366,-0.05700483091787434,-0.01256038647342994,-0.07149758454106281,0.008212560386473444,0.008695652173913104,-0.010144927536231862
138,138,0.8067632850241546,0.7560975609756098,0.7934782608695652,0.89234404536862,-0.030917874396135248,0.006280193236714915,-0.0014492753623187582,0.0038647342995169476,0.024637681159420444,0.004347826086956497,-0.007729468599033895,0.012560386473430052,0.0913043478260871,0.009178743961352653,-0.01400966183574881,-0.0014492753623189802,0.036714975845410724,-0.028502415458937058,-0.012560386473430052,-0.022705314009661803,-0.02512077294685988,0.00048309178743954906,0.01594202898550734,0.020289855072463836,0.033816425120772986,-0.008695652173913104,-0.03913043478260858,-0.04492753623188395,-0.01594202898550723,0.023671497584541124,0.017391304347826098,0.026086956521739202
139,139,0.7874396135265701,0.7608695652173914,0.7847826086956522,0.8626654064272212,-0.03864734299516892,-0.004347826086956386,0.0019323671497585293,1.1102230246251565e-16,0.2028985507246378,0.0004830917874397711,-0.016425120772946777,0.019806763285024176,0.1932367149758455,0.0024154589371981894,-0.0019323671497583073,0.011594202898550843,0.15120772946859906,-0.021739130434782483,-0.021739130434782483,-0.0024154589371979673,0.037681159420289934,-0.009178743961352542,0.009178743961352764,-0.0033816425120771765,-0.02560386473429943,0.018357487922705307,0.0014492753623189802,-0.01159420289855062,-0.046376811594202816,0.008212560386473444,0.005797101449275366,0.005314009661835817
140,140,0.8115942028985508,0.7607361963190185,0.7978260869565217,0.8860113421550093,-0.019806763285024176,0.005797101449275366,0.0033816425120771765,-0.0038647342995167255,0.04685990338164259,0.012560386473430052,0.01739130434782621,-0.011111111111111072,0.050724637681159424,0.0004830917874396601,-0.006763285024154575,-0.01207729468599028,0.05603864734299524,0.0028985507246377384,-0.006280193236714915,0.005797101449275366,-0.023671497584541124,-0.0028985507246377384,-0.023188405797101352,0.010144927536231974,0.07777777777777795,0.008695652173913104,-0.033333333333333215,-0.011594202898550732,-0.023188405797101352,-0.0019323671497584183,0.018357487922705418,0.01497584541062813
141,141,0.8454106280193237,0.8095238095238095,0.8347826086956521,0.8955576559546313,-0.0038647342995169476,0.0019323671497584183,0.005797101449275366,0.0033816425120773985,0.05652173913043479,-0.007246376811594235,-0.0028985507246377384,0.02463768115942022,0.0888888888888889,0.0038647342995168366,0.024154589371980784,-0.01449275362318847,0.01545893719806768,0.0009661835748792091,-0.008212560386473444,-0.026086956521739313,-0.03285024154589378,0.02657004830917875,0.022222222222222254,0.03236714975845412,0.062318840579710155,-0.0014492753623187582,-0.019806763285024176,-0.007729468599033895,-0.020772946859903385,0.006280193236715026,0.021739130434782594,0.0009661835748792091
142,142,0.7681159420289855,0.7108433734939759,0.7554347826086956,0.8726843100189037,-0.04637681159420304,-0.0038647342995169476,-0.011594202898550732,-0.007729468599033784,0.01400966183574881,-0.013043478260869601,-0.0014492753623188692,-0.011594202898550732,0.1115942028985506,-0.0028985507246377384,-0.023188405797101463,-0.04734299516908225,0.047826086956521796,-0.013526570048309261,-0.024637681159420333,-0.023671497584541012,-0.03236714975845423,-0.0014492753623188692,-0.004830917874396157,-0.01400966183574881,0.11739130434782596,-0.008695652173913104,-0.05458937198067637,-0.016908212560386437,-0.07246376811594202,-0.005314009661835706,-0.007246376811594235,0.005314009661835706
143,143,0.7584541062801933,0.6835443037974683,0.741304347826087,0.864461247637051,-0.023671497584541012,-0.007246376811594235,0.007729468599033895,-0.004347826086956386,0.035265700483091855,-0.011594202898550732,0.007246376811594235,-0.0014492753623187582,0.038164251207729594,0.0014492753623188692,-0.01159420289855062,-0.046859903381642365,0.025120772946860104,-0.01207729468599028,-0.035265700483091744,-0.05797101449275366,-0.03768115942028982,0.0019323671497585293,-0.005314009661835706,0.0024154589371980784,0.011594202898550843,-0.04057971014492745,-0.02560386473429943,-0.03961352657004824,-0.05024154589371976,-0.006280193236714915,-0.0009661835748792091,-0.0033816425120772875
144,144,0.8309178743961353,0.7878787878787878,0.8184782608695652,0.8837429111531191,-0.006763285024154575,0.005797101449275477,0.01400966183574881,-0.0028985507246376274,0.07536231884057976,0.005797101449275477,0.01159420289855062,0.01159420289855062,0.049275362318840554,-0.0028985507246376274,0.0019323671497585293,-0.005797101449275366,-0.004347826086956386,-0.011594202898550732,-0.004830917874396046,-0.008695652173912993,0.013043478260869601,0.01497584541062802,0.010628019323671634,-0.0009661835748792091,0.01594202898550734,-0.0014492753623188692,-0.0033816425120771765,-0.01111111111111096,-0.0033816425120772875,0.018357487922705307,0.02512077294685988,0.017874396135265758
145,145,0.8260869565217391,0.7804878048780488,0.8130434782608695,0.8903591682419659,-0.0024154589371980784,0.00048309178743954906,1.1102230246251565e-16,0.0028985507246377384,0.02608695652173909,-0.0009661835748792091,0.008695652173913104,0.0014492753623188692,0.02753623188405796,1.1102230246251565e-16,0.007729468599033895,0.011111111111111183,0.07342995169082134,-0.0038647342995168366,0.0019323671497583073,-0.0014492753623188692,-0.0009661835748792091,0.006763285024154464,0.0033816425120772875,0.010628019323671412,0.0705314009661836,0.006763285024154464,-0.007246376811594124,-0.017391304347826098,0.0014492753623188692,0.013043478260869601,0.007729468599033895,-0.004830917874396046
