,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
30,30,0.642023346303502,0.0,0.5,0.9363636363636364,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
31,31,0.8365758754863813,0.7835051546391752,0.8342555994729908,0.9223320158102767,-0.004280155642023331,0.014007782101167376,0.02101167315175101,0.010116731517509803,-0.005058365758754846,0.006614785992217986,0.006225680933852229,0.019066147859922222
32,32,0.8365758754863813,0.7692307692307693,0.819828722002635,0.9283926218708828,-0.00038910505836575737,0.020622568093385252,0.024513618677042825,0.010116731517509803,0.006225680933852229,0.02529182879377434,0.01945525291828798,0.0027237354085603016
33,33,0.9027237354085603,0.8756218905472637,0.9146245059288538,0.9822793148880106,-0.00038910505836575737,0.1933852140077822,0.16964980544747077,0.1272373540856031,0.43346303501945527,0.21867704280155642,0.09844357976653695,0.17315175097276259
34,34,0.9299610894941635,0.9081632653061225,0.9382411067193676,0.9829380764163373,-0.003112840466926059,0.09221789883268483,0.09221789883268483,0.10311284046692615,0.16420233463035028,0.1217898832684825,0.11945525291828796,0.15992217898832695
35,35,0.6498054474708171,0.0425531914893617,0.5108695652173914,0.9491436100131753,0.007782101167315036,0.0019455252918286758,0.007003891050583522,0.007782101167315036,0.007392996108949279,0.0058365758754862496,0.007003891050583522,-0.0007782101167316258
36,36,0.8443579766536965,0.7959183673469388,0.8451251646903821,0.9319499341238471,-0.011673151750972721,0.0077821011673151474,0.006225680933852118,0.005058365758754846,-0.003112840466926059,0.010116731517509692,0.003112840466926059,0.0077821011673152585
37,37,0.9105058365758755,0.882051282051282,0.9158761528326747,0.9732542819499341,-0.006614785992217986,0.09727626459143968,0.052529182879377245,0.0007782101167315147,-0.0035019455252919274,0.061867704280155644,0.04591439688715937,0.1171206225680933
38,38,0.642023346303502,0.0,0.5,0.9237812911725956,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
39,39,0.8754863813229572,0.8490566037735849,0.8982213438735178,0.9655467720685112,0.0058365758754862496,0.002334630350194433,0.011284046692606853,0.012451361867704347,0.020233463035019494,0.012451361867704125,-0.0015564202334631405,0.0046692607003889774
40,40,0.8988326848249028,0.865979381443299,0.9019762845849801,0.9666666666666666,-0.010116731517509692,0.11478599221789887,0.16225680933852138,0.08443579766536968,0.10155642023346301,0.17821011673151765,0.027237354085603016,0.00038910505836575737
41,41,0.8210116731517509,0.7604166666666666,0.8149209486166007,0.8602766798418973,-0.0035019455252918164,0.021400778210116655,0.012062256809338479,0.029182879377431803,-0.010116731517509692,0.012451361867704236,0.021789883268482413,0.024513618677042714
42,42,0.9182879377431906,0.8934010152284264,0.9267457180500659,0.9828722002635046,-0.0023346303501946553,0.14124513618677048,0.16692607003891047,0.035019455252918164,0.08560311284046696,0.22723735408560308,0.06459143968871595,0.0824902723735409
43,43,0.8871595330739299,0.8585365853658536,0.9025032938076416,0.9786561264822135,-0.0011673151750973831,0.19844357976653693,0.13229571984435795,0.03307392996108949,-0.01050583657587556,0.17821011673151754,0.1556420233463034,0.10778210116731513
44,44,0.8754863813229572,0.8490566037735849,0.8982213438735178,0.9765480895915679,-0.00894941634241253,0.07354085603112837,0.02996108949416343,0.080544747081712,0.06964980544747079,0.06926070038910503,0.0832684824902723,0.014785992217898669
45,45,0.642023346303502,0.0,0.5,0.9501976284584981,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16,-1.1102230246251565e-16
46,46,0.8015564202334631,0.7243243243243244,0.7853425559947299,0.8712779973649539,-0.014396887159533023,0.026459143968871612,0.026070038910505855,0.012840466926069993,-0.00894941634241242,0.015175097276264649,0.015564202334630406,0.011673151750972832
47,47,0.9066147859922179,0.8811881188118812,0.9200592885375494,0.9801054018445323,-0.0019455252918287869,0.17509727626459137,0.14669260700389108,0.12023346303501936,0.22295719844357975,0.09105058365758756,0.15058365758754866,0.15992217898832684
48,48,0.8287937743190662,0.7684210526315789,0.8209815546772068,0.8830698287220027,-0.01945525291828787,0.005447470817120714,0.016731517509727678,0.01634241245136192,-0.021011673151750898,0.009727626459144045,0.01050583657587556,0.018287937743190708
49,49,0.9221789883268483,0.900990099009901,0.9369894598155468,0.9782608695652174,-0.0019455252918287869,0.20933852140077835,0.09338521400778221,0.1373540856031128,0.25953307392996106,0.18482490272373542,0.10856031128404675,0.015564202334630406
50,50,0.7782101167315175,0.6013986013986014,0.7094532279314888,0.9371541501976285,-0.005836575875486361,-0.006614785992217875,-0.00739299610894939,-0.0023346303501945442,-0.01945525291828798,0.0015564202334630295,-0.0046692607003890885,0.00038910505836575737
51,51,0.9027237354085603,0.8743718592964824,0.9122200263504612,0.9731225296442687,-0.006614785992217875,0.2509727626459144,0.3023346303501946,0.16887159533073925,0.3536964980544747,0.15875486381322956,0.20661478599221794,0.16536964980544744
