,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.rightlow_temperature_scaled,feature_importance.rightlow_temperature_fd1_scaled,feature_importance.rightlow_temperature_fd2_scaled,feature_importance.rightlow_temperature_fd3_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_humidity_fd1_scaled,feature_importance.rightlow_humidity_fd2_scaled,feature_importance.rightlow_humidity_fd3_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_temperature_fd1_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_humidity_fd3_scaled
20,20,0.9083665338645418,0.8729281767955801,0.8979012852064534,0.9733388022969648,-0.0031872509960159112,0.004780876494023922,0.0063745019920319335,0.002788844621513964,0.0015936254980080111,1.1102230246251565e-16,0.015936254980079778,0.002788844621513964,0.0023904382470120167,0.010756972111553909,0.028286852589641365,0.0007968127490040056,-0.01195219123505964,0.007569721115537997,0.016733067729083673,0.003984063745020028,0.0019920318725100694,-0.0011952191235058418,-0.01035856573705174,0.005976095617529875,0.0019920318725099584,0.005577689243027928,0.003984063745020028,0.0035856573705178585,-0.004382470119521753,-0.0031872509960159112,-0.004382470119521975,-0.006772908366533659
21,21,0.8764940239043825,0.802547770700637,0.8361019961717255,0.9782608695652174,0.0015936254980080111,0.00836653386454178,0.005976095617529875,0.007569721115537775,0.015936254980079778,0.005577689243027928,1.1102230246251565e-16,0.010756972111553798,0.0031872509960160222,0.010756972111553798,0.01035856573705185,0.0007968127490040056,0.007968127490039945,-0.0011952191235059528,-0.0007968127490038945,0.007968127490039945,0.0035856573705178585,0.009163346613545786,0.00517928286852587,0.0035856573705178585,0.00517928286852587,0.0019920318725099584,0.0007968127490040056,0.004382470119521864,0.0035856573705178585,0.0007968127490040056,0.00517928286852587,-0.007171314741035828
22,22,0.8764940239043825,0.8287292817679558,0.8635835384194694,0.9682116488925349,0.011155378486055856,0.003984063745020028,0.009561752988047845,0.007569721115537775,-0.008764940239043728,-0.014741035856573492,0.018326693227091684,-0.017529880478087567,0.028286852589641365,-0.013944223107569598,-0.0031872509960159112,-0.008764940239043728,-0.0003984063745020583,-0.01713147410358562,-0.01713147410358551,-0.027091633466135412,-0.00517928286852587,0.007569721115537775,-0.009561752988047734,0.007569721115537775,-0.021912350597609542,-0.015537848605577498,-0.002788844621513964,-0.009163346613545786,-0.01035856573705174,-0.008366533864541892,-0.015139442231075662,-0.01354581673306765
23,23,0.8725099601593626,0.8241758241758241,0.8604388843314192,0.9388159693738037,0.0015936254980080111,0.0015936254980080111,-0.0011952191235059528,-0.0015936254980079,0.005976095617529875,0.005577689243027928,0.01035856573705185,-0.008764940239043728,0.02788844621513953,0.013944223107569709,-0.018326693227091573,0.007569721115537775,-0.01195219123505964,-0.0007968127490038945,-0.01912350597609558,-0.018326693227091573,-0.0035856573705179695,0.00836653386454178,1.1102230246251565e-16,0.008764940239043839,0.017529880478087678,-0.0011952191235059528,0.016334661354581614,0.007968127490039945,-0.011553784860557803,-0.010756972111553798,-0.0019920318725099584,-0.013147410358565703
24,24,0.8924302788844621,0.8402366863905325,0.8670016406890895,0.9713563029805852,0.004382470119521864,0.0035856573705178585,-0.004780876494023811,-0.00836653386454167,-0.007968127490039723,0.0003984063745021693,-0.00039840637450183625,0.0019920318725100694,-0.0023904382470119057,-0.006772908366533659,0.012350597609561698,0.007569721115537775,-0.004780876494023811,-0.004382470119521975,0.007569721115537775,-0.0011952191235058418,0.0015936254980080111,0.006772908366533881,0.017928286852589626,0.015537848605577609,0.0011952191235059528,0.021912350597609542,0.0031872509960160222,0.009163346613545786,0.0003984063745021693,0.003984063745020028,-0.0023904382470119057,0.009163346613545786
25,25,0.8605577689243028,0.7852760736196319,0.8258135083401695,0.9516680339075745,-0.00517928286852587,-0.007171314741035828,-0.011553784860557803,0.0015936254980080111,-0.0003984063745020583,0.005976095617529875,0.004382470119521864,-0.0011952191235059528,0.004780876494023922,-0.004382470119521975,-0.0011952191235059528,-0.0023904382470119057,-0.007171314741035828,-0.0063745019920318224,0.023107569721115606,-0.01035856573705174,-0.0011952191235059528,-0.002788844621513964,0.0023904382470120167,-0.003984063745019806,-0.0003984063745020583,0.003984063745020028,-0.0019920318725099584,0.0007968127490040056,-0.0019920318725099584,-0.011155378486055745,-0.010756972111553798,-0.002788844621513964
26,26,0.8685258964143426,0.8341708542713567,0.8756152584085316,0.9649302707136997,1.1102230246251565e-16,-0.0003984063745020583,-0.0019920318725099584,1.1102230246251565e-16,-0.0011952191235059528,0.0015936254980080111,0.0011952191235059528,-0.0023904382470119057,-0.002788844621513964,-0.004780876494023811,-0.007171314741035828,-0.0031872509960159112,-0.004780876494023811,-0.0019920318725099584,-0.0015936254980079,-0.0007968127490038945,-0.002788844621513964,-0.0003984063745020583,-0.0015936254980079,0.00517928286852587,-0.005577689243027817,-0.004382470119521975,0.0007968127490040056,1.1102230246251565e-16,-0.0011952191235059528,-0.0023904382470119057,-0.005976095617529875,0.007968127490039945
27,27,0.8446215139442231,0.7745664739884393,0.8201052775499043,0.9472928630024611,-0.0031872509960159112,-0.0015936254980079,-0.0023904382470119057,-0.008764940239043728,-0.01035856573705174,0.00836653386454178,-0.0007968127490038945,-0.0023904382470119057,-0.004780876494023811,0.013545816733067761,-0.002788844621513964,0.008764940239043839,-0.013944223107569709,-0.011155378486055745,-0.0019920318725099584,1.1102230246251565e-16,0.010756972111553798,-0.0011952191235059528,-0.011553784860557803,-0.0011952191235059528,-0.020318725099601642,0.0011952191235059528,-0.01872509960159363,-0.004382470119521975,-0.010756972111553798,-0.00517928286852587,0.00836653386454178,0.0031872509960160222
28,28,0.8924302788844621,0.8383233532934131,0.8647115121684441,0.9719715613891169,-0.0015936254980079,0.008764940239043839,0.0063745019920319335,0.019920318725099695,0.015537848605577609,1.1102230246251565e-16,0.0035856573705178585,-0.0019920318725098474,-0.0007968127490038945,0.014741035856573714,-0.01035856573705174,0.0011952191235059528,-0.0019920318725099584,-0.004382470119521975,-0.01354581673306765,0.0023904382470120167,1.1102230246251565e-16,-0.0031872509960159112,0.01713147410358562,0.02788844621513953,0.004382470119521864,-0.007171314741035828,-0.011553784860557803,0.012350597609561698,0.004382470119521864,-0.0031872509960159112,-0.0011952191235058418,0.007968127490039945
29,29,0.8884462151394422,0.8352941176470589,0.863856986601039,0.970809406617446,-0.007569721115537664,-0.0019920318725099584,-0.0019920318725098474,-0.010756972111553575,0.005976095617529875,0.004382470119521864,0.025099601593625454,-0.0031872509960159112,-0.01673306772908356,0.0007968127490040056,0.01912350597609569,0.014741035856573714,-0.002788844621513742,-0.0031872509960159112,-0.01673306772908356,-0.009960159362549681,-0.013147410358565703,0.0007968127490040056,0.02908366533864537,0.042231075697211184,-0.003984063745019806,-0.0011952191235059528,-0.003984063745019806,-0.003984063745019806,-0.027091633466135412,-0.013147410358565703,0.008764940239043839,0.006772908366533881
