,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled
41,41,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9123079437724746,-0.002666666666666706,-0.004000000000000115,-0.0031111111111110645,-0.008000000000000007,0.02488888888888885,-0.0022222222222222365,-0.0004444444444443585,0.0031111111111110645,0.13866666666666672,-0.004888888888888943,0.000888888888888828,-0.01288888888888895
42,42,0.9022222222222223,0.8791208791208791,0.8971886237332461,0.9137790127492645,0.007111111111111179,0.00088888888888905,0.003555555555555645,-0.0022222222222221255,0.10088888888888892,0.021777777777777674,0.04577777777777792,0.003555555555555645,0.22622222222222232,0.013333333333333308,0.07377777777777783,0.005333333333333523
43,43,0.8622222222222222,0.8187134502923976,0.8466001961425302,0.9123896698267409,-0.004444444444444362,-0.0013333333333332975,0.001777777777777767,-0.0022222222222223476,-0.0022222222222223476,0.0013333333333334085,0.0013333333333334085,-0.00622222222222224,0.008888888888888946,0.009333333333333416,0.0022222222222221255,-0.000888888888888939
44,44,0.8622222222222222,0.8208092485549133,0.8482755802549853,0.9234226871526641,-0.0031111111111111756,-0.0031111111111111756,-0.0004444444444444695,-0.005333333333333412,-0.010222222222222133,-0.004888888888888943,-0.001777777777777878,-0.000888888888888828,0.01244444444444448,-0.005333333333333412,-0.006666666666666599,0.005777777777777882
45,45,0.8666666666666667,0.8275862068965517,0.853710362863681,0.9020104609349462,1.1102230246251565e-16,-0.004444444444444473,-0.002666666666666595,-0.0040000000000000036,0.08044444444444454,0.013777777777777667,0.011555555555555541,0.009777777777777774,0.15288888888888885,0.000888888888888939,-0.0031111111111111756,0.002666666666666595
46,46,0.8488888888888889,0.8349514563106796,0.8621281464530892,0.919908466819222,-0.052444444444444405,-0.0022222222222222365,-0.000888888888888828,-0.025777777777777677,0.2786666666666666,0.11288888888888893,0.02977777777777768,0.10222222222222221,0.32577777777777783,0.027555555555555444,0.06488888888888888,0.05777777777777782
47,47,0.8622222222222222,0.8187134502923976,0.8466001961425302,0.9262830990519777,0.004444444444444473,0.0013333333333334085,-0.001777777777777878,-0.001777777777777878,-0.001777777777777656,0.005333333333333301,0.002666666666666595,0.000888888888888939,-0.004444444444444584,0.00044444444444458053,-0.0013333333333332975,0.0022222222222222365
48,48,0.8577777777777778,0.813953488372093,0.8428407976462897,0.9123079437724746,0.0,-0.0013333333333334085,-0.0004444444444443585,0.000888888888888828,0.004888888888888943,0.0031111111111110645,0.0039999999999998925,0.0022222222222222365,-0.007111111111111179,0.0031111111111110645,0.000888888888888828,0.002666666666666595
49,49,0.8622222222222222,0.8248587570621468,0.8516263484798954,0.9215429879045439,0.0057777777777776596,-0.00622222222222224,0.0,0.013333333333333308,0.14088888888888884,0.017333333333333423,0.02444444444444438,0.02488888888888896,-0.0013333333333332975,0.005777777777777882,0.023111111111111082,0.03866666666666674
50,50,0.8755555555555555,0.8409090909090909,0.8645799280810722,0.9034815299117359,-0.0004444444444444695,0.0004444444444443585,0.007111111111111068,0.00044444444444458053,-0.002666666666666706,0.002666666666666595,0.01111111111111096,0.020444444444444376,-0.000888888888888828,0.013777777777777667,0.005333333333333301,0.004888888888889054
