,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.back_CO2_vd_scaled,feature_importance.back_CO2_vd_fd1_scaled,feature_importance.back_CO2_vd_fd2_scaled,feature_importance.back_CO2_vd_fd3_scaled
51,51,0.7808219178082192,0.7108433734939759,0.7615970558028072,0.8984080794248545,-0.031050228310502193,-0.002739726027397249,0.020091324200913308,0.04018264840182639
52,52,0.5799086757990868,0.0,0.5,0.6966792194453953,0.0,0.0,0.0,0.0
53,53,0.7534246575342466,0.7652173913043478,0.78141047586443,0.9098767545361177,-0.03242009132420087,-0.03013698630136974,0.11506849315068501,0.1442922374429224
54,54,0.8721461187214612,0.8526315789473684,0.8732882574460801,0.9280212256076686,0.008219178082191747,0.021461187214611877,0.07990867579908689,0.1388127853881278
55,55,0.5799086757990868,0.0,0.5,0.8126497774734679,0.0,0.0,0.0,0.0
56,56,0.5799086757990868,0.0,0.5,0.7217562478603218,0.0,0.0,0.0,0.0
57,57,0.6666666666666666,0.34234234234234234,0.6032608695652174,0.8651146867511126,-0.01872146118721474,0.0009132420091323423,0.007305936073059294,0.004566210045662156
58,58,0.8310502283105022,0.8042328042328042,0.8303663129065388,0.8424340979116741,-0.043835616438356095,0.03242009132420087,0.05616438356164377,0.15388127853881273
59,59,0.7808219178082192,0.7108433734939759,0.7615970558028072,0.8894214310167751,0.005479452054794498,0.029680365296803624,0.03287671232876721,0.07031963470319647
60,60,0.7808219178082192,0.7303370786516854,0.7705837042108867,0.8213796644984594,-0.05251141552511407,-0.0009132420091324533,0.07762557077625576,0.15296803652968038
61,61,0.5799086757990868,0.0,0.5,0.9127011297500855,0.0,0.0,0.0,0.0
62,62,0.5799086757990868,0.0,0.5,0.7360492981855529,0.0,0.0,0.0,0.0
63,63,0.5799086757990868,0.0,0.5,0.8717904827114002,0.0,0.0,0.0,0.0
64,64,0.867579908675799,0.8527918781725888,0.873844573776104,0.9076514892160219,0.016438356164383383,0.03013698630136985,0.031050228310502304,0.07716894977168942
