,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.right_CO2_vd_scaled,feature_importance.right_CO2_vd_fd1_scaled,feature_importance.right_CO2_vd_fd2_scaled,feature_importance.right_CO2_vd_fd3_scaled,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_CO2_fd1_scaled,feature_importance.rightlow_CO2_fd2_scaled,feature_importance.rightlow_CO2_fd3_scaled,feature_importance.righttop_CO2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_CO2_fd3_scaled
25,25,0.9246861924686193,0.91,0.9367420881396036,0.9744897959183674,-0.0033472803347280866,0.025523012552301494,0.0347280334728034,0.014225941422594257,0.002510460251045954,0.08451882845188297,0.032217573221757445,0.01171548117154797,0.3384937238493725,0.08158995815899595,0.05983263598326383,0.00878661087866095
26,26,0.9163179916317992,0.8979591836734694,0.9238391008577345,0.9770038450162675,0.010460251046025215,0.01213389121338937,0.020083682008368298,0.01715481171548139,0.016736401673640322,0.03138075313807531,0.035983263598326376,0.011715481171548192,0.06025104602510467,0.10167364016736402,0.06610878661087871,-0.002510460251046176
27,27,0.895397489539749,0.8792270531400966,0.9129325643300799,0.966134279798876,0.0020920502092051096,0.0158995815899583,0.01297071129707128,0.008368200836820106,0.11213389121338901,0.06903765690376562,0.032217573221757334,0.014225941422594146,0.00878661087866095,0.09916317991631796,0.06317991631799158,0.04769874476987446
28,28,0.8619246861924686,0.8324873096446701,0.8674208813960367,0.940106477373558,1.1102230246251565e-16,0.0016736401673641543,-0.0004184100418408443,0.0,0.0020920502092049986,0.007531380753138195,0.0071129707112971285,-0.0016736401673640433,0.0033472803347281976,0.002510460251046176,0.005439330543933196,0.0020920502092051096
29,29,0.9288702928870293,0.9137055837563451,0.9381100266193434,0.9684265010351967,0.0029288702928869093,0.004184100418409886,0.0188284518828451,0.01380753138075308,0.01966527196652723,0.027196652719665315,0.04476987447698744,0.0016736401673639323,0.15564853556485359,0.07698744769874477,0.02092050209205032,0.019246861924685943
30,30,0.895397489539749,0.8691099476439791,0.8966651878142562,0.9713842058562556,-0.0020920502092048876,0.0179916317991633,0.03347280334728042,0.03974895397489542,0.3087866108786611,0.08702928870292881,0.046025104602510414,0.013389121338912124,0.098744769874477,0.11255230125523008,0.098744769874477,0.06359832635983265
31,31,0.9079497907949791,0.8829787234042553,0.9068692694469092,0.9715320910973084,0.0020920502092052207,0.004184100418410219,0.019246861924686276,0.017573221757322233,0.23179916317991645,0.08619246861924668,0.043933054393305415,0.009205020920502238,0.07029288702928871,0.09958158995815891,0.043096234309623394,0.07280334728033477
32,32,0.8577405857740585,0.826530612244898,0.8619860987873411,0.9277580597456374,-0.004184100418409997,0.0008368200836820217,-0.0004184100418409553,0.00041841004184106634,-0.006276150627615107,0.0020920502092049986,0.005020920502092019,0.0008368200836820217,0.00878661087866106,0.0008368200836820217,0.0016736401673640433,0.005020920502092019
33,33,0.9079497907949791,0.89,0.919069801833777,0.9742679680567881,0.003765690376569264,0.015062761506276279,0.008368200836820217,0.009623430962343194,0.30920502092050206,0.09414225941422594,0.06317991631799158,0.0924686192468619,0.22928870292887027,0.17866108786610868,0.12301255230125518,0.08326359832635977
34,34,0.8619246861924686,0.847926267281106,0.8877551020408163,0.953416149068323,0.0,0.02175732217573234,-0.0071129707112970175,0.028033472803347337,0.008368200836820106,0.05648535564853563,0.0514644351464435,-0.018410041841004143,0.32719665271966536,0.11004184100418413,0.046025104602510525,-0.003765690376569042
35,35,0.9121338912133892,0.896551724137931,0.9265380065069506,0.9657645666962438,0.008368200836820328,0.043096234309623505,0.021338912133891386,0.026359832635983294,0.17196652719665273,0.05230125523012563,0.03347280334728031,0.006694560669456173,0.20334728033472815,0.08744769874476988,0.03556485355648553,0.03347280334728053
36,36,0.9205020920502092,0.900523560209424,0.9231736172729962,0.9708666075125703,0.0020920502092047766,0.023012552301255318,0.030962343096234357,0.02468619246861936,-0.0016736401673641543,0.09497907949790785,0.01882845188284532,0.014225941422594146,0.2259414225941423,0.11004184100418402,0.07656903765690382,0.012970711297071169
37,37,0.9163179916317992,0.8969072164948454,0.9218056787932565,0.9719757468204674,-0.00041841004184117736,0.01882845188284532,0.03472803347280329,0.0008368200836820217,0.18953974895397496,0.04225941422594137,0.03640167364016755,0.0020920502092047766,0.19707112970711305,0.07405857740585786,0.05439330543933063,0.04142259414225946
38,38,0.9330543933054394,0.9191919191919192,0.943544809228039,0.971753918958888,0.007531380753138084,0.03974895397489553,0.0338912133891216,0.04267782426778255,0.056903765690376695,0.09832635983263605,0.09623430962343105,0.012970711297071058,0.3518828451882845,0.08702928870292892,0.07489539748953988,0.02092050209205043
39,39,0.8828451882845189,0.8627450980392157,0.8966282165039929,0.963620230700976,0.03179916317991638,0.05732217573221754,0.023012552301255318,0.00041841004184117736,0.2468619246861924,0.13891213389121349,0.043933054393305304,0.0029288702928870203,0.2803347280334728,0.10627615062761508,0.105020920502092,0.09581589958158998
40,40,0.9037656903765691,0.8844221105527639,0.9136350192250813,0.9721236320615203,-0.0020920502092047766,0.030543933054393402,0.004602510460251286,-0.006694560669455951,0.046861924686192546,0.13305439330543944,0.02175732217573223,0.05355648535564861,0.2280334728033473,0.09121338912133892,0.11380753138075317,0.054811715481171586
41,41,0.9205020920502092,0.9025641025641026,0.927240461401952,0.9725672877846792,-0.007531380753138306,0.022594142259414363,0.012970711297071169,0.004184100418409775,0.01673640167364021,0.07531380753138062,0.029288702928870314,-2.220446049250313e-16,0.25815899581589963,0.08117154811715488,0.06401673640167371,0.012552301255230214
42,42,0.9205020920502092,0.9035532994923858,0.92927388346643,0.9716060337178349,0.01087866108786617,0.025104602510460317,0.01882845188284521,0.010041841004184149,0.15481171548117156,0.12552301255230114,0.05439330543933052,0.05313807531380754,0.26820083682008367,0.11087866108786604,0.07907949790794966,0.0179916317991633
43,43,0.9163179916317992,0.9,0.9279059449866903,0.9738243123336292,0.006694560669456173,0.02384937238493734,0.019246861924686387,0.014225941422594368,0.09163179916317987,0.03347280334728031,0.006276150627615218,-0.005439330543933196,0.21004184100418422,0.0514644351464435,0.08326359832635988,0.03347280334728031
44,44,0.8619246861924686,0.8341708542713567,0.8694543034605147,0.9334516415261755,-0.0033472803347279756,0.0016736401673641543,0.005439330543933196,0.003765690376569153,-0.003765690376569042,0.0029288702928871313,0.005857740585774152,0.004602510460251175,0.00041841004184117736,0.010041841004184149,0.005439330543933196,0.0020920502092051096
45,45,0.9037656903765691,0.8866995073891626,0.9177018633540373,0.9719757468204673,0.012552301255230214,0.038075313807531264,0.02594142259414245,0.014644351464435101,0.05648535564853552,0.032217573221757445,0.0347280334728034,-0.012552301255230325,0.16903765690376582,0.08242677824267775,0.05815899581589956,0.07489539748953977
46,46,0.9079497907949791,0.8910891089108911,0.9211032238982549,0.9724194025436261,0.0033472803347280866,0.007949790794979261,0.013389121338912235,0.01004184100418426,0.005439330543933085,0.03849372384937222,0.008368200836820217,0.020083682008368076,0.2029288702928871,0.06652719665271978,0.018410041841004254,0.07824267782426775
47,47,0.9246861924686193,0.90625,0.9286083998816919,0.9747855664004733,0.004184100418409886,0.025523012552301494,0.00878661087866106,0.0158995815899583,0.05564853556485361,0.09707112970711296,0.05732217573221765,0.016736401673640322,0.1857740585774058,0.07656903765690382,0.06150627615062765,0.051882845188284565
