,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.front_CO2_vd_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled
83,83,0.7377777777777778,0.6424242424242425,0.7128555083360575,0.8502778685845047,-0.005777777777777882,0.0484444444444444,0.10755555555555563,0.11777777777777787
84,84,0.7644444444444445,0.6748466257668712,0.7387626675384112,0.8821510297482837,-0.001777777777777656,0.028000000000000025,0.047111111111111104,0.09377777777777774
85,85,0.7866666666666666,0.7241379310344828,0.7709627329192547,0.8853383458646616,-0.008000000000000007,0.04177777777777769,0.06222222222222229,0.08711111111111114
86,86,0.7955555555555556,0.7444444444444445,0.785183066361556,0.8737332461588754,-0.03822222222222216,0.05422222222222228,0.0835555555555556,0.08266666666666678
87,87,0.8088888888888889,0.7624309392265194,0.799812030075188,0.8738149722131416,0.007555555555555538,0.05999999999999994,0.08311111111111114,0.09199999999999997
88,88,0.7244444444444444,0.6125,0.6948757763975155,0.8689931350114417,-0.01822222222222225,0.05422222222222217,0.0662222222222223,0.11066666666666669
89,89,0.7733333333333333,0.7052023121387283,0.7563337692056227,0.8530565544295522,0.019555555555555437,0.052444444444444405,0.1128888888888887,0.12622222222222212
90,90,0.7955555555555556,0.7088607594936709,0.7667538411245505,0.9073226544622426,-0.03599999999999992,0.05777777777777782,0.09155555555555561,0.0808888888888889
91,91,0.7155555555555555,0.5897435897435898,0.6823308270676691,0.8756129454069957,-0.02400000000000002,0.021777777777777674,0.06222222222222218,0.08577777777777773
92,92,0.7644444444444445,0.6900584795321637,0.7454642039882314,0.8604118993135011,0.02400000000000002,0.07644444444444443,0.09244444444444455,0.09244444444444444
93,93,0.7822222222222223,0.72,0.767203334423014,0.8640895717554756,0.026666666666666727,0.06888888888888889,0.09333333333333338,0.14
94,94,0.7911111111111111,0.7374301675977654,0.7797482837528604,0.8696469434455705,0.00666666666666671,0.06311111111111112,0.07999999999999996,0.08444444444444443
95,95,0.7688888888888888,0.6976744186046512,0.7508989865969271,0.8539555410264793,0.021333333333333315,0.06933333333333336,0.11733333333333329,0.09244444444444433
96,96,0.7688888888888888,0.6976744186046512,0.7508989865969271,0.8528113762667539,0.027999999999999914,0.11911111111111106,0.12577777777777777,0.1266666666666667
97,97,0.7511111111111111,0.6666666666666666,0.7291598561621445,0.8495423340961099,0.015111111111111075,0.09288888888888891,0.0995555555555554,0.13155555555555543
98,98,0.7644444444444445,0.6936416184971098,0.7471395881006865,0.8564073226544622,0.016000000000000125,0.07066666666666666,0.08044444444444454,0.10533333333333339
99,99,0.6977777777777778,0.5466666666666666,0.6589163125204315,0.8650702844066689,-0.026222222222222147,0.03911111111111121,0.057333333333333236,0.07777777777777783
100,100,0.7644444444444445,0.6863905325443787,0.7437888198757764,0.8735697940503433,0.006666666666666599,0.039111111111111097,0.07111111111111124,0.07999999999999996
101,101,0.7333333333333333,0.6,0.6956930369401765,0.8789637136319058,-0.009333333333333305,0.07377777777777772,0.1062222222222221,0.0848888888888889
102,102,0.8,0.7513812154696132,0.7906178489702517,0.8619646943445571,-0.03200000000000003,0.072888888888889,0.10977777777777786,0.09955555555555562
103,103,0.8,0.7486033519553073,0.7889424648577967,0.870137299771167,-0.00533333333333319,0.03733333333333344,0.08755555555555561,0.06844444444444453
104,104,0.8044444444444444,0.7582417582417582,0.7960526315789473,0.8738149722131415,-0.008444444444444588,0.039999999999999925,0.06844444444444442,0.063111111111111
105,105,0.7866666666666666,0.7272727272727273,0.7726381170317097,0.8666230794377248,0.013333333333333197,0.04133333333333333,0.06799999999999995,0.10355555555555551
