,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.front_CO2_vd_scaled,feature_importance.front_CO2_vd_fd1_scaled,feature_importance.front_CO2_vd_fd2_scaled,feature_importance.front_CO2_vd_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled
53,53,0.9130434782608695,0.90625,0.9163043478260869,0.9321361058601133,-0.007246376811594346,0.009661835748792313,0.009661835748792091,0.004830917874396157,0.006763285024154464,0.009178743961352542,0.0024154589371979673,-0.0004830917874397711,0.011111111111111072,0.035748792270531404,0.018840579710144856,0.010628019323671523
54,54,0.782608695652174,0.7926267281105991,0.7978260869565217,0.9380907372400756,-0.046859903381642476,0.010144927536231974,-0.0014492753623187582,-0.009661835748792202,0.188888888888889,0.022705314009661914,0.005314009661835928,-0.007729468599033784,0.21449275362318854,0.017874396135265758,-0.004347826086956386,-0.008212560386473333
55,55,0.8164251207729468,0.8137254901960784,0.825,0.9010396975425331,-0.018357487922705307,0.007729468599033784,0.01256038647342994,0.010628019323671412,0.2830917874396136,0.022705314009661803,0.010144927536231751,0.006763285024154464,0.30531400966183575,0.023188405797101463,-0.005797101449275477,-0.0019323671497584183
56,56,0.7584541062801933,0.7663551401869159,0.7717391304347826,0.9208884688090738,-0.03913043478260869,0.012560386473430052,0.022705314009662025,0.018357487922705418,0.2236714975845412,0.026570048309178862,0.0009661835748793202,0.0009661835748793202,0.2396135265700483,0.021739130434782705,0.007246376811594235,0.006763285024154686
57,57,0.7536231884057971,0.7559808612440191,0.7641304347826088,0.9120982986767486,-0.07391304347826089,0.0009661835748793202,0.013043478260869712,0.012560386473430052,0.24251207729468605,0.007246376811594235,-0.0033816425120772875,-0.0014492753623187582,0.2193236714975847,0.03188405797101457,0.0024154589371980784,-0.0024154589371980784
58,58,0.7874396135265701,0.7962962962962963,0.8021739130434783,0.9245746691871456,-0.006763285024154464,0.0009661835748792091,0.0019323671497585293,1.1102230246251565e-16,0.314975845410628,0.009178743961352764,0.005797101449275366,0.0033816425120772875,0.3057971014492753,0.007729468599033895,1.1102230246251565e-16,0.0004830917874397711
59,59,0.8454106280193237,0.8160919540229885,0.8380434782608696,0.9208884688090737,-0.008695652173913104,0.0014492753623188692,0.006763285024154575,0.005314009661835817,0.2507246376811594,0.013043478260869712,0.019806763285024065,0.013043478260869712,0.1985507246376811,0.011111111111111183,0.007729468599033784,0.0024154589371980784
60,60,0.7777777777777778,0.7889908256880734,0.7934782608695652,0.9400756143667296,-0.004347826086956497,0.0038647342995168366,0.012077294685990392,0.011111111111111072,0.2202898550724638,0.011594202898550732,0.0009661835748792091,-0.0019323671497584183,0.21111111111111114,0.01352657004830915,0.01400966183574881,0.005797101449275366
61,61,0.8502415458937198,0.8502415458937198,0.8608695652173913,0.953875236294896,0.03140096618357491,0.009178743961352764,-0.0033816425120772875,0.0028985507246376274,0.3623188405797101,0.02898550724637672,0.033333333333333326,0.018840579710145078,0.38405797101449274,0.05265700483091784,0.04299516908212564,0.034299516908212424
62,62,0.9033816425120773,0.8913043478260869,0.9021739130434783,0.9253308128544422,1.1102230246251565e-16,0.0033816425120772875,-1.1102230246251565e-16,-0.0033816425120772875,-0.0009661835748793202,0.014492753623188581,0.010628019323671412,0.007729468599033895,0.0038647342995168366,0.012560386473430052,0.01449275362318836,0.009661835748792202
63,63,0.7004830917874396,0.7350427350427351,0.7239130434782609,0.9280718336483931,-0.022705314009661803,0.0004830917874396601,0.0014492753623188692,0.0004830917874396601,0.25217391304347825,0.03526570048309163,0.03816425120772937,0.020772946859903385,0.2357487922705313,0.029468599033816267,0.03623188405797095,0.032367149758454006
64,64,0.8502415458937198,0.8393782383419689,0.8532608695652174,0.9382797731568997,-0.03333333333333344,-0.0014492753623187582,-0.0024154589371980784,-0.0019323671497585293,0.23816425120772944,0.0024154589371980784,0.0,0.0,0.25748792270531407,0.019806763285024065,0.009178743961352764,0.005314009661835817
65,65,0.7922705314009661,0.7772020725388601,0.7945652173913043,0.9063327032136106,-0.009178743961352653,0.0038647342995169476,0.011111111111111072,0.004347826086956497,0.2550724637681159,0.011594202898550732,0.0009661835748792091,0.007246376811594235,0.288888888888889,-0.0019323671497584183,0.0038647342995169476,0.009178743961352653
66,66,0.8599033816425121,0.8527918781725888,0.8652173913043478,0.9268431001890359,-0.016425120772946777,0.005797101449275366,0.013043478260869712,0.010144927536231974,0.3352657004830918,0.02753623188405796,0.01449275362318847,0.009178743961352764,0.3405797101449275,0.02898550724637694,0.01594202898550734,0.006280193236715026
67,67,0.8164251207729468,0.7865168539325843,0.8108695652173914,0.9014177693761816,-0.033333333333333326,0.015458937198067568,0.024637681159420333,0.03140096618357491,0.3270531400966183,0.01159420289855062,-0.01111111111111096,0.00048309178743943804,0.2594202898550725,0.005314009661835706,-0.005797101449275366,-0.009178743961352542
68,68,0.714975845410628,0.7510548523206751,0.7402173913043478,0.9419659735349716,-0.00048309178743954906,0.00048309178743954906,0.0009661835748792091,0.0033816425120771765,0.15990338164251205,0.0019323671497584183,-0.0009661835748792091,-0.0024154589371979673,0.19999999999999996,-0.005797101449275366,0.0024154589371980784,-0.004830917874396046
69,69,0.8647342995169082,0.8541666666666666,0.8673913043478261,0.9277882797731569,-0.047826086956521796,-1.1102230246251565e-16,0.009178743961352653,0.006763285024154464,0.30966183574879225,0.01449275362318836,0.004830917874396046,0.011111111111111072,0.302415458937198,0.009178743961352653,0.017391304347825987,0.007246376811594124
70,70,0.7632850241545893,0.751269035532995,0.7673913043478261,0.9132325141776937,-0.04154589371980688,0.01207729468599028,0.011111111111111072,0.004347826086956497,0.2657004830917874,0.011111111111111072,0.0028985507246376274,0.0033816425120772875,0.24782608695652164,0.020289855072463836,0.01352657004830915,0.004347826086956497
71,71,0.8357487922705314,0.7901234567901234,0.8217391304347825,0.9173913043478261,-0.0028985507246376274,0.0019323671497585293,0.0019323671497585293,-0.0033816425120771765,0.008212560386473444,0.017874396135265758,0.013043478260869601,0.0033816425120772875,0.02608695652173909,0.03043478260869581,0.01256038647342994,0.013043478260869601
72,72,0.8599033816425121,0.8497409326424871,0.8630434782608696,0.9190926275992439,-0.021739130434782705,-0.00048309178743954906,0.0038647342995168366,0.011594202898550732,0.25652173913043486,0.01449275362318847,0.0028985507246376274,0.0033816425120773985,0.2671497584541064,0.01642512077294689,-0.0033816425120772875,-0.0024154589371980784
73,73,0.7439613526570048,0.7488151658767772,0.7554347826086957,0.9131379962192817,-0.05507246376811592,-0.020289855072463836,-0.034299516908212535,-0.03623188405797095,0.13285024154589364,-0.013043478260869601,-0.020772946859903385,-0.018357487922705307,0.1280193236714976,-0.010144927536231862,-0.023671497584541124,-0.03285024154589378
74,74,0.8647342995169082,0.8409090909090909,0.8586956521739131,0.9254253308128545,-0.022705314009661803,0.01159420289855062,0.024637681159420333,0.01497584541062802,0.1236714975845411,0.0024154589371979673,-0.0033816425120773985,-0.0024154589371981894,0.08164251207729467,0.004830917874396046,0.00048309178743954906,0.0033816425120772875
75,75,0.9082125603864735,0.8972972972972973,0.9076086956521738,0.926937618147448,0.004347826086956497,0.008695652173913215,0.01449275362318836,0.008212560386473444,-0.01256038647342994,0.004830917874396046,0.005314009661835817,0.010144927536231974,-0.0028985507246377384,0.012077294685990392,0.004347826086956497,0.0009661835748793202
76,76,0.893719806763285,0.89,0.9010869565217391,0.9523629489603025,-0.0033816425120772875,0.0014492753623188692,-0.0014492753623188692,-0.0014492753623188692,0.2657004830917874,0.02705314009661841,0.02463768115942022,0.025603864734299653,0.20000000000000007,0.02705314009661841,0.05555555555555558,0.037198067632850274
77,77,0.8115942028985508,0.7936507936507936,0.8119565217391305,0.9146502835538752,-0.035748792270531404,0.01497584541062813,0.025603864734299653,0.03091787439613536,0.25748792270531407,0.01690821256038655,0.012560386473430052,0.008695652173913104,0.25024154589371983,0.020289855072463836,0.007729468599033895,0.005314009661835706
78,78,0.821256038647343,0.8159203980099502,0.8282608695652174,0.9243856332703214,-0.03913043478260869,0.006763285024154464,0.01400966183574881,0.020289855072463725,0.318840579710145,0.017391304347826098,0.019323671497584516,0.010628019323671412,0.2884057971014493,0.019806763285024176,0.017874396135265758,0.005314009661835595
79,79,0.8502415458937198,0.841025641025641,0.8543478260869566,0.9340264650283553,-0.021256038647342934,0.0004830917874396601,0.004347826086956608,0.0009661835748792091,0.2971014492753623,0.008212560386473555,0.004347826086956608,-0.0019323671497585293,0.2971014492753623,0.0024154589371980784,0.0033816425120773985,0.0028985507246376274
80,80,0.5555555555555556,0.0,0.5,0.9545368620037806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,0.7777777777777778,0.7604166666666666,0.7793478260869565,0.9191871455576559,-0.04106280193236711,0.004347826086956608,0.004347826086956608,0.0038647342995168366,0.1985507246376812,0.0038647342995170586,0.0033816425120772875,0.0028985507246377384,0.20483091787439622,0.0009661835748792091,0.0009661835748792091,-0.005797101449275255
82,82,0.927536231884058,0.9206349206349206,0.9293478260869565,0.9434782608695652,0.004347826086956608,0.019323671497584405,0.035748792270531404,0.037198067632850274,0.3502415458937199,0.05217391304347829,0.02801932367149751,0.017391304347826098,0.3458937198067633,0.05700483091787445,0.02995169082125615,0.018840579710144856
