,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_CO2_fd1_scaled
74,74,0.8518518518518519,0.8482414506510892,0.8165992812219227,0.9319407008086253,1.4228407032826502,0.678306910503233,1.321432321822602,1.5819813491091477,0.4970107127751088,0.0851851851851852,0.015226337448559658,0.017695473251028816,0.029218106995884764
75,75,0.8888888888888888,0.8875939226935298,0.8652855627935161,0.939327374640206,1.3968377539558048,1.054528796616091,1.794822677595453,1.6679906951156376,-0.5357099537161166,0.12016460905349788,0.031275720164609014,0.0407407407407407,0.03868312757201642
76,76,0.8559670781893004,0.8561927962894147,0.8385352760736196,0.9304447852760737,1.7709021644621934,1.3676515763153236,1.5255869075669333,0.8959864322025937,-0.15998119928760718,0.08641975308641976,0.0008230452674897082,0.005349794238683125,0.011934156378600813
77,77,0.8477366255144033,0.8483472054622152,0.8359164420485176,0.9152440850554058,2.418031793123566,1.0821607787104168,0.9895960475487316,1.3316028978248748,-0.2764854449849464,0.060493827160493854,0.016460905349794275,0.030452674897119347,0.010699588477366273
78,78,0.8806584362139918,0.8767500736410228,0.8411225571883048,0.9392516285411301,1.5835655650414244,0.5494201091072143,1.447806196832431,1.8055835407576408,0.24644846227035483,0.11028806584362139,0.02016460905349793,0.03786008230452674,0.020987654320987648
79,79,0.8683127572016461,0.8683127572016461,0.8499536894103119,0.9312287743130596,1.8787836844815011,1.195157659035268,1.2831629606042958,1.1699568521774968,-0.032973082428073966,0.09958847736625517,0.00246913580246918,0.054320987654321015,0.027160493827160535
80,80,0.8600823045267489,0.8570401625253946,0.8355913978494623,0.93168458781362,1.8372453550166832,0.3494993242583736,1.301374916069006,1.8056498139622326,0.4939246449150427,0.13209876543209872,0.00411522633744853,0.03744855967078185,0.02921810699588475
81,81,0.8395061728395061,0.8369455875628716,0.7915165411071077,0.9113167376351131,2.412736279718358,0.576967875786574,1.4609960640527297,1.2278195422379223,0.1237585206423366,0.06460905349794234,0.0032921810699588104,0.01851851851851848,0.02057613168724276
82,82,0.8559670781893004,0.8558053167337754,0.8451778484673222,0.9346443030653556,1.5835464493852809,1.195980559453631,1.3433070927246988,1.0705786059425138,0.2071565018421569,0.09794238683127568,0.013168724279835365,0.018930041152263377,0.03786008230452674
83,83,0.8559670781893004,0.8568058046460802,0.8496905393457117,0.9244768641320364,1.8752208266707024,0.7478155105475929,1.0507729434850577,1.80840970919625,0.20051128556001438,0.10946502057613165,0.023456790123456785,0.034979423868312744,0.043209876543209846
84,84,0.8847736625514403,0.8842842906892561,0.8746251606454376,0.9460231329430244,2.231718098958135,0.7246505987198419,1.1737953077462473,1.303140614708734,0.08259673193528187,0.08847736625514399,0.01687242798353905,0.02716049382716047,0.0012345679012345401
85,85,0.8641975308641975,0.8639505440665204,0.8402537031200756,0.9221556886227544,2.538037381476,1.0854363344307,0.9918204896087348,1.267023976882746,-0.32791882730589583,0.08148148148148143,0.001646090534979383,0.04650205761316868,0.01769547325102876
86,86,0.8888888888888888,0.8886748406343855,0.8669438669438669,0.9587398048936511,1.6633956459145274,0.9160585017184397,1.028623731232973,1.3756973389464273,0.3185003975756145,0.08683127572016455,0.018106995884773613,0.036625514403292134,0.02263374485596704
87,87,0.8765432098765432,0.8765432098765432,0.8574166797058363,0.9486778281959005,1.0598809800405065,1.0658162242113223,1.5897941956404509,1.273192860204178,0.37258529102137083,0.08271604938271607,0.006995884773662564,0.016049382716049398,-0.0024691358024691466
88,88,0.897119341563786,0.8951202473352073,0.8685047720042418,0.9479624299348584,1.109954993081157,0.9269227110790248,1.6142601894272086,1.4268528099222186,0.2928764062213339,0.1020576131687243,0.03374485596707821,0.057201646090535,0.04238683127572018
89,89,0.8765432098765432,0.8746132648899234,0.8434908465028947,0.9338914097950243,2.0493253437837913,1.0822011109523186,1.257533102386821,0.7001718638408225,0.39490527543398946,0.09670781893004117,0.025514403292181076,0.023868312757201648,0.017695473251028805
90,90,0.8806584362139918,0.8823616125203427,0.8676890756302521,0.9297478991596638,1.9633877195176723,0.7024612264933303,1.7819764566550083,0.9949217985075961,0.1495235537867786,0.11934156378600821,0.03374485596707818,0.05390946502057612,0.05226337448559669
91,91,0.8930041152263375,0.8917803060867694,0.8782361308677098,0.9451635846372688,1.589825269827699,0.9346372886156419,1.4982356631296567,1.701466144992933,-0.1914159502468156,0.11687242798353914,0.010288065843621453,0.016049382716049443,0.023868312757201714
92,92,0.8765432098765432,0.8755505017688253,0.8466735966735968,0.9345114345114345,2.3637044948650447,0.7960010133318578,0.26221764735508746,1.8435620102442531,0.2526170210144856,0.09382716049382715,0.003292181069958855,0.011111111111111105,0.012345679012345689
93,93,0.8436213991769548,0.8456164853724264,0.8180970149253731,0.9134158751696065,1.6683227867897557,1.1785256046220625,1.092565648688164,1.7410255405220716,-0.13816731483510347,0.04485596707818933,0.010699588477366318,0.01975308641975313,0.00905349794238689
94,94,0.8353909465020576,0.8362278183478695,0.8244973938942666,0.9040953090096798,1.2358618311474336,1.2841105551852015,1.417540739397703,1.784777432499211,-0.20207661775701788,0.08724279835390943,0.01769547325102878,0.03168724279835387,0.02427983539094648
95,95,0.897119341563786,0.896183785511979,0.8735431235431236,0.958119658119658,1.7950320799020565,1.0562689639374412,1.5836129391475007,1.0410855342037417,-0.12420155053191051,0.0954732510288066,0.012345679012345711,0.044444444444444474,0.017283950617283984
96,96,0.8724279835390947,0.8716694402518156,0.8437150167919398,0.9277146969454663,1.9272886823388735,0.9592205851424492,0.9731818849811582,1.4905124852431735,0.21523454709199247,0.08148148148148152,0.02304526748971194,0.053497942386831296,0.015637860082304555
97,97,0.8683127572016461,0.8673424809625526,0.8528412377096588,0.9413678426836322,2.0426798932039048,0.9907845707465686,1.0670147195952029,1.3485402083848455,0.1527385672754929,0.10534979423868318,0.023868312757201682,0.021399176954732556,0.03168724279835394
98,98,0.8765432098765432,0.8765432098765432,0.8593315838221673,0.9414171040444582,1.2581750046777767,1.0667570531512043,1.1901328285378205,1.8255279636274413,0.12315315456811476,0.08806584362139919,0.0012345679012345733,0.029218106995884785,0.024279835390946504
99,99,0.8353909465020576,0.8344365114780108,0.8136262099776619,0.8952345495160089,2.4982127763344106,0.7132453312291566,1.0638607090134078,1.0422536550077441,0.4497366898518945,0.09382716049382714,0.013991769547325061,0.04238683127572013,0.03168724279835387
