,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_temperature_scaled,feature_importance.backlow_CO2_scaled,feature_importance.backlow_humidity_scaled,feature_importance.backlow_temperature_fd2_scaled,feature_importance.backlow_temperature_fd1_scaled,feature_importance.backlow_temperature_fd3_scaled,feature_importance.backlow_humidity_fd1_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_humidity_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_humidity_fd2_scaled
99,99,0.9259259259259259,0.9257179461581977,0.9158600148920327,0.9802680565897246,1.5447154434816022,1.8803538452635538,1.1163870297265548,1.6673926715683405,1.2237059768149328,0.13868312757201648,0.1065843621399177,0.05473251028806585,0.0012345679012345622,0.003292181069958833,0.007407407407407407,0.003703703703703687,0.0037037037037036978,0.0032921810699588438,0.005761316872427991,-0.0020576131687242705,0.009053497942386834
100,100,0.9588477366255144,0.9588477366255144,0.9558823529411764,0.9879448075526507,1.61977687168982,1.423084051031344,2.0663210137589196,1.5884305136077492,1.0576485538519669,0.13580246913580243,0.07777777777777775,0.03127572016460902,0.01687242798353906,0.005761316872427957,0.017283950617283918,-0.0016460905349794165,0.010699588477366207,0.006584362139917666,0.010288065843621352,0.0057613168724279466,0.007818930041152227
101,101,0.9423868312757202,0.9432759233856628,0.950913961550583,0.9796722344784116,1.763001351383938,1.3910702416237064,2.3396165253669237,1.7105264199171004,0.7279182109975402,0.14238683127572022,0.08395061728395067,0.046090534979423926,0.018518518518518545,0.011111111111111172,0.016460905349794285,0.014403292181070004,0.011522633744856025,0.016460905349794285,0.013168724279835443,0.009053497942386902,0.014814814814814859
102,102,0.9506172839506173,0.9510467797114385,0.9536426380368098,0.9802147239263803,1.4177684886196764,1.6422401646397067,1.356257002489642,2.247034916466211,0.8612390632274419,0.13868312757201648,0.0872427983539095,0.03950617283950617,0.0065843621399176875,0.0028806584362139785,0.011111111111111117,0.0012345679012345622,0.0016460905349794165,0.010288065843621408,0.0,0.004938271604938249,0.009053497942386834
103,103,0.9506172839506173,0.9509713516436913,0.9493043339197185,0.9861666400127939,1.8018711383793833,1.5158036319357056,2.1915851630486136,2.2078317231968985,0.3548306832559389,0.12345679012345681,0.08765432098765434,0.027160493827160494,0.0012345679012345622,0.006584362139917699,0.009465020576131678,0.006995884773662553,0.004938271604938249,-0.003292181069958833,0.007407407407407385,0.0004115226337448541,0.0037037037037036978
104,104,0.9300411522633745,0.9304933415320188,0.9296945193171609,0.9815813117699911,1.0717708249700122,1.2950225947259155,2.235459760564234,2.2234420561716752,0.9844205948009105,0.10534979423868311,0.06131687242798352,0.02839506172839503,0.0012345679012345622,-0.0004115226337448541,0.009465020576131666,-0.006172839506172834,0.0,-0.0057613168724279795,-0.0016460905349794275,-0.0004115226337448541,0.0020576131687242705
105,105,0.9629629629629629,0.9629243861802002,0.9597849462365592,0.9898924731182795,1.4982140664223487,1.5039708536912113,1.0848283498862135,2.1751642246887855,1.3591468080623352,0.17983539094650197,0.10288065843621394,0.03827160493827155,0.005761316872427957,0.009465020576131643,0.015226337448559613,0.015226337448559602,0.016049382716049342,0.013991769547325039,0.006172839506172811,0.016460905349794174,0.0037037037037036757
106,106,0.9465020576131687,0.9467283243533721,0.9485419630156472,0.9829302987197724,1.4965088131376676,2.1807364754831418,1.6071045645813355,1.8934243706523313,0.251354385370884,0.12386831275720167,0.07366255144032922,0.039506172839506214,0.00452674897119344,0.004526748971193428,0.012757201646090566,0.003703703703703709,0.0012345679012345733,0.0037037037037037203,0.0012345679012345733,-0.0008230452674897082,0.005349794238683148
107,107,0.9465020576131687,0.9468959818561756,0.9473926380368098,0.9857361963190184,2.137328874843825,1.6547867559047953,1.3888346287193207,1.2902223884376554,1.3226932264394213,0.1452674897119342,0.105761316872428,0.04403292181069962,0.005761316872428002,-0.0008230452674896971,0.020987654320987682,0.0041152263374485635,0.0024691358024691358,0.0016460905349794275,-0.0028806584362139785,-0.0012345679012345622,0.0008230452674897193
108,108,0.9506172839506173,0.9504741186970103,0.9426100628930818,0.9918388739143457,1.446916562888567,1.9960815331491495,1.6205751561497006,1.6446651502366174,1.0382168095483664,0.15843621399176955,0.0765432098765432,0.020576131687242805,-0.013991769547325094,-0.009876543209876498,-0.0020576131687242705,0.0020576131687242705,-0.0004115226337448541,-0.005761316872427968,-0.006584362139917666,-0.006172839506172811,0.0012345679012345622
109,109,0.9465020576131687,0.9469381953706942,0.9507110057769219,0.9896311657532217,1.437713452863705,1.9015611768760485,1.4190946482909912,1.8473332629991719,0.9313804149681494,0.13827160493827162,0.08641975308641976,0.0432098765432099,0.00452674897119344,0.004938271604938293,0.027160493827160515,-0.004115226337448541,0.006172839506172867,0.006584362139917721,0.003292181069958866,0.0012345679012345622,0.00452674897119344
110,110,0.9300411522633745,0.9305243205321395,0.9292531434631117,0.9803817603393425,1.674021166292681,1.8038045003890706,1.7489494850801346,1.621646370296882,0.9718057304670602,0.137037037037037,0.07983539094650205,0.03580246913580245,0.0020576131687242705,-0.0020576131687242705,0.008230452674897082,-0.0020576131687242817,-0.0028806584362139898,0.006172839506172811,-1.1102230246251566e-17,-0.006172839506172844,0.0008230452674897082
111,111,0.9300411522633745,0.9306957379731908,0.9322451143766095,0.9687168610816543,1.8678948872613759,1.793451391915544,1.8975612145924587,1.3259747603140817,0.7673055941820497,0.14691358024691353,0.07901234567901233,0.04526748971193415,0.003703703703703687,0.007407407407407385,0.01275720164609052,0.005761316872427957,0.0028806584362139785,0.0020576131687242705,0.0012345679012345622,-0.004526748971193406,0.0008230452674897082
112,112,0.9465020576131687,0.9464419747868309,0.9418016194331984,0.9891555812608445,1.661032314786538,1.986951302466797,1.2901346848068183,2.114367599945289,0.9648984319445987,0.15967078189300415,0.10534979423868315,0.035802469135802505,0.00905349794238688,0.007407407407407429,0.006995884773662586,0.0041152263374485635,0.004526748971193428,0.014814814814814859,0.004938271604938293,0.0012345679012345846,1.1102230246251566e-17
113,113,0.9465020576131687,0.9468959818561756,0.9473926380368098,0.9866564417177914,1.7175051972112831,1.4754336000779429,2.237505119666171,2.116181513280439,0.11202723506678135,0.15514403292181073,0.08312757201646093,0.03950617283950621,0.004526748971193428,0.006172839506172878,0.007407407407407429,0.0020576131687242705,0.006995884773662575,0.009465020576131744,0.003703703703703731,0.004526748971193417,0.004526748971193417
114,114,0.9506172839506173,0.9508350648701527,0.9515540639136144,0.9909528673573618,1.5704380195367635,1.854806637686875,1.5279522302236637,2.199679371696737,0.7383687228144432,0.15390946502057617,0.10534979423868314,0.016872427983539107,0.004526748971193395,0.0020576131687242705,0.00493827160493826,-0.004115226337448541,-0.004115226337448541,0.0016460905349794165,-0.0008230452674896971,-0.0024691358024691245,0.0004115226337448541
115,115,0.9300411522633745,0.9306114862539848,0.9327136720485854,0.9810398459487484,1.5251181081232155,2.146497603142076,1.2622781040793754,2.2905794542687574,0.6355183126719186,0.14362139917695468,0.07736625514403292,0.018930041152263377,-0.0012345679012345622,0.013168724279835375,0.012345679012345668,-0.0004115226337448541,-0.002880658436214001,0.006172839506172811,0.0012345679012345622,-0.00781893004115225,0.00493827160493826
116,116,0.9547325102880658,0.9550350499018464,0.9569277108433735,0.9931475903614457,1.8772970889131195,1.7866871844802743,1.1970115702262054,1.5401468084699743,0.7936823687122455,0.14732510288065842,0.10740740740740737,0.04032921810699587,0.005761316872427968,0.009465020576131666,0.01563786008230451,-0.0020576131687242705,0.005761316872427957,0.008641975308641959,0.0004115226337448541,-0.0004115226337448541,0.0012345679012345622
117,117,0.9465020576131687,0.9468025060976865,0.9422240128928283,0.9855761482675262,1.196808139969181,1.8224409104650061,1.6145852401385308,1.5693437151753098,1.556157338278233,0.1423868312757202,0.10740740740740744,0.03950617283950621,-0.008641975308641936,0.003292181069958855,0.011111111111111138,-0.003703703703703687,0.00823045267489716,0.002469135802469169,0.0041152263374485635,0.006995884773662586,0.006995884773662575
118,118,0.9382716049382716,0.9393089803192791,0.9508052147239264,0.9851226993865031,1.7404502760489142,1.3611710674363227,1.6304089308750147,1.5837397792680854,1.4068910129658743,0.1378600823045267,0.08106995884773657,0.02839506172839503,0.006995884773662519,0.0008230452674896971,0.008230452674897071,0.00905349794238679,0.0024691358024691136,-0.0032921810699588993,-0.0012345679012346067,0.006995884773662519,0.0024691358024691245
119,119,0.9547325102880658,0.9549961100316252,0.9571175950486295,0.9930002947244326,1.3223062093094122,2.1031282109856195,1.802057785797188,1.7087400484839332,0.5608255195900542,0.12057613168724277,0.08065843621399174,0.026337448559670774,0.004526748971193395,-0.0028806584362139898,0.01069958847736625,-0.007407407407407407,-0.0012345679012345622,0.004115226337448552,-0.003703703703703687,-0.0012345679012345622,-0.0020576131687242705
