,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.righttop_CO2_scaled,feature_importance.righttop_humidity_scaled,feature_importance.righttop_temperature_scaled,feature_importance.righttop_CO2_fd3_scaled,feature_importance.righttop_temperature_fd3_scaled,feature_importance.righttop_temperature_fd2_scaled,feature_importance.righttop_humidity_fd2_scaled,feature_importance.righttop_CO2_fd1_scaled,feature_importance.righttop_humidity_fd1_scaled,feature_importance.righttop_humidity_fd3_scaled,feature_importance.righttop_CO2_fd2_scaled,feature_importance.righttop_temperature_fd1_scaled
29,29,0.9818181818181818,0.9818918342984706,0.9725587371512482,0.9963289280469897,2.937890511581527,1.669995453054689,0.7805225652538459,2.2225568430770686,1.4043423854558685,0.2007272727272727,0.019999999999999997,0.002545454545454551,0.003272727272727294,0.007272727272727287,0.006545454545454565,0.011636363636363611,0.0021818181818181958,0.004727272727272747,0.002909090909090928,0.0065454545454545765,0.0010909090909090979
30,30,0.9745454545454545,0.9744660676762292,0.9591572504708098,0.9973320778405524,3.2626677607218513,1.2153610597673017,1.0523958425323319,1.8357837719783123,1.1930875294805252,0.20981818181818176,0.01672727272727268,0.005090909090909012,0.003999999999999937,0.004727272727272658,0.0018181818181817854,0.004727272727272647,0.0032727272727272163,0.007999999999999941,0.009090909090909038,0.009090909090909049,0.0021818181818181403
31,31,0.9672727272727273,0.967372270148304,0.9545276208411801,0.9980382925298179,2.5000855014790497,2.104388943030124,1.6116292528869507,1.9127200248233203,0.43283543228309124,0.16072727272727272,0.012727272727272731,-0.0014545454545454527,-0.000363636363636366,-0.006545454545454521,0.00036363636363637706,-0.0029090909090909054,-0.0025454545454545617,0.00545454545454549,-0.007272727272727253,-0.0018181818181818078,-0.0058181818181818005
32,32,0.9636363636363636,0.9641075164976661,0.9568181818181818,0.9962809917355372,3.1597332810123095,1.7099370282501434,0.8648073690013538,1.9823653309149387,0.7446829208862779,0.15818181818181815,0.006909090909090887,-0.00036363636363637706,0.0,-0.0032727272727272826,0.0,-0.005090909090909123,0.0,0.0036363636363636598,-0.009454545454545448,0.0,-0.000727272727272732
33,33,0.9709090909090909,0.9712765988183117,0.9684442270058709,0.9963307240704502,3.30803834433479,1.5208701997517218,1.2365768472918093,1.4172661838518847,1.6678920153543297,0.18363636363636368,0.01890909090909093,0.00545454545454549,2.2204460492503132e-17,0.005818181818181856,0.0061818181818182,-0.0018181818181817633,-0.0018181818181817854,-0.003636363636363582,0.007636363636363663,-0.006545454545454477,-0.0003636363636363438
34,34,0.9818181818181818,0.9818809703475496,0.9746941511647393,0.9982403217697335,2.6263821830101604,1.9407253696476898,1.2740693330755883,1.6614362177265638,1.419115649475073,0.20472727272727273,0.019999999999999973,0.0065454545454545765,0.0036363636363636598,0.001454545454545464,0.0061818181818182,0.002909090909090928,0.0021818181818181958,0.000727272727272732,0.0025454545454545617,0.001454545454545464,0.000363636363636366
35,35,0.9636363636363636,0.963890793302558,0.9487506374298827,0.9919258881523032,2.3800170285931825,1.9938207301576205,1.7618277582108297,2.2051915122895718,0.9263333654475384,0.16254545454545455,0.0178181818181818,0.0036363636363636155,0.0032727272727272718,0.004363636363636347,0.0032727272727272605,0.003999999999999981,-0.0021818181818181958,-0.0010909090909090979,0.009090909090909049,-0.000727272727272732,-0.001454545454545464
36,36,0.9745454545454545,0.9742817427221097,0.9507909328114807,0.9982876712328768,2.870339448007984,2.039806362260662,0.8557423727416731,2.343891773886185,0.26312609905974377,0.1665454545454545,0.02763636363636357,0.014545454545454495,0.0003636363636363549,-0.0043636363636363916,-2.2204460492503132e-17,-0.001454545454545475,-0.0025454545454545617,-0.004000000000000026,-0.0003636363636363993,0.00036363636363633266,-0.0061818181818182215
37,37,0.9781818181818182,0.9783162129772298,0.973542030827904,0.9972191323692993,2.265115812081583,1.9933728338029173,1.373891009918638,1.834167308292568,1.7259827219255115,0.19127272727272726,0.016727272727272702,0.010181818181818158,0.0010909090909090979,0.0032727272727272605,-0.000363636363636366,0.003999999999999992,-0.0021818181818181958,0.0025454545454545396,-0.000363636363636366,-0.007636363636363686,-0.0025454545454545617
38,38,0.9745454545454545,0.9744680323088948,0.9596899224806201,0.9961240310077519,2.76415133206903,1.859973649802163,0.9417715286121812,1.551735172913034,1.7505719299487494,0.17854545454545448,0.0414545454545454,0.02072727272727266,0.01599999999999995,0.010181818181818148,0.010181818181818125,0.009818181818181781,0.0018181818181817633,0.010545454545454492,0.024727272727272674,0.011272727272727212,0.005090909090909046
39,39,0.9672727272727273,0.9673698202623824,0.9550387596899225,0.9970542635658916,2.13575453172396,1.960083533820679,1.0498707968286909,2.635056895798973,1.301968301621989,0.22363636363636363,0.012363636363636377,0.003272727272727294,-0.002545454545454551,0.0,-0.0058181818181818005,-0.004727272727272714,-0.000727272727272732,-0.006909090909090865,0.002909090909090928,-0.004727272727272724,-0.0025454545454545617
40,40,0.9818181818181818,0.9820065474062853,0.98155702872684,0.9979602243753187,2.4840590247307825,1.3210895541743009,1.0352204136526433,2.2179776125124095,1.3804538672173718,0.20363636363636362,0.02036363636363636,0.01272727272727272,-0.001454545454545464,0.010545454545454535,0.005090909090909123,0.00545454545454549,0.003272727272727294,0.006545454545454565,0.001454545454545464,0.00618181818181821,0.003272727272727294
41,41,0.9563636363636364,0.9565898216615919,0.9448717948717948,0.9936263736263736,1.857676811567397,1.9749457911428951,1.3538380428981445,2.41126147383526,1.409197459795752,0.17381818181818187,0.02945454545454551,0.013454545454545507,-0.0010909090909090758,-0.00036363636363633266,0.003272727272727294,0.0014545454545454861,-0.0021818181818181294,-0.002909090909090861,-0.0018181818181817633,-0.009454545454545405,-0.002545454545454484
42,42,0.9854545454545455,0.9857221566312476,0.9914163090128756,0.9978540772532188,2.56484961046426,1.8879447441618662,1.2466371207437503,1.8323374037764817,1.4730426805618049,0.12909090909090906,0.02218181818181819,0.017818181818181823,0.007636363636363686,0.0061818181818182215,0.0036363636363636598,0.000363636363636366,0.0043636363636363916,0.0021818181818181958,0.0036363636363636598,0.003272727272727294,0.000727272727272732
43,43,0.9745454545454545,0.9749737975706084,0.9770525242223356,0.9975352711201768,3.544344351329205,2.1074907989050895,0.878481678759176,1.3082579169121995,0.6744340307415253,0.1585454545454545,0.017090909090909035,0.0174545454545454,0.0072727272727272085,0.0029090909090908725,0.0014545454545454195,0.00290909090909085,0.0032727272727272384,0.0018181818181817965,0.008363636363636306,0.005090909090909012,0.0032727272727272163
44,44,0.9563636363636364,0.9574944032307625,0.9586095529491756,0.9918408975012748,1.8585550313707007,1.8282194979066742,1.0473112077822704,2.2940312491374666,1.9463474330695614,0.1683636363636364,0.018545454545454587,0.0007272727272727653,-0.005454545454545401,0.004727272727272769,0.004000000000000026,0.002909090909090939,-0.005090909090909012,-0.003636363636363582,0.004727272727272758,-0.003636363636363571,-0.005818181818181755
45,45,0.9709090909090909,0.9709090909090909,0.9578673203615751,0.9935651907461315,3.036669850544566,2.0557318743400304,1.057098318547917,1.1771840221196517,1.1062540072068237,0.1774545454545455,0.021818181818181848,0.01054545454545458,0.005818181818181856,0.010545454545454558,0.007636363636363675,-0.00036363636363632155,0.003272727272727294,0.001090909090909109,4.4408920985006264e-17,-0.00036363636363633266,0.002909090909090928
46,46,0.9854545454545455,0.9852282828282829,0.9615384615384616,0.9987926871334943,2.9600547052100787,1.5714694561177232,1.2556420587979542,1.6416193495196063,1.3842409618478486,0.18327272727272725,0.0301818181818182,0.010181818181818236,-0.0007272727272727208,0.0018181818181818299,0.0018181818181818299,-0.0010909090909090979,-0.0036363636363636598,0.0010909090909090979,0.0036363636363636598,-0.003272727272727294,-0.000727272727272732
47,47,0.9818181818181818,0.9818695187165775,0.9768287142208087,0.9981826442526124,3.1884626573603576,2.0897259747853014,1.2568257182930218,1.5777336389768737,0.4690235988284844,0.19490909090909092,0.03127272727272725,0.011272727272727268,0.0,0.008000000000000007,0.002909090909090928,-0.0010909090909090979,-0.0043636363636363916,-0.000363636363636366,0.0,-0.0010909090909090979,0.000363636363636366
