,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_CO2_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled
16,16,0.9423868312757202,0.9425045355989204,0.9409012381226605,0.987402821767924,1.1480084167458076,2.5605056971715388,1.5311712471063352,1.0781146986653667,0.632868719061502,0.3037037037037037,0.2283950617283951,0.1489711934156379
17,17,0.9382716049382716,0.9376551668519456,0.9239610963748894,0.9840848806366047,1.013086470989507,2.0445537847252044,1.9911513670826073,1.4643483846645367,0.8697896863229135,0.23827160493827154,0.2572016460905349,0.13703703703703699
18,18,0.9506172839506173,0.9504959994207305,0.9444403910696046,0.9875237122428133,2.1922966876423975,2.0969649335319347,1.373683489505296,1.249802148319329,0.494500801526757,0.33621399176954736,0.20411522633744852,0.14444444444444443
19,19,0.9382716049382716,0.9389281777361322,0.941025641025641,0.99005439005439,1.7665538071224118,2.0152567170845104,1.2061677188849382,0.9099182445485988,1.2892678200536858,0.3053497942386831,0.2534979423868312,0.17777777777777776
20,20,0.9506172839506173,0.9511032592745055,0.9533170501103057,0.9889694295619287,0.41920484033799804,2.827400444034175,1.4955693747283987,1.6346450825677048,0.5115047852855398,0.3065843621399177,0.26831275720164616,0.24156378600823042
21,21,0.934156378600823,0.934156378600823,0.9222773068926915,0.9845674076443307,1.46269333027467,2.377656170077452,1.6339220669570231,1.1645867217057173,0.4470442783422373,0.29135802469135796,0.19958847736625512,0.14526748971193412
22,22,0.9259259259259259,0.9267426043741832,0.9321581987853651,0.9891127240408828,0.3718544461043726,2.701979628763613,1.981590041097,1.7550806190504291,0.32428075447885585,0.297119341563786,0.22098765432098766,0.1691358024691358
23,23,0.9506172839506173,0.9511032592745055,0.9533170501103057,0.9846359911755437,0.839203884001661,2.307539864183973,2.0775597630506573,1.2338845811952326,0.5540385105472316,0.2991769547325103,0.24444444444444446,0.16954732510288065
24,24,0.9176954732510288,0.918448586567686,0.9205302918086209,0.9751888609094949,1.127244799664261,2.8822650971832213,1.7184636568024094,0.7839968076134547,0.594706787273455,0.2930041152263375,0.2506172839506173,0.14320987654320988
25,25,0.9506172839506173,0.9506172839506173,0.9454177897574124,0.9917640011979635,1.0160892170354412,2.2440290007034185,2.599670375965423,0.7523019099288148,0.3195290176670317,0.27407407407407414,0.2345679012345679,0.15473251028806584
26,26,0.9423868312757202,0.9428500950593218,0.9382741535920727,0.9900908340214699,0.5957158031358913,2.9849280561242586,1.2112212387502603,1.6288397528590666,0.6471880829928589,0.3337448559670782,0.254320987654321,0.2020576131687243
27,27,0.9506172839506173,0.9511483854902282,0.9529814665592264,0.9858984689766317,1.1112359406206067,2.3797727310306054,1.6406559989177327,0.8324327007972298,0.9113715838531578,0.30534979423868314,0.23580246913580244,0.19711934156378602
28,28,0.9670781893004116,0.9670781893004116,0.9634036144578313,0.9882530120481927,1.1713140349925832,1.740564766301154,0.9316091355471483,1.3158414234569162,1.7196954871565775,0.3082304526748971,0.26090534979423874,0.17201646090534983
29,29,0.934156378600823,0.934156378600823,0.9308677098150782,0.9763869132290185,1.086627238584318,2.9706185757717654,1.6045893711083572,0.9887212148724,0.5801925083031876,0.30246913580246915,0.26172839506172835,0.14567901234567895
30,30,0.9382716049382716,0.9390897552891322,0.9444055944055945,0.9721056721056722,1.2134849384833042,1.7247199932007335,1.764681698864734,1.8673555669499404,0.6609984868248833,0.29670781893004106,0.24032921810699587,0.17530864197530857
31,31,0.9465020576131687,0.9466080905457992,0.9378654970760234,0.9881416504223522,0.8678230452763787,2.301224741983356,1.6840537553170747,1.6962721413211759,0.6134504555134379,0.31028806584362145,0.23127572016460904,0.18189300411522633
32,32,0.934156378600823,0.9343533808008888,0.9290123456790123,0.9868922420362749,1.0669813774762198,2.6174503347381326,1.6139766276683143,0.664612240789796,1.224444974299837,0.32880658436213983,0.2090534979423868,0.20699588477366251
33,33,0.9382716049382716,0.9389420137047804,0.9444070080862534,0.9932614555256065,1.318866679380179,2.7315495116915813,1.3860715155093346,1.1297830677738612,0.42310111864688793,0.26995884773662543,0.2407407407407407,0.15473251028806578
34,34,0.9218106995884774,0.9212881311646742,0.9092375366568914,0.9657624633431086,1.1585273656149992,2.7217129134005758,2.160793265805208,1.0403739094990445,0.16457866330184878,0.25473251028806587,0.2497942386831276,0.19176954732510287
35,35,0.9218106995884774,0.9222824687204649,0.9210857650718411,0.9820767293734263,1.0147940002861415,2.768615640078956,1.2294721493419625,1.4942865634568423,0.6845368193642337,0.30534979423868314,0.2423868312757202,0.1588477366255144
36,36,0.934156378600823,0.934156378600823,0.9287390029325513,0.9736070381231672,1.8134039562596433,2.717534614284206,1.0466485209141103,1.7555423205874712,-0.30514763915050575,0.24403292181069958,0.2164609053497942,0.14732510288065837
37,37,0.9382716049382716,0.9381918068320403,0.9315870910698497,0.9829796640141468,1.1582906804003643,2.471405030834316,1.5995564953387549,1.3190589711526228,0.5503434611066618,0.2790123456790123,0.24855967078189298,0.16049382716049376
