,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.frontlow_CO2_fd3_scaled,feature_importance.frontlow_CO2_scaled,feature_importance.frontlow_CO2_fd1_scaled,feature_importance.frontlow_CO2_fd2_scaled
64,64,0.8765432098765432,0.8781631276228373,0.8701190476190477,0.9179365079365079,1.5585827457891168,1.613989194452261,1.2820183741708229,0.859470621715086,0.5523086096507366,0.10329218106995888,0.11563786008230456,0.09382716049382717,0.07037037037037036
65,65,0.8930041152263375,0.8935857011971847,0.8868599397590362,0.9542168674698795,1.9476077517646577,1.118877476828848,1.0667256750675826,1.2975967611105745,0.33476808934693747,0.1135802469135803,0.14444444444444451,0.12263374485596712,0.060082304526748995
66,66,0.8806584362139918,0.8816496839174589,0.882554945054945,0.9249566223250434,2.2638848847617115,1.5159236060704464,1.0572165493363073,0.09700027893284384,0.8402264521300599,0.1530864197530864,0.13045267489711931,0.1267489711934156,0.07818930041152261
67,67,0.8765432098765432,0.8758273836085081,0.8588607594936709,0.9360387192851825,1.5146780333393093,2.0205330651700226,1.4590544943688435,0.5561355730094704,0.1994066915555399,0.1156378600823045,0.10823045267489713,0.1045267489711934,0.06995884773662553
68,68,0.8683127572016461,0.8694580792305023,0.860467791411043,0.9317484662576687,1.9242623722179124,1.560976813784417,1.3946623271745051,1.009348729432946,-0.005561241985272561,0.15514403292181073,0.10823045267489717,0.06625514403292185,0.06707818930041157
69,69,0.8477366255144033,0.8487542587607565,0.8379894578313254,0.9208584337349397,2.01176115859435,1.4432401620876052,1.4113376134331632,1.0114248236359553,0.15243527448933977,0.11069958847736627,0.0917695473251029,0.08189300411522636,0.008641975308642002
70,70,0.8724279835390947,0.8737019555841683,0.8667177914110429,0.9322852760736196,1.1234572961347,1.8112774135391005,1.0916877577429545,0.6660365331555278,1.0321339242408998,0.1312757201646091,0.14032921810699592,0.13415637860082302,0.11522633744855967
71,71,0.8930041152263375,0.8936645836508662,0.8846480395183699,0.9277554800864464,2.2539533930971474,1.4575161536453134,1.3454312651592835,0.9199878291185024,-0.0027300739129628698,0.1164609053497943,0.12469135802469138,0.11646090534979428,0.08724279835390952
72,72,0.8724279835390947,0.8742905511555694,0.8772461814914645,0.9228062294100031,2.048010497289208,1.7548960474167767,1.4171964861110395,0.1489428190214867,0.3700900663241569,0.13086419753086426,0.11851851851851851,0.13497942386831277,0.05802469135802472
73,73,0.8641975308641975,0.8639847109412326,0.845679012345679,0.9351470812376163,1.688613080749244,1.7691093799898447,1.2838338110418266,0.49672377927622813,0.4010641683944696,0.13744855967078182,0.09794238683127567,0.09176954732510281,0.06625514403292175
