,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_humidity_scaled
93,93,0.9547325102880658,0.9553969359773314,0.9595064450474898,0.9916892808683854,2.277227542373624,2.3087898449194397,1.218082478360174,0.8702604751377687,1.010715158873337,0.308641975308642,0.2024691358024691,0.176954732510288
94,94,0.9547325102880658,0.9549080661217748,0.9543186895011169,0.9725986597170515,1.342397691055152,2.466245287597537,1.6287156955961943,1.0352050548683376,0.9452849351501467,0.37777777777777777,0.21152263374485591,0.14855967078189297
95,95,0.9670781893004116,0.9670781893004116,0.9622377622377623,0.9942501942501942,2.1333034687201167,2.0388213126979844,1.1188528553363897,1.8454939736679281,0.7172298034635453,0.3308641975308642,0.1662551440329218,0.11563786008230456
96,96,0.9382716049382716,0.9381526892413253,0.9252358867743483,0.9743323204861667,1.501642159056873,2.164575441748296,2.084350214378992,1.5012653134937675,0.431585688830028,0.27654320987654313,0.18106995884773655,0.12139917695473246
97,97,0.9423868312757202,0.9419623354211167,0.931897050318103,0.9808415268941585,1.927744557122239,2.6458753627496763,1.5085203449100093,1.1263022942367282,0.26418786504347846,0.30987654320987656,0.1855967078189301,0.1489711934156379
98,98,0.9547325102880658,0.9550764293726597,0.9566224143254091,0.9937480703920962,2.5308944120487635,2.4670606424848667,1.1775356392397607,0.3742700474715691,0.7308763126133491,0.3362139917695473,0.17530864197530863,0.17530864197530863
99,99,0.9547325102880658,0.9542510235696348,0.9407297096053612,0.9674609084139985,1.9642257330678625,2.1905276113720205,0.9934991131797158,1.110714808802385,1.0359165341382663,0.34197530864197534,0.2,0.16831275720164607
100,100,0.9547325102880658,0.9546797903393539,0.9503267973856209,0.9900508351488744,2.116158838017984,2.4586870779589334,1.2909160787357816,0.31260498297077777,1.292186827418165,0.36872427983539097,0.19341563786008228,0.19629629629629627
101,101,0.9506172839506173,0.9511032592745055,0.9533170501103057,0.987945162306965,1.9478114056229034,2.186249725311724,1.3578382214425875,0.5411171185939856,1.3735964212273182,0.3662551440329218,0.2090534979423868,0.1711934156378601
102,102,0.9547325102880658,0.9548034502623874,0.9503450920245399,0.9752300613496933,2.002124545928492,2.4889150249717296,1.787564286948558,1.3204607820791545,0.160068692688303,0.3308641975308642,0.1646090534979424,0.12427983539094645
103,103,0.9465020576131687,0.9471443874545155,0.9501439309131616,0.9901647209339517,2.140602124912509,2.6190367814069866,1.4336583429812417,1.064531981658854,0.32293172868446934,0.3164609053497943,0.1831275720164609,0.11769547325102883
104,104,0.9588477366255144,0.9588477366255144,0.9545148247978437,0.9858490566037736,1.7476957996199098,1.9562018292594552,1.741234437765464,1.6572992292914783,0.4686942902530041,0.34979423868312753,0.18106995884773658,0.1452674897119341
105,105,0.9547325102880658,0.9546853608869112,0.9510752688172043,0.9819354838709677,2.2502972894380866,1.8315939341817387,1.6258147697495557,1.0156787237229523,1.2461619880820998,0.3539094650205761,0.17983539094650208,0.11316872427983538
106,106,0.9259259259259259,0.9256232576662684,0.9184566145092461,0.9827169274537696,2.6993829077085554,1.0082198415133297,2.2437144647158984,0.8013968261410864,0.7941012012228816,0.30987654320987656,0.154320987654321,0.08847736625514405
107,107,0.9506172839506173,0.9509127872507159,0.9504601226993865,0.991180981595092,1.8164287510343151,2.224841541066787,1.7392269998820167,1.1402592284374973,0.44563721198537976,0.36419753086419754,0.19300411522633745,0.15679012345679014
108,108,0.9670781893004116,0.9671676640651573,0.9664195867026055,0.9914645103324349,2.0203344683481803,2.469595933234456,1.524195850764104,0.7604541035435937,0.854355875293087,0.3403292181069959,0.19053497942386838,0.15720164609053505
109,109,0.9547325102880658,0.9549021853987913,0.9544511924159385,0.9941490149607466,1.4193020575610775,2.170370817232425,0.9725753544905235,1.2683415840410546,1.615781329707139,0.3724279835390946,0.2119341563786008,0.1699588477366255
110,110,0.9382716049382716,0.9386979298812996,0.9384562945008332,0.9596273291925466,1.9310248766829328,2.2523104311547018,0.8970406607035765,1.0230029207295723,1.3463941965759216,0.3629629629629629,0.20534979423868305,0.1629629629629629
111,111,0.9382716049382716,0.9381778088242915,0.9294803817603394,0.9678079078927435,2.3411839703703228,2.0503726628891745,0.6740615756996424,1.1840789344416143,1.4146568421910992,0.3168724279835391,0.19423868312757198,0.17654320987654315
112,112,0.9506172839506173,0.9506172839506173,0.9472961249277039,0.9895170618854829,1.5293310958535586,1.6075641021056613,1.5551085618611773,1.617727848094189,1.3797364967999814,0.36831275720164613,0.17201646090534983,0.10452674897119345
113,113,0.9506172839506173,0.9509127872507159,0.9504601226993865,0.9882668711656442,2.310568064153145,2.1364776260494005,1.8848661310845751,0.6876235814310844,0.7897653891296597,0.37489711934156383,0.205761316872428,0.16213991769547326
114,114,0.9423868312757202,0.942093926129686,0.9332044360134248,0.9901502991390632,1.7714501360226995,1.9757867715923982,1.9387547622172385,1.0021134733054016,0.8720430652473414,0.2991769547325104,0.19218106995884776,0.09629629629629634
