,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.rightlow_CO2_scaled,feature_importance.rightlow_humidity_scaled,feature_importance.rightlow_temperature_scaled
10,10,0.9781818181818182,0.9782977022977023,0.974896327014218,0.9978524881516587,2.426872047612204,2.896726708856995,1.3891724709751723,0.4394921290966828,1.570623385981522,0.3221818181818182,0.1505454545454545,0.01672727272727269
11,11,0.96,0.9601417691609883,0.9393166751657318,0.9926908040115586,1.9866949788408281,2.944105745300815,1.3047394532385512,1.3733997194014043,1.107633497238394,0.2829090909090909,0.1145454545454545,0.005818181818181767
12,12,0.9781818181818182,0.9784871337812514,0.9791738530527768,0.9981027940669196,2.045768664391647,3.256384847467273,1.3597126801241595,0.7755659403555232,1.1145068663550757,0.3036363636363636,0.12981818181818178,0.015272727272727238
13,13,0.9854545454545455,0.9856478681136216,0.9909502262443439,0.9992458521870287,2.454316580480209,2.6837129704221647,1.44341690140792,0.5498726691586976,1.3049981411450886,0.3,0.12327272727272727,0.011636363636363656
14,14,0.9781818181818182,0.9780539576862544,0.9630470998031198,0.9984098137210359,2.3014186632623295,1.7429188783917475,1.4119016927297332,1.1127814862341985,1.6827855537414818,0.30218181818181816,0.12545454545454543,0.014909090909090872
15,15,0.9709090909090909,0.9709090909090909,0.9605338691159586,0.9926090700344432,1.832768213287513,2.674064092753542,1.7182285501481138,0.6961282718658626,1.2417033224596417,0.31636363636363635,0.13272727272727278,0.02618181818181823
16,16,0.9709090909090909,0.9709090909090909,0.9532551419343872,0.9957504674485806,1.6914237273935702,2.3894233756455656,1.2039954621548248,1.4808138332565142,1.3184105912486919,0.25381818181818183,0.13090909090909095,0.01309090909090912
17,17,0.9781818181818182,0.9783231640402089,0.9730104370515329,0.9973091976516634,1.8766183293003833,2.2695355660815246,1.1535740983364422,1.4930997535334325,1.5271537296744389,0.2803636363636363,0.12799999999999995,0.022181818181818146
18,18,0.9527272727272728,0.9526091436452883,0.9340366581415175,0.9923984086388178,2.482371199495545,1.5832126081291888,1.2867359161562473,1.8144195721653282,1.292598514536508,0.28581818181818186,0.14363636363636367,0.01381818181818183
19,19,0.9781818181818182,0.9780791891035793,0.9669290251311793,0.9988262910798121,2.7834831564121165,2.381575031684701,1.5829204422061893,0.4493591881399125,1.196598650846426,0.3327272727272727,0.11745454545454544,0.013454545454545419
20,20,0.9745454545454545,0.9750471455127775,0.9762038073908175,0.9945875326614408,2.3148597798238892,2.4910787645020194,1.4571865326242084,1.009254708661695,1.3031719644897448,0.23309090909090902,0.12218181818181813,0.00618181818181811
21,21,0.9854545454545455,0.9854545454545455,0.9769565946036534,0.9983241159711749,2.081440382903662,2.5256079441951975,1.5666990489949342,1.1432666834402685,1.2739423749700813,0.2810909090909091,0.13163636363636366,0.019636363636363664
22,22,0.9818181818181818,0.981997124400073,0.9818181818181818,0.9972727272727273,2.0915844762038476,2.7926984330325872,1.1576557659316031,0.41287449329959575,1.8004666962191709,0.2836363636363636,0.15854545454545454,0.018545454545454542
23,23,0.9563636363636364,0.9568879492600422,0.947084061655808,0.9949944382647385,2.3430069316196724,2.5632652098579025,1.4863769137658955,1.414369821710962,0.88296672515147,0.26109090909090915,0.09381818181818186,0.01600000000000006
24,24,0.9636363636363636,0.9634007872057125,0.9390592722072144,0.9935642777689497,2.2116021585719885,2.9505381211556614,1.6258388721025059,0.313677203800007,1.2722833859577893,0.2403636363636364,0.13418181818181818,0.019272727272727275
25,25,0.9672727272727273,0.9671825644618407,0.951458827014218,0.9960752369668247,1.7587493603927842,3.478222283252046,1.6926771933374787,0.48256709382846846,1.5655103139170414,0.2647272727272727,0.12472727272727273,0.014181818181818195
26,26,0.9709090909090909,0.9712674770301888,0.968694672460969,0.9960566553999678,1.9204372392588163,2.6655473809029866,1.529644275395978,1.2411573748615279,1.2098678433836856,0.2963636363636364,0.12654545454545457,0.01890909090909094
27,27,0.9672727272727273,0.9669422912247513,0.9404876871076775,0.996378561081603,2.100454308137456,2.281071925426713,0.9106893523317865,1.8577875284145575,1.636299364063106,0.25272727272727274,0.12000000000000002,0.011272727272727278
28,28,0.9818181818181818,0.9818826223459037,0.9743753187149413,0.9983001869794322,2.253064642064176,2.3887114113451315,1.2619989333555135,1.2714753256157407,1.0207247000297348,0.2810909090909091,0.10981818181818181,0.016000000000000004
29,29,0.9709090909090909,0.9715699006875478,0.9741648311306901,0.9959618208516887,2.0754440145974766,2.2644817287480463,0.9981821250727645,1.7122522854583524,1.492995511625637,0.2803636363636364,0.13127272727272732,0.009090909090909139
