,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backtop_temperature_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_fd3_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled
34,34,0.897119341563786,0.8974787957595488,0.8923387096774194,0.9675219941348974,2.0356781895833307,0.8628106488397939,0.7632481463773577,2.612996559719,0.6265073648274627,0.24814814814814815,0.04444444444444447,0.030864197530864234,0.016460905349794285,-0.004938271604938249,-0.00781893004115224,0.005761316872428002,0.0016460905349794496
35,35,0.9053497942386831,0.9049575752910973,0.892571470893201,0.9768182491482744,1.7756913031870631,0.6867377903204119,0.9146101423358183,2.8629205497162333,0.6413686664685108,0.20946502057613164,0.03868312757201645,0.020576131687242795,-0.0037037037037036978,0.0008230452674896971,-0.004526748971193406,-0.0004115226337448763,0.013168724279835365
36,36,0.9218106995884774,0.9222497663963312,0.9215175953079179,0.9703079178885631,2.44689791334844,0.9051565895009811,0.4641923894689952,2.4230784645737855,0.38552457902969284,0.2423868312757202,0.03292181069958853,0.05390946502057613,0.012757201646090588,0.009053497942386867,0.01316872427983542,0.011111111111111138,-0.0028806584362139785
37,37,0.9218106995884774,0.9225721600696803,0.926392572944297,0.966254052460949,1.2499993319494573,0.10420134035220349,1.6212908182627677,3.6921633248757053,0.3939136407591938,0.245679012345679,0.03950617283950619,0.03991769547325106,0.018518518518518545,0.006995884773662575,0.0057613168724280125,0.012345679012345711,0.008230452674897148
38,38,0.934156378600823,0.9344798040138541,0.9332691453118056,0.986594578580951,1.9169059890946636,0.5702005867204302,1.286861778252328,2.666636826086483,0.28875924025218636,0.23497942386831272,0.03950617283950616,0.04609053497942386,0.003703703703703687,0.003703703703703687,0.0028806584362139785,0.006584362139917666,0.0020576131687242705
39,39,0.9259259259259259,0.9259259259259259,0.918577810871184,0.9652271034996278,2.415561652244091,-0.19466545616688863,1.217267336127597,2.7733337206701534,0.5938561305563143,0.22674897119341564,0.037037037037037056,0.037860082304526754,0.010699588477366273,0.0008230452674897082,0.0032921810699588438,0.008230452674897104,-0.0057613168724279466
40,40,0.9176954732510288,0.9185054321241759,0.9150252127324299,0.9777024897573274,1.101513276938612,0.1460385041982307,1.6012465620668046,3.2760790737700263,0.5871414815417785,0.19876543209876546,0.021810699588477412,0.04485596707818936,4.4408920985006264e-17,-0.0008230452674896748,-0.0032921810699588216,0.007407407407407451,-0.004115226337448518
41,41,0.934156378600823,0.934156378600823,0.9294117647058824,0.9846042120551926,2.6008243300981726,0.004868454115285324,0.6059120155503712,2.8099350197654287,0.40001561982228817,0.2337448559670782,0.05555555555555551,0.042798353909465,0.02139917695473247,0.012345679012345645,-0.004115226337448574,0.005349794238683115,0.006584362139917666
42,42,0.9465020576131687,0.946410296207262,0.936946386946387,0.981973581973582,2.137886416969451,0.6313681513258064,1.1833849991422818,3.1978197280865497,-0.2280160858506293,0.22633744855967075,0.04938271604938273,0.048148148148148176,0.030864197530864213,0.003292181069958877,0.004115226337448574,0.019753086419753107,0.012345679012345734
43,43,0.9218106995884774,0.9228061312276,0.9203216374269005,0.9688921377517868,2.0607508693848504,0.870906044719574,1.2586654859500714,2.489123672304282,-0.16950383665032187,0.20617283950617282,0.03662551440329222,0.03744855967078192,0.004938271604938293,-0.0016460905349794165,0.0028806584362139785,0.005349794238683148,-0.004115226337448541
