,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.backlow_CO2_scaled,feature_importance.backlow_CO2_fd2_scaled,feature_importance.backlow_CO2_fd3_scaled,feature_importance.backlow_CO2_fd1_scaled
10,10,0.8888888888888888,0.8869735095822053,0.8640571767145608,0.9326766404977039,3.134323537963213,-0.2917704650062175,1.2597360062166676,1.0426077955500341,0.5800852161188409,0.14938271604938266,0.04074074074074069,0.04032921810699584,0.02098765432098758
11,11,0.8559670781893004,0.8568199297485285,0.8550621162358989,0.9535199200342711,2.9602384696807014,-0.19447367960237313,1.7592598600847578,1.2433601713761993,-0.15470521128597609,0.09876543209876543,-0.012757201646090555,0.004115226337448574,-0.016460905349794254
12,12,0.8477366255144033,0.8451916242884099,0.8204022988505747,0.9244768641320366,2.9998235511473337,-0.293210436142454,1.7044828672523331,1.737868423230959,-0.4812141782925532,0.11316872427983542,0.005349794238683148,0.037037037037037056,0.0012345679012345846
13,13,0.8518518518518519,0.8518518518518519,0.8322852760736197,0.9094325153374233,2.836441517155254,0.3050924086656383,1.4620878077900699,1.598866165789369,0.07258809549897112,0.1160493827160494,0.027160493827160494,0.054732510288065826,0.019753086419753086
14,14,0.8888888888888888,0.8882826485673179,0.8664528242841496,0.9500078235017995,2.5830281261498653,-0.23933105531780635,1.5515671069169297,1.766667729700901,-0.039120621848633005,0.13539094650205757,0.01687242798353905,0.037860082304526685,0.011522633744855936
15,15,0.8724279835390947,0.8702956852146138,0.8472590627763041,0.9531388152077807,2.349762963208171,-0.009343842746126745,1.3677056557661025,1.429681446488387,0.7571905750806636,0.13991769547325106,0.017283950617283984,0.022633744855967097,0.00452674897119344
16,16,0.8806584362139918,0.8807827391806721,0.8742441693060754,0.9473797869277281,2.8069259995500175,-0.2684186361892525,1.3951911931789052,1.8665102215563198,-0.2613696376860954,0.14855967078189297,0.01563786008230451,0.02016460905349793,0.01934156378600823
17,17,0.8724279835390947,0.8698290008434937,0.8447170645446507,0.9221927497789567,2.592924061840181,0.33012755745646455,1.1162724940103694,1.5155224327142514,0.8570800090432736,0.12510288065843625,0.011934156378600846,0.05267489711934158,0.01111111111111115
18,18,0.8559670781893004,0.8546194017279137,0.8365679264555669,0.9289362323070188,3.1539431826268247,-0.7684684393128262,1.155120315718592,0.9633530950915971,0.9162165147399756,0.13580246913580246,0.019753086419753086,0.03292181069958846,0.017283950617283928
19,19,0.8765432098765432,0.8776863283036123,0.8685314685314685,0.9341880341880341,3.5934696862084814,-0.2885619543468906,1.54134026208718,0.8164179772446077,0.14419979066278052,0.12469135802469133,0.017695473251028816,0.04814814814814815,0.012757201646090533
20,20,0.8559670781893004,0.8545797283915932,0.8235108729908603,0.9123857548061771,2.569112862911038,-0.400797545613511,1.8999262348662198,1.0923990248139417,0.40367294632147055,0.12962962962962962,0.014403292181069949,0.054732510288065826,0.00781893004115226
21,21,0.8477366255144033,0.8490814707227198,0.829761714377099,0.915880377418839,3.110063001689187,0.21019076794043434,1.897530369183484,1.2776923408552379,-0.26043254812026806,0.10987654320987654,-0.002057613168724259,0.03868312757201651,-0.009465020576131643
22,22,0.8395061728395061,0.8392916447497345,0.8232113760924308,0.9094208265442156,2.984715237575095,0.34004538627264863,1.2932402968909857,1.6735926632371607,0.15141447665829588,0.11810699588477362,0.0032921810699587995,0.003703703703703665,0.010288065843621342
23,23,0.8888888888888888,0.8886868087816985,0.8689725811534825,0.9510715411282697,2.9691806079277536,0.5798458027370601,1.3656159544792985,1.3410771172703482,0.1735540849586958,0.13292181069958842,0.020164609053497873,0.04938271604938266,0.011111111111111049
24,24,0.8477366255144033,0.8475330988651326,0.8322100429565991,0.9234187527773663,1.884631156429984,0.1855200716446047,1.1852244839197958,1.8180709043004906,0.9935468864144154,0.1292181069958848,0.017283950617283984,0.009053497942386867,0.021399176954732545
25,25,0.8930041152263375,0.8930041152263375,0.8817385444743935,0.950134770889488,3.0924835394775037,-0.1809469153778203,1.3693340198738646,0.8251738378923065,0.5722313836445307,0.14485596707818932,0.04526748971193419,0.038271604938271656,0.012757201646090576
26,26,0.8806584362139918,0.8818411112317922,0.8651527663088356,0.9194880264244426,3.0889526688051,-0.005305037818576955,1.2851779118971398,1.3840195967767897,0.1276103201298719,0.1382716049382716,0.02222222222222222,0.05185185185185185,0.013168724279835387
27,27,0.8477366255144033,0.8474348394753783,0.8169218372280419,0.9078968573730862,3.066451660601079,0.4978579817265469,1.8221521232778928,0.9926439132282695,-0.04189793441060698,0.11522633744855967,0.016049382716049422,0.036213991769547337,0.009876543209876576
28,28,0.9012345679012346,0.9015118742582054,0.8931099397590361,0.9533132530120482,3.342971435420998,-0.18325622522677135,1.2705792158375306,0.9005248015220528,0.3397038018686753,0.13703703703703704,0.008230452674897115,0.06707818930041153,0.013168724279835398
29,29,0.8724279835390947,0.8714616857354628,0.8594594594594596,0.9297297297297297,2.6232054154236906,-0.014571495667888935,1.7110640353989197,0.9931149691959077,0.6236931437380552,0.13539094650205766,0.022222222222222244,0.045679012345679046,0.008230452674897137
30,30,0.8477366255144033,0.845741339424914,0.8135198135198135,0.9299922299922301,3.309760879822209,-0.7760786258618766,1.6155541763443768,0.9813025184553602,-0.06960080337783484,0.10823045267489714,-0.004526748971193395,0.027983539094650223,-0.006584362139917676
31,31,0.8765432098765432,0.8765432098765432,0.8519736842105263,0.9439571150097466,2.7888483396739874,-0.02553891105424791,1.5385439332124065,1.4334761154915747,0.08282539988460456,0.10864197530864197,0.00658436213991771,0.0279835390946502,0.023456790123456795
32,32,0.8600823045267489,0.8600823045267489,0.8425925925925926,0.941396128638927,2.347271203821628,0.2195286067802242,1.7533070426305775,1.5723946557103052,0.26274387096316815,0.10164609053497937,0.02345679012345676,0.02716049382716046,0.0164609053497942
33,33,0.8847736625514403,0.8840841548512103,0.867026055705301,0.9469901168014375,2.952674178934759,0.47136564780851914,1.5427070156199993,1.2541935474347072,0.13152626578247417,0.137037037037037,0.02839506172839502,0.04403292181069955,0.01481481481481477
34,34,0.8436213991769548,0.8418651255828056,0.8209310850439883,0.9163489736070383,2.714727756875784,-0.2046226706975282,1.216484508394069,1.6597971122418762,0.3599949338027879,0.12057613168724284,0.012757201646090576,0.039917695473251066,0.006584362139917766
