,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.leftlow_CO2_scaled,feature_importance.leftlow_CO2_fd3_scaled,feature_importance.leftlow_CO2_fd2_scaled,feature_importance.leftlow_CO2_fd1_scaled
55,55,0.9490909090909091,0.9490909090909091,0.9169972404277338,0.9919799931010693,2.180796132492794,0.6945299959243807,1.8826955195370048,1.9648736722953546,1.378849096591171,0.1901818181818182,0.008000000000000018,-0.006545454545454565,-0.009818181818181814
56,56,0.9745454545454545,0.974645792738919,0.960538197579917,0.9980133646378906,1.9108433703591887,1.2190754488327329,2.0232346257641747,1.8734888807666674,1.122298076498846,0.21309090909090908,-0.004000000000000026,-2.2204460492503132e-17,0.0021818181818181403
57,57,0.96,0.9595746925170355,0.9272727272727272,0.9939669421487602,1.895847465884279,0.4265829674584327,1.6737607348452184,2.5209664234834293,1.8131207563882028,0.22181818181818175,0.0021818181818181294,-0.0007272727272727763,-0.001454545454545464
58,58,0.96,0.9598687754399465,0.9359005311443747,0.992837598583615,2.1013287199635435,0.2223568795898989,2.085600002340505,2.339435104216858,1.575698833998722,0.22472727272727272,0.004727272727272647,0.00036363636363633266,0.006181818181818122
59,59,0.9781818181818182,0.9780209476622033,0.9577596464388918,0.9976202617712052,2.27929158467001,-0.04084054778952509,2.590086798168167,1.476950109115481,1.8462494226709865,0.22436363636363632,0.006909090909090876,0.000727272727272732,-0.001454545454545464
60,60,0.96,0.960162035456635,0.9347008076358296,0.995686490455213,2.321613991371503,0.8537025992693194,1.7026459336365176,2.107054090238296,1.145610906673808,0.22254545454545455,0.0010909090909090647,0.0003636363636363549,-0.0043636363636363916
61,61,0.9745454545454545,0.9744451163519899,0.9533333333333334,0.9956444444444444,2.016219083018079,1.2347222096861679,1.8705648021671553,2.0157889858408726,1.0962623125364523,0.2214545454545454,0.010545454545454502,0.0018181818181817744,0.0032727272727272163
62,62,0.9636363636363636,0.9633535353535353,0.9322478991596639,0.9967612044817927,2.092643898693439,0.2062882376599203,1.9914697107108101,2.200914554625518,1.510805670400079,0.2338181818181818,-0.000727272727272732,0.0,-0.00618181818181821
63,63,0.9636363636363636,0.9636363636363636,0.9388888888888889,0.9939555555555556,1.5937395485845265,-0.16277642229946399,2.7309400989546506,1.4921581127318668,2.3118804029083675,0.21018181818181816,-0.0021818181818181958,0.0,0.0007272727272727208
64,64,0.9781818181818182,0.9780251263270131,0.958438076085135,0.9975699681582034,1.9400965149584126,0.8705356842941777,1.5578877843933703,2.5586579971744046,1.291589538906286,0.26145454545454544,0.0065454545454544984,-0.002909090909090928,-0.000727272727272732
