,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_humidity_scaled,feature_importance.lefttop_temperature_fd3_scaled,feature_importance.lefttop_temperature_scaled,feature_importance.lefttop_humidity_fd3_scaled,feature_importance.lefttop_temperature_fd1_scaled,feature_importance.lefttop_humidity_fd2_scaled,feature_importance.lefttop_temperature_fd2_scaled,feature_importance.lefttop_humidity_fd1_scaled
27,27,0.9709090909090909,0.9709090909090909,0.9557379687751488,0.9928375985836151,2.0939649638654307,2.782930274574464,0.19175767413632921,1.7298051931764031,1.3335541735543601,0.11927272727272731,0.11272727272727276,0.034181818181818216,0.0021818181818181958,0.008363636363636406,0.005818181818181845,0.010181818181818214,0.0072727272727273196
28,28,0.9418181818181818,0.9422252692840928,0.9136919938806731,0.9884412714601394,1.25649338341103,3.0440030775377958,0.5037308193341505,1.9285763741400728,1.2636702626342564,0.08436363636363632,0.07163636363636361,0.031636363636363594,0.007999999999999952,-0.004363636363636403,-0.003272727272727294,-0.002909090909090939,-0.004000000000000048
29,29,0.96,0.9610460241958253,0.9593428781204112,0.9888950073421439,2.0277658585694374,2.525355314721592,0.043428700240668125,1.322807760796325,2.3586027904280162,0.08581818181818178,0.1127272727272727,0.025090909090909042,0.023999999999999955,0.005090909090909035,0.0047272727272726685,0.0007272727272726986,0.015272727272727226
30,30,0.9636363636363636,0.9640625652882434,0.958372567482737,0.991368487131199,1.1697807049148121,3.2798783783194163,0.23506191356881392,1.7966819418224778,1.4736675771878263,0.09890909090909092,0.0869090909090909,0.041454545454545445,0.014181818181818151,0.0021818181818181515,0.0072727272727272415,0.011272727272727257,0.010909090909090868
31,31,0.9636363636363636,0.9642600470860353,0.9645323289391086,0.993016321406152,1.7829549822948993,2.8275916331646633,0.779524566315191,1.1917289973520189,1.288648076849189,0.11309090909090909,0.07527272727272724,0.03527272727272727,0.009454545454545427,-0.0061818181818182,0.0018181818181818078,-0.0036363636363636598,0.003999999999999992
32,32,0.9454545454545454,0.9469476885881962,0.9454545454545454,0.9863636363636363,1.461024320779374,3.8210911518032376,0.8726527596932083,1.40573477069382,0.6128312413975519,0.0687272727272727,0.09418181818181817,0.03236363636363636,0.0029090909090908946,0.0029090909090909167,-0.005090909090909123,0.009818181818181792,0.0014545454545454417
33,33,0.9454545454545454,0.9463051190533869,0.9325260926288323,0.9859752120026093,2.3237549634595402,3.140141044791823,0.7151511127397195,1.153721577481339,0.9551104715727379,0.0847272727272727,0.10545454545454543,0.019272727272727275,0.011999999999999978,0.007272727272727253,0.0025454545454545174,-0.0007272727272727431,0.003999999999999981
34,34,0.9672727272727273,0.9678095550184005,0.9656443774090833,0.9905312552371376,2.563608779374706,3.132536391502865,0.7059299527930073,0.8862299628929495,0.49124733589475095,0.10072727272727273,0.10000000000000002,0.030545454545454532,0.01272727272727272,0.0,-0.003999999999999992,0.0,0.009090909090909084
35,35,0.9636363636363636,0.9645786693589686,0.9702957674655788,0.9889512153663097,2.1221315527280455,3.25930626203224,0.6395303478413016,1.0448612538019972,0.8615267451081963,0.09454545454545454,0.0949090909090909,0.031999999999999994,0.016363636363636358,0.0036363636363636155,0.000727272727272732,0.006545454545454521,0.0032727272727272718
36,36,0.9818181818181818,0.982101706351129,0.9885844748858448,0.9951076320939335,2.1487535038807946,3.1745936397615244,0.14946108010435968,0.6206999051960087,2.2569554788208896,0.10145454545454544,0.12145454545454545,0.045454545454545456,0.01854545454545453,0.0018181818181818299,0.005454545454545478,0.021818181818181827,0.00872727272727274
37,37,0.9672727272727273,0.9677581922210021,0.9666295884315907,0.9897505164468456,2.6342729196258063,3.176433865999674,0.8485721934115378,0.9412358856525921,0.7125592142537499,0.1072727272727273,0.11672727272727275,0.029818181818181844,0.02400000000000002,0.007272727272727287,0.008000000000000007,0.000363636363636366,0.016363636363636358
38,38,0.9490909090909091,0.9499428244711263,0.9434108527131784,0.9882170542635659,2.7230894638005005,3.710162161558558,0.7916460332951804,0.1514197715758884,0.8871791463246494,0.09200000000000001,0.09563636363636366,0.029454545454545466,0.016000000000000004,0.0,0.005454545454545467,0.008727272727272728,0.009090909090909094
39,39,0.9745454545454545,0.9747664570535421,0.9717054263565892,0.9943410852713178,2.1720576118535773,3.0135069292117174,1.1371256007116197,0.8406215060894837,1.04686121269375,0.1043636363636363,0.15054545454545448,0.03527272727272721,0.012363636363636321,0.003636363636363593,0.007636363636363575,0.008727272727272662,0.0072727272727272085
