,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.lefttop_CO2_scaled,feature_importance.lefttop_CO2_fd3_scaled,feature_importance.lefttop_CO2_fd2_scaled,feature_importance.lefttop_CO2_fd1_scaled
69,69,0.9709090909090909,0.9704441197235129,0.9367121848739496,0.9943977591036415,2.8620835653553973,1.7466909032921736,1.1457422154674906,0.8329150032863601,0.9512752009169174,0.15309090909090914,0.012727272727272754,0.026545454545454573,0.020363636363636396
70,70,0.96,0.9598618652353907,0.9340909090909091,0.9913223140495868,1.9212724891119,2.0988281023404136,0.805205561737094,2.2665815852860254,0.3803738551924607,0.17636363636363633,0.045090909090909057,0.05381818181818181,0.03236363636363632
71,71,0.9490909090909091,0.9477376504773763,0.9013565891472868,0.9899224806201551,2.8186223804118655,1.7075118096349808,1.4527236938468715,0.8553155924806557,0.8259641821751023,0.14909090909090908,0.022909090909090924,0.058545454545454546,0.013090909090909065
72,72,0.9563636363636364,0.9560418953244065,0.9227010028896822,0.9917559068502465,2.271713043637866,1.2974989600772726,0.6265481844835724,1.268888905477308,2.0958537097215024,0.1676363636363637,0.03709090909090914,0.03672727272727279,0.03600000000000005
73,73,0.9527272727272728,0.9535026905821341,0.9426009720127367,0.9864253393665158,2.8913242754956623,1.8304141203518085,0.8056469439824856,1.2754136633760442,0.7696886015687762,0.1490909090909091,0.03709090909090912,0.07054545454545456,0.018545454545454577
74,74,0.9309090909090909,0.9292813874135059,0.8759416195856874,0.9869742623979912,2.602529093453145,1.4328847820606991,1.208003624354189,0.813538743995181,1.568315358585226,0.16145454545454546,-0.0007272727272727208,0.033090909090909094,0.0036363636363636377
75,75,0.9672727272727273,0.967147155695525,0.9420518207282913,0.9937850140056023,3.0072033691556643,1.3420316970218842,1.2279919575536953,0.8227735317415733,0.8484646468674925,0.16981818181818184,0.021090909090909105,0.014181818181818184,0.009454545454545448
76,76,0.9418181818181818,0.9410247933884296,0.8985192338644777,0.9781104136488008,3.065492444809905,1.965803782975203,1.0249181792681592,1.261618766522614,0.28264254434474423,0.1796363636363636,0.023999999999999955,0.014181818181818151,0.027272727272727237
77,77,0.9672727272727273,0.9676815815763182,0.9542908676666034,0.9936396430605657,3.030147934826222,1.742921012715868,0.9734135358493492,0.9276696463013985,0.6363182105726485,0.15745454545454549,0.04327272727272728,0.06618181818181822,0.02400000000000001
78,78,0.9672727272727273,0.9679935750523985,0.96165797914996,0.9903769045709704,2.8986068920905232,1.8912458898500586,0.9071477345399501,0.9415409842085669,0.8611570212955252,0.15527272727272728,0.0661818181818182,0.07200000000000001,0.05272727272727275
79,79,0.9672727272727273,0.967372270148304,0.9545276208411801,0.9880728185812931,2.7191523215962357,1.2767708359720957,1.0867340724880141,1.047316088731994,1.1925709109086344,0.2018181818181818,0.059636363636363654,0.031272727272727285,0.02763636363636366
80,80,0.96,0.9596611764705884,0.935833827014218,0.9900770142180095,2.5746686543963055,1.6891694014599754,1.0027045614147503,0.9691035247076453,1.150039727364505,0.19127272727272726,0.0407272727272727,0.09199999999999997,0.018909090909090875
81,81,0.9563636363636364,0.9566536203522504,0.9386363636363636,0.9890082644628099,2.614794290903539,2.2361068940618445,1.1907718804510483,1.3396179615818893,0.42951451218294384,0.15600000000000006,0.027272727272727337,0.06581818181818186,0.03600000000000007
82,82,0.9490909090909091,0.9482310224303505,0.8971013184034675,0.9854614412136535,2.285159271729175,1.6366472506697907,0.7566227880439893,1.0223198016883424,1.6527221264053864,0.14981818181818182,0.02981818181818182,0.06836363636363638,0.027272727272727282
83,83,0.9490909090909091,0.9494471106235811,0.9253782083970763,0.982236953935067,2.9710622016741572,2.2615248525488916,0.8966877347014085,0.9792611263595056,0.5723049623536048,0.15163636363636365,0.054181818181818185,0.07890909090909091,0.05527272727272727
84,84,0.9636363636363636,0.9638442581195876,0.9531944231653133,0.9894285276543588,3.115206217223566,1.9605713346916769,0.9731901263229965,0.8885480743170423,0.3119687227174833,0.20690909090909088,0.039636363636363636,0.07854545454545454,0.02727272727272727
85,85,0.9381818181818182,0.9375413751822663,0.8947325505544683,0.9828767123287672,2.873399062207671,1.9298070917107,0.7238685114343842,1.5137375816541554,0.4678901935325886,0.14218181818181824,0.02181818181818187,0.042909090909090966,0.016727272727272778
86,86,0.9563636363636364,0.9556152162240305,0.9236263736263737,0.9921611721611722,2.9064029494025556,2.1190714313156493,1.1089050523588866,0.6095570508584097,0.5532480039674373,0.2043636363636364,0.02436363636363641,0.02436363636363642,0.016363636363636413
87,87,0.9418181818181818,0.9424672602031093,0.9274551861498391,0.9905776007354068,2.8330925896731944,1.9081345321466159,0.6121559556902648,1.576559291516721,0.8275372492072949,0.16509090909090907,0.02181818181818178,0.06509090909090905,0.020363636363636316
88,88,0.9563636363636364,0.9554710743801653,0.9155013507071349,0.9889559828380741,2.93580168825751,1.6449889501274872,1.0177078349076847,0.3536928994297437,1.4098307803204764,0.16472727272727278,0.03236363636363639,0.030181818181818254,0.009454545454545516
89,89,0.9563636363636364,0.9566392672955522,0.9400853050056333,0.9894575889264445,2.5185106336412835,2.0193592349648766,0.7367121179157275,1.2954578351858885,0.8002145409460989,0.18545454545454554,0.06400000000000006,0.0654545454545455,0.013454545454545507
90,90,0.9418181818181818,0.9405312176612626,0.8886363636363637,0.9847107438016529,2.6724114639094054,2.129435673279605,1.2658710768587937,1.467080969125035,0.15825547633146,0.13745454545454538,0.009818181818181771,0.06945454545454541,0.010181818181818125
91,91,0.9527272727272728,0.9523896635843283,0.9314070698702016,0.9891604529135598,2.5588734806164215,1.6451554903189964,1.0721484146972038,1.2418850385853224,1.1568233657609743,0.23200000000000007,0.007272727272727308,0.026181818181818216,0.03963636363636367
92,92,0.9636363636363636,0.9631994362226919,0.9365061335756475,0.9912161138876269,2.8041019082913397,1.764154005576675,0.9011801014108325,0.6913860926057473,1.2421435095142948,0.15527272727272723,0.033090909090909074,0.0858181818181818,0.041454545454545445
93,93,0.9709090909090909,0.9706945968829376,0.9460734319224886,0.9939656637769846,2.9452940525087947,1.4328138751176078,0.6328904857016168,1.03484858975805,1.553663521190801,0.17090909090909095,0.019636363636363664,0.04072727272727276,0.008363636363636396
94,94,0.9709090909090909,0.9707157682500147,0.9492596169322388,0.9925156929019797,3.2282717134150776,1.4885938929012152,1.111269219757608,1.0139601198243036,0.6215025526618275,0.18654545454545457,0.012000000000000044,0.03454545454545457,0.023636363636363667
95,95,0.9636363636363636,0.9631140574536802,0.9295454545454545,0.9902479338842975,1.786420156282415,1.6460189356148298,0.9745590627836164,1.380132835725035,1.5628089450466973,0.18363636363636363,0.04472727272727271,0.016363636363636358,0.037090909090909084
96,96,0.9345454545454546,0.932713560948855,0.8764102971555696,0.987049102177022,3.381369462930662,1.472128851222059,1.3054125092293696,0.32675833285585326,1.1656499680750327,0.1352727272727273,0.017090909090909122,0.01236363636363641,0.036
97,97,0.9418181818181818,0.9418181818181818,0.9006682318945277,0.9836554090662813,3.4821922474245586,1.2628057522834122,0.7556411430136162,0.6567809284687641,1.4580119393907638,0.1356363636363636,0.02072727272727267,0.019272727272727254,0.018181818181818143
98,98,0.9709090909090909,0.9707545787545787,0.9549441786283892,0.9936929099608526,2.7295342538875107,1.7239115142159718,0.6596191354097438,1.4878249893573698,0.5829505228556064,0.21454545454545454,0.014909090909090905,0.03781818181818185,0.02400000000000002
99,99,0.9236363636363636,0.923398203028688,0.883631512868801,0.9744193345888261,2.5658258828745284,2.01205081112826,1.1481000737612481,1.7964101316525263,0.19661450706270653,0.13090909090909084,0.0425454545454545,0.0047272727272726685,0.011272727272727235
100,100,0.9490909090909091,0.9490909090909091,0.9181964983851776,0.9892911779704232,2.8624659039466143,1.8954913349517482,0.3670374445454711,1.0215759670938966,1.1975532029643468,0.15199999999999997,0.029090909090909077,0.04581818181818183,0.0370909090909091
101,101,0.9781818181818182,0.977876502582385,0.9530740378343118,0.9971461187214612,3.0020652820681124,1.8600097123780241,1.3798815951246275,0.16393595904400796,0.9179384747941907,0.1778181818181818,0.03418181818181816,0.024727272727272688,0.03236363636363632
102,102,0.9672727272727273,0.967391799212024,0.950327699206623,0.992152466367713,2.936649732574957,2.0972619387583977,1.3668221748094544,0.4948356923707164,0.25432780432876817,0.1632727272727273,0.018545454545454552,0.047272727272727286,0.01018181818181818
103,103,0.9490909090909091,0.9476661029602207,0.89825997139679,0.9895121563642142,3.2614985313325384,2.197801700645731,0.8411070197958217,0.5696179865032519,0.35407374844776635,0.1501818181818182,0.06,0.02981818181818182,0.0170909090909091
104,104,0.9709090909090909,0.971107438016529,0.960910005027652,0.9948885537120832,2.5149840503549266,1.9605675325305938,0.7678945168888227,1.4348320705714255,0.6500905481342613,0.17890909090909096,0.056363636363636394,0.013090909090909108,0.02072727272727276
105,105,0.9490909090909091,0.9475894509078365,0.8949363992172211,0.9891552511415526,2.0042094967595636,1.595756394094949,0.7555222323320758,1.59779762831972,1.576081868188913,0.17090909090909093,-0.0021818181818181958,0.018181818181818167,0.02654545454545456
106,106,0.9527272727272728,0.9516688928263141,0.9110234410908534,0.9919564884326643,2.82705430999121,1.653298984955638,1.4893375505822375,1.2039169786736126,0.34538354763130563,0.13381818181818184,0.02072727272727276,0.01309090909090912,0.0112727272727273
107,107,0.9490909090909091,0.948195885621962,0.912396327014218,0.988225710900474,2.35787662599537,1.827926335991279,0.9261412168960227,1.3348438185221942,0.9912097844502866,0.17672727272727273,0.05236363636363639,0.03963636363636365,0.011636363636363634
