,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled
10,10,0.918744971842317,0.9184246879981015,0.9054113869119944,0.9609529595556328,2.154097772275962,-0.2947460893269331,0.06202636364615722,2.2786031304831056,2.4974359273592097,0.11061946902654862,0.09501206757843926,0.07642799678197909,0.09026548672566373,0.054143201930812526,0.0659694288012872,0.07184231697506034,0.05140788415124695
11,11,0.9235720032180209,0.9230340380714306,0.906617742144058,0.9699957678426578,1.7840550556220118,0.07407971625670581,-0.035564027942274874,3.0340767784088167,1.581384112950131,0.12172164119066771,0.07860016090104587,0.10418342719227672,0.06564762670957361,0.05205148833467414,0.046017699115044206,0.08632341110217219,0.045695897023330614
12,12,0.918744971842317,0.9183709484971104,0.9046953564890979,0.9618804597168478,2.4878620139976917,-0.4499005002855239,-0.24666111866122714,2.4709124812051018,2.3624118781937615,0.11987127916331453,0.10788415124698306,0.0659694288012872,0.07892196299275947,0.0662107803700724,0.0753821399839099,0.05494770716009652,0.04979887369267897
13,13,0.9203539823008849,0.9204732800540817,0.9117739724029289,0.9622946993786283,1.7165072966021908,-0.3409481176446699,-0.25830141787491534,2.7608300503216965,2.6846356393967516,0.11520514883346737,0.10345937248592112,0.12687047465808526,0.07691069991954949,0.08688656476267098,0.06315366049879323,0.08938053097345135,0.04577634754625901
14,14,0.9203539823008849,0.9202258388755528,0.9078841275726703,0.9658115130862627,1.725265045741112,-0.19926367149320912,-0.0647401093782782,2.458589766360205,2.6346530357250204,0.11938857602574413,0.09235720032180209,0.1053097345132743,0.10112630732099756,0.07868061142397427,0.07071600965406274,0.0752212389380531,0.05382139983909893
15,15,0.9227674979887369,0.9224262468592183,0.9055477294575003,0.9639391539349822,1.759584901059839,-0.11884736401046453,0.1577658498451345,2.634707629974917,2.17525704065664,0.11069991954947703,0.0854384553499598,0.09090909090909094,0.06958970233306516,0.046983105390185,0.0664521319388576,0.08720836685438457,0.04923572003218017
16,16,0.909895414320193,0.9099469791021151,0.9001203595199474,0.9581974357938243,1.2910742547478549,-0.6908404103430279,-0.13064007272746175,3.1678704307184837,2.9316122212227627,0.10104585679806913,0.08616251005631534,0.09364440868865644,0.06975060337892196,0.06323411102172163,0.07264682220434433,0.07868061142397426,0.06629123089300079
17,17,0.916331456154465,0.9160785290079707,0.9034614894455129,0.9694284820538963,1.5155220440001713,-0.3589849400169711,-0.2965778394933129,2.9234005034240065,2.742730732011571,0.11858407079646013,0.0903459372485921,0.0751407884151247,0.07079646017699115,0.06733708769106998,0.05752212389380529,0.053982300884955724,0.04963797264682217
18,18,0.9235720032180209,0.9228959152994679,0.9071798801487808,0.9691274050603849,1.7825902989917042,-0.30956554688976157,-0.11028382341632476,2.7926259867756693,2.3824434656472566,0.11922767497988733,0.09010458567980695,0.07208366854384554,0.061866452131938844,0.060418342719227656,0.06436041834271922,0.05470635559131132,0.04408688656476263
19,19,0.9235720032180209,0.923306220259846,0.9104088535277417,0.9706605680371059,1.8859577159164798,-0.14714768198148706,-0.3592036256796436,2.530252955779508,2.494657674394806,0.11576830249396619,0.09324215607401451,0.07956556717618665,0.06773934030571198,0.07264682220434433,0.056717618664521297,0.06524537409493161,0.0469026548672566
20,20,0.913917940466613,0.9137989346875348,0.9036308618975233,0.965905843896083,2.0302610486292494,-0.4082668630333958,-0.3006835520071677,2.8375599244092977,2.4095913847086265,0.09951729686242955,0.08262268704746581,0.07192276749798873,0.08254223652453742,0.06210780370072404,0.0565567176186645,0.059050683829444874,0.051327433628318556
21,21,0.9203539823008849,0.9204208805438989,0.9123558176326765,0.9649877750611247,1.448734662679066,-0.3629053062766826,-0.10065148860867315,2.9505684420123055,2.603447147772252,0.10949316170555105,0.08841512469831056,0.07329042638777153,0.0758648431214803,0.06902654867256637,0.06781979082864038,0.056717618664521297,0.06065969428801286
22,22,0.9251810136765889,0.924954002845772,0.9113389679715302,0.9633748517200476,2.4348607455721907,-0.595974988961461,-0.522276217190711,2.920588399648883,2.3074825642076653,0.11954947707160093,0.0762670957361223,0.09251810136765892,0.09082864038616253,0.0650844730490748,0.05430410297666932,0.06991150442477875,0.06082059533386965
23,23,0.9211584875301689,0.920407797804973,0.9018360338147235,0.9606052600680991,1.6327762084386084,-0.11481255179100075,-0.08543005169217592,2.5720695937566456,2.4818999389088567,0.10716009654062748,0.07787610619469028,0.07763475462590508,0.06942880128720837,0.07200321802091714,0.054223652453740924,0.07023330651649236,0.05036202735317776
24,24,0.9235720032180209,0.9234575255760646,0.9129186602870814,0.9661360011599245,1.9026538355691438,-0.4634970658097385,-0.0695801603240826,2.9641243339283427,2.321889902570785,0.10724054706355587,0.10120675784392597,0.08101367658889784,0.08205953338696703,0.052212389380530945,0.05526950925181011,0.07956556717618665,0.043201930812550235
25,25,0.919549477071601,0.9192628895136575,0.9069768782794211,0.9658104134232831,2.080510863348888,-0.7686851198714842,-0.06036138688582253,2.7886328528758737,2.6568207470740943,0.12775543041029763,0.09018503620273532,0.08286403861625102,0.07489943684633951,0.07007240547063556,0.06854384553499597,0.06057924376508446,0.06395816572807722
26,26,0.915526950925181,0.9148490081946691,0.8958527078977141,0.9576829896754551,2.588241648986915,-0.6158888209018099,-0.3391762128355978,2.601988174768545,2.55299933069009,0.10707964601769906,0.07884151246983107,0.08584070796460178,0.06653258246178599,0.059050683829444874,0.057843925985518886,0.066130329847144,0.04818986323411099
27,27,0.9243765084473049,0.9239294282859457,0.9087585677179528,0.9672125380380292,2.1831801505711224,-0.533670688688525,-0.27626996780852753,2.922481616335183,2.2758066472872045,0.11866452131938854,0.08833467417538217,0.08841512469831056,0.0559935639581657,0.05526950925181011,0.053901850362027326,0.06934835076427996,0.04505229283990342
28,28,0.9283990345937249,0.9281082352405403,0.9156073569640882,0.9754787265002037,1.7501813702003468,-0.10151740723468004,-0.07310196789348243,2.443638388178722,2.399872776712388,0.12453740949316168,0.0950120675784393,0.084875301689461,0.07296862429605792,0.06749798873692678,0.05953338696701527,0.07972646822204346,0.06202735317779564
29,29,0.9348350764279968,0.934765686546468,0.9230692711159342,0.9705311388436727,2.155746962266749,-0.4815197710363317,-0.24915394071284705,2.752142828333732,2.3489218377750376,0.12003218020917132,0.09396621078037011,0.09485116653258249,0.08455349959774741,0.07087691069991955,0.047385358004827016,0.06516492357200321,0.05068382944489136
30,30,0.913113435237329,0.9127669843933257,0.8971370915399048,0.9592985520244515,1.5791360158698682,-0.1988884963575447,-0.17674530794311769,2.5332082159161753,2.85999446363687,0.10273531777956553,0.0884151246983105,0.08004827031375705,0.08519710378117458,0.06830249396621077,0.06444086886564762,0.06830249396621077,0.058970233306516476
31,31,0.9203539823008849,0.9204851585409627,0.9100731848199558,0.9668405476058619,2.4670326263382623,0.1780261998200419,-0.33080881081334396,2.0149505913574806,2.1382258346283844,0.12091713596138372,0.09702333065164923,0.08559935639581659,0.09308125502815769,0.07707160096540629,0.06452131938857601,0.06234915526950924,0.04955752212389377
