,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.B_CO2_vd_scaled,feature_importance.B_top_temperature_scaled,feature_importance.B_top_humidity_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_low_humidity_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_top_temperature_fd3_scaled,feature_importance.B_low_temperature_scaled,feature_importance.B_top_CO2_fd3_scaled,feature_importance.B_top_temperature_fd1_scaled,feature_importance.B_low_humidity_fd1_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_humidity_fd3_scaled,feature_importance.B_low_temperature_fd3_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_top_humidity_fd1_scaled,feature_importance.B_top_humidity_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_low_humidity_fd2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_temperature_fd1_scaled,feature_importance.B_low_humidity_fd3_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_low_temperature_fd2_scaled,feature_importance.B_top_temperature_fd2_scaled
196,196,0.9823008849557522,0.9823396661626629,0.9826041109980979,0.9969716298607639,3.815443048034039,-0.9826785984660495,0.021349260869117936,4.6892740127925565,2.012317592066796,0.028479485116653193,0.011987127916331474,0.014481094127111838,0.008527755430410311,0.007562349155269521,0.00764279967819792,0.004987932421560748,0.0053901850362027435,0.0026548672566371724,0.0017699115044247816,0.00096540627514079,-0.0002413515687851975,0.00193081255028158,0.002172164119066777,8.045052292839915e-05,0.0002413515687851975,-8.045052292839915e-05,-0.0006436041834271932,0.0006436041834271932,-0.00193081255028158,0.0023330651649235757,-0.000482703137570395,0.0,-0.0001609010458567983,0.0007240547063555924,0.0,-0.0016090104585679832,-0.0001609010458567983
197,197,0.9814963797264682,0.981523098810448,0.9807649975670227,0.9959884839075932,2.501007554196445,-0.6636740238561692,0.39970451613746716,5.386288982593451,1.9838952713095912,0.035559131134352315,0.01753821399839097,0.01769911504424776,0.011182622687047483,0.011021721641190686,0.008688656476267109,0.002413515687851975,0.005631536604987941,0.000482703137570395,0.00096540627514079,-0.000482703137570395,0.0004022526146419958,0.0008849557522123908,0.0028157683024939706,-0.0001609010458567983,-0.0008045052292839916,-0.002574416733708773,-0.0028962188254223697,-0.0007240547063555924,-0.002574416733708773,-8.045052292839915e-05,0.0,0.0001609010458567983,0.0003218020917135966,8.045052292839915e-05,0.0006436041834271932,0.0012067578439259874,-0.0011263073209975883
198,198,0.9839098954143202,0.9839009136751519,0.9816280603176424,0.997881428817155,3.1919402679168187,-1.0327071396588265,0.5402418988250967,5.487982875478131,1.421063511017381,0.025261464199517226,0.014963797264682244,0.011584875301689479,0.013998390989541443,0.009412711182622702,0.007803700724054718,0.0016090104585679832,0.005872888173773139,0.0037811745776347603,0.0027353177795655715,0.0014481094127111848,0.0003218020917135966,0.00193081255028158,0.0023330651649235757,-0.0008045052292839916,0.0,-0.00096540627514079,0.0005631536604987942,0.000482703137570395,-0.0026548672566371724,-0.0004022526146419958,-8.045052292839915e-05,-0.00096540627514079,0.000482703137570395,-0.0008849557522123908,0.0005631536604987942,0.0012872083668543865,-0.0012872083668543865
199,199,0.9855189058728882,0.9855092822383326,0.982729335186307,0.998054971552103,3.565898655945918,-0.412055688104951,0.11283308424886727,5.007438867307364,0.7725034961289922,0.02864038616250999,0.016492357200321828,0.013837489943684656,0.013032984714400665,0.010860820595333887,0.007803700724054718,0.0059533386967015375,0.005551086082059542,0.0011263073209975883,0.00386162510056316,0.002172164119066777,0.0027353177795655715,0.0029766693483507687,0.004183427192276756,0.0,0.0,-0.0002413515687851975,0.0016090104585679832,0.0,0.00096540627514079,0.0022526146419951766,8.045052292839915e-05,-0.0002413515687851975,0.0008045052292839916,0.0029766693483507687,-8.045052292839915e-05,0.002574416733708773,0.00193081255028158
200,200,0.9871279163314561,0.9871366707305839,0.9858000299356384,0.9982457715910792,3.261021950385088,-1.015956745820626,0.5587679268559909,5.145304095928697,1.6105439034030675,0.028318584070796404,0.01544650040225264,0.015687851971037826,0.011665325824617878,0.0074014481094127225,0.008769106999195508,0.006999195494770727,0.006757843925985529,0.0022526146419951766,0.002574416733708773,0.000482703137570395,0.0008849557522123908,0.006757843925985529,0.0031375703942075673,0.0013676588897827858,0.0001609010458567983,-0.0005631536604987942,-0.0002413515687851975,0.000482703137570395,0.0006436041834271932,-0.0007240547063555924,0.0,0.0006436041834271932,0.0007240547063555924,0.002413515687851975,0.0016090104585679832,0.002493966210780374,0.0002413515687851975
201,201,0.9798873692679002,0.9799337447063117,0.9791912632821724,0.9966638045150442,3.3560861503813175,-1.1421822585518449,0.36875305150587423,5.367524582539414,1.5463779288000337,0.031214802896218762,0.016090104585679766,0.01230893000804506,0.00957361222847949,0.008286403861625113,0.008930008045052307,0.00386162510056316,0.008688656476267109,0.002011263073209979,0.0014481094127111848,0.0008849557522123908,-0.0008045052292839916,0.009814963797264698,0.004907481898632349,-0.0006436041834271932,0.000482703137570395,0.0006436041834271932,0.0008849557522123908,-0.0006436041834271932,0.0008045052292839916,-0.0014481094127111848,-0.000482703137570395,0.0003218020917135966,0.00193081255028158,0.0016894609814963823,-0.0015285599356395841,0.0026548672566371724,0.00193081255028158
202,202,0.9806918744971842,0.9806712523857319,0.9777491672635086,0.9978797903664041,3.5429569865122126,-0.2847096893899187,0.3402695738646156,5.075794464380535,0.9098433623284593,0.036926790024135105,0.010297666934835092,0.012952534191472265,0.011343523732904282,0.008286403861625113,0.005148833467417546,0.0032180209171359664,0.0053901850362027435,0.00096540627514079,0.0013676588897827858,0.002493966210780374,0.0015285599356395841,8.045052292839915e-05,0.0028157683024939706,-0.0003218020917135966,-0.0004022526146419958,-0.0029766693483507687,-0.0016894609814963823,0.0008849557522123908,0.0005631536604987942,-0.0005631536604987942,-8.045052292839915e-05,-0.0002413515687851975,-0.0011263073209975883,-0.0005631536604987942,0.002493966210780374,0.0004022526146419958,0.0002413515687851975
203,203,0.9847144006436042,0.9847103842563029,0.9829752258518775,0.9981233426645695,2.5578354886061128,-0.7401681753406795,-0.028046754850590373,5.341137869734757,2.37657348419667,0.0370072405470635,0.019308125502815777,0.011584875301689479,0.01053901850362029,0.011665325824617878,0.006436041834271933,0.0023330651649235757,0.004907481898632349,0.0014481094127111848,0.0012872083668543865,-0.0004022526146419958,-0.0003218020917135966,0.0018503620273531806,0.0008849557522123908,0.0004022526146419958,-8.045052292839915e-05,-0.0012872083668543865,-0.0012872083668543865,-8.045052292839915e-05,-0.0016090104585679832,0.0016090104585679832,0.0,-8.045052292839915e-05,0.0,-0.0008045052292839916,-0.000482703137570395,-0.0003218020917135966,-0.0008849557522123908
204,204,0.9823008849557522,0.9823221576829312,0.9812727909215555,0.9961200735143965,3.40431611714276,-0.38621788191884576,0.4515805048663738,5.456257030375615,0.7738556393815416,0.03057119871279157,0.015768302493966213,0.014159292035398252,0.0094931617055511,0.007884151246983117,0.004263877715205156,0.0026548672566371724,0.00096540627514079,0.0011263073209975883,0.0041029766693483575,0.0012067578439259874,0.002172164119066777,0.008447304907481912,0.0017699115044247816,-0.0006436041834271932,8.045052292839915e-05,0.0012067578439259874,-0.0001609010458567983,-8.045052292839915e-05,-0.00096540627514079,0.0008849557522123908,0.0,-0.0005631536604987942,-0.0003218020917135966,-0.0007240547063555924,-8.045052292839915e-05,-0.0005631536604987942,-0.0012872083668543865
205,205,0.9831053901850362,0.9831607260691289,0.9843018903237881,0.9966925182481752,3.162308685810807,-0.9209205508216968,0.16080294406286527,5.382457704427469,1.716422640532807,0.028962188254223586,0.015687851971037815,0.01600965406275141,0.008286403861625113,0.007964601769911516,0.0095736122284795,0.00474658085277555,0.005148833467417546,0.0029766693483507687,0.0016894609814963823,0.0031375703942075673,-0.0004022526146419958,0.006275140788415135,0.004022526146419958,-8.045052292839915e-05,0.0002413515687851975,0.002091713596138378,0.0005631536604987942,0.000482703137570395,0.0028962188254223697,-0.0001609010458567983,8.045052292839915e-05,0.0,0.002091713596138378,0.002011263073209979,-0.001045856798069189,0.0006436041834271932,0.0018503620273531806
