,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.C_top_CO2_scaled,feature_importance.C_mid_humidity_scaled,feature_importance.C_CO2_vd_scaled,feature_importance.C_top_temperature_scaled,feature_importance.C_top_humidity_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_top_temperature_fd3_scaled,feature_importance.C_mid_temperature_scaled,feature_importance.C_mid_humidity_fd1_scaled,feature_importance.C_top_temperature_fd1_scaled,feature_importance.C_mid_humidity_fd3_scaled,feature_importance.C_top_humidity_fd1_scaled,feature_importance.C_top_humidity_fd3_scaled,feature_importance.C_mid_temperature_fd3_scaled,feature_importance.C_top_CO2_fd3_scaled,feature_importance.C_mid_humidity_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_mid_temperature_fd1_scaled,feature_importance.C_mid_temperature_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_top_temperature_fd2_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_top_humidity_fd2_scaled,feature_importance.C_top_CO2_fd2_scaled
10,10,0.9887369267900241,0.9887434523437648,0.9879968755424406,0.9993230341954522,3.472296787042276,0.0397956216678829,0.319889646045353,5.100223287770744,0.5358259377999127,0.036041834271922715,0.024778761061946885,0.0094931617055511,0.010860820595333887,0.010217216411906694,0.005631536604987941,0.006355591311343533,0.004907481898632349,0.002493966210780374,0.0032984714400643655,0.00096540627514079,0.0001609010458567983,0.0004022526146419958,-0.0005631536604987942,0.000482703137570395,0.0006436041834271932,0.001045856798069189,-0.0014481094127111848,0.0007240547063555924,-0.0003218020917135966,0.0002413515687851975,-0.0008045052292839916,0.0,0.0,-0.0008045052292839916,-0.0012872083668543865,0.0006436041834271932,0.0006436041834271932
11,11,0.9895414320193081,0.9895178743390955,0.985920729341782,0.9976870084525586,3.0173285967230945,-0.07191171163738692,-0.04069896202378588,4.9699725727320505,1.6938394132506511,0.026387771520514868,0.022445695897023343,0.016894609814963824,0.015607401448109437,0.016814159292035426,0.007320997586484324,0.006436041834271933,0.008045052292839916,0.004424778761061954,0.002493966210780374,0.0037811745776347603,0.0012872083668543865,0.0059533386967015375,0.004344328238133554,0.0018503620273531806,0.0015285599356395841,0.0017699115044247816,0.0004022526146419958,0.002493966210780374,0.0005631536604987942,0.0006436041834271932,0.0001609010458567983,0.0008045052292839916,0.00096540627514079,0.0027353177795655715,0.0005631536604987942,0.0012872083668543865,0.0016894609814963823
12,12,0.9855189058728882,0.9855189058728882,0.983798978149547,0.9974164098523993,2.7463543299089372,0.0419331755856831,0.20551237607966494,4.961009910629545,1.616337505279273,0.024296057924376457,0.029283990345937184,0.012228479485116673,0.01335478680611426,0.007160096540627525,0.007481898632341122,0.004666130329847151,0.010941271118262286,0.003459372485921164,0.0016090104585679832,0.005068382944489147,-0.000482703137570395,0.0005631536604987942,0.0028157683024939706,0.000482703137570395,0.0022526146419951766,0.0017699115044247816,0.002011263073209979,0.002091713596138378,-0.002011263073209979,0.0003218020917135966,0.0003218020917135966,0.0007240547063555924,-0.0001609010458567983,-0.0002413515687851975,-0.0003218020917135966,-0.0007240547063555924,-0.0001609010458567983
13,13,0.9839098954143202,0.9839573702045651,0.9849105866565535,0.9968814726217218,2.4347679868536867,-0.12306679305203473,0.8758836357247688,4.9497984065953995,1.825698380512458,0.023732904263877662,0.01971037811745775,0.010860820595333887,0.016894609814963813,0.009090909090909104,0.004505229283990353,0.0053901850362027435,0.007803700724054718,0.0037007240547063613,0.00474658085277555,0.004263877715205156,0.0022526146419951766,0.002574416733708773,0.003539823008849563,0.004987932421560748,0.0016090104585679832,0.0013676588897827858,0.0022526146419951766,0.0004022526146419958,0.0012067578439259874,0.002091713596138378,0.0006436041834271932,0.0003218020917135966,0.0012067578439259874,0.0017699115044247816,0.0006436041834271932,0.0028157683024939706,0.0002413515687851975
14,14,0.9911504424778761,0.9911532401932254,0.9902581351413386,0.9973162420325935,3.2844167866414686,-0.2505161903886149,0.6694034046426061,5.3611227333290286,0.740926495364352,0.02872083668543842,0.03193885760257435,0.01238938053097347,0.022606596942880152,0.009090909090909104,0.008205953338696715,0.007964601769911516,0.0059533386967015375,0.007240547063555924,0.004666130329847151,0.003459372485921164,0.0032984714400643655,0.0061142397425583365,0.0032984714400643655,0.004505229283990353,0.0028157683024939706,0.003620273531777962,0.0032180209171359664,0.0033789219629927645,0.00096540627514079,0.0017699115044247816,0.0007240547063555924,0.0008849557522123908,0.002574416733708773,0.0028962188254223697,0.0014481094127111848,0.002091713596138378,0.0018503620273531806
15,15,0.9871279163314561,0.987118700553938,0.9842579549095833,0.9975997726736839,3.1717408158553115,-0.5153274341944136,0.20275385930979256,5.179466897131474,1.6161713991050373,0.03451327433628313,0.019629927594529382,0.009010458567980707,0.01440064360418345,0.007884151246983117,0.006436041834271933,0.006275140788415135,0.006194690265486735,0.0032180209171359664,0.0013676588897827858,0.0028157683024939706,0.0015285599356395841,0.0023330651649235757,0.00096540627514079,0.0006436041834271932,0.0008045052292839916,0.0012067578439259874,0.0006436041834271932,0.0016090104585679832,0.0007240547063555924,0.0005631536604987942,0.0002413515687851975,0.0004022526146419958,0.0001609010458567983,0.0007240547063555924,-8.045052292839915e-05,0.0016090104585679832,0.0012067578439259874
16,16,0.9847144006436042,0.9847187879731254,0.9832463589080476,0.9962593300275354,3.1373971691510647,-0.12507581837269074,0.41282348566228444,5.138306155094806,1.3770114235450917,0.03129525341914716,0.020917135961383705,0.013515687851971058,0.0095736122284795,0.014722445695897046,0.004263877715205156,0.006838294448913929,0.005792437650844739,0.0030571198712791682,0.0015285599356395841,0.006918744971842328,0.002574416733708773,0.0037811745776347603,0.0001609010458567983,0.0006436041834271932,0.0002413515687851975,0.0006436041834271932,0.00096540627514079,0.0008849557522123908,0.0002413515687851975,0.0014481094127111848,0.001045856798069189,0.000482703137570395,-0.0001609010458567983,-8.045052292839915e-05,8.045052292839915e-05,-0.0012067578439259874,0.0008045052292839916
17,17,0.9911504424778761,0.9911530297812905,0.990392636188799,0.9988472321987163,2.4455225233958537,0.30836579989542845,0.9014005850388803,5.038768281619698,1.0562791273580707,0.029203539823008808,0.023169750603378936,0.0096540627514079,0.009814963797264698,0.018905872888173803,0.0023330651649235757,0.0059533386967015375,0.002172164119066777,0.0032180209171359664,0.0026548672566371724,0.0037007240547063613,0.0018503620273531806,0.0012872083668543865,0.0,0.003459372485921164,0.0007240547063555924,0.002172164119066777,0.0005631536604987942,0.002493966210780374,0.0012872083668543865,0.0008849557522123908,0.0006436041834271932,-0.0015285599356395841,8.045052292839915e-05,-0.0001609010458567983,0.0,0.000482703137570395,0.000482703137570395
18,18,0.9895414320193081,0.9895557999007463,0.9898014533682326,0.9987486797997888,3.6864439058659464,0.011927608425227304,-0.01575136977128085,4.989677766058536,0.9959444969703329,0.032984714400643544,0.018905872888173803,0.013515687851971058,0.014641995172968648,0.012872083668543866,0.007481898632341122,0.00860820595333871,0.008930008045052307,0.003459372485921164,0.002091713596138378,0.0039420756234915585,0.0015285599356395841,0.002493966210780374,0.0022526146419951766,0.0026548672566371724,0.0016894609814963823,0.0037007240547063613,0.000482703137570395,0.0015285599356395841,0.00096540627514079,0.0004022526146419958,0.0004022526146419958,0.000482703137570395,0.0008849557522123908,0.00096540627514079,8.045052292839915e-05,0.00096540627514079,-0.0002413515687851975
19,19,0.9895414320193081,0.9895382225780621,0.987894746065683,0.9976487563235311,2.7457721027618804,-0.4758127295629916,1.0930627840617848,5.099374863637021,1.4048264527399346,0.025422365245374057,0.027433628318584025,0.01045856798069189,0.011102172164119083,0.009734513274336299,0.006838294448913929,0.0053901850362027435,0.005229283990345945,0.0016090104585679832,0.0039420756234915585,0.002091713596138378,0.0001609010458567983,0.0028962188254223697,0.0039420756234915585,0.0005631536604987942,0.0013676588897827858,0.0027353177795655715,0.00096540627514079,0.0017699115044247816,0.0012067578439259874,0.0012067578439259874,-8.045052292839915e-05,0.000482703137570395,0.000482703137570395,0.0029766693483507687,0.0011263073209975883,0.00096540627514079,0.002172164119066777
