,random_seed,accuracy,f1_weighted,balanced_acc,auc,model_weights.random_forest,model_weights.bagging_svc,model_weights.bagging_knn,model_weights.gradient_boosting,model_weights.mlp,feature_importance.A_CO2_vd_scaled,feature_importance.A_top_temperature_scaled,feature_importance.A_low_humidity_scaled,feature_importance.A_top_humidity_scaled,feature_importance.A_low_temperature_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_low_temperature_fd3_scaled,feature_importance.A_top_temperature_fd3_scaled,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_top_humidity_fd3_scaled,feature_importance.A_top_temperature_fd1_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_humidity_fd2_scaled,feature_importance.A_low_humidity_fd3_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_temperature_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_temperature_fd2_scaled,feature_importance.A_top_humidity_fd1_scaled,feature_importance.A_top_humidity_fd2_scaled,feature_importance.A_low_temperature_fd1_scaled,feature_importance.A_low_humidity_fd1_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_CO2_vd_fd2_scaled
70,70,0.9798873692679002,0.979881416821487,0.9771770334928229,0.9970798898071624,1.5643147421429762,-0.5791032627331998,1.3115986049053794,6.4055765036323615,0.9678276708009258,0.025663716814159222,0.02196299275945286,0.02558326629123082,0.014722445695897013,0.011423974255832681,0.009251810136765903,0.005148833467417546,0.0023330651649235757,0.002011263073209979,-0.002091713596138378,-0.0004022526146419958,0.002172164119066777,0.001045856798069189,-0.002413515687851975,-0.0008849557522123908,0.0007240547063555924,-0.000482703137570395,-0.0033789219629927645,0.0014481094127111848,0.0001609010458567983,0.0017699115044247816,-0.0012872083668543865,-0.0004022526146419958,0.00096540627514079,-0.002493966210780374,-0.000482703137570395,-0.0008849557522123908,-0.0008849557522123908
71,71,0.9839098954143202,0.9839011925246008,0.9817423659225045,0.997183018276167,1.5503692951762387,-0.07691420848751279,1.6204555884629825,6.006692340983649,0.4963450293798263,0.040627514078841465,0.018101367658889776,0.015607401448109437,0.009975864843121495,0.008045052292839916,0.012228479485116673,0.0037811745776347603,0.00386162510056316,0.002172164119066777,0.0001609010458567983,-0.0005631536604987942,0.0028157683024939706,0.0017699115044247816,-0.001045856798069189,0.0008045052292839916,0.002091713596138378,-0.0005631536604987942,-0.0002413515687851975,0.0022526146419951766,0.0016894609814963823,0.000482703137570395,-0.0001609010458567983,-0.0016894609814963823,0.0003218020917135966,0.00193081255028158,-0.0002413515687851975,0.0011263073209975883,-8.045052292839915e-05
72,72,0.9814963797264682,0.9814902846688485,0.9784756820877818,0.9966518386714116,2.1447378880605044,-0.26953462468015044,1.3066240383003493,5.802873818485033,0.4904036388772365,0.025261464199517226,0.014883346741753812,0.011987127916331464,0.01423974255832664,0.007562349155269521,0.00474658085277555,0.0022526146419951766,0.0030571198712791682,0.0032984714400643655,-0.0008849557522123908,-0.0027353177795655715,0.0,0.0018503620273531806,-0.002091713596138378,-0.0002413515687851975,0.0003218020917135966,8.045052292839915e-05,-0.0001609010458567983,0.0013676588897827858,-0.0002413515687851975,-0.0006436041834271932,-0.0017699115044247816,-0.0001609010458567983,-0.0007240547063555924,-0.000482703137570395,-8.045052292839915e-05,-0.0003218020917135966,-0.0004022526146419958
73,73,0.9863234111021721,0.9863649077056549,0.9872558025047129,0.9969741724001296,1.9958927982591008,-0.13373890079698963,0.7780753984925671,5.765172978836271,1.0329106632451497,0.03612228479485111,0.016814159292035426,0.013917940466613054,0.012067578439259874,0.006355591311343533,0.008125502815768315,0.007803700724054718,0.0061142397425583365,0.0032180209171359664,0.0011263073209975883,0.0,0.0008045052292839916,-8.045052292839915e-05,-0.0002413515687851975,0.0011263073209975883,0.003459372485921164,0.0003218020917135966,0.000482703137570395,0.0012872083668543865,0.0003218020917135966,0.001045856798069189,0.0002413515687851975,0.000482703137570395,0.001045856798069189,0.002011263073209979,0.000482703137570395,0.0004022526146419958,-0.0001609010458567983
74,74,0.9871279163314561,0.9871485384429084,0.9874261369480988,0.9963854251197238,2.1585260510239586,-0.05932324347031974,1.0135781542374276,5.923693582817939,0.377419816593495,0.030651649235719967,0.021158487530168933,0.02196299275945294,0.01721641190667742,0.006596942880128731,0.009975864843121495,0.006275140788415135,0.006838294448913929,0.0013676588897827858,-0.002011263073209979,0.002413515687851975,0.0026548672566371724,0.0001609010458567983,-0.0008045052292839916,0.0008045052292839916,0.0012872083668543865,-0.0008045052292839916,0.0006436041834271932,0.00096540627514079,0.0004022526146419958,0.0015285599356395841,0.0012067578439259874,0.0,0.0004022526146419958,0.002091713596138378,0.0003218020917135966,0.0012872083668543865,-0.0012067578439259874
75,75,0.9863234111021721,0.9862961019224993,0.9828847522615604,0.9987658998025439,1.605561374182565,-0.566986869825126,1.1761262379973294,6.121909373072507,1.3204468252193626,0.03917940466613028,0.027111826226870427,0.017618664521319417,0.014963797264682244,0.005551086082059542,0.007562349155269521,0.0028157683024939706,0.004263877715205156,0.002091713596138378,0.0008849557522123908,0.0011263073209975883,0.002172164119066777,0.0016894609814963823,8.045052292839915e-05,0.0005631536604987942,0.00096540627514079,0.0,-0.0012872083668543865,0.0005631536604987942,-0.0004022526146419958,0.002172164119066777,0.0016090104585679832,0.0004022526146419958,-0.0003218020917135966,0.0012872083668543865,0.0,-0.0006436041834271932,8.045052292839915e-05
76,76,0.9839098954143202,0.9839098954143202,0.9819348200167426,0.9980844805134407,1.6251505303998304,-0.4241816418349667,0.8750262358098861,6.472819952735585,1.086772929337705,0.03346741753821394,0.02389380530973444,0.01528559935639584,0.011423974255832681,0.004183427192276756,0.002493966210780374,0.004424778761061954,0.002493966210780374,0.0007240547063555924,-0.0002413515687851975,-0.0005631536604987942,0.0,0.0007240547063555924,0.000482703137570395,-0.001045856798069189,0.0004022526146419958,0.0006436041834271932,0.0004022526146419958,0.001045856798069189,0.0008045052292839916,0.0001609010458567983,-0.0005631536604987942,0.0001609010458567983,0.0007240547063555924,0.0002413515687851975,-0.0001609010458567983,0.0003218020917135966,-0.0003218020917135966
77,77,0.9863234111021721,0.9863735457254188,0.987947852466486,0.9982853305834672,1.9344243500540192,-0.5087822295045816,0.955486137149893,5.9730801502890865,1.0305450667222251,0.035800482703137515,0.02067578439259856,0.017860016090104604,0.012228479485116673,0.008045052292839916,0.005148833467417546,0.0014481094127111848,0.005068382944489147,0.002493966210780374,-0.0004022526146419958,0.0001609010458567983,0.0007240547063555924,0.0011263073209975883,-0.0011263073209975883,0.002574416733708773,0.003539823008849563,0.0002413515687851975,-0.0014481094127111848,0.0028157683024939706,-0.0007240547063555924,0.0,0.00096540627514079,0.0002413515687851975,0.0003218020917135966,0.00096540627514079,-0.0016090104585679832,-0.0001609010458567983,-0.001045856798069189
78,78,0.9855189058728882,0.9855042219856894,0.9832321370181195,0.9980155374398177,1.5461140370955608,0.58731731193014,0.967942448431918,5.999661479289244,0.4369195335290196,0.03145615446500396,0.020756234915526917,0.01432019308125505,0.004907481898632349,0.009090909090909104,0.005872888173773139,0.005229283990345945,0.00667739340305713,0.0014481094127111848,-0.0007240547063555924,8.045052292839915e-05,0.0014481094127111848,0.00193081255028158,-0.001045856798069189,0.0005631536604987942,0.0037811745776347603,-0.0003218020917135966,0.0006436041834271932,0.0006436041834271932,0.0012067578439259874,0.0002413515687851975,0.0006436041834271932,8.045052292839915e-05,0.00096540627514079,0.0016894609814963823,-0.0006436041834271932,-0.001045856798069189,-0.0006436041834271932
79,79,0.9919549477071601,0.9919599001083966,0.9915205106432816,0.9991713758674201,1.5799605757947357,0.7336706897500809,0.7979066979223363,6.040197871465458,-0.014336355049531402,0.031858407079645976,0.019710378117457794,0.021319388576025777,0.006355591311343533,0.0074014481094127225,0.006918744971842328,0.004183427192276756,0.0027353177795655715,0.0016894609814963823,0.000482703137570395,-0.00096540627514079,0.0003218020917135966,0.0016090104585679832,0.0,-0.0006436041834271932,0.0011263073209975883,-0.000482703137570395,-0.0006436041834271932,-8.045052292839915e-05,8.045052292839915e-05,8.045052292839915e-05,0.0002413515687851975,0.0002413515687851975,-0.0001609010458567983,0.0011263073209975883,-0.001045856798069189,-0.0008849557522123908,-0.0001609010458567983
80,80,0.9879324215607401,0.987936080553629,0.9867061466203799,0.9979696023804662,1.9525575217313358,-0.6764666111952677,0.9670887848662774,6.726146582179852,0.5941220569818051,0.04046661303298467,0.02437650844730487,0.02365245374094931,0.013515687851971058,0.008205953338696715,0.008366854384553512,0.0074014481094127225,0.005792437650844739,0.002091713596138378,0.001045856798069189,0.0016090104585679832,0.0053901850362027435,0.0011263073209975883,0.00193081255028158,0.0022526146419951766,0.0037811745776347603,-0.0005631536604987942,0.0002413515687851975,0.0007240547063555924,0.0004022526146419958,0.0014481094127111848,0.0007240547063555924,0.0018503620273531806,0.0005631536604987942,0.002413515687851975,0.0006436041834271932,0.0003218020917135966,0.0003218020917135966
