,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.C_CO2_vd_scaled,feature_importance.C_CO2_vd_fd1_scaled,feature_importance.C_CO2_vd_fd2_scaled,feature_importance.C_CO2_vd_fd3_scaled,feature_importance.C_mid_CO2_scaled,feature_importance.C_mid_CO2_fd1_scaled,feature_importance.C_mid_CO2_fd2_scaled,feature_importance.C_mid_CO2_fd3_scaled,feature_importance.C_top_CO2_scaled,feature_importance.C_top_CO2_fd1_scaled,feature_importance.C_top_CO2_fd2_scaled,feature_importance.C_top_CO2_fd3_scaled
35,35,0.9179528838342811,0.9130060292850991,0.9194769991230168,0.955119721491403,0.0016246953696181787,-0.000893582453290076,0.000893582453289965,0.0011372867587325919,0.04508529650690496,0.04752233956133223,0.04191714053614948,0.03184402924451668,0.015109666937449195,0.03403736799350121,0.010804224207960789,0.005199025182778261
36,36,0.9260763606823721,0.921619293712317,0.9276555316378325,0.9459512609955087,-8.123476848087563e-05,0.014784727863525582,0.0009748172217710627,0.0004874086108854758,0.00584890333062571,0.01844029244516654,0.02485783915515838,0.03834281072298951,0.011779041429731962,0.05134037367993505,0.025913891145410206,0.008448415922014618
37,37,0.9187652315190902,0.9137931034482759,0.9202277498737677,0.942865874724282,0.0008123476848092004,0.00024370430544284893,0.0012185215272135785,0.0005686433793663515,-0.0009748172217709516,0.019496344435418256,0.03290008123476862,0.00422420796100742,-0.0041429731925263225,0.007311129163281915,0.0023558082859463925,0.024370430544273125
38,38,0.917140536149472,0.9111498257839721,0.9177868133620346,0.9449467166281326,-0.002437043054427379,0.0019496344435416813,0.016165718927701134,0.0,-0.001137286758732703,0.04021121039805031,0.09926888708367176,0.08383428107229896,0.0025995125913892414,0.1138099106417545,0.0410235580828594,0.00861088545897637
39,39,0.9220146222583265,0.9175257731958762,0.9237675728826171,0.9480852533949878,-0.0050365556458163985,0.010966693744922873,-0.00032493907392372456,0.006255077173030088,0.004305442729488185,0.02705117790414291,0.02298943948009735,0.00560519902518275,0.0464662875710804,0.007636068237205529,0.05507717303005677,0.009260763606823597
40,40,0.9244516653127539,0.918918918918919,0.9250803901246379,0.9597079380265221,0.004630381803411687,0.001137286758732814,-0.0012185215272135785,0.0004874086108854758,-0.0021121039805036546,0.02185215272136487,0.07408610885458966,0.011535337124289224,0.003411860276198442,0.018359057676685553,0.05028432168968322,-0.001137286758732703
41,41,0.9220146222583265,0.917098445595855,0.9233649578782321,0.9531239203805576,-0.0017059301380990544,-0.00024370430544284893,-0.0006498781478472271,0.006417546709991839,-0.0021933387489847522,0.05873273761169773,0.03663688058489034,0.012185215272136452,-0.002680747359870117,0.005361494719739901,0.000893582453289854,0.008042242079610018
42,42,0.9130787977254264,0.9103101424979044,0.9167171596375137,0.9552552552552553,0.0010560519902518273,0.0012185215272134675,-0.006092607636068226,0.00438667749796906,-0.0112103980503655,0.08578391551584086,0.07018683996750619,0.010966693744922762,-0.0030056864337938416,0.07871649065800168,0.1463850528025995,0.012510154346060176
43,43,0.9236393176279447,0.919104991394148,0.9252690743841185,0.9542772861356932,-0.00901705930138097,0.0011372867587325919,-0.0010560519902518273,0.001543460601137303,-0.0017059301380991654,0.04711616571892774,0.029488220958570288,0.05223395613322501,0.00048740861088558685,0.07725426482534514,0.006986190089358302,0.033143785540211246
44,44,0.917140536149472,0.9122203098106713,0.918726248372266,0.9506736825320896,0.0012997562956944542,0.0006498781478473381,0.006092607636068337,0.0009748172217709516,-0.00219333874898453,0.04906580016246964,0.01624695369618201,0.004305442729488296,0.0009748172217709516,0.021202274573517532,0.04305442729488218,0.0025995125913890194
45,45,0.9187652315190902,0.9145299145299145,0.9208987748810757,0.9520489516064736,-0.0014622258326564275,0.005848903330625488,-0.000893582453290076,8.123476848098665e-05,-0.00203086921202289,0.012347684809098314,0.022908204711616587,0.001543460601137303,-0.0004874086108853648,0.000893582453290076,0.034768480909829425,0.00601137286758735
46,46,0.9260763606823721,0.9212121212121213,0.9272529166334476,0.9557841026867576,0.0023558082859465035,0.0010560519902517163,0.00178716490657993,0.004467912266450158,0.0021121039805036546,0.052558895207148515,0.046628757108042374,0.016571892770105734,0.033387489845654095,0.005442729488220999,0.029082047116165688,0.004386677497969282
47,47,0.8887083671811535,0.8845829823083403,0.8917789470886817,0.932695527385793,0.001137286758732703,0.03712428919577582,-0.014134849715678355,-0.01080422420796101,0.06303818034118602,0.021933387489845524,0.0835905767668561,0.01941510966693749,0.025995125913891082,0.0592201462225832,0.10471161657189265,0.01803411860276205
