,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled
15,15,0.9277010560519903,0.9221347331583553,0.9280833931276409,0.9613409870047037,0.014865962632006569,0.0017059301380990544,0.0008123476848090894,0.005767668562144612,0.00243704305442749,0.015597075548334671,0.007798537774167391,0.013322502030869265,0.010560519902518384,0.019496344435418478,0.01445978878960208,0.01868399675060939
16,16,0.9350121852152722,0.9304347826086956,0.9359137898960908,0.9608307422466713,-0.0037367993501218333,-0.00032493907392361354,0.006498781478472715,0.021527213647440924,-0.0050365556458163985,0.03403736799350132,0.028350934199837585,0.0018683996750609166,-0.005280259951259025,0.0240454914703494,0.039805036555645934,0.01982128350934209
17,17,0.8350934199837531,0.8377298161470823,0.8420951925376705,0.9438677615668767,-0.03257514216084478,0.002437043054427379,0.012103980503655687,0.01502843216896832,-0.0077173030056862935,0.07335499593826167,0.030138099106417515,0.033956133225020335,0.012103980503655687,0.06831844029244516,0.036961819658813955,0.0701056051990252
18,18,0.7408610885458976,0.7706685837526959,0.756618565468123,0.9249488426479576,-0.030138099106417515,-0.016734362307067374,-0.026969943135661922,0.005361494719740012,0.02339561332250184,0.033549959382615735,0.0398862713241267,0.005523964256701763,-0.1266450040617385,0.006255077173029977,0.026401299756295682,0.016165718927701023
19,19,0.6929325751421609,0.7385892116182573,0.7120558611709054,0.870672885274655,-0.0460601137286758,-0.0009748172217708406,-0.0017059301380990544,-0.005117790414297274,0.0030056864337937306,0.02485783915515849,0.004955320877335523,0.002274573517465628,-0.03939886271324122,0.010073111291632797,0.007554833468724764,0.010966693744922873
20,20,0.9000812347684809,0.8967254408060453,0.9034973026123468,0.9532567966196284,0.0034930950446790954,0.008935824532900094,0.013322502030869265,-8.123476848087563e-05,0.003086921202274495,0.0670186839967507,0.05905767668562145,0.0068237205523964395,0.0124289195775793,0.11681559707554834,0.050365556458164096,0.08074735987002435
21,21,0.9285134037367994,0.9251700680272109,0.9311156289032395,0.9658295463605199,0.01039805036555641,-0.003574329813159971,0.001137286758732703,0.005767668562144612,0.09731925264012997,0.0410235580828594,0.024939073923639365,0.013484971567831017,0.05174654752233954,0.029894394800974777,0.029569455727051275,0.023964256701868414
22,22,0.6945572705117791,0.7381615598885793,0.7130205426665603,0.7656833824975418,-0.04882209585702679,-0.003330625507717233,-0.004874086108854536,-0.0059301380991064745,0.0077173030056864045,0.026807473598700282,-0.000893582453290076,0.0124289195775793,-0.07327376116978057,0.029325751421608426,0.008123476848091005,0.000893582453290076
23,23,0.9382615759545085,0.9332161687170475,0.9383799728932471,0.9564910042786149,-0.004467912266449936,0.004061738424045558,0.002274573517465406,0.018927701056052126,0.04289195775792054,0.02648253452477678,0.03907392363931761,0.026726238830219406,-0.0012997562956945652,0.015678310316815547,0.007798537774167391,0.04321689683184404
24,24,0.8310316815597075,0.838006230529595,0.8402203088043796,0.950288341438784,-0.032981316003249495,0.002030869212022668,0.014865962632006569,0.0010560519902518273,0.048740861088545806,0.07116165718927692,0.07449228269699426,0.04882209585702679,-0.026157595450853055,0.08285946385052789,0.06994313566206334,0.011779041429731851
25,25,0.8952071486596264,0.8922305764411027,0.8989927981078423,0.9552339950570039,0.04281072298943933,-0.0006498781478472271,0.004792851340373772,0.028594638505280434,-0.01681559707554836,0.03712428919577582,0.06409423233143807,0.02623883021933382,0.09935012185215275,0.06547522339561329,0.05946385052802594,0.019008935824533002
26,26,0.8383428107229894,0.8441660140955364,0.847111270562598,0.966884583698743,-0.012266450040617216,0.003330625507717344,0.010641754670999148,-0.0006498781478472271,-0.08269699431356625,0.03493095044679129,0.04589764419171405,0.03363119415109672,0.05572705117790411,0.03046303818034113,0.04825345247766033,0.03964256701868396
