,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled
60,60,0.9304059652029826,0.927461139896373,0.9318783579537306,0.9631631786238319,0.003065451532725638,0.024026512013256007,0.011101905550952806,0.017729908864954402,0.0010770505385252482,0.04913007456503715,0.01010770505385239,0.027671913835957018
61,61,0.9204639602319801,0.9180887372013652,0.9226732897190075,0.9586564875390267,0.0024855012427505985,0.01681855840927926,0.010770505385252593,0.0033968516984258512,-0.006379453189726658,0.0072908036454018,0.004556752278376042,0.02187241093620529
62,62,0.9088649544324772,0.9058219178082192,0.9107984069371049,0.9416584843837913,-0.009693454846727345,0.2659486329743165,0.03347141673570819,0.005385252692626352,0.005385252692626352,0.06081193040596522,0.030903065451532652,0.15426677713338854
63,63,0.9328914664457332,0.9291338582677166,0.9335373387906403,0.9563231578831239,0.022949461474730648,0.028997514498757315,0.0227009113504556,0.003976801988400891,0.00894780447390231,0.04266777133388555,0.014250207125103498,0.043579121789560804
64,64,0.9353769676884839,0.9312169312169312,0.935531425482387,0.9653062012510619,0.021209610604805418,0.03521126760563387,-0.0001657000828499955,-0.004722452361226037,0.06859983429991734,-0.0017398508699254522,0.008450704225352101,0.033802816901408295
65,65,0.9287489643744822,0.9234875444839857,0.928314927793652,0.9536891982833754,0.010190555095277554,0.07928748964374477,-0.001325600662800297,0.004059652029826055,-0.004391052195526157,0.0347970173985086,0.025269262634631362,0.05865782932891472
66,66,0.9030654515327258,0.8997429305912596,0.9049168165219598,0.932854715753009,-0.014415907207953826,0.07953603976801993,0.010853355426677758,-0.01623860811930422,-0.002734051367025647,0.08682684341342162,0.00836785418392727,0.01201325600662806
67,67,0.9254349627174814,0.920774647887324,0.9256561455379897,0.9448854296525931,0.022286661143330444,0.0367854183927091,-0.00422535211267594,0.011101905550952917,-0.007953603976802004,0.0008285004142500885,0.03156586578293308,0.05219552609776312
68,68,0.9395194697597349,0.9356828193832599,0.9397485189148638,0.9598452169500127,0.0022369511184754387,0.04250207125103567,0.008533554266777266,0.01350455675227824,0.0004971002485498754,0.03562551781275902,0.0009113504556752527,0.027174813587406588
69,69,0.9005799502899752,0.8981324278438031,0.9030344317818254,0.9269276171353552,0.01797845898922945,0.017895608947804398,0.012261806130903219,0.0061309030654517205,-0.007622203811102013,0.000994200497100195,0.029577464788732355,0.06536868268434137
70,70,0.9386909693454847,0.9354275741710296,0.9395306311573977,0.9666328343060138,0.005716652858326454,0.13214581607290798,-0.0025683512841757627,0.014167357083678556,0.012178956089478166,0.05517812758906382,0.014581607290803711,0.024357912178955998
71,71,0.9270919635459818,0.9229422066549913,0.927655748375495,0.960984301049171,-0.0005799502899751507,0.09420049710024869,0.005468102734051294,0.0005799502899752618,0.0031483015741505804,0.04929577464788748,-0.007207953603976858,0.009279204639602412
