,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.A_CO2_vd_scaled,feature_importance.A_CO2_vd_fd1_scaled,feature_importance.A_CO2_vd_fd2_scaled,feature_importance.A_CO2_vd_fd3_scaled,feature_importance.A_low_CO2_scaled,feature_importance.A_low_CO2_fd1_scaled,feature_importance.A_low_CO2_fd2_scaled,feature_importance.A_low_CO2_fd3_scaled,feature_importance.A_top_CO2_scaled,feature_importance.A_top_CO2_fd1_scaled,feature_importance.A_top_CO2_fd2_scaled,feature_importance.A_top_CO2_fd3_scaled,feature_importance.A_low_temperature_scaled,feature_importance.A_low_temperature_fd1_scaled,feature_importance.A_low_temperature_fd2_scaled,feature_importance.A_low_temperature_fd3_scaled,feature_importance.A_low_humidity_scaled,feature_importance.A_low_humidity_fd1_scaled,feature_importance.A_low_humidity_fd2_scaled,feature_importance.A_low_humidity_fd3_scaled,feature_importance.A_top_temperature_scaled,feature_importance.A_top_temperature_fd1_scaled,feature_importance.A_top_temperature_fd2_scaled,feature_importance.A_top_temperature_fd3_scaled,feature_importance.A_top_humidity_scaled,feature_importance.A_top_humidity_fd1_scaled,feature_importance.A_top_humidity_fd2_scaled,feature_importance.A_top_humidity_fd3_scaled
20,20,0.9411764705882353,0.9368888888888889,0.9408545061394702,0.9797778096488423,-0.002982601491300807,0.0032311516155757447,0.0061309030654514984,0.008533554266777266,0.0035625517812758467,0.012676056338028374,0.014498757249378547,0.013670256835128347,-0.0009113504556751417,0.010770505385252815,0.014747307373653595,0.013338856669428356,-0.0031483015741508025,0.0064623032311516004,0.006213753106876663,0.006048053024026556,0.0018227009113503945,0.003728251864125842,0.004059652029825944,0.002982601491300696,-0.0032311516155758557,0.005550952775476237,0.004888152444076255,0.005053852526926139,0.001325600662800297,0.0022369511184755497,0.001325600662800297,0.000994200497100306
21,21,0.927920463960232,0.9202566452795601,0.9256395971007138,0.9688310183908299,-0.011267605633802913,0.0017398508699255633,0.0010770505385252482,0.0021541010770506075,0.002319801159900492,0.0018227009113506165,0.0019055509527755587,0.0030654515327258602,-0.005633802816901401,0.009362054681027354,0.013587406793703294,0.008782104391052203,-0.005716652858326454,0.00024855012427504874,0.0015741507870755678,-0.0002485501242748267,-0.0017398508699254522,0.011599005799502904,0.009859154929577563,0.01234465617232805,-0.006379453189726547,0.001657000828500288,0.002651201325600483,0.0024026512013256562,-0.002982601491300696,0.008533554266777155,0.010190555095277332,0.009610604805302403
22,22,0.951946975973488,0.9483985765124555,0.9516178855510078,0.9696446498902288,-0.004308202154100993,0.003728251864125842,0.0024855012427504874,0.005053852526926361,0.004639602319800984,0.0018227009113503945,0.003645401822700789,0.004391052195525935,0.0017398508699254522,0.004971002485501308,0.0038111019055511175,0.0048053024026513125,0.0010770505385252482,0.0028997514498756427,0.0031483015741509135,0.004059652029825944,-8.285004142494223e-05,0.00787075393537695,0.010356255178127438,0.007705053852526955,0.004473902236950988,0.00588235294117645,0.006959403479701809,0.005965202982601614,8.285004142505326e-05,0.006048053024026556,0.006048053024026556,0.004391052195525935
23,23,0.9096934548467275,0.907391673746814,0.9121333142106947,0.959508732058736,-0.010936205468102811,0.0034797017398511265,0.008864954432477257,0.008367854183926937,-0.012758906379453094,0.014167357083678556,0.014995857497928755,0.0154101077050538,-0.0145816072908036,0.022783761391880653,0.028086164043082174,0.03371996685998335,0.029163214581607422,0.004308202154101104,0.00836785418392716,0.007622203811102013,-0.0067937033968517024,0.00811930405965211,0.009362054681027354,0.009196354598177359,0.013587406793703516,0.016901408450704203,0.018972659486329757,0.016984258492129367,-0.0017398508699253412,0.0067937033968518135,0.007870753935377062,0.00869925434962715
24,24,0.9121789560894781,0.8992395437262357,0.907648687708924,0.9550765089416723,0.0008285004142501995,0.0033968516984259622,0.004971002485501308,0.005633802816901401,-0.013918806959403507,0.00919635459817747,0.011433305716652908,0.006628003314001596,-0.01772990886495429,0.022038111019055506,0.03396851698425851,0.02609776304888156,-0.00505385252692625,0.001325600662800297,0.001325600662800519,0.0014913007456502925,-0.001325600662800297,0.014747307373653595,0.01342170671085352,0.014415907207953715,-0.006213753106876441,0.004639602319801206,0.002982601491300696,0.0028169014084508115,-0.00041425020712504423,0.012178956089478055,0.013421706710853298,0.012758906379453205
25,25,0.9577464788732394,0.9552238805970149,0.9582813896274396,0.9873818165771212,0.0021541010770504965,0.002982601491300696,0.002982601491300696,0.003314001657000687,-0.0035625517812759577,-0.00024855012427504874,0.0010770505385252482,0.000331400165700102,-0.005219552609776357,0.003976801988400891,0.004888152444076033,0.003065451532725638,0.000331400165700102,0.0004971002485500975,0.0014084507042252392,0.0005799502899751507,-0.0021541010770506075,0.007622203811101791,0.006710853355426649,0.0048053024026512015,-0.0008285004142501995,0.0011599005799503015,0.002651201325600594,0.0015741507870755678,-0.0009113504556751417,0.0008285004142501995,-0.0011599005799504125,-0.0014913007456502925
26,26,0.9370339685169843,0.9306569343065694,0.9350735853844202,0.9559783987732092,0.012427506213752992,0.001325600662800408,0.0025683512841756517,0.0017398508699254522,-0.0025683512841758738,0.004556752278376375,0.003314001657000909,0.0034797017398509045,8.285004142516428e-05,0.0038939519469761708,0.0030654515327257492,-0.0014084507042253502,-0.0001657000828501065,0.0037282518641259532,0.003976801988401002,0.0044739022369510995,-0.0012427506213753547,0.0001657000828499955,0.0034797017398509045,-0.001325600662800408,-0.0002485501242749377,0.00472245236122637,0.005965202982601392,0.0061309030654516095,-0.0010770505385252482,0.0015741507870754567,-0.00033140016569987996,-0.0011599005799503015
27,27,0.9461474730737366,0.9420160570918823,0.9456245931842503,0.9851946647838223,0.006959403479701809,-0.0014084507042252392,-0.00016570008284988447,0.0019055509527755587,0.00041425020712515526,-0.001988400994200501,-0.0005799502899752618,-0.0010770505385251372,0.0007456503728252573,-0.00041425020712504423,-0.0010770505385253593,-0.0008285004142500885,-0.005550952775476348,-0.0004971002485499865,-0.0005799502899750397,-0.00016570008284988447,-0.0005799502899750397,-0.0010770505385251372,0.0001657000828501065,-0.001325600662800186,-0.005219552609776246,0.0014913007456504035,0.000994200497100306,0.000994200497100306,-0.000662800331400093,-0.0028169014084507005,-0.003314001657000798,-0.0019055509527755587
28,28,0.9395194697597349,0.9356828193832599,0.9397485189148638,0.9826131085687808,0.0022369511184754387,-0.0014913007456502925,-0.0009113504556751417,0.000994200497100195,0.0028169014084508115,0.006628003314001818,0.0077879038939521195,0.007207953603976747,-0.0025683512841757627,0.002402651201325545,0.0011599005799503015,0.003065451532725638,-0.005882352941176672,0.0021541010770503854,0.004059652029826055,0.0035625517812759577,0.0024855012427507095,0.0024855012427507095,0.0010770505385252482,0.0011599005799503015,-0.005716652858326343,0.008533554266777266,0.010521955260977656,0.011019055509527753,0.00041425020712504423,0.001325600662800519,-0.0018227009113503945,-0.002651201325600594
29,29,0.9577464788732394,0.9552238805970149,0.9582813896274396,0.9880272056308816,0.000331400165700102,0.000994200497100306,0.0009113504556752527,0.0017398508699254522,0.004059652029826055,0.0004971002485500975,0.0004971002485500975,0.0001657000828499955,0.0020712510356256653,-0.0007456503728251462,0.000331400165700102,0.000662800331400204,0.00024855012427504874,0.0011599005799503015,0.0007456503728251462,0.0012427506213753547,-8.285004142505326e-05,0.005882352941176228,0.0035625517812757357,0.0017398508699253412,0.00033140016569987996,0.0038111019055507844,0.0035625517812759577,0.0028997514498756427,-0.000994200497100417,0.004971002485501086,0.0015741507870753457,0.002319801159900492
30,30,0.9420049710024855,0.9375,0.9414074997517734,0.9704527652438689,0.012676056338028152,0.0009113504556752527,0.0008285004142501995,0.0044739022369512105,-0.007622203811101902,0.0028997514498757537,0.00563380281690129,0.0028997514498757537,-0.008864954432477257,0.0019055509527754477,0.00530240265120141,0.007207953603976858,-0.000331400165700213,0.00041425020712515526,0.0014084507042253502,0.0011599005799503015,0.0021541010770504965,0.0027340513670258693,0.003645401822700789,0.004391052195526046,-0.00024855012427515977,0.0036454018227009,0.0019055509527754477,0.0024855012427505985,0.0010770505385252482,0.0036454018227009,0.0032311516155757447,0.003976801988401113
31,31,0.9163214581607291,0.9087624209575429,0.9148817338349349,0.9586482133203887,0.004556752278376042,0.0030654515327257492,0.005219552609776246,0.005965202982601614,-0.0004142502071249332,0.010024855012427558,0.012261806130902997,0.009196354598177248,-0.009030654515327363,0.01872410936205482,0.014581607290803711,0.015078707539353808,-0.018061309030654504,0.005136702568351192,0.00505385252692625,0.007622203811101791,-8.285004142483121e-05,0.005385252692626352,0.014250207125103387,0.011101905550952917,-0.01425020712510372,0.007207953603976858,0.007207953603976858,0.008782104391052203,-0.0024855012427505985,0.004391052195526157,0.012178956089478166,0.010439105219552602
32,32,0.9411764705882353,0.9373345101500441,0.9413013139459196,0.9855973434242026,0.000994200497100306,0.00024855012427504874,-0.0007456503728251462,0.0010770505385252482,0.0007456503728252573,0.0017398508699254522,0.0021541010770502744,0.003065451532725638,-0.0017398508699253412,0.0010770505385252482,-0.0001657000828499955,0.0014913007456504035,-0.0018227009113505055,0.0014084507042253502,0.0018227009113503945,0.0015741507870753457,0.00041425020712515526,-0.0020712510356255542,-0.000994200497100195,-0.0018227009113505055,-0.002982601491300807,0.0032311516155757447,0.002651201325600594,0.0024855012427505985,0.000662800331400204,-0.0019055509527753367,-0.0018227009113505055,-0.0015741507870754567
33,33,0.9569179784589892,0.9543859649122807,0.9575049921119116,0.9871501384552586,-0.0018227009113503945,-0.0012427506213754658,-0.001657000828500399,-0.0001657000828501065,0.0004971002485500975,-0.0032311516155759668,-0.000994200497100195,0.0005799502899750397,0.0024855012427504874,-0.0037282518641259532,-0.0051367025683513035,-0.0031483015741509135,-0.001657000828500399,0.0,0.0014084507042252392,0.0012427506213752437,0.0032311516155758557,-0.0017398508699255633,-0.0025683512841757627,-0.001988400994200612,-0.001657000828500399,0.0024855012427507095,0.002402651201325434,0.002982601491300807,0.0028169014084505895,-0.001657000828500399,-0.0024855012427507095,-0.0022369511184756607
34,34,0.947804473902237,0.9436997319034852,0.9471773882153063,0.9746836490407423,-0.002734051367025647,0.0014084507042252392,0.004722452361226148,0.01002485501242767,-0.0014913007456501814,0.0038111019055510065,0.0031483015741510245,0.0038939519469759487,-0.0031483015741508025,0.002982601491300807,0.0028997514498757537,0.0051367025683514145,0.0004971002485499865,0.0020712510356255542,0.0012427506213753547,0.0008285004142503105,-0.006959403479701698,0.0025683512841756517,0.0024855012427507095,0.0014084507042254613,0.00041425020712504423,0.002319801159900603,0.0014084507042254613,0.0014913007456504035,-0.007705053852526844,0.0004971002485502085,0.0005799502899750397,-0.0017398508699254522
35,35,0.9188069594034797,0.9085820895522388,0.9154236951557209,0.9558404951292433,0.01623860811930411,0.0048053024026512015,0.003314001657000687,0.0034797017398510155,-0.004639602319801206,0.009444904722452185,0.007125103562551693,0.0025683512841757627,-0.010604805302402709,0.013670256835128347,0.016984258492129256,0.013090306545153418,-0.006628003314001818,0.0048053024026512015,0.0067937033968517024,0.006545153272576543,0.0051367025683513035,0.006462303231151378,0.006628003314001596,0.00505385252692625,-0.003314001657000909,0.005716652858326454,0.005799502899751174,0.0044739022369512105,0.00024855012427504874,0.000994200497100306,-0.000331400165700102,-0.004639602319801206
36,36,0.9411764705882353,0.9372236958443855,0.9411896119943073,0.9574677581280407,0.004473902236950988,0.00024855012427515977,0.00024855012427504874,0.0014084507042253502,0.0024855012427505985,0.0012427506213753547,0.0014084507042253502,-8.285004142516428e-05,0.0,-0.0015741507870754567,0.002071251035625443,0.0014084507042251282,8.285004142505326e-05,0.001657000828500621,0.000994200497100306,0.00024855012427504874,0.0,0.0020712510356255542,0.0017398508699253412,0.0019055509527754477,-0.00024855012427504874,0.001988400994200501,0.0021541010770504965,0.0028169014084507005,0.0005799502899751507,-0.0004971002485500975,-0.0021541010770506075,-0.001325600662800408
37,37,0.9428334714167357,0.9360518999073216,0.9399498582350541,0.9778940458722681,-0.003314001657000798,1.1102230246251565e-16,0.0014084507042253502,-0.0025683512841756517,-0.011681855840927957,0.010604805302402598,0.016321458160729163,0.013256006628003303,-0.01590720795360412,0.005219552609776246,0.0072908036454018,0.007373653686826964,-0.0005799502899750397,0.009362054681027354,0.00869925434962715,0.012676056338028152,-0.0012427506213753547,0.007705053852526955,0.008947804473902199,0.007207953603976858,-0.000331400165699991,0.011350455675227744,0.010024855012427447,0.011019055509527642,-8.285004142494223e-05,0.009444904722452296,0.009693454846727567,0.008864954432477146
38,38,0.9428334714167357,0.9385574354407836,0.9424073011705261,0.9763936542259193,-0.003314001657000798,0.0002485501242749377,-0.00024855012427515977,0.0008285004142500885,-0.004556752278376264,0.004225352112676051,0.006462303231151489,0.0020712510356255542,-0.010770505385252815,0.0010770505385251372,0.004308202154100993,0.0031483015741508025,-0.010439105219552491,0.0032311516155758557,0.004639602319801095,0.004391052195526268,0.002651201325600594,0.019718309859154903,0.019552609776304797,0.0157415078707539,-0.011516155758077962,0.00422535211267594,0.004888152444076366,0.004722452361226037,0.0019055509527754477,0.01209610604805289,0.011433305716652908,0.009610604805302403
