,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.B_CO2_vd_scaled,feature_importance.B_CO2_vd_fd1_scaled,feature_importance.B_CO2_vd_fd2_scaled,feature_importance.B_CO2_vd_fd3_scaled,feature_importance.B_low_CO2_scaled,feature_importance.B_low_CO2_fd1_scaled,feature_importance.B_low_CO2_fd2_scaled,feature_importance.B_low_CO2_fd3_scaled,feature_importance.B_top_CO2_scaled,feature_importance.B_top_CO2_fd1_scaled,feature_importance.B_top_CO2_fd2_scaled,feature_importance.B_top_CO2_fd3_scaled
53,53,0.9167340339531124,0.9136630343671417,0.9205449325747999,0.9609355246523389,0.003071948261923918,0.005335489086499612,0.005820533548908768,0.008892481810832575,-0.0008892481810832686,0.04947453516572364,0.03144704931285369,0.02489894907033141,0.0025869037995149835,0.039369442198868176,0.04939369442198849,0.028375101050929663
54,54,0.9175424413904608,0.9142857142857143,0.9211480720606826,0.9626264222503161,0.0014551333872271366,0.0008084074373483352,0.003233629749393674,0.006063055780113125,-0.0004042037186741121,0.012368633791430939,0.013904607922392898,0.03605497170573979,0.0028294260307193397,0.033144704931285296,0.03071948261924007,0.046160064672594814
55,55,0.919967663702506,0.9171548117154812,0.9239438474504846,0.961472819216182,0.0025869037995148725,0.0019401778496362931,0.001940177849636071,0.006063055780113125,0.001535974130961959,0.02732417138237686,0.03783346806790622,0.020048504446240734,0.0008892481810830466,0.0298302344381568,0.02643492320129348,0.018108326596604662
56,56,0.9215844785772029,0.9182813816343723,0.9250092182890854,0.9637036451748842,0.0024252223120454497,0.004850444624090677,0.003233629749393785,0.004769603880355633,0.0013742926434922031,0.024737267582861877,0.02457558609539201,0.023120452708164763,-0.0004042037186742231,0.03112368633791429,0.034599838318512655,0.023120452708164985
57,57,0.9126919967663703,0.9090909090909091,0.9161201538137379,0.9613542983565107,0.0038803556992724753,-0.0025869037995150945,0.002910266774454384,0.007437348423605439,-0.002263540824575694,0.04963621665319318,0.039935327405012044,0.011883589329021671,-0.005497170573969257,0.029749393694422088,0.022473726758286183,0.0244947453516573
58,58,0.9191592562651576,0.9161073825503355,0.9229179835651075,0.9608828487147072,0.0013742926434923142,0.0017784963621664263,0.004446240905416121,0.006628940986257104,0.0010509296685529135,0.026515763945028192,0.047696038803556884,0.029426030719482688,0.0010509296685528025,0.032740501212611184,0.038399353274050196,0.04001616814874709
59,59,0.9183508488278093,0.9149115417017691,0.9217512115465656,0.9594843025705857,0.0023443815683105163,0.0014551333872272476,-0.00016168148746964484,0.002829426030719673,0.000565885206143979,0.03193209377526285,0.016976556184317038,0.009215844785772087,-0.003071948261923918,0.03015359741309631,0.016895715440582104,0.019967663702506133
60,60,0.9288601455133387,0.9247863247863248,0.931142014327855,0.9650442477876107,0.0025869037995150945,0.0024252223120454497,0.005982215036378302,0.003637833468067897,0.003071948261924029,0.03573160873080039,0.04130962004850458,0.01277283751010505,0.0024252223120453387,0.03290218270008083,0.02611156022635408,0.029668552950687044
61,61,0.9167340339531124,0.9130801687763713,0.9199813000421407,0.9590865992414666,-0.0016168148746967814,0.00024252223120457828,0.003637833468067786,0.0010509296685528025,0.0016168148746967814,0.013823767178658186,0.017784963621665373,0.01673403395311257,-0.003476151980598363,0.02740501212611146,0.020291026677445312,0.018835893290218397
62,62,0.9183508488278093,0.9146238377007607,0.921469395280236,0.9619732406236831,0.0020210185933711156,0.002263540824575583,0.0025869037995149835,0.004607922392886099,0.0021827000808406494,0.03759094583670186,0.050202101859337045,0.011317704122878025,-0.0008892481810831576,0.0314470493128538,0.02295877122069523,0.018189167340339707
63,63,0.9215844785772029,0.9178662150719729,0.9245864938895911,0.9631268436578171,0.0016168148746968924,0.001131770412287736,0.0023443815683104052,0.009943411479385711,0.000565885206143868,0.038075990299110685,0.03201293451899778,0.006952303961196504,-0.0010509296685528025,0.034599838318512655,0.02829426030719484,0.028213419563459907
64,64,0.9167340339531124,0.9129332206255283,0.9198403919089759,0.9592393594605982,-0.0013742926434923142,-0.00016168148746986688,0.0008892481810831576,0.002101859337105938,-1.1102230246251565e-16,0.026273241713823947,0.024656426839126833,0.005092966855295145,-0.0012126111560226693,0.02303961196442994,0.015763945028294257,0.022150363783346894
65,65,0.9191592562651576,0.9155405405405406,0.9223543510324483,0.9626316898440792,0.002263540824575583,0.001131770412287847,0.0027485852869845173,0.004446240905416343,0.0018593371059012487,0.022877930476960184,0.024333063864187654,0.01867421180274864,-0.002506063055780272,0.0358124494745351,0.029991915925626556,0.030557801131770423
66,66,0.9167340339531124,0.913372582001682,0.9202631163084702,0.9610935524652338,-0.00016168148746986688,0.0010509296685528025,-1.1102230246251565e-16,0.0018593371059013597,0.0011317704122876249,0.027890056588520618,0.019078415521422865,0.03144704931285369,-0.0037186742118028304,0.03112368633791429,0.035246564268391345,0.027728375101051084
67,67,0.9167340339531124,0.9136630343671417,0.9205449325747999,0.9600189633375473,0.0018593371059013597,0.003071948261923918,0.0018593371059013597,0.005335489086499612,0.0023443815683105163,0.009377526273241732,0.029749393694422088,0.024413904607922365,-0.001131770412287847,0.03233629749393685,0.040258690379951556,0.038399353274049974
68,68,0.9167340339531124,0.9139515455304928,0.9208267488411294,0.96148598820059,-0.0010509296685529135,0.0037186742118027194,0.005982215036378302,0.011398544866612736,-0.002263540824575583,0.04890864995957955,0.028213419563460018,0.03387227162489892,0.0013742926434923142,0.03290218270008072,0.044866612772837544,0.039288601455133465
69,69,0.9232012934518997,0.919831223628692,0.9264973135271808,0.9615755372945639,0.0027485852869847394,-0.0006467259498786904,0.0024252223120451166,0.00743734842360555,0.0035569927243330746,0.028051738075990262,0.014389652384801943,0.019078415521422865,-0.0027485852869847394,0.030881164106709713,0.027809215844785906,0.044947453516572256
70,70,0.9159256265157639,0.9123102866779089,0.9192372524230932,0.9618020438263801,-0.0013742926434924252,0.000565885206143868,-8.084074373482242e-05,0.004042037186742009,0.001535974130961848,0.033387227162489874,0.02303961196443005,0.005254648342764567,-0.003233629749393785,0.024979789814066344,0.04785772029102664,0.024979789814066122
71,71,0.9159256265157639,0.912751677852349,0.9196599768225875,0.9609802991993257,0.002506063055779939,0.0005658852061437569,0.004284559417946698,0.004607922392885988,-0.0008084074373485572,0.02643492320129326,0.04219886822958763,0.033791430881163875,0.0009700889248182021,0.02950687146321751,0.06071139854486651,0.03831851253031526
72,72,0.9215844785772029,0.9182813816343723,0.9250092182890854,0.9610724820901811,0.0025869037995149835,0.0035569927243329635,0.0033144704931284963,0.011883589329021893,0.005416329830234323,0.023524656426838986,0.02118027485852869,0.02239288601455125,-0.0003233629749394007,0.03508488278092159,0.048585286984640264,0.04171382376717858
