,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.fronttop_CO2_scaled,feature_importance.fronttop_CO2_fd1_scaled,feature_importance.fronttop_CO2_fd2_scaled,feature_importance.fronttop_CO2_fd3_scaled,feature_importance.fronttop_temperature_scaled,feature_importance.fronttop_temperature_fd1_scaled,feature_importance.fronttop_temperature_fd2_scaled,feature_importance.fronttop_temperature_fd3_scaled,feature_importance.fronttop_humidity_scaled,feature_importance.fronttop_humidity_fd1_scaled,feature_importance.fronttop_humidity_fd2_scaled,feature_importance.fronttop_humidity_fd3_scaled
32,32,0.8833333333333333,0.8352941176470589,0.8622209165687427,0.902394242068155,0.07916666666666672,-0.00708333333333333,-0.0012499999999999734,-0.005416666666666625,0.07291666666666674,0.003750000000000031,0.0029166666666665675,-0.0008333333333333526,-0.02083333333333348,0.0012499999999999734,-0.002083333333333326,0.0033333333333334103
33,33,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9318448883666275,0.11750000000000005,0.007499999999999951,0.004166666666666652,0.00666666666666671,0.08541666666666659,-0.01375000000000004,0.0016666666666665941,-0.018750000000000155,-0.026666666666666727,-0.0008333333333334636,-0.0008333333333334636,0.002083333333333437
34,34,0.8875,0.8457142857142858,0.8717685076380728,0.9610752056404229,0.16749999999999987,-0.006250000000000089,0.0012500000000000844,-0.0062500000000002,0.03541666666666676,-0.010833333333333472,-0.026666666666666616,-0.01333333333333353,0.007500000000000062,0.0008333333333332416,0.0004166666666666208,-0.0012499999999999734
35,35,0.9041666666666667,0.8715083798882681,0.8935076380728555,0.9441098707403056,0.21999999999999997,0.032500000000000195,0.018750000000000044,0.009999999999999898,0.18624999999999992,-0.0016666666666667052,-1.1102230246251565e-16,0.029999999999999916,-0.014999999999999791,0.015416666666666745,0.023749999999999938,0.01416666666666666
36,36,0.8625,0.8070175438596491,0.8412162162162162,0.9436692126909517,0.09291666666666676,-0.007500000000000062,-0.008333333333333304,-0.0033333333333332993,0.036666666666666736,-0.025833333333333264,-0.03749999999999998,-0.04166666666666652,-0.016666666666666607,-0.013749999999999929,-0.009999999999999898,-0.005416666666666625
37,37,0.8833333333333333,0.8409090909090909,0.8683901292596945,0.9399236192714454,0.17500000000000004,-0.0012499999999999734,-0.00041666666666650976,-0.0012499999999999734,0.08416666666666672,-0.009166666666666545,-0.010833333333333472,-0.017916666666666803,-0.011250000000000204,-0.003750000000000031,0.0033333333333334103,0.004166666666666541
38,38,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9673913043478262,0.0675,-0.004583333333333384,-0.007500000000000062,-0.002083333333333326,0.04874999999999996,-0.019583333333333397,-0.029166666666666674,-0.0050000000000000044,-0.018333333333333424,0.006249999999999867,1.1102230246251565e-16,0.010416666666666519
39,39,0.9166666666666666,0.8901098901098901,0.9098119858989424,0.9726057579318449,0.1779166666666665,-0.0033333333333335213,-0.0025000000000000577,0.012916666666666687,0.04416666666666669,0.0033333333333332993,0.004999999999999893,-0.003749999999999809,0.0029166666666666785,0.004999999999999893,0.012083333333333224,0.007916666666666572
40,40,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.9327996474735605,0.16708333333333336,-0.01041666666666674,0.0029166666666666785,0.011666666666666603,0.08666666666666667,0.0033333333333334103,-0.007083333333333441,-0.009583333333333277,-0.012083333333333446,0.0008333333333333526,0.018749999999999822,0.0012499999999999734
41,41,0.8916666666666667,0.8522727272727273,0.8772032902467685,0.946900705052879,0.16416666666666668,-0.0008333333333333526,-0.0025000000000000577,-0.008333333333333304,0.06916666666666671,-0.017499999999999738,-0.007083333333333219,-0.009583333333333166,-0.0033333333333334103,0.005416666666666847,-0.0004166666666667318,0.01000000000000012
42,42,0.9,0.8651685393258427,0.8880728554641598,0.9352967097532314,0.18958333333333344,-0.008750000000000036,0.0025000000000000577,-0.008750000000000036,0.11416666666666675,0.005833333333333357,0.015416666666666745,0.01749999999999996,-0.023333333333333428,0.02833333333333332,0.02416666666666678,0.02083333333333337
43,43,0.8791666666666667,0.8323699421965318,0.8608989424206815,0.937279670975323,0.1362500000000001,0.0033333333333334103,0.0016666666666665941,-0.0024999999999999467,0.0708333333333333,-0.009166666666666656,-0.011249999999999982,-0.016250000000000098,-0.012916666666666798,0.004166666666666652,-0.0024999999999998357,0.008749999999999925
44,44,0.8833333333333333,0.8390804597701149,0.8663337250293772,0.9485164512338425,0.17874999999999996,-0.014166666666666883,-0.02083333333333326,0.0029166666666667895,0.10458333333333325,-0.011666666666666825,-0.026666666666666616,-0.023749999999999938,-0.026666666666666616,-0.005416666666666625,0.0008333333333332416,-0.0008333333333333526
