,random_seed,accuracy,f1,balanced_acc,auc,feature_importance.backtop_CO2_scaled,feature_importance.backtop_CO2_fd1_scaled,feature_importance.backtop_CO2_fd2_scaled,feature_importance.backtop_CO2_fd3_scaled,feature_importance.backtop_temperature_scaled,feature_importance.backtop_temperature_fd1_scaled,feature_importance.backtop_temperature_fd2_scaled,feature_importance.backtop_temperature_fd3_scaled,feature_importance.backtop_humidity_scaled,feature_importance.backtop_humidity_fd1_scaled,feature_importance.backtop_humidity_fd2_scaled,feature_importance.backtop_humidity_fd3_scaled
46,46,0.8544600938967136,0.8187134502923976,0.8432446999640676,0.9393639956881065,0.07793427230046945,0.007511737089201831,0.012676056338028263,0.008920187793427181,0.017840375586854473,-0.017840375586854362,-0.014084507042253391,-0.018779342723004633,0.029107981220657275,0.006103286384976592,0.04131455399061024,0.038028169014084456
47,47,0.8685446009389671,0.8372093023255814,0.8582464965864176,0.9107078692058929,0.05586854460093893,0.0009389671361501595,-0.010328638497652642,0.04366197183098597,0.06713615023474173,-0.031455399061032896,-0.016901408450704314,-0.027699530516432036,0.003755868544600971,0.011267605633802691,0.030046948356807546,0.035211267605633756
48,48,0.812206572769953,0.7530864197530864,0.7943316564858067,0.9110671936758893,0.09107981220657269,0.008920187793427181,-0.04084507042253516,0.006103286384976592,0.018309859154929553,-0.05727699530516439,-0.05070422535211261,-0.05305164319248834,-0.004225352112676051,-0.009389671361502372,-0.007981220657277022,0.00516431924882621
49,49,0.8450704225352113,0.8047337278106509,0.8323751347466762,0.9232842256557672,0.028169014084507005,-0.0028169014084507005,0.014084507042253502,0.007981220657277022,0.04882629107981229,-0.03990610328638511,-0.04366197183098597,-0.05446009389671358,-0.013615023474178534,-0.0009389671361503815,-0.003755868544600971,0.011267605633802802
50,50,0.8262910798122066,0.7701863354037267,0.8080309019044196,0.9331656485806684,0.0455399061032864,-0.017370892018779394,-0.013615023474178423,-0.017370892018779394,0.0023474178403756207,-0.05492957746478855,-0.043192488262910556,-0.0511737089201878,0.023943661971831065,0.005164319248826432,0.0046948356807512415,0.020187793427229983
51,51,0.7746478873239436,0.6883116883116883,0.7508533956162415,0.7578153072224219,0.010798122065727611,-0.018309859154929553,-0.015492957746478853,-0.019248826291079824,0.06431924882629103,-0.04272300469483559,-0.04178403755868543,-0.034272300469483596,-0.06431924882629114,0.019248826291079824,-0.017370892018779394,0.008450704225352101
52,52,0.8309859154929577,0.7804878048780488,0.8147682357168523,0.9373877111031261,0.036619718309859106,-0.0032863849765258912,-0.015023474178403884,-0.026291079812206686,0.00046948356807519076,-0.05539906103286385,-0.05070422535211261,-0.06056338028169028,0.010328638497652531,-0.0028169014084507005,0.023004694835680795,0.033333333333333326
53,53,0.8403755868544601,0.7951807228915663,0.8256378009342435,0.9333453108156665,0.030516431924882514,-0.029577464788732244,0.027699530516431925,-0.005633802816901512,0.008450704225352101,-0.040845070422535046,-0.04929577464788726,-0.06338028169014087,0.007042253521126862,0.030985915492957927,0.006103286384976703,0.018779342723004744
54,54,0.784037558685446,0.6973684210526315,0.7591178584261589,0.9385555156306145,-0.001877934272300541,-0.021596244131455444,-0.036150234741784026,0.014084507042253391,0.001877934272300541,-0.033333333333333215,-0.07276995305164324,-0.07323943661971843,0.006103286384976481,0.004225352112676051,0.009859154929577452,0.012206572769952961
55,55,0.8215962441314554,0.7654320987654321,0.8038986704994611,0.9183435141933168,0.023943661971830954,0.012676056338028152,-0.023004694835680795,-0.025821596244131384,0.031924882629107976,-0.06291079812206568,-0.07464788732394367,-0.06760563380281703,0.022535211267605715,0.008920187793427181,0.025821596244131384,0.011267605633802802
56,56,0.8403755868544601,0.7951807228915663,0.8256378009342435,0.9252605102407474,0.0427230046948357,-0.024882629107981113,-0.007981220657277022,-0.007981220657277022,0.019248826291079713,-0.04741784037558672,-0.06244131455399049,-0.06572769953051649,0.023474178403755874,0.008920187793427292,0.005633802816901512,0.0023474178403757318
57,57,0.7793427230046949,0.6928104575163399,0.7549856270212001,0.9031620553359685,-0.007511737089201831,-0.04507042253521132,-0.05774647887323936,-0.05680751173708909,0.026760563380281766,-0.05774647887323936,-0.08732394366197171,-0.05680751173708909,0.020657276995305285,0.009859154929577674,-0.020187793427229983,0.019248826291079824
58,58,0.8215962441314554,0.7682926829268293,0.8052012217031981,0.9108875314408911,-0.0009389671361502705,0.031455399061032896,0.024882629107981225,0.008450704225352212,0.032863849765258135,-0.04225352112676062,-0.0046948356807512415,-0.04788732394366202,0.011737089201877993,0.0028169014084508115,0.017840375586854584,0.009859154929577563
59,59,0.8215962441314554,0.7682926829268293,0.8052012217031981,0.9296622349982033,0.021126760563380143,0.00328638497652578,-0.006103286384976481,0.014084507042253613,0.013615023474178423,-0.03708920187793441,-0.030985915492957816,-0.06197183098591541,0.022535211267605604,0.007042253521126751,0.006103286384976592,0.007981220657277022
60,60,0.8591549295774648,0.8235294117647058,0.8473769313690263,0.9362199065756378,0.04694835680751175,-0.022065727699530635,0.07230046948356805,-0.021596244131455444,0.027699530516431814,-0.039906103286385,-0.04647887323943667,-0.04600938967136159,0.0624413145539906,-0.01032863849765242,0.01830985915492933,0.022535211267605604
61,61,0.8262910798122066,0.7730061349693251,0.8093334531081566,0.9239130434782609,0.0427230046948357,-0.009859154929577563,0.003755868544600971,-0.032394366197182944,0.05305164319248845,-0.039906103286385,-0.05305164319248823,-0.06901408450704216,0.011737089201877882,0.022535211267605604,0.006103286384976592,0.023004694835680684
62,62,0.7793427230046949,0.6928104575163399,0.7549856270212001,0.9094502335609055,0.016431924882629123,-0.04178403755868554,-0.06150234741784033,-0.00845070422535199,0.007042253521126862,-0.04788732394366191,-0.09859154929577452,-0.06666666666666676,0.0009389671361501595,0.019248826291079824,0.024882629107981225,0.004225352112676051
